,date,open,high,low,close,close_change,volume
0,2019-12-26,199500,199500,193500,196500,-1500,158943
1,2019-12-27,194000,199000,193500,195000,-1500,133224
2,2019-12-30,195500,200000,195500,200000,5000,138099
3,2020-01-02,202500,209500,197000,207500,7500,244784
4,2020-01-03,210000,212500,205000,206500,-1000,235872
5,2020-01-06,204500,210000,203500,207000,500,185010
6,2020-01-07,209000,222500,209000,222500,15500,487251
7,2020-01-08,219500,220000,211000,214000,-8500,418040
8,2020-01-09,218500,219000,210000,212000,-2000,275845
9,2020-01-10,213500,221000,213500,220500,8500,309458
10,2020-01-13,223000,236000,221000,232000,11500,561971
11,2020-01-14,234500,238000,228500,234500,2500,329888
12,2020-01-15,236000,238000,231500,234500,0,199803
13,2020-01-16,236000,236500,232000,236500,2000,216855
14,2020-01-17,237000,240500,232000,236500,0,249011
15,2020-01-20,236500,237000,222500,225000,-11500,567605
16,2020-01-21,222000,227000,217000,219000,-6000,445999
17,2020-01-22,215500,224500,215000,223500,4500,423623
18,2020-01-23,218500,219000,211000,212500,-11000,467540
19,2020-01-28,195000,198000,191000,194500,-18000,836404
20,2020-01-29,196500,203000,190500,202500,8000,639606
21,2020-01-30,202000,202000,191000,194000,-8500,501382
22,2020-01-31,194500,197000,187000,188000,-6000,412907
23,2020-02-03,181500,193000,179500,191000,3000,407737
24,2020-02-04,191500,198000,189000,197000,6000,418341
25,2020-02-05,199000,201500,180000,182000,-15000,1075027
26,2020-02-06,180500,184500,176000,183000,1000,836381
27,2020-02-07,182000,184500,176500,178000,-5000,677226
28,2020-02-10,178000,182000,175000,182000,4000,398642
29,2020-02-11,183000,187000,181500,182500,500,422297
30,2020-02-12,183000,191500,181000,189500,7000,550848
31,2020-02-13,190500,195000,187500,189000,-500,483640
32,2020-02-14,187500,191500,187000,190500,1500,200811
33,2020-02-17,194500,198500,191000,194500,4000,402462
34,2020-02-18,194500,194500,189000,190000,-4500,200139
35,2020-02-19,190000,192500,185000,188000,-2000,272526
36,2020-02-20,188000,190000,182500,183500,-4500,418611
37,2020-02-21,180000,186500,178500,182000,-1500,284559
38,2020-02-24,176000,178000,172500,173000,-9000,495760
39,2020-02-25,173000,176000,171000,175000,2000,449887
40,2020-02-26,172500,174000,170500,171500,-3500,315053
41,2020-02-27,171500,173500,165000,168500,-3000,363108
42,2020-02-28,164000,167500,158000,161000,-7500,597683
