,date,open,high,low,close,close_change,volume
0,2024-08-30,18000,18460,17990,18100,350,3987360
1,2024-09-02,18300,18300,17830,17890,-210,1972917
2,2024-09-03,17890,18020,17600,17650,-240,2152522
3,2024-09-04,17100,17650,16900,17200,-450,3900091
4,2024-09-05,17200,17350,16570,16620,-580,3117440
5,2024-09-06,16620,16890,16490,16570,-50,2141879
6,2024-09-09,16150,16890,16100,16800,230,1829627
7,2024-09-10,16910,16970,16540,16560,-240,1575573
8,2024-09-11,16700,16830,16260,16370,-190,2024091
9,2024-09-12,16500,17710,16500,17710,1340,4172823
