,date,open,high,low,close,close_change,volume
0,2021-09-17,111000,135000,91000,111500,500,17373529
1,2021-09-23,112000,113000,99000,99100,-12400,2914293
2,2021-09-24,100000,102000,95500,99200,100,2262592
3,2021-09-27,98300,99400,96500,97000,-2200,672212
4,2021-09-28,98000,103000,97000,100000,3000,1037427
5,2021-09-29,98300,108000,98000,107500,7500,1435139
6,2021-09-30,107500,117000,106000,115500,8000,1704373
7,2021-10-01,114500,119500,109000,113500,-2000,1203513
8,2021-10-05,111500,112500,104500,104500,-9000,706523
9,2021-10-06,107000,111500,105500,107000,2500,797435
10,2021-10-07,109000,112000,107000,109500,2500,474072
11,2021-10-08,109500,110000,103000,104500,-5000,423907
12,2021-10-12,104000,106000,100500,101000,-3500,292797
13,2021-10-13,101500,103000,99800,102000,1000,252749
14,2021-10-14,103000,103000,100000,102000,0,248276
15,2021-10-15,104500,107000,103500,105000,3000,292470
16,2021-10-18,103000,104000,100000,101500,-3500,659149
17,2021-10-19,102500,103000,100000,101500,0,332255
18,2021-10-20,101500,102500,100000,100500,-1000,269309
19,2021-10-21,100500,102500,100000,100500,0,239165
20,2021-10-22,101000,101500,100000,101000,500,169264
21,2021-10-25,100500,106500,100000,106000,5000,516573
22,2021-10-26,106500,109500,104000,108500,2500,388727
23,2021-10-27,108500,116500,108000,113500,5000,771405
24,2021-10-28,114500,118000,111000,112000,-1500,569668
25,2021-10-29,113500,119000,113000,117000,5000,693739
26,2021-11-01,116500,119000,113500,118500,1500,385442
27,2021-11-02,118500,119000,113500,116000,-2500,368462
28,2021-11-03,116000,117500,112500,116500,500,281713
29,2021-11-04,117000,117000,112000,112500,-4000,292430
30,2021-11-05,112000,114500,108500,113500,1000,330870
31,2021-11-08,114000,114000,110000,112000,-1500,176789
32,2021-11-09,113500,115500,108500,109500,-2500,335982
33,2021-11-10,109000,111500,106000,111000,1500,255794
34,2021-11-11,110000,112000,109500,112000,1000,164295
35,2021-11-12,112000,114000,111000,112000,0,169377
36,2021-11-15,112500,114000,111000,114000,2000,180931
37,2021-11-16,114500,114500,111000,111500,-2500,145772
38,2021-11-17,111500,113000,108000,108500,-3000,179729
39,2021-11-18,108000,109500,105500,106000,-2500,175355
40,2021-11-19,106000,109500,105500,109000,3000,122211
41,2021-11-22,108500,110500,107500,109000,0,137867
42,2021-11-23,110000,111500,108500,111000,2000,147284
43,2021-11-24,111000,113500,110000,112500,1500,123175
44,2021-11-25,113500,116000,112000,114000,1500,248249
45,2021-11-26,114500,116500,111500,111500,-2500,171573
46,2021-11-29,107000,110000,107000,108500,-3000,177072
47,2021-11-30,109500,109500,106000,106500,-2000,184116
48,2021-12-01,106000,109000,103500,108000,1500,142292
49,2021-12-02,106000,114000,106000,113500,5500,213861
50,2021-12-03,113000,114500,111000,111000,-2500,180027
51,2021-12-06,109500,113500,108500,112500,1500,162493
52,2021-12-07,113000,114500,109500,110000,-2500,188247
53,2021-12-08,111000,111000,107500,108000,-2000,213352
54,2021-12-09,108000,109500,107000,107000,-1000,393768
55,2021-12-10,106500,107500,105500,107500,500,224135
56,2021-12-13,107000,108000,105500,106000,-1500,199659
57,2021-12-14,105000,106000,101000,101000,-5000,325488
58,2021-12-15,100000,100500,98600,98900,-2100,297616
59,2021-12-16,98600,99500,95100,95700,-3200,448758
60,2021-12-17,90000,93400,89700,91500,-4200,1686560
61,2021-12-20,92100,93400,91600,91900,400,462510
62,2021-12-21,92200,94900,91300,94000,2100,411144
63,2021-12-22,94500,95000,92100,92700,-1300,313539
64,2021-12-23,92700,92800,91500,92300,-400,214082
65,2021-12-24,93000,93600,92200,92700,400,220253
66,2021-12-27,92700,93200,92300,92700,0,191739
67,2021-12-28,92800,93500,92400,92700,0,217210
68,2021-12-29,93500,95000,92800,93700,1000,258296
69,2021-12-30,94400,95300,92900,95200,1500,232685
70,2022-01-03,96000,97700,94900,97600,2400,225810
71,2022-01-04,98100,102000,96400,101500,3900,425113
72,2022-01-05,102000,105000,101500,104000,2500,488265
73,2022-01-06,102500,112500,100500,111000,7000,845951
74,2022-01-07,111500,114000,107000,112000,1000,427073
75,2022-01-10,111000,116500,110500,111500,-500,432107
76,2022-01-11,110500,111000,106000,107000,-4500,380355
77,2022-01-12,105000,110000,103500,108500,1500,327291
78,2022-01-13,109000,110000,105000,105500,-3000,178574
79,2022-01-14,103500,110500,103500,106000,500,447722
80,2022-01-17,106000,106500,101500,102000,-4000,209131
81,2022-01-18,102500,105500,101500,103000,1000,246352
82,2022-01-19,102000,106000,101000,102000,-1000,209795
83,2022-01-20,102500,104000,101500,103500,1500,146791
84,2022-01-21,103000,107000,102000,105500,2000,198031
85,2022-01-24,106000,106000,101000,101500,-4000,222116
86,2022-01-25,101500,102000,95700,97700,-3800,267898
87,2022-01-26,97800,99100,96500,96600,-1100,142126
88,2022-01-27,96600,96600,92700,93400,-3200,160754
89,2022-01-28,93700,99500,92900,99300,5900,164368
90,2022-02-03,101500,103500,99300,102000,2700,163952
91,2022-02-04,101500,103000,100500,102000,0,123018
92,2022-02-07,101500,104000,100000,101500,-500,125054
93,2022-02-08,102500,103500,97800,98000,-3500,271060
94,2022-02-09,99100,104000,98300,103000,5000,187002
95,2022-02-10,102500,103500,101000,101000,-2000,99003
96,2022-02-11,99900,101000,97500,97800,-3200,155249
97,2022-02-14,96000,96800,94800,95600,-2200,112913
98,2022-02-15,95300,98300,95000,96200,600,139493
99,2022-02-16,97600,99800,97600,98000,1800,97403
100,2022-02-17,98700,100500,97200,98300,300,145013
101,2022-02-18,97600,100500,96900,99200,900,120957
102,2022-02-21,98400,100500,97600,99900,700,128539
103,2022-02-22,98600,103500,98500,102000,2100,236189
104,2022-02-23,103000,110000,103000,109500,7500,491171
105,2022-02-24,108500,111500,104500,105500,-4000,398595
106,2022-02-25,109000,113500,106500,109500,4000,274441
107,2022-02-28,109500,111500,108000,109500,0,159563
108,2022-03-02,109500,118500,109500,116500,7000,483682
109,2022-03-03,117000,117500,111500,113000,-3500,374950
110,2022-03-04,112000,114500,111000,114000,1000,231862
111,2022-03-07,112000,117000,112000,116500,2500,246331
112,2022-03-08,114500,116000,113000,113500,-3000,196809
113,2022-03-10,115000,116000,110000,112000,-1500,306188
114,2022-03-11,112000,114000,111000,112000,0,175659
115,2022-03-14,110500,114000,110000,113500,1500,146595
116,2022-03-15,113500,113500,108500,109500,-4000,217330
117,2022-03-16,110000,112000,109000,110000,500,179441
118,2022-03-17,108000,110000,107000,108000,-2000,758132
119,2022-03-18,109500,111000,107000,108500,500,862650
120,2022-03-21,109500,109500,107500,108500,0,137399
121,2022-03-22,109000,114000,108500,114000,5500,286203
122,2022-03-23,113000,118000,112500,115500,1500,258178
123,2022-03-24,115500,117500,114500,117000,1500,179791
124,2022-03-25,118000,119000,117000,117500,500,172617
