,date,open,high,low,close,close_change,volume
0,2024-08-30,17200,17300,16970,16970,-130,2827509
1,2024-09-02,16970,17030,16660,16710,-260,1273429
2,2024-09-03,16710,16930,16710,16900,190,585079
3,2024-09-04,16500,16700,16210,16370,-530,1386472
4,2024-09-05,16420,16800,16410,16800,430,895262
5,2024-09-06,16710,16870,16220,16270,-530,761044
6,2024-09-09,15990,16270,15880,16270,0,784291
7,2024-09-10,16310,16830,16310,16530,260,862248
8,2024-09-11,16860,16980,16330,16490,-40,886287
9,2024-09-12,16600,16650,16450,16550,60,1155809
