,date,open,high,low,close,close_change,volume
0,2019-12-26,146000,148000,146000,148000,1500,320921
1,2019-12-27,149500,154000,149000,153500,5500,690548
2,2019-12-30,154000,155000,153000,153500,0,428587
3,2020-01-02,154000,154500,152000,152500,-1000,241047
4,2020-01-03,153500,155000,151000,152500,0,314848
5,2020-01-06,150500,155000,150000,154500,2000,393715
6,2020-01-07,155000,160000,154500,160000,5500,840186
7,2020-01-08,158500,162000,156500,159500,-500,851619
8,2020-01-09,163500,165500,162500,164000,4500,878319
9,2020-01-10,165000,166500,163000,165000,1000,401906
10,2020-01-13,165500,167500,165000,167000,2000,475667
11,2020-01-14,167500,168500,165500,167000,0,423286
12,2020-01-15,167000,170500,166500,170000,3000,462119
13,2020-01-16,170000,172000,170000,171500,1500,260049
14,2020-01-17,171500,172500,168000,168500,-3000,354724
15,2020-01-20,169000,170000,167000,168500,0,380510
16,2020-01-21,168500,169000,163500,165000,-3500,389155
17,2020-01-22,166000,169000,164500,166000,1000,504350
18,2020-01-23,168000,168000,164500,165500,-500,323420
19,2020-01-28,160000,163500,159500,162500,-3000,513228
20,2020-01-29,165500,166000,162500,163500,1000,255167
21,2020-01-30,163000,165500,160500,162000,-1500,418908
22,2020-01-31,162500,164000,158500,159000,-3000,346067
23,2020-02-03,156000,160500,156000,159500,500,423907
24,2020-02-04,161500,165500,160500,164500,5000,394773
25,2020-02-05,166500,167000,161500,163000,-1500,456954
26,2020-02-06,165500,168000,163500,166000,3000,552044
27,2020-02-07,167000,170500,166000,167500,1500,522100
28,2020-02-10,167500,169500,166000,169000,1500,375209
29,2020-02-11,169000,170000,168000,170000,1000,307120
30,2020-02-12,169500,172000,168000,172000,2000,407917
31,2020-02-13,174500,181500,173500,179000,7000,1877980
32,2020-02-14,181000,184500,179000,180000,1000,948085
33,2020-02-17,180000,182000,179000,180500,500,329408
34,2020-02-18,180500,183500,179000,182000,1500,587253
35,2020-02-19,184000,190500,183500,190000,8000,1362998
36,2020-02-20,190500,191500,188000,190500,500,547405
37,2020-02-21,188500,191500,187500,189500,-1000,558497
38,2020-02-24,184500,186000,182000,183500,-6000,792733
39,2020-02-25,182000,186000,180000,185500,2000,596763
40,2020-02-26,183500,185500,181500,184000,-1500,516378
41,2020-02-27,184000,185500,176500,178500,-5500,785062
42,2020-02-28,174500,176500,170500,172000,-6500,1022917
43,2020-03-02,174500,176500,169500,175000,3000,793495
44,2020-03-03,180500,181000,175000,175000,0,629017
45,2020-03-04,174000,181000,174000,179500,4500,709188
46,2020-03-05,182500,183000,176500,179500,0,821744
47,2020-03-06,176500,178500,174000,175500,-4000,568424
48,2020-03-09,171000,171500,166000,167500,-8000,805638
49,2020-03-10,164500,174500,164000,173000,5500,950875
50,2020-03-11,172000,174500,167000,169000,-4000,550227
51,2020-03-12,167000,169000,158500,161000,-8000,1218070
52,2020-03-13,150000,161500,145000,159000,-2000,1601985
53,2020-03-16,162000,164000,147500,147500,-11500,1252484
54,2020-03-17,141000,150500,140000,147500,0,1221046
55,2020-03-18,148500,152000,140500,141000,-6500,1107527
56,2020-03-19,145500,147000,127500,134000,-7000,2157141
57,2020-03-20,138000,151000,134500,149500,15500,1765756
58,2020-03-23,138000,148000,137500,143500,-6000,1569378
59,2020-03-24,150500,155000,147000,154500,11000,1271387
60,2020-03-25,160500,162500,151000,154500,0,1290376
61,2020-03-26,155000,156000,150000,150500,-4000,893688
62,2020-03-27,156500,157000,149000,152500,2000,958988
63,2020-03-30,149500,154500,147500,153000,500,668254
64,2020-03-31,155000,159000,152000,155500,2500,1042474
65,2020-04-01,156000,158500,150000,150500,-5000,794295
66,2020-04-02,152000,157000,149000,157000,6500,1043790
67,2020-04-03,158500,159000,155000,157500,500,545749
68,2020-04-06,158500,161000,157500,160500,3000,807805
69,2020-04-07,163500,164500,158500,160000,-500,920798
70,2020-04-08,159000,160500,158000,158000,-2000,738303
71,2020-04-09,161000,161000,157500,158000,0,726920
72,2020-04-10,158500,161500,157000,161000,3000,753323
73,2020-04-13,161000,161000,157000,157500,-3500,470251
74,2020-04-14,159500,160500,158000,159500,2000,430759
75,2020-04-16,159000,167000,158500,165500,6000,1005533
76,2020-04-17,169000,172500,167500,172000,6500,947794
77,2020-04-20,172500,179000,172000,175000,3000,859303
78,2020-04-21,176500,177500,168500,175500,500,1232126
79,2020-04-22,174000,177000,171500,177000,1500,686146
80,2020-04-23,181500,186500,180500,185500,8500,1509799
81,2020-04-24,184500,188500,182000,183000,-2500,1073684
82,2020-04-27,183000,187000,181500,184000,1000,721963
83,2020-04-28,185500,186500,181500,185000,1000,668638
84,2020-04-29,184000,186500,182500,184000,-1000,659512
85,2020-05-04,181500,190000,180000,186500,2500,1019409
86,2020-05-06,189000,200000,188000,199500,13000,2035947
87,2020-05-07,199500,207500,198500,206000,6500,2629709
88,2020-05-08,206500,210000,204000,206000,0,1405404
89,2020-05-11,207000,211500,206500,207500,1500,1048413
90,2020-05-12,209000,216500,206000,214500,7000,1563095
91,2020-05-13,211500,216500,211500,216500,2000,1113608
92,2020-05-14,216000,228000,214000,225000,8500,1459813
