,date,open,high,low,close,close_change,volume
0,2021-11-03,180000,230000,173000,193000,13000,11799881
1,2021-11-04,190000,191000,166000,169000,-24000,3487030
2,2021-11-05,167500,179000,167500,170000,1000,1597937
3,2021-11-08,168500,169500,152000,153500,-16500,1394625
4,2021-11-09,153500,157500,146000,147000,-6500,892617
5,2021-11-10,148000,153500,147000,150500,3500,615031
6,2021-11-11,148000,150000,140000,145500,-5000,768779
7,2021-11-12,146000,158000,146000,157500,12000,705982
8,2021-11-15,157500,166000,155000,163000,5500,472684
9,2021-11-16,163500,170000,160000,166500,3500,497032
10,2021-11-17,170000,174000,167500,171000,4500,575581
11,2021-11-18,171000,173500,165000,172500,1500,274048
12,2021-11-19,172000,176500,169500,173500,1000,302251
13,2021-11-22,172500,173000,166000,170000,-3500,216939
14,2021-11-23,167500,177000,167000,177000,7000,388843
15,2021-11-24,178500,188000,177000,183000,6000,694628
16,2021-11-25,185500,229500,183000,216500,33500,2164946
17,2021-11-26,213000,243500,207000,222500,6000,3201357
18,2021-11-29,221000,240000,216000,238500,16000,1259486
19,2021-11-30,240500,248500,216500,218000,-20500,1395664
20,2021-12-01,221000,229500,203500,207500,-10500,1100138
21,2021-12-02,204000,214500,198000,208000,500,692763
22,2021-12-03,201000,206000,197000,204500,-3500,1076728
23,2021-12-06,200500,205000,194500,201500,-3000,582451
24,2021-12-07,201500,204000,193500,194500,-7000,507608
25,2021-12-08,195500,203000,190000,202000,7500,726919
26,2021-12-09,199000,216000,199000,208500,6500,1752401
27,2021-12-10,195000,200000,193500,196000,-12500,2217271
28,2021-12-13,192000,194500,187000,190000,-6000,662983
29,2021-12-14,188000,192500,175500,178500,-11500,598053
30,2021-12-15,177500,183000,177000,180000,1500,369689
31,2021-12-16,182500,186000,182000,184500,4500,297229
32,2021-12-17,182000,184000,173000,177000,-7500,502516
33,2021-12-20,175500,176000,171000,172500,-4500,246385
34,2021-12-21,173500,176000,170500,171000,-1500,161986
35,2021-12-22,172000,173500,166000,167500,-3500,255618
36,2021-12-23,168500,175500,165000,174500,7000,385455
37,2021-12-24,174500,175500,169000,169000,-5500,230914
38,2021-12-27,169500,171500,168000,168500,-500,152906
39,2021-12-28,170000,181500,169500,181500,13000,514305
40,2021-12-29,179500,183500,176500,176500,-5000,248828
41,2021-12-30,176500,179000,172000,174500,-2000,363144
42,2022-01-03,174500,178000,173500,176500,2000,238214
