,date,open,high,low,close,close_change,volume
0,2019-12-26,27850,27850,27450,27650,-250,1262290
1,2019-12-27,27550,28000,27400,27750,100,1164446
2,2019-12-30,27850,28000,27600,27800,50,1188611
3,2020-01-02,28100,28700,28100,28500,700,2132432
4,2020-01-03,28550,28650,28050,28250,-250,1314136
5,2020-01-06,27850,27950,27550,27600,-650,1255971
6,2020-01-07,27650,27700,27300,27400,-200,1164133
7,2020-01-08,27250,27350,26350,26450,-950,2311195
8,2020-01-09,26900,27100,26650,26900,450,1786518
9,2020-01-10,26800,27000,26550,26700,-200,1069347
10,2020-01-13,26750,26900,26550,26800,100,696936
11,2020-01-14,26800,27200,26650,27050,250,1112531
12,2020-01-15,27000,27200,26800,27100,50,670667
13,2020-01-16,27100,27100,26650,26900,-200,805715
14,2020-01-17,26900,27150,26750,26850,-50,624662
15,2020-01-20,26900,27350,26800,26900,50,1053603
16,2020-01-21,26950,27000,26550,26700,-200,895973
17,2020-01-22,26700,26850,26600,26800,100,673856
18,2020-01-23,26650,26700,26350,26400,-400,1222970
19,2020-01-28,26100,26200,25750,25950,-450,1409341
20,2020-01-29,26050,26100,25750,25950,0,1005772
21,2020-01-30,25900,26050,25550,25550,-400,1342841
22,2020-01-31,25700,25850,25300,25350,-200,1349670
23,2020-02-03,25100,25350,25050,25050,-300,1660834
24,2020-02-04,25150,25650,25150,25250,200,1510968
25,2020-02-05,25400,25700,25250,25450,200,1595617
26,2020-02-06,25650,25800,25450,25550,100,1870925
27,2020-02-07,25550,25700,25350,25600,50,1050585
28,2020-02-10,25600,25650,25350,25450,-150,987865
29,2020-02-11,25500,25900,25450,25850,400,1313848
30,2020-02-12,25700,26100,25550,25850,0,1533678
31,2020-02-13,25750,25850,25450,25700,-150,2320239
32,2020-02-14,25550,25700,25450,25600,-100,960357
33,2020-02-17,25550,26100,25550,26050,450,1460224
34,2020-02-18,26050,26100,25750,25950,-100,1348715
35,2020-02-19,26100,26150,25750,25900,-50,1163403
36,2020-02-20,25850,26700,25800,26000,100,2064722
37,2020-02-21,25900,26400,25800,26100,100,1247082
38,2020-02-24,25750,25950,25400,25500,-600,1982262
39,2020-02-25,25250,25400,24500,24650,-850,4088725
40,2020-02-26,24400,24450,23600,24050,-600,3407074
41,2020-02-27,23900,24100,22950,23100,-950,3734473
42,2020-02-28,22450,22600,21150,21300,-1800,7589705
43,2020-03-02,21200,21950,20600,20950,-350,6326734
44,2020-03-03,21500,21700,21000,21200,250,3809518
45,2020-03-04,21100,21750,21050,21650,450,3023214
46,2020-03-05,21900,21950,21400,21600,-50,2662219
47,2020-03-06,21300,21350,20900,21100,-500,2735034
48,2020-03-09,22000,23150,21450,22800,1700,10031547
49,2020-03-10,22950,23700,21900,22000,-800,6405589
50,2020-03-11,22000,22050,20600,20800,-1200,5941894
51,2020-03-12,20300,21200,20000,20550,-250,5138836
52,2020-03-13,19200,20000,18800,19550,-1000,5709867
53,2020-03-16,19800,20000,19000,19000,-550,3399226
54,2020-03-17,18100,19000,17800,18050,-950,5782189
55,2020-03-18,18350,18450,17100,17100,-950,3598889
56,2020-03-19,17350,17700,15550,16250,-850,4836755
57,2020-03-20,16550,17550,16250,17300,1050,3694677
58,2020-03-23,16400,18100,16100,17300,0,3685846
59,2020-03-24,17700,18650,17500,18650,1350,3570950
60,2020-03-25,19400,19650,18500,18800,150,4949884
61,2020-03-26,18850,18950,18250,18400,-400,3513741
62,2020-03-27,19000,19000,18150,18550,150,3197397
63,2020-03-30,18100,19500,18000,18950,400,3946830
64,2020-03-31,19400,19400,18850,19250,300,2800952
65,2020-04-01,19000,19950,18950,19000,-250,3787981
66,2020-04-02,19050,19350,18500,19100,100,2065012
67,2020-04-03,18950,19150,18750,19000,-100,1916754
68,2020-04-06,18900,19200,18850,19150,150,2826357
69,2020-04-07,19500,19500,19000,19250,100,2921878
70,2020-04-08,19250,19350,19050,19050,-200,2010283
71,2020-04-09,19200,19350,19000,19150,100,2397609
72,2020-04-10,19150,20300,19150,20050,900,5388823
73,2020-04-13,20300,21200,20200,20450,400,5633244
74,2020-04-14,20900,21200,20750,21200,750,3816326
75,2020-04-16,20700,20850,20150,20250,-950,4168986
76,2020-04-17,20500,21100,20400,20600,350,3039728
77,2020-04-20,20700,21400,20650,21350,750,3553852
78,2020-04-21,21850,22250,20500,21500,150,6495995
79,2020-04-22,21750,22450,21600,22400,900,5593049
80,2020-04-23,22700,23200,22500,23200,800,4414562
81,2020-04-24,23200,23550,22500,22550,-650,4076170
82,2020-04-27,23050,24000,22900,23850,1300,4919955
83,2020-04-28,24300,24800,23650,23800,-50,4555244
84,2020-04-29,24050,24200,23500,23850,50,3157780
85,2020-05-04,23100,23450,22800,22800,-1050,3220563
86,2020-05-06,23100,23200,22200,22400,-400,3687419
87,2020-05-07,22400,22700,22000,22450,50,2384717
88,2020-05-08,22500,22750,22300,22350,-100,2381663
