,date,open,high,low,close,close_change,volume
0,2019-12-26,27350,27450,27300,27400,100,1514054
1,2019-12-27,26650,26800,26550,26700,-700,1035033
2,2019-12-30,26850,27000,26750,27000,300,623282
3,2020-01-02,26950,26950,26700,26700,-300,489901
4,2020-01-03,26750,26800,26600,26600,-100,590114
5,2020-01-06,26550,26600,26400,26400,-200,591055
6,2020-01-07,26450,26650,26400,26550,150,351292
7,2020-01-08,26400,26500,26050,26150,-400,1083062
8,2020-01-09,26200,26350,26050,26050,-100,1202990
9,2020-01-10,26100,26250,26050,26050,0,748424
10,2020-01-13,26100,26250,26050,26150,100,486858
11,2020-01-14,26150,26250,26100,26200,50,548949
12,2020-01-15,26200,26300,26100,26200,0,581502
13,2020-01-16,26200,26350,26100,26150,-50,518268
14,2020-01-17,26100,26300,26100,26100,-50,493953
15,2020-01-20,26150,26200,26050,26100,0,571622
16,2020-01-21,26100,26200,26100,26100,0,316039
17,2020-01-22,26200,26250,26050,26250,150,449819
18,2020-01-23,26150,26200,26100,26100,-150,486932
19,2020-01-28,25700,25850,25400,25450,-650,1186100
20,2020-01-29,25550,25700,25350,25600,150,627148
21,2020-01-30,25600,25650,25350,25350,-250,701509
22,2020-01-31,25450,25450,25200,25350,0,591947
23,2020-02-03,25250,25250,24700,24750,-600,999884
24,2020-02-04,24750,24900,24600,24800,50,832225
25,2020-02-05,24800,25050,24700,24950,150,731248
26,2020-02-06,25100,25700,25000,25450,500,983607
27,2020-02-07,25400,25400,25150,25300,-150,583952
28,2020-02-10,25150,25350,25100,25200,-100,491198
29,2020-02-11,25250,25300,25150,25150,-50,511968
30,2020-02-12,25150,25450,25100,25400,250,641630
31,2020-02-13,25350,25400,25200,25200,-200,882867
32,2020-02-14,25200,25300,25000,25000,-200,548736
33,2020-02-17,25050,25100,24900,25100,100,291663
34,2020-02-18,24950,25100,24900,25000,-100,486641
35,2020-02-19,25100,25150,24900,25000,0,336686
36,2020-02-20,25000,25050,24800,24850,-150,522070
37,2020-02-21,24800,24900,24650,24700,-150,607091
38,2020-02-24,24450,24500,24050,24100,-600,1091972
39,2020-02-25,24150,24200,24000,24100,0,731518
40,2020-02-26,23800,24100,23700,24000,-100,970320
41,2020-02-27,23950,24300,23900,24300,300,766679
42,2020-02-28,24200,24250,23750,23900,-400,1306961
43,2020-03-02,23850,23900,23400,23550,-350,833585
44,2020-03-03,23700,23700,23350,23500,-50,810748
45,2020-03-04,23300,23750,23250,23650,150,768675
46,2020-03-05,24000,24500,23700,24300,650,1121265
47,2020-03-06,23800,24100,23650,23950,-350,685785
48,2020-03-09,23650,23650,23050,23450,-500,893554
