,date,open,high,low,close,close_change,volume
0,2019-12-26,97700,97700,96900,97600,200,639027
1,2019-12-27,94200,94800,94000,94300,-3300,651026
2,2019-12-30,94300,94600,93700,93800,-500,339329
3,2020-01-02,93800,93900,92400,92500,-1300,448511
4,2020-01-03,92500,93200,92500,92500,0,336531
5,2020-01-06,92500,93100,92400,92700,200,264302
6,2020-01-07,92600,93300,92600,93000,300,242956
7,2020-01-08,92300,92500,91200,91800,-1200,442766
8,2020-01-09,91700,93200,91700,92700,900,554409
9,2020-01-10,92600,94800,92600,94700,2000,451873
10,2020-01-13,94200,94700,93800,94100,-600,321542
11,2020-01-14,94000,94300,93200,94100,0,349378
12,2020-01-15,93600,94300,93500,94100,0,231117
13,2020-01-16,93800,94300,93600,94300,200,326555
14,2020-01-17,93900,94700,93800,94000,-300,352455
15,2020-01-20,93600,94000,92900,93000,-1000,276530
16,2020-01-21,93200,94300,93000,93700,700,288371
17,2020-01-22,93900,94000,93300,93600,-100,402116
18,2020-01-23,93400,93600,92800,93500,-100,448081
19,2020-01-28,94000,94000,92700,93200,-300,621703
20,2020-01-29,93200,98100,93200,95100,1900,1675200
21,2020-01-30,95500,96100,93900,93900,-1200,591846
22,2020-01-31,94500,95600,93500,95100,1200,663957
23,2020-02-03,94800,94900,92900,93400,-1700,541366
24,2020-02-04,92900,93400,91000,91600,-1800,741095
25,2020-02-05,91900,93100,91400,92700,1100,477687
26,2020-02-06,93300,93500,92800,92900,200,388956
27,2020-02-07,92900,93700,92300,93700,800,371957
28,2020-02-10,92800,93000,92500,92700,-1000,228048
29,2020-02-11,92700,93400,92600,93000,300,261834
30,2020-02-12,93200,93500,92600,93100,100,260060
31,2020-02-13,92900,93100,92000,92200,-900,543872
32,2020-02-14,91600,92000,90300,90400,-1800,774541
33,2020-02-17,90800,91100,90300,90300,-100,259581
34,2020-02-18,90300,90300,88600,89300,-1000,503239
35,2020-02-19,89600,89600,87500,88000,-1300,447883
36,2020-02-20,88000,88400,86100,86300,-1700,495625
37,2020-02-21,85800,86200,85000,85500,-800,353874
38,2020-02-24,84000,85400,83500,83700,-1800,642941
39,2020-02-25,83700,84800,82700,83900,200,541303
40,2020-02-26,83000,83900,82700,83100,-800,492014
41,2020-02-27,82800,87800,82800,86200,3100,866272
42,2020-02-28,85600,86000,83900,84700,-1500,638713
43,2020-03-02,85300,86600,84000,85400,700,532351
44,2020-03-03,85400,86400,84800,84900,-500,434828
45,2020-03-04,80100,84000,79100,81500,-3400,2017991
46,2020-03-05,81800,82700,81400,82500,1000,1079846
47,2020-03-06,81900,83000,81300,82100,-400,624965
48,2020-03-09,81400,82900,81300,81700,-400,502685
49,2020-03-10,81800,82600,81500,82300,600,591797
50,2020-03-11,81600,82500,81500,82200,-100,512704
51,2020-03-12,81000,81700,78400,79500,-2700,1239210
52,2020-03-13,75000,81100,74000,79100,-400,1050183
53,2020-03-16,79500,80900,75600,79300,200,619412
54,2020-03-17,78500,79200,76500,77500,-1800,569943
55,2020-03-18,76600,77200,75100,75500,-2000,705583
56,2020-03-19,74500,75800,68600,69100,-6400,881642
57,2020-03-20,69800,71600,66400,67900,-1200,900538
58,2020-03-23,65200,65700,63000,63600,-4300,600618
59,2020-03-24,63600,67700,63400,67700,4100,705417
60,2020-03-25,69200,72100,68500,72100,4400,657557
61,2020-03-26,71000,75700,70500,72200,100,684372
62,2020-03-27,74300,75400,72600,74500,2300,633524
63,2020-03-30,73900,74500,71500,73400,-1100,432977
64,2020-03-31,73500,74700,73200,74700,1300,521451
65,2020-04-01,73500,74000,71000,71000,-3700,487326
66,2020-04-02,70700,72100,69100,71300,300,564737
67,2020-04-03,71200,75000,71200,74900,3600,606101
68,2020-04-06,74300,76400,74100,76200,1300,535187
69,2020-04-07,76500,78100,76200,77000,800,614357
70,2020-04-08,76700,78500,76000,76200,-800,558577
71,2020-04-09,76500,77100,75600,76500,300,643453
72,2020-04-10,76400,78600,75400,78200,1700,588689
73,2020-04-13,78600,79600,77400,77400,-800,428384
74,2020-04-14,77800,78400,77200,77800,400,423335
75,2020-04-16,76300,77500,75500,77200,-600,727390
76,2020-04-17,77200,78900,77200,78000,800,635465
77,2020-04-20,78100,78600,77600,77900,-100,526527
78,2020-04-21,77500,78100,76100,78000,100,630670
79,2020-04-22,77000,79000,76500,79000,1000,486792
80,2020-04-23,78600,80600,78200,80200,1200,586112
81,2020-04-24,80300,80400,78900,78900,-1300,428352
82,2020-04-27,78700,81000,78600,80400,1500,434581
83,2020-04-28,79900,80600,79200,80300,-100,499074
84,2020-04-29,80900,82000,80000,81100,800,485768
85,2020-05-04,80900,80900,78500,78500,-2600,622155
86,2020-05-06,78600,80000,78500,79000,500,415323
87,2020-05-07,78600,79300,78600,78600,-400,296951
88,2020-05-08,79400,79800,78700,78700,100,344788
89,2020-05-11,78700,79500,78400,78400,-300,313176
90,2020-05-12,78400,78700,77000,77200,-1200,449634
91,2020-05-13,76800,79700,76800,78700,1500,576005
92,2020-05-14,78600,78600,77000,77100,-1600,572819
93,2020-05-15,77400,77900,76400,77900,800,421056
94,2020-05-18,77900,78500,77400,77900,0,319382
95,2020-05-19,78900,79100,78500,78700,800,429097
96,2020-05-20,78800,79100,78100,78500,-200,322093
97,2020-05-21,78700,78900,78200,78600,100,374318
98,2020-05-22,79100,83400,78800,82200,3600,1531549
99,2020-05-25,83100,86200,82000,85900,3700,938074
100,2020-05-26,86100,87400,84700,85300,-600,558146
101,2020-05-27,84800,87300,84600,84900,-400,537749
102,2020-05-28,84600,85300,82400,82700,-2200,854208
103,2020-05-29,83500,85800,83000,83900,1200,981672
104,2020-06-01,83900,85200,83200,85000,1100,394762
105,2020-06-02,85000,88000,84900,87400,2400,680445
106,2020-06-03,87500,89500,87400,88000,600,712211
107,2020-06-04,88000,88600,87400,87400,-600,543804
108,2020-06-05,87600,88500,86900,88300,900,348995
109,2020-06-08,89100,89100,87800,88000,-300,400893
110,2020-06-09,87800,88400,86300,87100,-900,539206
111,2020-06-10,87900,87900,85600,85700,-1400,617418
112,2020-06-11,85000,86400,84100,84800,-900,598441
113,2020-06-12,82900,84300,82100,83200,-1600,484659
114,2020-06-15,82400,82600,79300,79300,-3900,542656
115,2020-06-16,80000,82800,80000,82600,3300,435544
116,2020-06-17,82400,82700,81300,82300,-300,414981
117,2020-06-18,82200,82300,81100,81700,-600,307118
118,2020-06-19,82000,82100,80200,80600,-1100,531345
119,2020-06-22,79800,80800,79500,79500,-1100,338303
120,2020-06-23,79700,80000,78100,78800,-700,576372
121,2020-06-24,78500,79600,78200,79500,700,394313
122,2020-06-25,78600,78900,78200,78200,-1300,335888
123,2020-06-26,78400,78600,78000,78100,-100,306191
124,2020-06-29,77000,78600,77000,77700,-400,376596
125,2020-06-30,78000,79500,77700,78200,500,420964
126,2020-07-01,79100,79200,78200,78500,300,239525
127,2020-07-02,78400,79700,78300,79300,800,266795
128,2020-07-03,79300,80900,79200,79800,500,279821
129,2020-07-06,80600,80600,79300,79900,100,239282
130,2020-07-07,79900,80500,78500,79200,-700,468900
131,2020-07-08,79700,79700,78700,79500,300,311324
132,2020-07-09,79500,79600,78600,78600,-900,389124
133,2020-07-10,78600,78600,77700,77800,-800,352754
134,2020-07-13,78400,79400,77800,79000,1200,300756
135,2020-07-14,78700,80500,78600,80500,1500,340521
136,2020-07-15,80800,81000,80200,80700,200,428085
137,2020-07-16,81400,84100,81100,83700,3000,671017
138,2020-07-17,83300,84000,82200,82400,-1300,275081
