,date,open,high,low,close,close_change,volume
0,2024-08-30,100000,104500,99400,99400,2100,1141903
1,2024-09-02,99900,102400,98200,101600,2200,511432
2,2024-09-03,102100,102900,101700,102000,400,381699
3,2024-09-04,99500,102600,99300,100700,-1300,729415
4,2024-09-05,102000,105500,101800,104100,3400,947316
5,2024-09-06,104400,104400,100800,100800,-3300,655369
6,2024-09-09,99800,103700,99700,103400,2600,508309
7,2024-09-10,104300,104800,102200,102200,-1200,487322
8,2024-09-11,103300,104500,101300,102100,-100,328650
9,2024-09-12,103100,103600,101100,102400,300,520943
