,date,open,high,low,close,close_change,volume
0,2019-12-20,227000,235000,227000,234500,7500,211564
1,2019-12-23,235500,237000,231500,233000,-1500,87888
2,2019-12-24,232000,235500,230000,232000,-1000,56481
3,2019-12-26,234000,234000,229500,230500,-1500,97614
4,2019-12-27,226500,229500,225000,228500,-2000,91022
5,2019-12-30,228500,229000,223000,224000,-4500,113754
6,2020-01-02,224000,224500,218500,218500,-5500,104804
7,2020-01-03,219000,221500,216000,216000,-2500,110576
8,2020-01-06,214000,214500,208500,209000,-7000,190442
9,2020-01-07,211000,212000,209000,210000,1000,136181
10,2020-01-08,207000,207500,200000,203000,-7000,232742
11,2020-01-09,207000,210000,203500,205500,2500,150918
12,2020-01-10,205500,206000,201000,204000,-1500,167110
13,2020-01-13,204500,209500,204500,209500,5500,153547
14,2020-01-14,209500,219500,209500,219000,9500,244681
15,2020-01-15,218500,220500,215500,218000,-1000,135060
16,2020-01-16,216500,218500,215000,218000,0,83419
17,2020-01-17,216500,218500,215500,217500,-500,83475
18,2020-01-20,216500,223500,216000,221500,4000,125504
19,2020-01-21,221500,221500,214000,214500,-7000,117738
20,2020-01-22,216000,216500,212000,216000,1500,78721
21,2020-01-23,213000,215000,208000,209000,-7000,137539
22,2020-01-28,203000,203500,195000,196000,-13000,306075
23,2020-01-29,198500,199500,196000,197000,1000,113049
24,2020-01-30,197500,201000,194000,195000,-2000,108078
25,2020-01-31,196000,197500,189500,189500,-5500,177298
26,2020-02-03,186000,190000,182000,187500,-2000,131060
27,2020-02-04,189000,196000,188500,191000,3500,167510
28,2020-02-05,194000,198500,194000,197500,6500,150657
29,2020-02-06,201500,214000,200500,213000,15500,339549
30,2020-02-07,211500,213500,206000,209000,-4000,175442
31,2020-02-10,210500,215500,207000,209500,500,201443
32,2020-02-11,210000,212500,208500,210000,500,99060
33,2020-02-12,209500,210500,207500,209500,-500,117644
34,2020-02-13,210500,211000,207000,208000,-1500,125649
35,2020-02-14,207000,208500,205500,207000,-1000,92441
36,2020-02-17,207000,210000,205500,208000,1000,77475
37,2020-02-18,207500,210000,205500,208000,0,90278
38,2020-02-19,210000,210000,206000,207000,-1000,154252
39,2020-02-20,207000,209500,204000,204000,-3000,146792
40,2020-02-21,202000,202500,197500,199000,-5000,159082
41,2020-02-24,195500,195500,191000,191000,-8000,123898
42,2020-02-25,191000,192000,188000,189000,-2000,115114
43,2020-02-26,188000,196500,184500,194000,5000,206042
44,2020-02-27,192500,194000,188500,191000,-3000,131147
45,2020-02-28,186000,190000,186000,187500,-3500,215601
46,2020-03-02,188000,189500,183000,184500,-3000,136468
47,2020-03-03,185500,193500,185500,188000,3500,150346
48,2020-03-04,182500,186500,181000,183500,-4500,314717
49,2020-03-05,184500,186000,181500,183500,0,159072
50,2020-03-06,182000,182000,174000,176000,-7500,241901
51,2020-03-09,178000,183000,171000,171500,-4500,324312
52,2020-03-10,171500,184000,171500,183000,11500,338908
53,2020-03-11,180000,191500,179500,185000,2000,246090
54,2020-03-12,185000,187000,170500,175000,-10000,285394
55,2020-03-13,161000,173500,153500,167500,-7500,342322
56,2020-03-16,168500,170000,156000,156000,-11500,204473
57,2020-03-17,142500,152500,142500,148500,-7500,253166
58,2020-03-18,149000,151500,138500,138500,-10000,167057
59,2020-03-19,141000,144500,114500,117000,-21500,313242
60,2020-03-20,121000,149000,119500,147500,30500,301848
61,2020-03-23,133000,143000,128500,137500,-10000,242745
62,2020-03-24,144000,149000,140500,149000,11500,234454
63,2020-03-25,158000,165500,156500,164000,15000,259386
64,2020-03-26,165000,177000,160500,166500,2500,282245
65,2020-03-27,178000,182000,165500,173500,7000,191362
66,2020-03-30,166500,183000,164500,181000,7500,214671
67,2020-03-31,183500,193000,183000,193000,12000,309889
68,2020-04-01,189000,195000,182000,183000,-10000,237629
69,2020-04-02,182500,187000,171500,180500,-2500,286203
70,2020-04-03,182500,184000,169000,170500,-10000,260421
71,2020-04-06,173000,174000,170500,174000,3500,148662
72,2020-04-07,177500,179500,171000,173500,-500,189981
73,2020-04-08,172000,176500,171000,172500,-1000,170883
74,2020-04-09,175500,176000,171000,175000,2500,238068
75,2020-04-10,174000,183500,172500,183500,8500,236744
76,2020-04-13,182000,187000,178500,180000,-3500,136311
77,2020-04-14,184000,196000,183000,192500,12500,379858
78,2020-04-16,189500,195500,186000,191500,-1000,171169
79,2020-04-17,194500,202500,193000,194000,2500,196941
80,2020-04-20,194000,205500,193500,200500,6500,244564
81,2020-04-21,207500,208000,194000,203500,3000,263619
82,2020-04-22,202000,207500,196500,202000,-1500,171751
83,2020-04-23,203000,216500,198500,215500,13500,333824
84,2020-04-24,213000,221000,208500,212500,-3000,245942
85,2020-04-27,216000,225500,214500,223500,11000,242427
86,2020-04-28,224500,226000,216500,222000,-1500,204510
87,2020-04-29,224000,229500,214000,215500,-6500,256073
88,2020-05-04,205000,208500,195500,196000,-19500,477632
89,2020-05-06,200000,200500,190500,195500,-500,262335
90,2020-05-07,193000,197000,192500,195500,0,154604
91,2020-05-08,194000,198000,193500,195500,0,162081
92,2020-05-11,195000,195000,186500,187000,-8500,317474
93,2020-05-12,188000,188500,180000,183000,-4000,230230
94,2020-05-13,180000,187500,179500,187500,4500,182658
95,2020-05-14,184500,187000,181500,185500,-2000,175362
96,2020-05-15,186500,190000,185000,185500,0,155691
97,2020-05-18,187000,188500,184000,187000,1500,118033
