,date,open,high,low,close,close_change,volume
0,2019-12-26,259500,261500,257000,261000,3500,126392
1,2019-12-27,258000,262000,255000,257500,-3500,106529
2,2019-12-30,260500,260500,256000,256000,-1500,106749
3,2020-01-02,254500,256000,247500,247500,-8500,214585
4,2020-01-03,249000,250500,244500,250000,2500,255475
5,2020-01-06,250000,252000,248000,249500,-500,130109
6,2020-01-07,252000,255000,249000,252500,3000,251361
7,2020-01-08,248000,256500,244000,245000,-7500,317886
8,2020-01-09,245000,248500,243000,245000,0,283999
9,2020-01-10,245500,247500,244000,244500,-500,208838
10,2020-01-13,243500,245500,241500,242000,-2500,199412
11,2020-01-14,243500,246000,242500,244000,2000,192654
12,2020-01-15,244000,245500,243000,245000,1000,176379
13,2020-01-16,246000,250000,243000,249500,4500,291549
14,2020-01-17,250500,251500,247000,248000,-1500,162761
15,2020-01-20,247500,249500,246000,246000,-2000,150631
16,2020-01-21,244500,244500,240000,241000,-5000,252264
17,2020-01-22,243000,246000,241000,245500,4500,283895
18,2020-01-23,248500,253000,246500,251500,6000,472880
19,2020-01-28,246500,248500,245000,245000,-6500,283811
20,2020-01-29,243000,244500,236000,239500,-5500,310470
21,2020-01-30,240000,240000,235000,237000,-2500,393045
22,2020-01-31,237000,239500,229500,229500,-7500,238669
23,2020-02-03,227500,228500,220000,228000,-1500,332333
24,2020-02-04,229000,231000,227500,229500,1500,376956
25,2020-02-05,229000,230500,226000,227000,-2500,255446
26,2020-02-06,229500,235000,227500,234000,7000,311850
27,2020-02-07,231000,231500,228000,231000,-3000,232094
28,2020-02-10,227500,230000,225000,228500,-2500,183144
29,2020-02-11,229000,240500,228500,237500,9000,302565
30,2020-02-12,238000,243500,237500,242500,5000,268281
31,2020-02-13,241000,242500,237500,239000,-3500,252113
32,2020-02-14,234500,240500,234000,237000,-2000,186275
33,2020-02-17,240000,240500,235500,239000,2000,119699
34,2020-02-18,237500,239000,235000,235500,-3500,126287
35,2020-02-19,239000,239500,234000,235500,0,158389
36,2020-02-20,235500,237000,230000,231000,-4500,183854
37,2020-02-21,228000,231000,227000,228500,-2500,143419
38,2020-02-24,224000,226000,219000,219000,-9500,247956
39,2020-02-25,216000,224000,216000,220000,1000,249318
40,2020-02-26,216500,222500,216000,220000,0,234909
41,2020-02-27,219000,222500,218500,219000,-1000,162109
42,2020-02-28,217000,218000,208500,210000,-9000,317745
43,2020-03-02,204500,210000,199500,207000,-3000,558902
44,2020-03-03,209000,211000,204000,204500,-2500,302640
45,2020-03-04,207000,210500,205500,209000,4500,249704
46,2020-03-05,210000,211500,208000,210500,1500,244377
47,2020-03-06,208000,210000,203000,203000,-7500,248997
48,2020-03-09,200000,200500,193500,194000,-9000,237798
49,2020-03-10,194500,197000,189000,189000,-5000,392442
50,2020-03-11,189500,192000,185000,187500,-1500,288950
51,2020-03-12,190000,191500,178500,180000,-7500,458209
52,2020-03-13,162000,174000,162000,171500,-8500,623997
53,2020-03-16,172500,176000,161500,161500,-10000,329732
54,2020-03-17,156500,159000,152000,152500,-9000,433323
55,2020-03-18,152500,154000,140500,141000,-11500,438595
56,2020-03-19,142000,145000,126000,129000,-12000,577742
57,2020-03-20,130000,142000,126500,140500,11500,567440
58,2020-03-23,128000,139000,127000,133500,-7000,522677
59,2020-03-24,140500,145500,137000,144500,11000,464543
60,2020-03-25,159500,173000,156000,169500,25000,810541
61,2020-03-26,167000,179500,164000,167000,-2500,658075
62,2020-03-27,179500,179500,165500,170000,3000,576106
63,2020-03-30,164000,168000,160500,164500,-5500,446277
64,2020-03-31,166500,171500,164500,169500,5000,409687
65,2020-04-01,166500,171000,165500,166500,-3000,362016
66,2020-04-02,168500,169000,162000,167000,500,396835
67,2020-04-03,164500,167000,163000,165000,-2000,307022
68,2020-04-06,165500,169500,164500,169500,4500,301214
69,2020-04-07,173000,174500,168000,172500,3000,600590
70,2020-04-08,170000,174500,169000,170000,-2500,444216
71,2020-04-09,173000,179500,171000,178000,8000,607783
72,2020-04-10,178500,184000,175500,181000,3000,368237
73,2020-04-13,178000,179000,174000,174000,-7000,243078
74,2020-04-14,175000,178000,173000,176500,2500,256468
75,2020-04-16,173000,177000,171000,174500,-2000,402536
76,2020-04-17,175500,181500,175500,179500,5000,315155
77,2020-04-20,179000,181000,178000,179500,0,402353
78,2020-04-21,178500,179000,173000,176500,-3000,387624
79,2020-04-22,171500,176500,169000,176500,0,425251
80,2020-04-23,175500,180000,175000,177000,500,278640
81,2020-04-24,175500,175500,167500,169000,-8000,440277
82,2020-04-27,168000,169500,167000,167500,-1500,401696
83,2020-04-28,167000,169500,166000,167500,0,351935
84,2020-04-29,168500,172000,167500,172000,4500,330932
85,2020-05-04,168500,172000,167000,169500,-2500,393505
86,2020-05-06,171000,173000,169500,173000,3500,284330
87,2020-05-07,170500,172000,169500,170000,-3000,260282
88,2020-05-08,171500,177500,171500,176000,6000,359076
89,2020-05-11,175000,178500,172000,172500,-3500,441460
90,2020-05-12,172000,172500,168500,170000,-2500,260081
91,2020-05-13,167000,170500,167000,170500,500,231167
92,2020-05-14,170000,170000,168000,169500,-1000,291779
93,2020-05-15,171000,172500,169000,172500,3000,211529
94,2020-05-18,174500,174500,170000,173000,500,224848
95,2020-05-19,179000,187000,178000,186500,13500,632454
96,2020-05-20,184000,187000,182000,185000,-1500,251354
97,2020-05-21,187500,189500,185000,187000,2000,288325
98,2020-05-22,188000,188500,182500,184000,-3000,255149
99,2020-05-25,187000,187000,181500,186500,2500,166801
100,2020-05-26,188500,196500,187500,195000,8500,353343
101,2020-05-27,193500,196000,192000,193000,-2000,285130
102,2020-05-28,193000,193500,190000,190500,-2500,287260
103,2020-05-29,190500,200500,188500,198000,7500,389868
104,2020-06-01,196000,206500,196000,206000,8000,260640
105,2020-06-02,203000,219000,202500,214000,8000,430198
106,2020-06-03,218500,230000,217000,224000,10000,515118
107,2020-06-04,225000,229500,217000,217500,-6500,408294
108,2020-06-05,215000,221000,213000,219000,1500,287283
109,2020-06-08,225000,225500,216500,217500,-1500,285589
110,2020-06-09,216500,221000,212500,214500,-3000,244881
111,2020-06-10,212000,213000,209000,211000,-3500,338548
112,2020-06-11,208500,211000,203500,206000,-5000,624141
113,2020-06-12,193500,206000,193000,206000,0,440380
114,2020-06-15,198500,199500,187000,187000,-19000,594810
115,2020-06-16,190000,196500,190000,195000,8000,322656
116,2020-06-17,193000,194000,188500,190000,-5000,316584
117,2020-06-18,187500,193000,185500,188000,-2000,282466
118,2020-06-19,190000,191500,185500,185500,-2500,319737
119,2020-06-22,185000,187000,183500,184000,-1500,204828
120,2020-06-23,187000,196000,186500,193000,9000,579311
121,2020-06-24,195500,212500,195500,205000,12000,734730
122,2020-06-25,200500,202500,194000,194000,-11000,392726
123,2020-06-26,197000,201000,196500,198500,4500,295836
124,2020-06-29,193000,195000,191500,192000,-6500,212889
125,2020-06-30,195000,197500,192000,192000,0,253317
126,2020-07-01,194500,198000,193000,194000,2000,173150
127,2020-07-02,192000,196000,192000,194500,500,253093
128,2020-07-03,196000,199500,194500,195500,1000,165056
129,2020-07-06,197000,206000,194500,204500,9000,336074
130,2020-07-07,205500,206000,199000,201000,-3500,352141
131,2020-07-08,200000,203500,199000,199000,-2000,271449
132,2020-07-09,201000,201000,197500,197500,-1500,299020
133,2020-07-10,195500,196500,191000,192500,-5000,280706
134,2020-07-13,194500,205500,193500,204500,12000,416475
135,2020-07-14,203500,211500,200000,210000,5500,549007
136,2020-07-15,213500,223000,213000,215500,5500,815163
137,2020-07-16,216500,220000,213000,213000,-2500,402205
138,2020-07-17,213000,221000,212500,220500,7500,436200
139,2020-07-20,222000,227500,219000,224000,3500,434885
140,2020-07-21,221500,224000,216000,217000,-7000,558469
141,2020-07-22,217000,219500,211000,211000,-6000,386754
142,2020-07-23,209500,214000,206500,211500,500,511415
143,2020-07-24,207000,214000,203500,203500,-8000,566590
144,2020-07-27,203500,210000,202000,203500,0,394211
145,2020-07-28,204500,206000,202500,204000,500,333839
146,2020-07-29,202000,212000,200500,212000,8000,557688
147,2020-07-30,212500,217500,212000,213000,1000,399720
148,2020-07-31,211500,213000,205000,205500,-7500,386250
149,2020-08-03,208000,208500,203000,206000,500,292704
150,2020-08-04,206500,212000,206500,208000,2000,371368
151,2020-08-05,207000,213000,206000,212500,4500,435388
152,2020-08-06,213000,223500,212500,222500,10000,831406
153,2020-08-07,222500,227500,216000,223500,1000,635205
154,2020-08-10,226500,245000,226000,238000,14500,1265411
155,2020-08-11,239000,241000,230000,239000,1000,626321
156,2020-08-12,232500,235500,227500,229500,-9500,604103
157,2020-08-13,231500,240000,225000,228000,-1500,983401
158,2020-08-14,228500,230000,218500,224000,-4000,462365
159,2020-08-18,220000,224500,213000,214500,-9500,535693
160,2020-08-19,214000,218000,213500,217000,2500,369044
161,2020-08-20,213000,215000,203500,204500,-12500,519337
162,2020-08-21,210000,214000,205000,211000,6500,392349
163,2020-08-24,212500,218000,208500,217000,6000,295989
164,2020-08-25,221000,226000,219000,219500,2500,377235
165,2020-08-26,220000,224000,216000,223500,4000,345505
166,2020-08-27,224500,225000,217000,217000,-6500,322599
167,2020-08-28,217500,230000,217500,226000,9000,778178
168,2020-08-31,232500,236000,224000,224000,-2000,805029
169,2020-09-01,225000,241000,225000,238500,14500,915042
170,2020-09-02,239000,240500,232500,235500,-3000,564954
171,2020-09-03,238000,238000,232000,233500,-2000,425972
172,2020-09-04,224000,231000,224000,230000,-3500,442319
173,2020-09-07,228000,228500,224500,225500,-4500,272841
174,2020-09-08,227500,231000,224000,225500,0,279719
175,2020-09-09,223000,227500,222000,223500,-2000,260718
176,2020-09-10,225500,226000,223500,224000,500,335130
177,2020-09-11,221500,226500,221000,226000,2000,236329
178,2020-09-14,227000,235000,227000,232500,6500,417530
179,2020-09-15,235000,235500,231500,234000,1500,306934
180,2020-09-16,233000,242500,231000,242500,8500,658710
181,2020-09-17,242500,247000,240500,242000,-500,592993
182,2020-09-18,241000,242000,235000,240000,-2000,465237
183,2020-09-21,241000,247500,239500,242500,2500,425049
184,2020-09-22,241500,242000,232500,234000,-8500,408883
