,date,open,high,low,close,close_change,volume
0,2024-08-30,217500,218000,213000,214500,-1500,253338
1,2024-09-02,217500,248000,217000,246500,32000,1392140
2,2024-09-03,250000,250500,238500,241000,-5500,596735
3,2024-09-04,232500,247500,231500,240500,-500,671018
4,2024-09-05,244500,245000,230500,234500,-6000,633589
5,2024-09-06,235500,239500,215000,216000,-18500,543988
6,2024-09-09,211500,217500,204500,206000,-10000,485770
7,2024-09-10,207500,211500,201000,201500,-4500,386550
8,2024-09-11,202500,220000,202000,219500,18000,658475
9,2024-09-12,229000,234000,223500,234000,14500,640103
