,date,open,high,low,close,close_change,volume
0,2019-12-26,242000,243500,240500,243000,3000,158756
1,2019-12-27,240000,240500,237500,238500,-4500,201365
2,2019-12-30,238500,239000,236500,236500,-2000,151194
3,2020-01-02,236000,240000,234500,236000,-500,213578
4,2020-01-03,237500,242000,236500,237000,1000,273831
5,2020-01-06,234000,234500,230000,231000,-6000,217886
6,2020-01-07,231500,234500,231000,232000,1000,138750
7,2020-01-08,229000,229500,226500,228000,-4000,340244
8,2020-01-09,232000,234000,231000,234000,6000,337466
9,2020-01-10,234500,238500,234500,237500,3500,248358
10,2020-01-13,236500,239000,234000,238500,1000,206237
11,2020-01-14,240000,242500,240000,242000,3500,253387
12,2020-01-15,242000,243500,238500,242000,0,205004
13,2020-01-16,241000,242000,237000,241500,-500,244731
14,2020-01-17,241000,242000,239000,241500,0,202782
15,2020-01-20,243000,249000,243000,247000,5500,371516
16,2020-01-21,247500,247500,243000,244000,-3000,188964
17,2020-01-22,243500,243500,240000,241500,-2500,204013
18,2020-01-23,240500,241500,238500,240500,-1000,249642
19,2020-01-28,232000,233000,223500,226000,-14500,583981
20,2020-01-29,228000,228500,225000,226500,500,203199
21,2020-01-30,226000,227000,223500,224500,-2000,253901
22,2020-01-31,224500,226000,220500,221000,-3500,359322
23,2020-02-03,216000,216500,211000,214500,-6500,427513
24,2020-02-04,214500,218500,213000,214000,-500,311725
25,2020-02-05,216000,217000,213500,214500,500,297540
26,2020-02-06,218000,225500,217500,224000,9500,363840
27,2020-02-07,222500,224000,220000,223000,-1000,285403
28,2020-02-10,219000,221000,216000,220500,-2500,289609
29,2020-02-11,219500,223000,218500,222000,1500,212646
30,2020-02-12,221500,223500,220000,222000,0,198757
31,2020-02-13,222500,225000,220500,221000,-1000,379379
32,2020-02-14,219000,220000,217500,219500,-1500,217419
33,2020-02-17,218500,220000,216500,218500,-1000,281494
34,2020-02-18,218500,219000,216500,217500,-1000,181856
35,2020-02-19,219000,220000,216000,216500,-1000,190216
36,2020-02-20,217000,218500,214000,215500,-1000,203605
37,2020-02-21,213500,214000,211000,211500,-4000,217235
38,2020-02-24,207000,208000,202000,203500,-8000,337423
39,2020-02-25,201000,203500,201000,202000,-1500,306873
40,2020-02-26,200000,201500,198500,200000,-2000,339857
41,2020-02-27,199000,202500,199000,199000,-1000,305381
42,2020-02-28,195000,197000,193000,195500,-3500,538272
43,2020-03-02,196500,197000,191000,191500,-4000,437217
44,2020-03-03,195000,196500,192000,192000,500,369345
45,2020-03-04,191000,197000,190500,194000,2000,363057
46,2020-03-05,196500,197500,194000,197000,3000,421898
