,date,open,high,low,close,close_change,volume
0,2024-08-30,60600,61000,60000,60000,-100,2813196
1,2024-09-02,60000,60100,59600,60000,0,1085368
2,2024-09-03,60000,60300,59000,59000,-1000,1745476
3,2024-09-04,56100,58200,56000,56700,-2300,2609046
4,2024-09-05,56700,57300,56000,56000,-700,2070528
5,2024-09-06,56000,56500,55300,56100,100,1261039
6,2024-09-09,55000,55400,54700,55400,-700,1424109
7,2024-09-10,55200,55500,54700,55000,-400,1416835
8,2024-09-11,54900,55100,53000,53000,-2000,2477721
9,2024-09-12,53300,53800,53200,53400,400,2454503
