,date,open,high,low,close,close_change,volume
0,2019-12-26,96700,96800,94800,95200,-2000,223577
1,2019-12-27,95000,96300,94100,96100,900,140689
2,2019-12-30,96300,96800,94400,95300,-800,184427
3,2020-01-02,95100,95200,91800,91900,-3400,250460
4,2020-01-03,92800,94300,92300,93500,1600,307012
5,2020-01-06,95000,97000,93200,93400,-100,385159
6,2020-01-07,93700,93700,91700,91900,-1500,262893
7,2020-01-08,91600,91700,88100,88100,-3800,444611
8,2020-01-09,89200,89700,86900,87400,-700,458659
9,2020-01-10,87100,87800,86100,87200,-200,317253
10,2020-01-13,87300,87300,84300,85700,-1500,526878
11,2020-01-14,85700,86000,85000,85300,-400,415078
12,2020-01-15,85100,85900,84500,85500,200,230389
13,2020-01-16,85500,85600,83300,83900,-1600,480607
14,2020-01-17,83800,84300,83300,84100,200,264270
15,2020-01-20,84300,84500,83600,83700,-400,244466
16,2020-01-21,83800,84100,83300,83300,-400,179551
17,2020-01-22,83300,83800,82800,82900,-400,214039
18,2020-01-23,82700,82900,80800,80900,-2000,409706
19,2020-01-28,78500,78700,76100,76400,-4500,622315
20,2020-01-29,77000,78000,76100,77200,800,347143
21,2020-01-30,77700,78200,75100,75800,-1400,376570
22,2020-01-31,75900,77700,74000,76200,400,560359
23,2020-02-03,75300,75600,72700,73500,-2700,523043
24,2020-02-04,73100,74500,73000,73400,-100,513361
25,2020-02-05,73800,75900,73400,75200,1800,575284
26,2020-02-06,77200,77900,75700,77800,2600,447875
27,2020-02-07,77300,77500,75500,76700,-1100,313320
28,2020-02-10,76100,77900,75600,77600,900,336966
29,2020-02-11,77800,79200,77600,79200,1600,336883
30,2020-02-12,78600,79000,77500,77600,-1600,346857
31,2020-02-13,78000,78900,77200,77600,0,363061
32,2020-02-14,77100,77300,76100,76200,-1400,304735
33,2020-02-17,76300,78100,75600,77800,1600,312738
34,2020-02-18,77900,79200,76800,77900,100,379052
35,2020-02-19,78900,78900,76500,76800,-1100,227356
36,2020-02-20,77000,78200,76000,76100,-700,252950
37,2020-02-21,75100,75400,74200,74200,-1900,234110
38,2020-02-24,72000,74200,71600,71600,-2600,323598
39,2020-02-25,70300,72100,69800,71200,-400,420904
40,2020-02-26,69500,71000,69500,70500,-700,302406
41,2020-02-27,70200,70300,68600,68800,-1700,419224
42,2020-02-28,67000,67400,66400,66600,-2200,499606
43,2020-03-02,66200,69000,65600,66700,100,476684
44,2020-03-03,68000,68800,67400,68100,1400,342713
45,2020-03-04,67300,68900,67000,67500,-600,326733
46,2020-03-05,68100,68200,67300,67800,300,298011
47,2020-03-06,67300,67300,63700,64300,-3500,653980
48,2020-03-09,60400,60600,57900,58000,-6300,1265350
49,2020-03-10,56900,63000,56100,61300,3300,1214591
50,2020-03-11,64400,65000,61700,62500,1200,677412
51,2020-03-12,62400,62400,58000,59000,-3500,784837
52,2020-03-13,55000,57800,53400,56900,-2100,905189
53,2020-03-16,56900,59100,56000,56000,-900,490831
54,2020-03-17,54000,58400,53500,57800,1800,577464
55,2020-03-18,57400,58500,56400,57700,-100,419151
56,2020-03-19,57700,58400,49600,49900,-7800,843521
57,2020-03-20,51000,53200,49600,52700,2800,840312
58,2020-03-23,49400,50400,48450,48500,-4200,610326
59,2020-03-24,49300,52400,49100,51400,2900,818508
60,2020-03-25,53500,59400,53000,58200,6800,1184123
61,2020-03-26,58900,63000,55700,55900,-2300,1200983
62,2020-03-27,58100,58700,55000,56500,600,732458
63,2020-03-30,54200,55900,53800,55600,-900,445528
64,2020-03-31,56000,58800,55300,57100,1500,871656
65,2020-04-01,56200,57800,55000,55000,-2100,577831
66,2020-04-02,56600,69300,54800,66000,11000,2752887
67,2020-04-03,70000,74900,61700,62800,-3200,3054664
68,2020-04-06,64300,69400,62900,67900,5100,1931543
69,2020-04-07,67900,68900,65100,68400,500,1328678
70,2020-04-08,66800,69100,66600,67700,-700,810059
71,2020-04-09,70200,71000,68000,69900,2200,1242109
