,date,open,high,low,close,close_change,volume
0,2019-12-26,420000,420000,413000,413500,-3500,139723
1,2019-12-27,419000,438000,415000,429500,16000,222613
2,2019-12-30,430000,442000,428500,433000,3500,136848
3,2020-01-02,433000,439500,425500,428500,-4500,108281
4,2020-01-03,431500,436500,418500,422000,-6500,123810
5,2020-01-06,414500,416500,411000,412000,-10000,99978
6,2020-01-07,415500,419500,411000,419000,7000,85655
7,2020-01-08,412500,415000,401000,408500,-10500,151966
8,2020-01-09,417000,421500,416000,420000,11500,86176
9,2020-01-10,422000,439000,418000,436500,16500,184177
10,2020-01-13,439000,443500,435000,440500,4000,124102
11,2020-01-14,440500,442000,433000,435000,-5500,105457
12,2020-01-15,433500,436500,430000,434500,-500,61351
13,2020-01-16,435000,439000,430500,436500,2000,69427
14,2020-01-17,436500,439000,432000,437000,500,67353
15,2020-01-20,439000,442500,437500,438000,1000,66165
16,2020-01-21,439500,444500,437000,438000,0,70311
17,2020-01-22,437000,454000,436500,452000,14000,179649
18,2020-01-23,469500,493000,458500,483000,31000,438529
19,2020-01-28,477000,499000,476000,494000,11000,320066
20,2020-01-29,495500,495500,485000,491000,-3000,161493
21,2020-01-30,490500,500000,485000,495000,4000,161574
22,2020-01-31,495000,499500,484500,484500,-10500,132195
23,2020-02-03,477000,484000,465000,479500,-5000,193254
24,2020-02-04,483000,493000,482500,492500,13000,113472
25,2020-02-05,495500,499500,489000,490000,-2500,95141
26,2020-02-06,497500,523000,494000,519000,29000,298254
27,2020-02-07,521000,524000,510000,519000,0,125762
28,2020-02-10,519000,534000,511000,530000,11000,153016
29,2020-02-11,536000,542000,524000,528000,-2000,170868
30,2020-02-12,528000,538000,525000,530000,2000,131478
31,2020-02-13,537000,537000,527000,530000,0,111860
32,2020-02-14,530000,533000,528000,529000,-1000,77388
33,2020-02-17,529000,529000,517000,519000,-10000,145950
34,2020-02-18,514000,518000,510000,513000,-6000,121475
35,2020-02-19,513000,517000,500000,505000,-8000,175595
36,2020-02-20,507000,514000,495000,498500,-6500,261309
37,2020-02-21,493000,494000,483000,486500,-12000,214090
38,2020-02-24,470000,477500,461000,461000,-25500,278895
39,2020-02-25,459000,479500,458000,479000,18000,246549
40,2020-02-26,468000,484500,467000,480000,1000,156734
41,2020-02-27,479000,484000,471000,480000,0,166026
42,2020-02-28,473000,475000,455500,463500,-16500,231859
43,2020-03-02,463000,472500,457500,467000,3500,149246
44,2020-03-03,479500,502000,476500,479500,12500,233926
45,2020-03-04,479500,491000,479000,489000,9500,140079
46,2020-03-05,498500,499000,490000,496500,7500,130398
47,2020-03-06,491000,494000,487500,491000,-5500,93421
48,2020-03-09,484000,500000,483000,494000,3000,202109
49,2020-03-10,489000,497000,486000,496000,2000,156243
50,2020-03-11,507000,514000,476500,484000,-12000,201904
51,2020-03-12,480000,489000,467000,483000,-1000,244877
52,2020-03-13,465000,478000,420000,456500,-26500,477093
53,2020-03-16,463000,474500,429500,430000,-26500,218369
54,2020-03-17,410000,433000,409500,417500,-12500,423614
55,2020-03-18,425500,427500,400500,400500,-17000,276886
56,2020-03-19,410000,416000,352000,366000,-34500,470624
57,2020-03-20,383500,451000,371500,430000,64000,586738
58,2020-03-23,406000,454500,405500,436000,6000,589740
59,2020-03-24,452500,492000,448000,476000,40000,509039
60,2020-03-25,492500,494000,462000,475000,-1000,431318
61,2020-03-26,469500,475000,456000,456500,-18500,324101
62,2020-03-27,467000,469000,436000,443000,-13500,399994
63,2020-03-30,437000,452000,433500,450000,7000,216938
64,2020-03-31,455000,493000,448000,482000,32000,665621
65,2020-04-01,481000,486000,450500,452500,-29500,313016
66,2020-04-02,451000,468000,449000,464500,12000,187474
67,2020-04-03,463500,478000,461000,467500,3000,220451
68,2020-04-06,474500,488000,473000,477000,9500,219399
69,2020-04-07,486000,486000,474000,482500,5500,177208
70,2020-04-08,482500,484500,477500,477500,-5000,124190
71,2020-04-09,481500,483000,474000,478500,1000,125253
72,2020-04-10,500000,603000,494500,559000,80500,3037570
73,2020-04-13,570000,589000,539000,539000,-20000,1184911
74,2020-04-14,542000,560000,529000,542000,3000,539127
75,2020-04-16,536000,553000,535000,540000,-2000,297720
76,2020-04-17,553000,568000,531000,566000,26000,776987
77,2020-04-20,560000,576000,555000,566000,0,472857
78,2020-04-21,568000,583000,557000,579000,13000,997287
79,2020-04-22,573000,594000,572000,580000,1000,625247
80,2020-04-23,581000,608000,576000,601000,21000,1028524
81,2020-04-24,598000,603000,588000,591000,-10000,400836
82,2020-04-27,593000,596000,582000,588000,-3000,176447
83,2020-04-28,589000,598000,583000,588000,0,189318
84,2020-04-29,587000,589000,581000,581000,-7000,157790
85,2020-05-04,566000,572000,555000,556000,-25000,302753
86,2020-05-06,561000,578000,559000,575000,19000,204420
87,2020-05-07,571000,578000,566000,567000,-8000,138941
88,2020-05-08,571000,599000,570000,588000,21000,438329
89,2020-05-11,592000,596000,581000,586000,-2000,164802
90,2020-05-12,586000,593000,583000,592000,6000,188243
91,2020-05-13,589000,619000,588000,616000,24000,510468
92,2020-05-14,613000,614000,600000,612000,-4000,190133
93,2020-05-15,616000,617000,601000,605000,-7000,147881
94,2020-05-18,614000,626000,590000,597000,-8000,218856
95,2020-05-19,608000,609000,592000,600000,3000,186947
96,2020-05-20,599000,603000,595000,600000,0,101649
97,2020-05-21,601000,610000,594000,609000,9000,164932
98,2020-05-22,630000,640000,611000,618000,9000,397591
99,2020-05-25,619000,634000,616000,632000,14000,226644
100,2020-05-26,635000,645000,627000,645000,13000,233836
101,2020-05-27,645000,645000,623000,624000,-21000,207579
102,2020-05-28,619000,627000,603000,611000,-13000,223388
103,2020-05-29,616000,628000,613000,622000,11000,149536
104,2020-06-01,629000,632000,620000,629000,7000,118807
105,2020-06-02,626000,631000,621000,629000,0,83476
106,2020-06-03,635000,638000,617000,626000,-3000,185023
107,2020-06-04,626000,660000,617000,650000,24000,578811
108,2020-06-05,645000,678000,640000,665000,15000,326076
109,2020-06-08,667000,671000,646000,664000,-1000,298766
110,2020-06-09,679000,690000,667000,676000,12000,296132
111,2020-06-10,679000,705000,676000,704000,28000,282781
112,2020-06-11,716000,770000,711000,747000,43000,593199
113,2020-06-12,719000,817000,718000,805000,58000,789465
114,2020-06-15,827000,863000,770000,808000,3000,846654
115,2020-06-16,846000,847000,808000,826000,18000,404083
116,2020-06-17,823000,834000,807000,824000,-2000,278676
117,2020-06-18,824000,831000,807000,810000,-14000,189462
118,2020-06-19,816000,816000,778000,801000,-9000,349718
119,2020-06-22,795000,808000,785000,793000,-8000,175790
120,2020-06-23,800000,816000,787000,802000,9000,292065
121,2020-06-24,834000,835000,813000,819000,17000,284743
122,2020-06-25,811000,833000,811000,815000,-4000,163339
123,2020-06-26,821000,823000,793000,810000,-5000,175138
