,date,open,high,low,close,close_change,volume
0,2024-08-30,150400,151000,147700,147700,-1600,526482
1,2024-09-02,148100,150000,145200,146000,-1700,189640
2,2024-09-03,146900,155400,146800,154800,8800,614369
3,2024-09-04,152000,153000,146500,150800,-4000,442523
4,2024-09-05,150400,151000,148900,149900,-900,224534
5,2024-09-06,151000,151000,144000,146700,-3200,204080
6,2024-09-09,143200,146000,143000,145300,-1400,125181
7,2024-09-10,144600,150000,144600,148500,3200,222965
8,2024-09-11,148500,149700,145400,147400,-1100,324595
9,2024-09-12,147300,149100,146300,149100,1700,242932
