,date,open,high,low,close,close_change,volume
0,2024-08-30,25750,25750,25300,25350,-200,542014
1,2024-09-02,25300,25500,24900,25000,-350,444857
2,2024-09-03,25050,26100,25000,25850,850,516274
3,2024-09-04,25200,25600,24750,24900,-950,618934
4,2024-09-05,25000,25100,23800,24000,-900,830806
5,2024-09-06,24000,24200,23750,23900,-100,407996
6,2024-09-09,23350,23600,23200,23500,-400,457890
7,2024-09-10,23650,24350,23600,24050,550,455022
8,2024-09-11,23900,24050,23100,23500,-550,455654
9,2024-09-12,23600,23900,23350,23900,400,554642
