,date,time,price,change,volume
0,2025-12-18,09:00:00,121100,-700,1601
1,2025-12-18,09:01:00,120500,-1300,3469
2,2025-12-18,09:02:00,120200,-1600,8139
3,2025-12-18,09:03:00,120400,-1400,8555
4,2025-12-18,09:04:00,120600,-1200,8935
5,2025-12-18,09:05:00,120300,-1500,9298
6,2025-12-18,09:06:00,120200,-1600,10610
7,2025-12-18,09:07:00,120200,-1600,10753
8,2025-12-18,09:08:00,120300,-1500,10872
9,2025-12-18,09:09:00,120400,-1400,11333
10,2025-12-18,09:10:00,120100,-1700,12846
11,2025-12-18,09:11:00,120100,-1700,12996
12,2025-12-18,09:12:00,119900,-1900,15833
13,2025-12-18,09:13:00,119800,-2000,17991
14,2025-12-18,09:14:00,119700,-2100,19031
15,2025-12-18,09:15:00,119700,-2100,23103
16,2025-12-18,09:16:00,119700,-2100,24613
17,2025-12-18,09:17:00,119700,-2100,25125
18,2025-12-18,09:18:00,119600,-2200,26909
19,2025-12-18,09:19:00,119700,-2100,27655
20,2025-12-18,09:20:00,119800,-2000,28003
21,2025-12-18,09:21:00,119900,-1900,28426
22,2025-12-18,09:22:00,119900,-1900,28607
23,2025-12-18,09:23:00,120000,-1800,28871
24,2025-12-18,09:24:00,120000,-1800,29137
25,2025-12-18,09:25:00,119800,-2000,29798
26,2025-12-18,09:26:00,119900,-1900,30371
27,2025-12-18,09:27:00,119800,-2000,32000
28,2025-12-18,09:28:00,119800,-2000,32233
29,2025-12-18,09:29:00,119800,-2000,32672
30,2025-12-18,09:30:00,119800,-2000,32874
31,2025-12-18,09:31:00,119900,-1900,33080
32,2025-12-18,09:32:00,119900,-1900,33471
33,2025-12-18,09:33:00,119950,-1850,33541
34,2025-12-18,09:34:00,120000,-1800,36117
35,2025-12-18,09:35:00,120000,-1800,36290
36,2025-12-18,09:36:00,119900,-1900,36363
37,2025-12-18,09:37:00,120400,-1400,37823
38,2025-12-18,09:38:00,120100,-1700,37868
39,2025-12-18,09:39:00,120200,-1600,38161
40,2025-12-18,09:40:00,120200,-1600,38251
41,2025-12-18,09:41:00,120000,-1800,38738
42,2025-12-18,09:42:00,120100,-1700,38763
43,2025-12-18,09:43:00,120000,-1800,39009
44,2025-12-18,09:44:00,120000,-1800,39086
45,2025-12-18,09:45:00,120100,-1700,39459
46,2025-12-18,09:46:00,120100,-1700,39632
47,2025-12-18,09:47:00,120000,-1800,39844
48,2025-12-18,09:48:00,120100,-1700,40478
49,2025-12-18,09:49:00,120300,-1500,41177
50,2025-12-18,09:50:00,120500,-1300,41342
51,2025-12-18,09:51:00,120600,-1200,41597
52,2025-12-18,09:52:00,120600,-1200,41827
53,2025-12-18,09:53:00,120600,-1200,41924
54,2025-12-18,09:54:00,120500,-1300,42219
55,2025-12-18,09:55:00,120500,-1300,42410
56,2025-12-18,09:56:00,120500,-1300,42562
57,2025-12-18,09:57:00,120500,-1300,42856
58,2025-12-18,09:58:00,120400,-1400,43045
59,2025-12-18,09:59:00,120300,-1500,43240
60,2025-12-18,10:00:00,120300,-1500,43504
61,2025-12-18,10:01:00,120300,-1500,43558
62,2025-12-18,10:02:00,120300,-1500,43665
63,2025-12-18,10:03:00,120300,-1500,44123
64,2025-12-18,10:04:00,120300,-1500,44725
65,2025-12-18,10:05:00,120300,-1500,45026
66,2025-12-18,10:06:00,120300,-1500,45165
67,2025-12-18,10:07:00,120200,-1600,45431
68,2025-12-18,10:08:00,120200,-1600,45530
69,2025-12-18,10:09:00,120200,-1600,45634
70,2025-12-18,10:10:00,120300,-1500,45737
71,2025-12-18,10:11:00,120200,-1600,45836
72,2025-12-18,10:12:00,120100,-1700,48150
73,2025-12-18,10:13:00,120100,-1700,48376
74,2025-12-18,10:14:00,120000,-1800,48706
75,2025-12-18,10:15:00,119900,-1900,49711
76,2025-12-18,10:16:00,119900,-1900,50378
77,2025-12-18,10:17:00,119900,-1900,50616
78,2025-12-18,10:18:00,119800,-2000,51214
79,2025-12-18,10:19:00,119900,-1900,51538
80,2025-12-18,10:20:00,119800,-2000,52262
81,2025-12-18,10:21:00,119900,-1900,52387
82,2025-12-18,10:22:00,119800,-2000,52486
83,2025-12-18,10:23:00,119800,-2000,52521
84,2025-12-18,10:24:00,119900,-1900,53222
85,2025-12-18,10:25:00,119800,-2000,53287
86,2025-12-18,10:26:00,119900,-1900,53679
87,2025-12-18,10:27:00,119800,-2000,53847
88,2025-12-18,10:28:00,119800,-2000,53895
89,2025-12-18,10:29:00,119900,-1900,54364
90,2025-12-18,10:30:00,119800,-2000,54593
91,2025-12-18,10:31:00,119900,-1900,54918
92,2025-12-18,10:32:00,119900,-1900,54962
93,2025-12-18,10:33:00,119900,-1900,55054
94,2025-12-18,10:34:00,119900,-1900,55481
