,date,time,price,change,volume
0,2025-06-18,09:00:00,160900,-900,8286
1,2025-06-18,09:01:00,161300,-500,9578
2,2025-06-18,09:02:00,160800,-1000,10558
3,2025-06-18,09:03:00,160700,-1100,12996
4,2025-06-18,09:04:00,160800,-1000,13713
5,2025-06-18,09:05:00,160700,-1100,15671
6,2025-06-18,09:06:00,160700,-1100,16401
7,2025-06-18,09:07:00,160700,-1100,16734
8,2025-06-18,09:08:00,160700,-1100,17195
9,2025-06-18,09:09:00,160700,-1100,18233
10,2025-06-18,09:10:00,161000,-800,19279
11,2025-06-18,09:11:00,160900,-900,19437
12,2025-06-18,09:12:00,160700,-1100,21716
13,2025-06-18,09:13:00,160800,-1000,23593
14,2025-06-18,09:14:00,160700,-1100,24518
15,2025-06-18,09:15:00,160700,-1100,25089
16,2025-06-18,09:16:00,161000,-800,26645
17,2025-06-18,09:17:00,160800,-1000,26915
18,2025-06-18,09:18:00,160900,-900,27541
19,2025-06-18,09:19:00,161200,-600,28974
20,2025-06-18,09:20:00,161400,-400,30421
21,2025-06-18,09:21:00,161000,-800,30536
22,2025-06-18,09:22:00,161100,-700,30631
23,2025-06-18,09:23:00,161100,-700,30767
24,2025-06-18,09:24:00,161100,-700,32739
25,2025-06-18,09:25:00,161200,-600,33497
26,2025-06-18,09:26:00,161100,-700,33878
27,2025-06-18,09:27:00,161300,-500,34545
28,2025-06-18,09:28:00,161100,-700,35345
29,2025-06-18,09:29:00,160900,-900,36136
30,2025-06-18,09:30:00,161000,-800,36849
31,2025-06-18,09:31:00,161000,-800,37911
32,2025-06-18,09:32:00,160900,-900,38219
33,2025-06-18,09:33:00,161000,-800,38398
34,2025-06-18,09:34:00,161000,-800,38956
35,2025-06-18,09:35:00,161100,-700,39409
36,2025-06-18,09:36:00,161000,-800,39665
37,2025-06-18,09:37:00,161100,-700,40230
38,2025-06-18,09:38:00,161100,-700,40829
39,2025-06-18,09:39:00,160900,-900,41321
40,2025-06-18,09:40:00,160900,-900,41733
41,2025-06-18,09:41:00,160900,-900,42518
42,2025-06-18,09:42:00,161000,-800,44027
43,2025-06-18,09:43:00,160900,-900,44671
44,2025-06-18,09:44:00,161100,-700,45142
45,2025-06-18,09:45:00,160900,-900,45752
46,2025-06-18,09:46:00,160800,-1000,46598
47,2025-06-18,09:47:00,160500,-1300,50257
48,2025-06-18,09:48:00,160600,-1200,50429
49,2025-06-18,09:49:00,160800,-1000,51189
50,2025-06-18,09:50:00,160800,-1000,51348
51,2025-06-18,09:51:00,160700,-1100,52376
52,2025-06-18,09:52:00,160700,-1100,52528
53,2025-06-18,09:53:00,160600,-1200,54460
54,2025-06-18,09:54:00,160600,-1200,57206
55,2025-06-18,09:55:00,160800,-1000,58213
56,2025-06-18,09:56:00,160800,-1000,58614
57,2025-06-18,09:57:00,160700,-1100,63021
58,2025-06-18,09:58:00,161000,-800,63493
59,2025-06-18,09:59:00,161000,-800,63920
60,2025-06-18,10:00:00,161000,-800,64251
61,2025-06-18,10:01:00,160900,-900,64739
62,2025-06-18,10:02:00,160900,-900,64985
63,2025-06-18,10:03:00,161100,-700,65958
64,2025-06-18,10:04:00,161100,-700,66245
65,2025-06-18,10:05:00,161200,-600,66909
66,2025-06-18,10:06:00,161200,-600,67511
67,2025-06-18,10:07:00,161000,-800,67797
68,2025-06-18,10:08:00,161100,-700,68029
69,2025-06-18,10:09:00,161000,-800,68352
