,date,time,price,change,volume
0,2025-02-12,09:00:00,350000,-25000,48939
1,2025-02-12,09:01:00,347000,-28000,62295
2,2025-02-12,09:02:00,343500,-31500,77741
3,2025-02-12,09:03:00,342500,-32500,87437
4,2025-02-12,09:04:00,343500,-31500,106476
5,2025-02-12,09:05:00,344000,-31000,112091
6,2025-02-12,09:06:00,346500,-28500,119782
7,2025-02-12,09:07:00,346000,-29000,124059
8,2025-02-12,09:08:00,346000,-29000,128828
9,2025-02-12,09:09:00,346000,-29000,132536
10,2025-02-12,09:10:00,347500,-27500,135200
11,2025-02-12,09:11:00,347000,-28000,138428
12,2025-02-12,09:12:00,345500,-29500,144665
13,2025-02-12,09:13:00,343000,-32000,153004
14,2025-02-12,09:14:00,343500,-31500,156565
15,2025-02-12,09:15:00,341500,-33500,161819
16,2025-02-12,09:16:00,341500,-33500,164890
17,2025-02-12,09:17:00,341500,-33500,170499
18,2025-02-12,09:18:00,342000,-33000,172884
19,2025-02-12,09:19:00,342500,-32500,174009
20,2025-02-12,09:20:00,343000,-32000,175669
21,2025-02-12,09:21:00,342500,-32500,177842
22,2025-02-12,09:22:00,342000,-33000,180936
23,2025-02-12,09:23:00,342000,-33000,184123
24,2025-02-12,09:24:00,342000,-33000,185658
25,2025-02-12,09:25:00,341000,-34000,187556
26,2025-02-12,09:26:00,341000,-34000,190622
27,2025-02-12,09:27:00,340500,-34500,195656
28,2025-02-12,09:28:00,340500,-34500,198041
29,2025-02-12,09:29:00,341000,-34000,199134
30,2025-02-12,09:30:00,340000,-35000,203303
31,2025-02-12,09:31:00,339500,-35500,207224
32,2025-02-12,09:32:00,339500,-35500,210534
33,2025-02-12,09:33:00,339000,-36000,212383
34,2025-02-12,09:34:00,338500,-36500,220346
35,2025-02-12,09:35:00,339000,-36000,222675
36,2025-02-12,09:36:00,339500,-35500,224450
37,2025-02-12,09:37:00,338500,-36500,228708
38,2025-02-12,09:38:00,338500,-36500,231701
39,2025-02-12,09:39:00,336500,-38500,242155
40,2025-02-12,09:40:00,336500,-38500,248541
41,2025-02-12,09:41:00,337000,-38000,250548
42,2025-02-12,09:42:00,336500,-38500,254219
43,2025-02-12,09:43:00,337000,-38000,256435
44,2025-02-12,09:44:00,336000,-39000,259932
45,2025-02-12,09:45:00,335500,-39500,264681
46,2025-02-12,09:46:00,335000,-40000,271764
47,2025-02-12,09:47:00,335000,-40000,273123
48,2025-02-12,09:48:00,335500,-39500,275003
49,2025-02-12,09:49:00,336000,-39000,276818
50,2025-02-12,09:50:00,335500,-39500,279665
51,2025-02-12,09:51:00,336000,-39000,280997
52,2025-02-12,09:52:00,334500,-40500,286271
53,2025-02-12,09:53:00,334500,-40500,289035
54,2025-02-12,09:54:00,333500,-41500,292530
55,2025-02-12,09:55:00,333000,-42000,295813
56,2025-02-12,09:56:00,332500,-42500,299638
57,2025-02-12,09:57:00,333000,-42000,302308
58,2025-02-12,09:58:00,333500,-41500,304321
59,2025-02-12,09:59:00,334000,-41000,305765
60,2025-02-12,10:00:00,333500,-41500,308873
61,2025-02-12,10:01:00,333500,-41500,310052
62,2025-02-12,10:02:00,333000,-42000,312094
63,2025-02-12,10:03:00,332000,-43000,316249
64,2025-02-12,10:04:00,332000,-43000,318814
65,2025-02-12,10:05:00,331500,-43500,323922
66,2025-02-12,10:06:00,331000,-44000,325545
67,2025-02-12,10:07:00,330500,-44500,330681
68,2025-02-12,10:08:00,331500,-43500,333675
69,2025-02-12,10:09:00,331500,-43500,335224
70,2025-02-12,10:10:00,332000,-43000,336588
71,2025-02-12,10:11:00,332000,-43000,338063
72,2025-02-12,10:12:00,332000,-43000,339116
73,2025-02-12,10:13:00,332500,-42500,341074
74,2025-02-12,10:14:00,332500,-42500,342430
75,2025-02-12,10:15:00,332000,-43000,345465
76,2025-02-12,10:16:00,332000,-43000,347239
77,2025-02-12,10:17:00,331000,-44000,348827
78,2025-02-12,10:18:00,330500,-44500,351251
79,2025-02-12,10:19:00,330500,-44500,352906
80,2025-02-12,10:20:00,330000,-45000,356329
81,2025-02-12,10:21:00,329000,-46000,365302
82,2025-02-12,10:22:00,329000,-46000,368933
83,2025-02-12,10:23:00,328000,-47000,373184
84,2025-02-12,10:24:00,328000,-47000,378868
85,2025-02-12,10:25:00,328000,-47000,380370
86,2025-02-12,10:26:00,328500,-46500,382770
87,2025-02-12,10:27:00,328500,-46500,383788
88,2025-02-12,10:28:00,328000,-47000,386584
89,2025-02-12,10:29:00,329000,-46000,388334
90,2025-02-12,10:30:00,328000,-47000,391732
91,2025-02-12,10:31:00,327500,-47500,394176
92,2025-02-12,10:32:00,328500,-46500,396383
93,2025-02-12,10:33:00,327000,-48000,401614
94,2025-02-12,10:34:00,326500,-48500,404366
95,2025-02-12,10:35:00,327000,-48000,406084
96,2025-02-12,10:36:00,327000,-48000,408175
97,2025-02-12,10:37:00,327000,-48000,409530
98,2025-02-12,10:38:00,329000,-46000,411910
