,date,time,price,change,volume
0,2024-08-02,09:00:00,18280,-430,139266
1,2024-08-02,09:01:00,18240,-470,202663
2,2024-08-02,09:02:00,18210,-500,284115
3,2024-08-02,09:03:00,18220,-490,319962
4,2024-08-02,09:04:00,18240,-470,368166
5,2024-08-02,09:05:00,18210,-500,403852
6,2024-08-02,09:06:00,18240,-470,446766
7,2024-08-02,09:07:00,18250,-460,472437
8,2024-08-02,09:08:00,18270,-440,487911
9,2024-08-02,09:09:00,18260,-450,509650
10,2024-08-02,09:10:00,18220,-490,575704
11,2024-08-02,09:11:00,18210,-500,608596
12,2024-08-02,09:12:00,18200,-510,651914
13,2024-08-02,09:13:00,18180,-530,701889
14,2024-08-02,09:14:00,18130,-580,795188
15,2024-08-02,09:15:00,18090,-620,872577
16,2024-08-02,09:16:00,18090,-620,934805
17,2024-08-02,09:17:00,18090,-620,974648
18,2024-08-02,09:18:00,18100,-610,1002998
19,2024-08-02,09:19:00,18100,-610,1024936
20,2024-08-02,09:20:00,18110,-600,1063489
21,2024-08-02,09:21:00,18110,-600,1077309
22,2024-08-02,09:22:00,18100,-610,1103566
23,2024-08-02,09:23:00,18070,-640,1173434
24,2024-08-02,09:24:00,18040,-670,1241017
25,2024-08-02,09:25:00,18020,-690,1293944
26,2024-08-02,09:26:00,18020,-690,1342115
27,2024-08-02,09:27:00,18000,-710,1414409
28,2024-08-02,09:28:00,18000,-710,1478273
29,2024-08-02,09:29:00,18020,-690,1518023
30,2024-08-02,09:30:00,18020,-690,1537340
31,2024-08-02,09:31:00,18020,-690,1551116
32,2024-08-02,09:32:00,18060,-650,1560251
33,2024-08-02,09:33:00,18060,-650,1570973
34,2024-08-02,09:34:00,18040,-670,1583809
35,2024-08-02,09:35:00,18030,-680,1600638
36,2024-08-02,09:36:00,18040,-670,1613024
37,2024-08-02,09:37:00,18080,-630,1623778
38,2024-08-02,09:38:00,18130,-580,1640629
39,2024-08-02,09:39:00,18090,-620,1662086
40,2024-08-02,09:40:00,18090,-620,1670192
41,2024-08-02,09:41:00,18110,-600,1677775
42,2024-08-02,09:42:00,18090,-620,1698832
43,2024-08-02,09:43:00,18110,-600,1703940
44,2024-08-02,09:44:00,18120,-590,1713499
45,2024-08-02,09:45:00,18130,-580,1718482
46,2024-08-02,09:46:00,18110,-600,1724203
47,2024-08-02,09:47:00,18100,-610,1734538
48,2024-08-02,09:48:00,18080,-630,1744445
49,2024-08-02,09:49:00,18070,-640,1756699
50,2024-08-02,09:50:00,18060,-650,1770898
