,date,time,price,change,volume
0,2025-12-15,09:00:00,180500,-1800,3661
1,2025-12-15,09:01:00,180000,-2300,4234
2,2025-12-15,09:02:00,179600,-2700,4458
3,2025-12-15,09:17:00,181200,-1100,13706
4,2025-12-15,09:18:00,181300,-1000,14704
5,2025-12-15,09:19:00,181000,-1300,15293
6,2025-12-15,09:20:00,181000,-1300,16234
7,2025-12-15,09:21:00,180600,-1700,16478
8,2025-12-15,09:22:00,180300,-2000,16732
9,2025-12-15,09:23:00,180400,-1900,16879
10,2025-12-15,09:24:00,180500,-1800,17004
11,2025-12-15,09:25:00,180600,-1700,17333
12,2025-12-15,09:26:00,181100,-1200,17655
13,2025-12-15,09:27:00,181000,-1300,18049
14,2025-12-15,09:28:00,180900,-1400,18318
15,2025-12-15,09:29:00,180900,-1400,18541
16,2025-12-15,09:30:00,181700,-600,19598
17,2025-12-15,09:31:00,181800,-500,19862
18,2025-12-15,09:32:00,181800,-500,20056
19,2025-12-15,09:33:00,181500,-800,20420
20,2025-12-15,09:34:00,181700,-600,20561
21,2025-12-15,09:35:00,181800,-500,20780
22,2025-12-15,09:36:00,181700,-600,21045
23,2025-12-15,09:37:00,181650,-650,21122
24,2025-12-15,09:38:00,181600,-700,21397
25,2025-12-15,09:39:00,181600,-700,21959
26,2025-12-15,09:40:00,181300,-1000,23066
27,2025-12-15,09:41:00,181200,-1100,23257
28,2025-12-15,09:42:00,181300,-1000,23425
29,2025-12-15,09:43:00,181400,-900,23672
30,2025-12-15,09:44:00,181400,-900,24979
31,2025-12-15,09:45:00,181700,-600,25079
32,2025-12-15,09:46:00,181800,-500,25315
33,2025-12-15,09:47:00,181800,-500,25346
34,2025-12-15,09:48:00,181500,-800,26114
35,2025-12-15,09:49:00,181600,-700,26234
36,2025-12-15,09:50:00,181600,-700,26371
37,2025-12-15,09:51:00,181600,-700,26630
38,2025-12-15,09:52:00,181500,-800,26701
39,2025-12-15,09:53:00,181600,-700,26781
40,2025-12-15,09:54:00,181600,-700,26937
41,2025-12-15,09:55:00,181600,-700,27016
42,2025-12-15,09:56:00,181500,-800,27297
43,2025-12-15,09:57:00,181600,-700,27370
44,2025-12-15,09:58:00,181550,-750,27406
45,2025-12-15,09:59:00,181400,-900,27755
46,2025-12-15,10:00:00,181500,-800,27920
47,2025-12-15,10:01:00,181600,-700,28130
48,2025-12-15,10:02:00,181700,-600,28419
49,2025-12-15,10:03:00,181800,-500,28526
50,2025-12-15,10:04:00,181900,-400,28873
51,2025-12-15,10:05:00,181900,-400,28961
52,2025-12-15,10:06:00,181600,-700,29603
53,2025-12-15,10:07:00,181400,-900,29724
54,2025-12-15,10:08:00,181600,-700,29882
55,2025-12-15,10:09:00,181600,-700,29936
56,2025-12-15,10:10:00,181800,-500,30229
57,2025-12-15,10:11:00,181800,-500,30279
58,2025-12-15,10:12:00,181700,-600,30432
59,2025-12-15,10:13:00,181900,-400,30491
60,2025-12-15,10:14:00,181800,-500,31654
61,2025-12-15,10:15:00,182100,-200,31757
62,2025-12-15,10:16:00,182200,-100,32193
63,2025-12-15,10:17:00,182000,-300,32295
64,2025-12-15,10:18:00,182100,-200,32387
65,2025-12-15,10:19:00,182000,-300,32435
66,2025-12-15,10:20:00,182100,-200,32548
67,2025-12-15,10:21:00,182100,-200,32689
68,2025-12-15,10:22:00,182100,-200,32796
69,2025-12-15,10:23:00,182200,-100,33156
70,2025-12-15,10:24:00,182000,-300,34138
71,2025-12-15,10:25:00,182100,-200,34226
72,2025-12-15,10:26:00,182200,-100,34356
73,2025-12-15,10:27:00,182200,-100,34426
74,2025-12-15,10:28:00,182200,-100,34445
75,2025-12-15,10:29:00,182200,-100,34568
76,2025-12-15,10:30:00,182200,-100,34750
77,2025-12-15,10:31:00,182200,-100,34912
78,2025-12-15,10:32:00,182200,-100,35549
79,2025-12-15,10:33:00,182400,100,36216
80,2025-12-15,10:34:00,182400,100,36320
81,2025-12-15,10:35:00,182500,200,36673
82,2025-12-15,10:36:00,182400,100,37279
83,2025-12-15,10:37:00,182300,0,37401
84,2025-12-15,10:38:00,182400,100,37411
85,2025-12-15,10:39:00,182500,200,37766
86,2025-12-15,10:40:00,182400,100,37907
87,2025-12-15,10:41:00,182300,0,38147
88,2025-12-15,10:42:00,182300,0,38305
89,2025-12-15,10:43:00,182200,-100,38360
90,2025-12-15,10:44:00,182700,400,40899
91,2025-12-15,10:45:00,182700,400,41112
92,2025-12-15,10:46:00,182600,300,41295
93,2025-12-15,10:47:00,182600,300,41554
94,2025-12-15,10:48:00,182700,400,42082
95,2025-12-15,10:49:00,182600,300,42156
96,2025-12-15,10:50:00,182700,400,42220
97,2025-12-15,10:51:00,182700,400,42302
98,2025-12-15,10:52:00,182700,400,42498
99,2025-12-15,10:53:00,182800,500,44012
100,2025-12-15,10:54:00,182800,500,44342
101,2025-12-15,10:55:00,182800,500,44522
102,2025-12-15,10:56:00,182900,600,44657
103,2025-12-15,10:57:00,182900,600,45141
104,2025-12-15,10:58:00,183200,900,46160
105,2025-12-15,10:59:00,183800,1500,49406
106,2025-12-15,11:00:00,184000,1700,50577
107,2025-12-15,11:01:00,184000,1700,50990
108,2025-12-15,11:02:00,184400,2100,51459
109,2025-12-15,11:03:00,184500,2200,51736
110,2025-12-15,11:04:00,184400,2100,51934
111,2025-12-15,11:05:00,184300,2000,52121
