,date,time,price,change,volume
0,2024-08-08,09:00:00,60000,600,35632
1,2024-08-08,09:01:00,59500,100,49396
2,2024-08-08,09:02:00,60000,600,54091
3,2024-08-08,09:03:00,60100,700,61067
4,2024-08-08,09:04:00,60100,700,67009
5,2024-08-08,09:05:00,59700,300,70487
6,2024-08-08,09:06:00,59600,200,71905
7,2024-08-08,09:07:00,59900,500,78819
8,2024-08-08,09:08:00,59900,500,82558
9,2024-08-08,09:09:00,59900,500,84891
10,2024-08-08,09:10:00,59500,100,89160
11,2024-08-08,09:11:00,59800,400,91590
12,2024-08-08,09:12:00,59800,400,92377
13,2024-08-08,09:13:00,59600,200,96406
14,2024-08-08,09:14:00,59900,500,98571
15,2024-08-08,09:15:00,60100,700,105571
16,2024-08-08,09:16:00,59900,500,110864
17,2024-08-08,09:17:00,59900,500,111772
18,2024-08-08,09:18:00,59700,300,114848
19,2024-08-08,09:19:00,59600,200,117452
20,2024-08-08,09:20:00,59700,300,119480
21,2024-08-08,09:21:00,59600,200,122765
22,2024-08-08,09:22:00,59300,-100,131733
23,2024-08-08,09:23:00,59200,-200,133585
24,2024-08-08,09:24:00,59300,-100,134267
25,2024-08-08,09:25:00,59100,-300,138898
26,2024-08-08,09:26:00,59000,-400,145262
27,2024-08-08,09:27:00,59300,-100,147895
28,2024-08-08,09:28:00,59200,-200,149438
29,2024-08-08,09:29:00,59000,-400,153167
30,2024-08-08,09:30:00,59200,-200,155196
31,2024-08-08,09:31:00,59100,-300,156791
32,2024-08-08,09:32:00,59100,-300,159295
33,2024-08-08,09:33:00,59100,-300,161539
34,2024-08-08,09:34:00,59000,-400,168643
35,2024-08-08,09:35:00,59000,-400,170665
36,2024-08-08,09:36:00,59100,-300,178555
37,2024-08-08,09:37:00,58900,-500,181153
38,2024-08-08,09:38:00,59100,-300,182550
39,2024-08-08,09:39:00,58700,-700,186705
40,2024-08-08,09:40:00,58600,-800,192490
41,2024-08-08,09:41:00,58600,-800,195132
42,2024-08-08,09:42:00,58800,-600,195557
43,2024-08-08,09:43:00,58700,-700,199982
44,2024-08-08,09:44:00,58700,-700,200289
45,2024-08-08,09:45:00,58700,-700,201636
46,2024-08-08,09:46:00,58700,-700,203432
47,2024-08-08,09:47:00,58700,-700,204076
48,2024-08-08,09:48:00,58700,-700,209790
49,2024-08-08,09:49:00,58800,-600,212297
50,2024-08-08,09:50:00,58800,-600,213214
51,2024-08-08,09:51:00,58700,-700,218061
52,2024-08-08,09:52:00,58700,-700,218999
53,2024-08-08,09:53:00,58500,-900,220975
54,2024-08-08,09:54:00,58500,-900,221723
55,2024-08-08,09:55:00,58600,-800,223510
56,2024-08-08,09:56:00,58800,-600,224690
57,2024-08-08,09:57:00,58800,-600,225369
58,2024-08-08,09:58:00,58900,-500,228371
59,2024-08-08,09:59:00,58900,-500,233866
60,2024-08-08,10:00:00,58700,-700,242902
61,2024-08-08,10:01:00,58800,-600,243686
62,2024-08-08,10:02:00,58900,-500,244896
63,2024-08-08,10:03:00,59100,-300,246762
