,date,time,price,change,volume
0,2024-09-25,09:00:00,26500,-50,57161
1,2024-09-25,09:01:00,26500,-50,71522
2,2024-09-25,09:02:00,26400,-150,89422
3,2024-09-25,09:03:00,26450,-100,101538
4,2024-09-25,09:04:00,26500,-50,104873
5,2024-09-25,09:05:00,26300,-250,125980
6,2024-09-25,09:06:00,26250,-300,149501
7,2024-09-25,09:07:00,26300,-250,161645
8,2024-09-25,09:08:00,26400,-150,174647
9,2024-09-25,09:09:00,26350,-200,184545
10,2024-09-25,09:10:00,26450,-100,192577
11,2024-09-25,09:11:00,26450,-100,196301
12,2024-09-25,09:12:00,26400,-150,199445
13,2024-09-25,09:13:00,26400,-150,202643
14,2024-09-25,09:14:00,26350,-200,209218
15,2024-09-25,09:15:00,26300,-250,218545
16,2024-09-25,09:16:00,26250,-300,228757
17,2024-09-25,09:17:00,26150,-400,233621
18,2024-09-25,09:18:00,26150,-400,239939
19,2024-09-25,09:19:00,26250,-300,244869
20,2024-09-25,09:20:00,26250,-300,248193
21,2024-09-25,09:21:00,26200,-350,248991
22,2024-09-25,09:22:00,26250,-300,254517
23,2024-09-25,09:23:00,26200,-350,258013
24,2024-09-25,09:24:00,26100,-450,273316
25,2024-09-25,09:25:00,26100,-450,283187
26,2024-09-25,09:26:00,26150,-400,294465
27,2024-09-25,09:27:00,26250,-300,297264
28,2024-09-25,09:28:00,26200,-350,301978
29,2024-09-25,09:29:00,26150,-400,305247
30,2024-09-25,09:30:00,26150,-400,308025
31,2024-09-25,09:31:00,26250,-300,311102
32,2024-09-25,09:32:00,26200,-350,314348
33,2024-09-25,09:33:00,26250,-300,315036
34,2024-09-25,09:34:00,26250,-300,315780
35,2024-09-25,09:35:00,26300,-250,324319
36,2024-09-25,09:36:00,26200,-350,329559
37,2024-09-25,09:37:00,26250,-300,332263
38,2024-09-25,09:38:00,26250,-300,334424
39,2024-09-25,09:39:00,26300,-250,337110
40,2024-09-25,09:40:00,26350,-200,349196
41,2024-09-25,09:41:00,26350,-200,354253
42,2024-09-25,09:42:00,26300,-250,363785
43,2024-09-25,09:43:00,26350,-200,365921
44,2024-09-25,09:44:00,26400,-150,371979
45,2024-09-25,09:45:00,26500,-50,383227
46,2024-09-25,09:46:00,26450,-100,396164
47,2024-09-25,09:47:00,26400,-150,398125
48,2024-09-25,09:48:00,26500,-50,400794
49,2024-09-25,09:49:00,26450,-100,406729
50,2024-09-25,09:50:00,26500,-50,414406
51,2024-09-25,09:51:00,26450,-100,418314
52,2024-09-25,09:52:00,26400,-150,419191
53,2024-09-25,09:53:00,26450,-100,420367
54,2024-09-25,09:54:00,26400,-150,420921
55,2024-09-25,09:55:00,26400,-150,424682
56,2024-09-25,09:56:00,26400,-150,425990
57,2024-09-25,09:57:00,26400,-150,426812
58,2024-09-25,09:58:00,26450,-100,427196
59,2024-09-25,09:59:00,26450,-100,428457
60,2024-09-25,10:00:00,26450,-100,430018
61,2024-09-25,10:01:00,26450,-100,431496
62,2024-09-25,10:02:00,26350,-200,440102
63,2024-09-25,10:03:00,26350,-200,442492
64,2024-09-25,10:04:00,26350,-200,445737
65,2024-09-25,10:05:00,26500,-50,453607
66,2024-09-25,10:06:00,26550,0,478699
67,2024-09-25,10:07:00,26500,-50,481157
68,2024-09-25,10:08:00,26450,-100,484303
69,2024-09-25,10:09:00,26500,-50,485225
70,2024-09-25,10:10:00,26500,-50,485704
71,2024-09-25,10:11:00,26500,-50,486051
72,2024-09-25,10:12:00,26500,-50,486908
73,2024-09-25,10:13:00,26450,-100,488344
74,2024-09-25,10:14:00,26450,-100,488896
75,2024-09-25,10:15:00,26350,-200,494279
76,2024-09-25,10:16:00,26400,-150,494920
77,2024-09-25,10:17:00,26300,-250,500358
78,2024-09-25,10:18:00,26350,-200,501652
79,2024-09-25,10:19:00,26250,-300,502548
80,2024-09-25,10:20:00,26250,-300,506697
81,2024-09-25,10:21:00,26250,-300,507239
82,2024-09-25,10:22:00,26300,-250,508012
83,2024-09-25,10:23:00,26250,-300,510083
84,2024-09-25,10:24:00,26300,-250,510323
85,2024-09-25,10:25:00,26250,-300,516999
86,2024-09-25,10:26:00,26300,-250,517473
87,2024-09-25,10:27:00,26250,-300,518078
88,2024-09-25,10:28:00,26300,-250,529521
89,2024-09-25,10:29:00,26250,-300,530673
90,2024-09-25,10:30:00,26250,-300,531740
91,2024-09-25,10:31:00,26250,-300,531954
92,2024-09-25,10:32:00,26300,-250,533227
93,2024-09-25,10:33:00,26250,-300,533578
94,2024-09-25,10:34:00,26300,-250,534309
95,2024-09-25,10:35:00,26300,-250,534863
96,2024-09-25,10:36:00,26300,-250,534999
97,2024-09-25,10:37:00,26300,-250,535116
98,2024-09-25,10:38:00,26250,-300,536553
99,2024-09-25,10:39:00,26350,-200,542029
100,2024-09-25,10:40:00,26350,-200,542206
101,2024-09-25,10:41:00,26300,-250,542447
102,2024-09-25,10:42:00,26300,-250,543083
103,2024-09-25,10:43:00,26300,-250,543397
104,2024-09-25,10:44:00,26250,-300,546048
105,2024-09-25,10:45:00,26250,-300,548546
106,2024-09-25,10:46:00,26250,-300,551276
107,2024-09-25,10:47:00,26250,-300,552723
108,2024-09-25,10:48:00,26200,-350,553142
109,2024-09-25,10:49:00,26300,-250,558250
110,2024-09-25,10:50:00,26400,-150,573665
111,2024-09-25,10:51:00,26350,-200,574743
112,2024-09-25,10:52:00,26350,-200,574921
113,2024-09-25,10:53:00,26350,-200,575601
114,2024-09-25,10:54:00,26350,-200,577560
115,2024-09-25,10:55:00,26400,-150,577852
116,2024-09-25,10:56:00,26350,-200,580063
117,2024-09-25,10:57:00,26350,-200,582041
118,2024-09-25,10:58:00,26450,-100,584368
119,2024-09-25,10:59:00,26500,-50,588455
120,2024-09-25,11:00:00,26500,-50,590857
121,2024-09-25,11:01:00,26450,-100,594282
122,2024-09-25,11:02:00,26350,-200,600043
123,2024-09-25,11:03:00,26450,-100,601654
124,2024-09-25,11:04:00,26450,-100,603765
125,2024-09-25,11:05:00,26500,-50,606077
126,2024-09-25,11:06:00,26400,-150,609125
127,2024-09-25,11:07:00,26400,-150,609961
128,2024-09-25,11:08:00,26400,-150,610841
129,2024-09-25,11:09:00,26400,-150,611994
130,2024-09-25,11:10:00,26300,-250,619129
131,2024-09-25,11:11:00,26300,-250,620159
132,2024-09-25,11:12:00,26250,-300,621220
133,2024-09-25,11:13:00,26200,-350,627486
134,2024-09-25,11:14:00,26250,-300,627706
135,2024-09-25,11:15:00,26300,-250,630833
136,2024-09-25,11:16:00,26250,-300,631394
137,2024-09-25,11:17:00,26250,-300,631667
138,2024-09-25,11:18:00,26250,-300,632243
139,2024-09-25,11:19:00,26250,-300,633150
140,2024-09-25,11:20:00,26250,-300,634020
141,2024-09-25,11:21:00,26250,-300,635770
142,2024-09-25,11:22:00,26250,-300,636151
143,2024-09-25,11:23:00,26200,-350,636553
144,2024-09-25,11:24:00,26250,-300,637069
145,2024-09-25,11:25:00,26250,-300,639506
146,2024-09-25,11:26:00,26200,-350,639977
147,2024-09-25,11:27:00,26250,-300,643298
148,2024-09-25,11:28:00,26200,-350,645028
149,2024-09-25,11:29:00,26200,-350,646581
150,2024-09-25,11:30:00,26200,-350,648100
151,2024-09-25,11:31:00,26250,-300,651274
152,2024-09-25,11:32:00,26300,-250,651506
153,2024-09-25,11:33:00,26250,-300,651578
154,2024-09-25,11:34:00,26250,-300,651836
155,2024-09-25,11:35:00,26250,-300,652238
156,2024-09-25,11:36:00,26200,-350,653085
157,2024-09-25,11:37:00,26250,-300,654166
158,2024-09-25,11:38:00,26250,-300,656751
159,2024-09-25,11:39:00,26250,-300,657464
160,2024-09-25,11:40:00,26250,-300,657661
161,2024-09-25,11:41:00,26150,-400,660723
162,2024-09-25,11:42:00,26150,-400,663949
163,2024-09-25,11:43:00,26150,-400,665005
164,2024-09-25,11:44:00,26200,-350,665643
165,2024-09-25,11:45:00,26150,-400,666144
166,2024-09-25,11:46:00,26150,-400,667310
167,2024-09-25,11:47:00,26150,-400,670491
168,2024-09-25,11:48:00,26150,-400,672311
169,2024-09-25,11:49:00,26150,-400,673187
170,2024-09-25,11:50:00,26200,-350,676951
171,2024-09-25,11:51:00,26200,-350,677168
172,2024-09-25,11:52:00,26200,-350,677633
173,2024-09-25,11:53:00,26250,-300,682339
174,2024-09-25,11:54:00,26250,-300,682743
175,2024-09-25,11:55:00,26200,-350,686735
176,2024-09-25,11:56:00,26200,-350,686970
177,2024-09-25,11:57:00,26200,-350,688101
178,2024-09-25,11:58:00,26200,-350,688226
179,2024-09-25,11:59:00,26150,-400,688405
180,2024-09-25,12:00:00,26150,-400,691472
181,2024-09-25,12:01:00,26100,-450,691818
182,2024-09-25,12:02:00,26150,-400,692345
183,2024-09-25,12:03:00,26150,-400,693181
184,2024-09-25,12:04:00,26150,-400,696320
185,2024-09-25,12:05:00,26150,-400,698428
186,2024-09-25,12:06:00,26150,-400,699153
187,2024-09-25,12:07:00,26200,-350,699657
188,2024-09-25,12:08:00,26150,-400,701239
189,2024-09-25,12:09:00,26200,-350,703660
190,2024-09-25,12:10:00,26200,-350,703871
191,2024-09-25,12:11:00,26150,-400,704241
192,2024-09-25,12:12:00,26200,-350,704345
193,2024-09-25,12:13:00,26150,-400,706280
194,2024-09-25,12:14:00,26200,-350,706715
195,2024-09-25,12:15:00,26150,-400,709837
196,2024-09-25,12:16:00,26150,-400,710509
197,2024-09-25,12:17:00,26150,-400,711189
198,2024-09-25,12:18:00,26150,-400,712796
199,2024-09-25,12:19:00,26100,-450,713215
200,2024-09-25,12:20:00,26100,-450,713474
201,2024-09-25,12:21:00,26100,-450,714066
202,2024-09-25,12:22:00,26100,-450,715347
203,2024-09-25,12:23:00,26100,-450,716036
204,2024-09-25,12:24:00,26150,-400,717077
205,2024-09-25,12:25:00,26150,-400,718397
206,2024-09-25,12:26:00,26150,-400,718713
207,2024-09-25,12:27:00,26100,-450,718977
208,2024-09-25,12:28:00,26100,-450,719233
209,2024-09-25,12:29:00,26100,-450,719947
210,2024-09-25,12:30:00,26100,-450,720680
211,2024-09-25,12:31:00,26100,-450,721354
212,2024-09-25,12:32:00,26100,-450,721681
213,2024-09-25,12:33:00,26150,-400,723527
214,2024-09-25,12:34:00,26100,-450,723837
215,2024-09-25,12:35:00,26100,-450,725723
216,2024-09-25,12:36:00,26050,-500,728448
217,2024-09-25,12:37:00,26100,-450,729791
218,2024-09-25,12:38:00,26100,-450,732289
219,2024-09-25,12:39:00,26050,-500,733360
220,2024-09-25,12:40:00,26050,-500,734140
221,2024-09-25,12:41:00,26100,-450,734848
222,2024-09-25,12:42:00,26100,-450,735447
223,2024-09-25,12:43:00,26100,-450,738309
224,2024-09-25,12:44:00,26050,-500,738921
225,2024-09-25,12:45:00,26050,-500,739461
226,2024-09-25,12:46:00,26050,-500,739923
227,2024-09-25,12:47:00,26050,-500,740704
228,2024-09-25,12:48:00,26100,-450,740963
229,2024-09-25,12:49:00,26100,-450,746244
230,2024-09-25,12:50:00,26000,-550,749412
231,2024-09-25,12:51:00,26000,-550,750343
232,2024-09-25,12:52:00,26000,-550,754289
233,2024-09-25,12:53:00,26000,-550,755102
234,2024-09-25,12:54:00,26000,-550,758621
235,2024-09-25,12:55:00,25950,-600,768047
236,2024-09-25,12:56:00,26000,-550,774904
237,2024-09-25,12:57:00,26000,-550,782742
238,2024-09-25,12:58:00,26050,-500,783725
239,2024-09-25,12:59:00,26000,-550,789123
240,2024-09-25,13:00:00,26000,-550,789866
241,2024-09-25,13:01:00,26050,-500,790114
242,2024-09-25,13:02:00,26050,-500,793482
243,2024-09-25,13:03:00,26100,-450,795751
244,2024-09-25,13:04:00,26000,-550,797397
245,2024-09-25,13:05:00,26050,-500,797737
246,2024-09-25,13:06:00,26000,-550,803235
247,2024-09-25,13:07:00,26000,-550,804838
248,2024-09-25,13:08:00,25950,-600,806254
249,2024-09-25,13:09:00,25950,-600,807798
250,2024-09-25,13:10:00,25950,-600,810778
251,2024-09-25,13:11:00,25950,-600,811375
252,2024-09-25,13:12:00,25950,-600,811960
253,2024-09-25,13:13:00,25950,-600,814828
254,2024-09-25,13:14:00,25900,-650,816265
255,2024-09-25,13:15:00,25900,-650,818597
256,2024-09-25,13:16:00,25900,-650,821539
257,2024-09-25,13:17:00,25900,-650,823263
258,2024-09-25,13:18:00,25900,-650,823624
259,2024-09-25,13:19:00,25850,-700,824345
260,2024-09-25,13:20:00,25850,-700,825356
261,2024-09-25,13:21:00,25900,-650,826830
262,2024-09-25,13:22:00,25850,-700,828328
263,2024-09-25,13:23:00,25900,-650,831120
264,2024-09-25,13:24:00,25900,-650,832442
265,2024-09-25,13:25:00,25850,-700,833042
266,2024-09-25,13:26:00,25850,-700,839967
267,2024-09-25,13:27:00,25800,-750,840993
268,2024-09-25,13:28:00,25800,-750,844706
269,2024-09-25,13:29:00,25750,-800,859899
270,2024-09-25,13:30:00,25800,-750,866618
271,2024-09-25,13:31:00,25800,-750,870866
272,2024-09-25,13:32:00,25850,-700,872599
273,2024-09-25,13:33:00,25850,-700,873200
274,2024-09-25,13:34:00,25850,-700,875821
275,2024-09-25,13:35:00,25900,-650,876862
276,2024-09-25,13:36:00,25900,-650,877801
277,2024-09-25,13:37:00,25900,-650,878463
278,2024-09-25,13:38:00,25900,-650,879147
279,2024-09-25,13:39:00,25850,-700,879952
280,2024-09-25,13:40:00,25900,-650,880675
281,2024-09-25,13:41:00,25850,-700,881954
282,2024-09-25,13:42:00,25850,-700,882551
283,2024-09-25,13:43:00,25850,-700,883963
284,2024-09-25,13:44:00,25850,-700,886022
285,2024-09-25,13:45:00,25850,-700,888820
286,2024-09-25,13:46:00,25900,-650,889717
287,2024-09-25,13:47:00,25900,-650,890115
288,2024-09-25,13:48:00,25900,-650,891064
289,2024-09-25,13:49:00,25900,-650,896797
290,2024-09-25,13:50:00,25950,-600,897436
291,2024-09-25,13:51:00,25950,-600,897801
292,2024-09-25,13:52:00,25950,-600,899162
293,2024-09-25,13:53:00,25950,-600,899771
294,2024-09-25,13:54:00,25950,-600,902785
295,2024-09-25,13:55:00,25900,-650,903581
296,2024-09-25,13:56:00,25900,-650,907494
297,2024-09-25,13:57:00,25900,-650,908138
298,2024-09-25,13:58:00,25850,-700,909878
299,2024-09-25,13:59:00,25900,-650,912468
300,2024-09-25,14:00:00,25850,-700,913305
301,2024-09-25,14:01:00,25850,-700,914258
302,2024-09-25,14:02:00,25900,-650,915659
303,2024-09-25,14:03:00,25850,-700,916581
304,2024-09-25,14:04:00,25850,-700,919902
305,2024-09-25,14:05:00,25900,-650,920565
306,2024-09-25,14:06:00,25850,-700,921614
307,2024-09-25,14:07:00,25900,-650,929486
308,2024-09-25,14:08:00,25900,-650,930956
309,2024-09-25,14:09:00,25900,-650,932278
310,2024-09-25,14:10:00,25850,-700,935235
311,2024-09-25,14:11:00,25900,-650,937633
312,2024-09-25,14:12:00,25800,-750,939609
313,2024-09-25,14:13:00,25850,-700,940570
314,2024-09-25,14:14:00,25800,-750,941831
315,2024-09-25,14:15:00,25900,-650,943311
316,2024-09-25,14:16:00,25900,-650,944051
317,2024-09-25,14:17:00,25850,-700,944644
318,2024-09-25,14:18:00,25850,-700,947402
319,2024-09-25,14:19:00,25900,-650,948415
320,2024-09-25,14:20:00,25850,-700,954410
321,2024-09-25,14:21:00,25800,-750,955383
322,2024-09-25,14:22:00,25800,-750,956405
323,2024-09-25,14:23:00,25800,-750,957673
324,2024-09-25,14:24:00,25800,-750,958599
325,2024-09-25,14:25:00,25800,-750,960561
326,2024-09-25,14:26:00,25800,-750,961142
327,2024-09-25,14:27:00,25800,-750,962558
328,2024-09-25,14:28:00,25850,-700,963415
329,2024-09-25,14:29:00,25850,-700,964190
330,2024-09-25,14:30:00,25800,-750,964845
331,2024-09-25,14:31:00,25800,-750,965681
332,2024-09-25,14:32:00,25850,-700,966956
333,2024-09-25,14:33:00,25800,-750,968672
334,2024-09-25,14:34:00,25800,-750,972872
335,2024-09-25,14:35:00,25800,-750,973933
336,2024-09-25,14:36:00,25750,-800,975619
337,2024-09-25,14:37:00,25750,-800,976500
338,2024-09-25,14:38:00,25750,-800,981756
339,2024-09-25,14:39:00,25700,-850,984343
