,date,time,price,change,volume
0,2025-06-12,09:00:00,418500,500,2520
1,2025-06-12,09:01:00,418000,0,5256
2,2025-06-12,09:02:00,420000,2000,8340
3,2025-06-12,09:03:00,420000,2000,9830
4,2025-06-12,09:04:00,420500,2500,10818
5,2025-06-12,09:05:00,421000,3000,13173
6,2025-06-12,09:06:00,421000,3000,16268
7,2025-06-12,09:07:00,420500,2500,17636
8,2025-06-12,09:08:00,421000,3000,19324
9,2025-06-12,09:09:00,420000,2000,20130
10,2025-06-12,09:10:00,421250,3250,22067
11,2025-06-12,09:11:00,422000,4000,23527
12,2025-06-12,09:12:00,421500,3500,24401
13,2025-06-12,09:13:00,421000,3000,24957
14,2025-06-12,09:14:00,421000,3000,25454
15,2025-06-12,09:15:00,420500,2500,26785
16,2025-06-12,09:16:00,420500,2500,27294
17,2025-06-12,09:17:00,421500,3500,28568
18,2025-06-12,09:18:00,422750,4750,32843
19,2025-06-12,09:19:00,424000,6000,35795
20,2025-06-12,09:20:00,423500,5500,36693
21,2025-06-12,09:21:00,422000,4000,38937
22,2025-06-12,09:22:00,422000,4000,40551
23,2025-06-12,09:23:00,423500,5500,41507
24,2025-06-12,09:24:00,424000,6000,42195
25,2025-06-12,09:25:00,422000,4000,44805
26,2025-06-12,09:26:00,422000,4000,45299
27,2025-06-12,09:27:00,422000,4000,45974
28,2025-06-12,09:28:00,421500,3500,46428
29,2025-06-12,09:29:00,421000,3000,46628
30,2025-06-12,09:30:00,422000,4000,48106
31,2025-06-12,09:31:00,421750,3750,48381
32,2025-06-12,09:32:00,422000,4000,48591
33,2025-06-12,09:33:00,423500,5500,50797
34,2025-06-12,09:34:00,423500,5500,52892
35,2025-06-12,09:35:00,424000,6000,55001
36,2025-06-12,09:36:00,423500,5500,56379
37,2025-06-12,09:37:00,424000,6000,57714
38,2025-06-12,09:38:00,424500,6500,59350
39,2025-06-12,09:39:00,424500,6500,60049
40,2025-06-12,09:40:00,424000,6000,60264
41,2025-06-12,09:41:00,423500,5500,65211
42,2025-06-12,09:42:00,423500,5500,65775
43,2025-06-12,09:43:00,423500,5500,65904
44,2025-06-12,09:44:00,423500,5500,65983
45,2025-06-12,09:45:00,421500,3500,67802
46,2025-06-12,09:46:00,421000,3000,68146
47,2025-06-12,09:47:00,421500,3500,68553
48,2025-06-12,09:48:00,421500,3500,69649
49,2025-06-12,09:49:00,420500,2500,70493
50,2025-06-12,09:50:00,421000,3000,70852
51,2025-06-12,09:51:00,420000,2000,71755
52,2025-06-12,09:52:00,420000,2000,72370
53,2025-06-12,09:53:00,420000,2000,72727
54,2025-06-12,09:54:00,421000,3000,73190
55,2025-06-12,09:55:00,420500,2500,73343
56,2025-06-12,09:56:00,421000,3000,73546
57,2025-06-12,09:57:00,421000,3000,73924
58,2025-06-12,09:58:00,420500,2500,74152
59,2025-06-12,09:59:00,421500,3500,74875
60,2025-06-12,10:00:00,422500,4500,75318
61,2025-06-12,10:01:00,422000,4000,75670
62,2025-06-12,10:02:00,423000,5000,76011
63,2025-06-12,10:03:00,423000,5000,77184
64,2025-06-12,10:04:00,422500,4500,77526
65,2025-06-12,10:05:00,423000,5000,78002
66,2025-06-12,10:06:00,423500,5500,78130
67,2025-06-12,10:07:00,425000,7000,81753
68,2025-06-12,10:08:00,424500,6500,82850
69,2025-06-12,10:09:00,424500,6500,83911
70,2025-06-12,10:10:00,424500,6500,84565
71,2025-06-12,10:11:00,424500,6500,87602
72,2025-06-12,10:12:00,424500,6500,87676
73,2025-06-12,10:13:00,424000,6000,88039
74,2025-06-12,10:14:00,423500,5500,88412
75,2025-06-12,10:15:00,424000,6000,88516
76,2025-06-12,10:16:00,424000,6000,89621
77,2025-06-12,10:17:00,424000,6000,89919
78,2025-06-12,10:18:00,424000,6000,90487
79,2025-06-12,10:19:00,423500,5500,90549
80,2025-06-12,10:20:00,424500,6500,92175
81,2025-06-12,10:21:00,424500,6500,92821
82,2025-06-12,10:22:00,424500,6500,92980
83,2025-06-12,10:23:00,424500,6500,93163
84,2025-06-12,10:24:00,424000,6000,93817
85,2025-06-12,10:25:00,425500,7500,97175
86,2025-06-12,10:26:00,425000,7000,98871
87,2025-06-12,10:27:00,425500,7500,99349
