,date,time,price,change,volume
0,2025-05-08,09:00:00,18400,-130,14103
1,2025-05-08,09:01:00,18370,-160,28512
2,2025-05-08,09:02:00,18350,-180,36779
3,2025-05-08,09:03:00,18320,-210,53109
4,2025-05-08,09:04:00,18340,-190,60608
5,2025-05-08,09:05:00,18350,-180,64315
6,2025-05-08,09:06:00,18320,-210,74336
7,2025-05-08,09:07:00,18330,-200,78823
8,2025-05-08,09:08:00,18330,-200,83031
9,2025-05-08,09:09:00,18310,-220,100680
10,2025-05-08,09:10:00,18300,-230,111178
11,2025-05-08,09:11:00,18300,-230,121319
12,2025-05-08,09:12:00,18290,-240,126265
13,2025-05-08,09:13:00,18300,-230,132060
14,2025-05-08,09:14:00,18300,-230,138134
15,2025-05-08,09:15:00,18280,-250,146300
16,2025-05-08,09:16:00,18270,-260,154889
17,2025-05-08,09:17:00,18250,-280,162850
18,2025-05-08,09:18:00,18250,-280,168370
19,2025-05-08,09:19:00,18240,-290,176867
20,2025-05-08,09:20:00,18260,-270,201714
21,2025-05-08,09:21:00,18260,-270,206553
22,2025-05-08,09:22:00,18270,-260,211477
23,2025-05-08,09:23:00,18280,-250,215100
24,2025-05-08,09:24:00,18290,-240,219030
25,2025-05-08,09:25:00,18300,-230,224164
26,2025-05-08,09:26:00,18300,-230,225691
27,2025-05-08,09:27:00,18290,-240,226591
28,2025-05-08,09:28:00,18290,-240,228203
29,2025-05-08,09:29:00,18280,-250,229786
30,2025-05-08,09:30:00,18270,-260,233609
31,2025-05-08,09:31:00,18270,-260,238216
32,2025-05-08,09:32:00,18270,-260,245615
33,2025-05-08,09:33:00,18260,-270,247520
34,2025-05-08,09:34:00,18280,-250,252006
35,2025-05-08,09:35:00,18260,-270,254616
36,2025-05-08,09:36:00,18250,-280,259457
37,2025-05-08,09:37:00,18230,-300,273600
38,2025-05-08,09:38:00,18240,-290,277954
39,2025-05-08,09:39:00,18240,-290,279762
40,2025-05-08,09:40:00,18230,-300,283982
41,2025-05-08,09:41:00,18240,-290,287772
42,2025-05-08,09:42:00,18240,-290,292605
43,2025-05-08,09:43:00,18230,-300,300648
