,date,time,price,change,volume
0,2025-10-27,09:00:00,254500,2000,45732
1,2025-10-27,09:01:00,254000,1500,49554
2,2025-10-27,09:02:00,254000,1500,52502
3,2025-10-27,09:03:00,253500,1000,62635
4,2025-10-27,09:04:00,253500,1000,66862
5,2025-10-27,09:05:00,253500,1000,70150
6,2025-10-27,09:06:00,254000,1500,73565
7,2025-10-27,09:07:00,254000,1500,76507
8,2025-10-27,09:08:00,253500,1000,84229
9,2025-10-27,09:09:00,254000,1500,86968
10,2025-10-27,09:10:00,254000,1500,88525
11,2025-10-27,09:11:00,254500,2000,91059
12,2025-10-27,09:12:00,254500,2000,95251
13,2025-10-27,09:13:00,254500,2000,95928
14,2025-10-27,09:14:00,255000,2500,102746
15,2025-10-27,09:15:00,255000,2500,104708
16,2025-10-27,09:16:00,255000,2500,109877
17,2025-10-27,09:17:00,255500,3000,112171
18,2025-10-27,09:18:00,255000,2500,116907
19,2025-10-27,09:19:00,255500,3000,122327
20,2025-10-27,09:20:00,255000,2500,140136
21,2025-10-27,09:21:00,254500,2000,142808
22,2025-10-27,09:22:00,254000,1500,143356
23,2025-10-27,09:23:00,254250,1750,146009
24,2025-10-27,09:24:00,253500,1000,155648
25,2025-10-27,09:25:00,253500,1000,157117
26,2025-10-27,09:26:00,254000,1500,158058
27,2025-10-27,09:27:00,254000,1500,158659
28,2025-10-27,09:28:00,253500,1000,158810
29,2025-10-27,09:29:00,253500,1000,159607
30,2025-10-27,09:30:00,254000,1500,160238
31,2025-10-27,09:31:00,254500,2000,166492
32,2025-10-27,09:32:00,254500,2000,166990
33,2025-10-27,09:33:00,255500,3000,174181
34,2025-10-27,09:34:00,256000,3500,179615
35,2025-10-27,09:35:00,256000,3500,181446
36,2025-10-27,09:36:00,256000,3500,193538
37,2025-10-27,09:37:00,257000,4500,202405
38,2025-10-27,09:38:00,258000,5500,208335
39,2025-10-27,09:39:00,258500,6000,213781
40,2025-10-27,09:40:00,258500,6000,221448
41,2025-10-27,09:41:00,259000,6500,231560
42,2025-10-27,09:42:00,258500,6000,235351
43,2025-10-27,09:43:00,259000,6500,238528
44,2025-10-27,09:44:00,258000,5500,250180
45,2025-10-27,09:45:00,258500,6000,254547
46,2025-10-27,09:46:00,259000,6500,256511
47,2025-10-27,09:47:00,259000,6500,261713
48,2025-10-27,09:48:00,258500,6000,270979
49,2025-10-27,09:49:00,258000,5500,271459
50,2025-10-27,09:50:00,258000,5500,273642
51,2025-10-27,09:51:00,258500,6000,274588
52,2025-10-27,09:52:00,258000,5500,275823
53,2025-10-27,09:53:00,258000,5500,277078
54,2025-10-27,09:54:00,258000,5500,277945
55,2025-10-27,09:55:00,258500,6000,278907
56,2025-10-27,09:56:00,258000,5500,282191
57,2025-10-27,09:57:00,257500,5000,286565
58,2025-10-27,09:58:00,257500,5000,288464
59,2025-10-27,09:59:00,257750,5250,289179
60,2025-10-27,10:00:00,258000,5500,290330
61,2025-10-27,10:01:00,257000,4500,295677
62,2025-10-27,10:02:00,256500,4000,299967
63,2025-10-27,10:03:00,257000,4500,302458
64,2025-10-27,10:04:00,257000,4500,303985
65,2025-10-27,10:05:00,257000,4500,304608
66,2025-10-27,10:06:00,256500,4000,305711
67,2025-10-27,10:07:00,256500,4000,306463
68,2025-10-27,10:08:00,257000,4500,311784
69,2025-10-27,10:09:00,257000,4500,314398
70,2025-10-27,10:10:00,255500,3000,322988
71,2025-10-27,10:11:00,255500,3000,323803
72,2025-10-27,10:12:00,255750,3250,325149
73,2025-10-27,10:13:00,255500,3000,328017
74,2025-10-27,10:14:00,255500,3000,330011
75,2025-10-27,10:15:00,256000,3500,330406
76,2025-10-27,10:16:00,256000,3500,330995
77,2025-10-27,10:17:00,256500,4000,333895
78,2025-10-27,10:18:00,256500,4000,335451
79,2025-10-27,10:19:00,255750,3250,337323
80,2025-10-27,10:20:00,256000,3500,337975
81,2025-10-27,10:21:00,256000,3500,338529
82,2025-10-27,10:22:00,256500,4000,342613
83,2025-10-27,10:23:00,256500,4000,343021
84,2025-10-27,10:24:00,256500,4000,346189
85,2025-10-27,10:25:00,256500,4000,348110
86,2025-10-27,10:26:00,256000,3500,350473
87,2025-10-27,10:27:00,256500,4000,351102
88,2025-10-27,10:28:00,256000,3500,355207
89,2025-10-27,10:29:00,255500,3000,360161
90,2025-10-27,10:30:00,256000,3500,364442
91,2025-10-27,10:31:00,256250,3750,365338
