,date,time,price,change,volume
0,2024-10-14,09:00:00,14160,80,17012
1,2024-10-14,09:01:00,14170,90,32834
2,2024-10-14,09:02:00,14210,130,59119
3,2024-10-14,09:03:00,14210,130,66723
4,2024-10-14,09:04:00,14200,120,74457
5,2024-10-14,09:05:00,14210,130,80350
6,2024-10-14,09:06:00,14200,120,84687
7,2024-10-14,09:07:00,14200,120,91887
8,2024-10-14,09:08:00,14220,140,102914
9,2024-10-14,09:09:00,14230,150,136229
10,2024-10-14,09:10:00,14270,190,188014
11,2024-10-14,09:11:00,14260,180,210765
12,2024-10-14,09:12:00,14250,170,218725
13,2024-10-14,09:13:00,14250,170,219544
14,2024-10-14,09:14:00,14250,170,221440
15,2024-10-14,09:15:00,14300,220,278060
16,2024-10-14,09:16:00,14340,260,365186
17,2024-10-14,09:17:00,14330,250,372036
18,2024-10-14,09:18:00,14310,230,381715
19,2024-10-14,09:19:00,14290,210,389010
20,2024-10-14,09:20:00,14300,220,401279
21,2024-10-14,09:21:00,14290,210,412768
22,2024-10-14,09:22:00,14290,210,420022
23,2024-10-14,09:23:00,14300,220,428260
24,2024-10-14,09:24:00,14300,220,432036
25,2024-10-14,09:25:00,14300,220,433929
26,2024-10-14,09:26:00,14280,200,437873
27,2024-10-14,09:27:00,14300,220,448415
28,2024-10-14,09:28:00,14290,210,450699
29,2024-10-14,09:29:00,14270,190,454738
30,2024-10-14,09:30:00,14280,200,459328
31,2024-10-14,09:31:00,14280,200,459915
32,2024-10-14,09:32:00,14290,210,466666
33,2024-10-14,09:33:00,14270,190,467509
34,2024-10-14,09:34:00,14270,190,482462
35,2024-10-14,09:35:00,14230,150,493633
36,2024-10-14,09:36:00,14230,150,498930
37,2024-10-14,09:37:00,14230,150,504031
38,2024-10-14,09:38:00,14220,140,509689
39,2024-10-14,09:39:00,14220,140,519690
40,2024-10-14,09:40:00,14210,130,523428
41,2024-10-14,09:41:00,14210,130,526420
42,2024-10-14,09:42:00,14210,130,527990
43,2024-10-14,09:43:00,14210,130,529082
44,2024-10-14,09:44:00,14200,120,529663
45,2024-10-14,09:45:00,14210,130,532087
46,2024-10-14,09:46:00,14210,130,532426
47,2024-10-14,09:47:00,14200,120,535282
48,2024-10-14,09:48:00,14200,120,537538
49,2024-10-14,09:49:00,14220,140,539300
50,2024-10-14,09:50:00,14220,140,541522
51,2024-10-14,09:51:00,14230,150,557515
52,2024-10-14,09:52:00,14230,150,561790
53,2024-10-14,09:53:00,14240,160,562350
54,2024-10-14,09:54:00,14240,160,563207
55,2024-10-14,09:55:00,14230,150,564276
56,2024-10-14,09:56:00,14240,160,565413
57,2024-10-14,09:57:00,14210,130,573615
58,2024-10-14,09:58:00,14220,140,577356
59,2024-10-14,09:59:00,14200,120,586667
60,2024-10-14,10:00:00,14200,120,589111
61,2024-10-14,10:01:00,14190,110,594596
62,2024-10-14,10:02:00,14190,110,595634
63,2024-10-14,10:03:00,14200,120,597002
64,2024-10-14,10:04:00,14190,110,598421
65,2024-10-14,10:05:00,14190,110,608485
66,2024-10-14,10:06:00,14160,80,613080
67,2024-10-14,10:07:00,14160,80,615012
68,2024-10-14,10:08:00,14160,80,618569
69,2024-10-14,10:09:00,14170,90,618898
70,2024-10-14,10:10:00,14170,90,619579
71,2024-10-14,10:11:00,14180,100,620735
72,2024-10-14,10:12:00,14180,100,623372
73,2024-10-14,10:13:00,14190,110,626877
74,2024-10-14,10:14:00,14180,100,628776
75,2024-10-14,10:15:00,14180,100,631038
76,2024-10-14,10:16:00,14190,110,639595
77,2024-10-14,10:17:00,14190,110,640957
78,2024-10-14,10:18:00,14190,110,641767
79,2024-10-14,10:19:00,14180,100,642965
80,2024-10-14,10:20:00,14190,110,643026
81,2024-10-14,10:21:00,14190,110,645069
82,2024-10-14,10:22:00,14190,110,646177
83,2024-10-14,10:23:00,14180,100,647807
84,2024-10-14,10:24:00,14190,110,648128
85,2024-10-14,10:25:00,14190,110,649691
86,2024-10-14,10:26:00,14190,110,654856
87,2024-10-14,10:27:00,14190,110,657982
88,2024-10-14,10:28:00,14180,100,658128
89,2024-10-14,10:29:00,14180,100,659745
90,2024-10-14,10:30:00,14180,100,660929
91,2024-10-14,10:31:00,14190,110,662005
92,2024-10-14,10:32:00,14180,100,662743
93,2024-10-14,10:33:00,14180,100,666496
94,2024-10-14,10:34:00,14170,90,667538
95,2024-10-14,10:35:00,14180,100,667672
96,2024-10-14,10:36:00,14180,100,671993
97,2024-10-14,10:37:00,14190,110,675751
98,2024-10-14,10:38:00,14190,110,677051
99,2024-10-14,10:39:00,14190,110,677680
100,2024-10-14,10:40:00,14190,110,677815
101,2024-10-14,10:41:00,14180,100,678287
102,2024-10-14,10:42:00,14190,110,678515
