,date,time,price,change,volume
0,2025-07-02,09:00:00,61200,1100,74124
1,2025-07-02,09:01:00,60900,800,99873
2,2025-07-02,09:02:00,60500,400,149015
3,2025-07-02,09:03:00,60200,100,182328
4,2025-07-02,09:04:00,60200,100,194270
5,2025-07-02,09:05:00,60500,400,209977
6,2025-07-02,09:06:00,60400,300,237371
7,2025-07-02,09:07:00,60200,100,267337
8,2025-07-02,09:08:00,60200,100,279696
9,2025-07-02,09:09:00,60000,-100,302603
10,2025-07-02,09:10:00,59700,-400,315799
11,2025-07-02,09:11:00,59900,-200,354999
12,2025-07-02,09:12:00,59600,-500,366943
13,2025-07-02,09:13:00,59800,-300,385200
14,2025-07-02,09:14:00,59900,-200,394400
15,2025-07-02,09:15:00,60200,100,412458
16,2025-07-02,09:16:00,60100,0,429107
17,2025-07-02,09:17:00,60000,-100,443414
18,2025-07-02,09:18:00,59900,-200,452490
19,2025-07-02,09:19:00,60200,100,462575
20,2025-07-02,09:20:00,60400,300,469729
21,2025-07-02,09:21:00,60200,100,481551
22,2025-07-02,09:22:00,60000,-100,493105
23,2025-07-02,09:23:00,60000,-100,497111
24,2025-07-02,09:24:00,60100,0,508728
25,2025-07-02,09:25:00,59900,-200,519372
26,2025-07-02,09:26:00,59900,-200,538114
27,2025-07-02,09:27:00,59900,-200,554023
28,2025-07-02,09:28:00,59900,-200,560233
29,2025-07-02,09:29:00,59700,-400,574885
30,2025-07-02,09:30:00,59600,-500,590748
31,2025-07-02,09:31:00,59900,-200,611189
32,2025-07-02,09:32:00,60100,0,624942
33,2025-07-02,09:33:00,59900,-200,639675
34,2025-07-02,09:34:00,59900,-200,645859
35,2025-07-02,09:35:00,59800,-300,660254
36,2025-07-02,09:36:00,59700,-400,685130
37,2025-07-02,09:37:00,59600,-500,693014
38,2025-07-02,09:38:00,59600,-500,772687
39,2025-07-02,09:39:00,59400,-700,797485
40,2025-07-02,09:40:00,59300,-800,806500
41,2025-07-02,09:41:00,59300,-800,829777
42,2025-07-02,09:42:00,59200,-900,837831
43,2025-07-02,09:43:00,59200,-900,852223
44,2025-07-02,09:44:00,59100,-1000,943808
45,2025-07-02,09:45:00,59000,-1100,961569
46,2025-07-02,09:46:00,58900,-1200,982462
47,2025-07-02,09:47:00,58600,-1500,1023598
