,date,time,price,change,volume
0,2025-10-15,09:00:00,51000,-200,6151
1,2025-10-15,09:01:00,51100,-100,6998
2,2025-10-15,09:02:00,51000,-200,8262
3,2025-10-15,09:03:00,51100,-100,11426
4,2025-10-15,09:04:00,51100,-100,11984
5,2025-10-15,09:05:00,51200,0,12583
6,2025-10-15,09:06:00,51100,-100,14437
7,2025-10-15,09:07:00,51100,-100,15184
8,2025-10-15,09:08:00,51200,0,15618
9,2025-10-15,09:09:00,51200,0,16129
10,2025-10-15,09:10:00,51200,0,16718
11,2025-10-15,09:11:00,51200,0,18481
12,2025-10-15,09:12:00,51200,0,19937
13,2025-10-15,09:13:00,51100,-100,20587
14,2025-10-15,09:14:00,51200,0,21307
15,2025-10-15,09:15:00,51100,-100,22092
16,2025-10-15,09:16:00,51200,0,22629
17,2025-10-15,09:17:00,51200,0,23092
18,2025-10-15,09:18:00,51050,-150,24222
19,2025-10-15,09:19:00,51050,-150,24285
20,2025-10-15,09:20:00,51050,-150,24334
21,2025-10-15,09:21:00,51100,-100,25172
22,2025-10-15,09:22:00,51000,-200,25647
23,2025-10-15,09:23:00,51000,-200,25914
24,2025-10-15,09:24:00,51000,-200,29379
25,2025-10-15,09:25:00,51000,-200,31830
26,2025-10-15,09:26:00,51000,-200,32094
27,2025-10-15,09:27:00,51100,-100,32772
28,2025-10-15,09:28:00,51000,-200,33010
29,2025-10-15,09:29:00,51000,-200,34396
30,2025-10-15,09:30:00,51100,-100,35090
31,2025-10-15,09:31:00,51000,-200,36551
32,2025-10-15,09:32:00,50900,-300,41509
33,2025-10-15,09:33:00,50900,-300,42532
34,2025-10-15,09:34:00,51000,-200,45417
35,2025-10-15,09:35:00,51100,-100,46652
36,2025-10-15,09:36:00,51000,-200,46906
37,2025-10-15,09:37:00,51100,-100,47127
38,2025-10-15,09:38:00,51000,-200,47349
39,2025-10-15,09:39:00,51000,-200,49338
40,2025-10-15,09:40:00,51000,-200,49997
41,2025-10-15,09:41:00,51000,-200,51186
42,2025-10-15,09:42:00,51000,-200,51810
43,2025-10-15,09:43:00,50950,-250,52244
44,2025-10-15,09:44:00,50950,-250,52489
45,2025-10-15,09:45:00,51000,-200,52741
46,2025-10-15,09:46:00,50950,-250,53288
47,2025-10-15,09:47:00,51000,-200,55970
48,2025-10-15,09:48:00,51100,-100,56787
49,2025-10-15,09:49:00,51000,-200,57336
50,2025-10-15,09:50:00,51000,-200,57607
51,2025-10-15,09:51:00,51000,-200,59506
52,2025-10-15,09:52:00,51100,-100,61414
53,2025-10-15,09:53:00,51000,-200,63153
54,2025-10-15,09:54:00,51000,-200,63213
55,2025-10-15,09:55:00,51100,-100,63668
56,2025-10-15,09:56:00,51000,-200,63737
57,2025-10-15,09:57:00,51000,-200,63880
58,2025-10-15,09:58:00,51100,-100,65180
59,2025-10-15,09:59:00,51200,0,65454
60,2025-10-15,10:00:00,51050,-150,65921
61,2025-10-15,10:01:00,51000,-200,67565
62,2025-10-15,10:02:00,50950,-250,67897
63,2025-10-15,10:03:00,50900,-300,69832
64,2025-10-15,10:04:00,50950,-250,70530
65,2025-10-15,10:05:00,51000,-200,71115
66,2025-10-15,10:06:00,50900,-300,71384
67,2025-10-15,10:07:00,50950,-250,71563
68,2025-10-15,10:08:00,50900,-300,71905
69,2025-10-15,10:09:00,50950,-250,72018
70,2025-10-15,10:10:00,50950,-250,72300
71,2025-10-15,10:11:00,51100,-100,74838
72,2025-10-15,10:12:00,51050,-150,75291
73,2025-10-15,10:13:00,51100,-100,75840
74,2025-10-15,10:14:00,51100,-100,76435
75,2025-10-15,10:15:00,51100,-100,77266
76,2025-10-15,10:16:00,51300,100,79258
77,2025-10-15,10:17:00,51600,400,90009
78,2025-10-15,10:18:00,51500,300,92620
79,2025-10-15,10:19:00,51600,400,93280
80,2025-10-15,10:20:00,51600,400,95906
81,2025-10-15,10:21:00,51600,400,96894
82,2025-10-15,10:22:00,51500,300,104481
83,2025-10-15,10:23:00,51500,300,105639
84,2025-10-15,10:24:00,51400,200,105927
85,2025-10-15,10:25:00,51500,300,106075
86,2025-10-15,10:26:00,51400,200,108360
87,2025-10-15,10:27:00,51400,200,108830
88,2025-10-15,10:28:00,51400,200,109278
89,2025-10-15,10:29:00,51400,200,109638
90,2025-10-15,10:30:00,51300,100,110716
91,2025-10-15,10:31:00,51400,200,111153
92,2025-10-15,10:32:00,51300,100,112316
93,2025-10-15,10:33:00,51300,100,112720
94,2025-10-15,10:34:00,51300,100,114307
95,2025-10-15,10:35:00,51400,200,114533
96,2025-10-15,10:36:00,51300,100,114719
97,2025-10-15,10:37:00,51300,100,114948
98,2025-10-15,10:38:00,51400,200,115120
99,2025-10-15,10:39:00,51300,100,116652
100,2025-10-15,10:40:00,51400,200,117557
101,2025-10-15,10:41:00,51400,200,119478
102,2025-10-15,10:42:00,51400,200,120420
103,2025-10-15,10:43:00,51400,200,120817
104,2025-10-15,10:44:00,51400,200,121074
105,2025-10-15,10:45:00,51600,400,123419
106,2025-10-15,10:46:00,51600,400,128819
107,2025-10-15,10:47:00,51700,500,133642
108,2025-10-15,10:48:00,51600,400,134732
109,2025-10-15,10:49:00,51500,300,135085
110,2025-10-15,10:50:00,51500,300,135634
111,2025-10-15,10:51:00,51600,400,135797
112,2025-10-15,10:52:00,51500,300,136147
113,2025-10-15,10:53:00,51500,300,136663
114,2025-10-15,10:54:00,51600,400,138134
115,2025-10-15,10:55:00,51500,300,138457
116,2025-10-15,10:56:00,51600,400,139235
117,2025-10-15,10:57:00,51550,350,139498
118,2025-10-15,10:58:00,51550,350,139974
119,2025-10-15,10:59:00,51450,250,140871
120,2025-10-15,11:00:00,51500,300,141461
121,2025-10-15,11:01:00,51500,300,142094
122,2025-10-15,11:02:00,51500,300,142313
123,2025-10-15,11:03:00,51500,300,142425
124,2025-10-15,11:04:00,51600,400,145615
125,2025-10-15,11:05:00,51700,500,146628
126,2025-10-15,11:06:00,51600,400,146947
127,2025-10-15,11:07:00,51600,400,147012
128,2025-10-15,11:08:00,51600,400,147155
129,2025-10-15,11:09:00,51700,500,147357
130,2025-10-15,11:10:00,51600,400,147578
131,2025-10-15,11:11:00,51600,400,147883
132,2025-10-15,11:12:00,51700,500,149679
133,2025-10-15,11:13:00,51600,400,150527
134,2025-10-15,11:14:00,51650,450,150595
135,2025-10-15,11:15:00,51650,450,151630
136,2025-10-15,11:16:00,51700,500,151810
137,2025-10-15,11:17:00,51700,500,153268
138,2025-10-15,11:18:00,51600,400,154427
139,2025-10-15,11:19:00,51600,400,154542
140,2025-10-15,11:20:00,51800,600,155951
141,2025-10-15,11:21:00,51700,500,156931
142,2025-10-15,11:22:00,51700,500,157109
143,2025-10-15,11:23:00,51700,500,157301
144,2025-10-15,11:24:00,51700,500,157440
145,2025-10-15,11:25:00,51700,500,157870
146,2025-10-15,11:26:00,51750,550,158046
147,2025-10-15,11:27:00,51700,500,158314
148,2025-10-15,11:28:00,51800,600,162577
149,2025-10-15,11:29:00,51600,400,163490
150,2025-10-15,11:30:00,51600,400,163677
151,2025-10-15,11:31:00,51600,400,163696
152,2025-10-15,11:32:00,51700,500,166043
153,2025-10-15,11:33:00,51700,500,166202
154,2025-10-15,11:34:00,51600,400,166770
155,2025-10-15,11:35:00,51600,400,166928
156,2025-10-15,11:36:00,51700,500,167083
157,2025-10-15,11:37:00,51700,500,167119
158,2025-10-15,11:38:00,51700,500,167421
159,2025-10-15,11:39:00,51700,500,168623
160,2025-10-15,11:40:00,51600,400,168999
161,2025-10-15,11:41:00,51700,500,169105
162,2025-10-15,11:42:00,51600,400,169274
163,2025-10-15,11:43:00,51600,400,169390
164,2025-10-15,11:44:00,51600,400,169539
165,2025-10-15,11:45:00,51600,400,169563
166,2025-10-15,11:46:00,51600,400,169678
167,2025-10-15,11:47:00,51600,400,170364
168,2025-10-15,11:48:00,51600,400,172680
169,2025-10-15,11:49:00,51500,300,173150
170,2025-10-15,11:50:00,51500,300,173242
171,2025-10-15,11:51:00,51500,300,173346
172,2025-10-15,11:52:00,51600,400,174159
173,2025-10-15,11:53:00,51500,300,176178
174,2025-10-15,11:54:00,51500,300,176245
175,2025-10-15,11:55:00,51600,400,176399
176,2025-10-15,11:56:00,51500,300,177344
177,2025-10-15,11:57:00,51600,400,177805
178,2025-10-15,11:58:00,51600,400,177920
179,2025-10-15,11:59:00,51600,400,178198
180,2025-10-15,12:00:00,51600,400,178769
181,2025-10-15,12:01:00,51600,400,180291
182,2025-10-15,12:02:00,51700,500,188432
183,2025-10-15,12:03:00,51700,500,189495
184,2025-10-15,12:04:00,51600,400,189779
185,2025-10-15,12:05:00,51700,500,190128
186,2025-10-15,12:06:00,51700,500,191060
187,2025-10-15,12:07:00,51700,500,191782
188,2025-10-15,12:08:00,51800,600,192122
189,2025-10-15,12:09:00,51700,500,192453
190,2025-10-15,12:10:00,51700,500,192682
191,2025-10-15,12:11:00,51700,500,193107
192,2025-10-15,12:12:00,51700,500,193330
193,2025-10-15,12:13:00,51750,550,193659
194,2025-10-15,12:14:00,51750,550,193945
195,2025-10-15,12:15:00,51700,500,194233
196,2025-10-15,12:16:00,51700,500,194620
197,2025-10-15,12:17:00,51750,550,194846
198,2025-10-15,12:18:00,51700,500,195191
199,2025-10-15,12:19:00,51700,500,195377
200,2025-10-15,12:20:00,51700,500,195638
201,2025-10-15,12:21:00,51700,500,196149
202,2025-10-15,12:22:00,51700,500,196339
203,2025-10-15,12:23:00,51800,600,196700
204,2025-10-15,12:24:00,51700,500,196950
205,2025-10-15,12:25:00,51700,500,197783
206,2025-10-15,12:26:00,51700,500,198426
207,2025-10-15,12:27:00,51700,500,198701
208,2025-10-15,12:28:00,51700,500,198995
209,2025-10-15,12:29:00,51750,550,200223
210,2025-10-15,12:30:00,51700,500,200754
211,2025-10-15,12:31:00,51750,550,201057
212,2025-10-15,12:32:00,51700,500,201353
213,2025-10-15,12:33:00,51700,500,201704
214,2025-10-15,12:34:00,51700,500,202119
215,2025-10-15,12:35:00,51700,500,202514
216,2025-10-15,12:36:00,51700,500,203238
217,2025-10-15,12:37:00,51650,450,204224
218,2025-10-15,12:38:00,51600,400,204405
219,2025-10-15,12:39:00,51650,450,204722
220,2025-10-15,12:40:00,51700,500,205666
221,2025-10-15,12:41:00,51600,400,206075
222,2025-10-15,12:42:00,51700,500,207021
223,2025-10-15,12:43:00,51700,500,207878
224,2025-10-15,12:44:00,51800,600,208449
225,2025-10-15,12:45:00,51800,600,208814
226,2025-10-15,12:46:00,51700,500,209000
227,2025-10-15,12:47:00,51700,500,209368
228,2025-10-15,12:48:00,51700,500,209500
229,2025-10-15,12:49:00,51700,500,209749
230,2025-10-15,12:50:00,51750,550,209948
231,2025-10-15,12:51:00,51800,600,210479
232,2025-10-15,12:52:00,51700,500,210768
233,2025-10-15,12:53:00,51700,500,210932
234,2025-10-15,12:54:00,51700,500,211220
235,2025-10-15,12:55:00,51700,500,211415
236,2025-10-15,12:56:00,51700,500,211528
237,2025-10-15,12:57:00,51750,550,211729
238,2025-10-15,12:58:00,51700,500,213347
239,2025-10-15,12:59:00,51750,550,213452
240,2025-10-15,13:00:00,51700,500,213988
241,2025-10-15,13:01:00,51700,500,214318
242,2025-10-15,13:02:00,51700,500,215184
243,2025-10-15,13:03:00,51800,600,215521
244,2025-10-15,13:04:00,51700,500,219990
245,2025-10-15,13:05:00,51700,500,220293
246,2025-10-15,13:06:00,51700,500,220856
247,2025-10-15,13:07:00,51700,500,224362
248,2025-10-15,13:08:00,51700,500,224770
249,2025-10-15,13:09:00,51700,500,224791
250,2025-10-15,13:10:00,51700,500,225077
251,2025-10-15,13:11:00,51700,500,225353
252,2025-10-15,13:12:00,51700,500,226099
253,2025-10-15,13:13:00,51700,500,226273
254,2025-10-15,13:14:00,51750,550,226400
255,2025-10-15,13:15:00,51700,500,226814
256,2025-10-15,13:16:00,51850,650,229932
257,2025-10-15,13:17:00,51800,600,230339
258,2025-10-15,13:18:00,51800,600,230586
259,2025-10-15,13:19:00,51800,600,234118
260,2025-10-15,13:20:00,51800,600,234934
261,2025-10-15,13:21:00,51800,600,236063
262,2025-10-15,13:22:00,51700,500,237499
263,2025-10-15,13:23:00,51800,600,239348
264,2025-10-15,13:24:00,51800,600,239505
265,2025-10-15,13:25:00,51800,600,239711
266,2025-10-15,13:26:00,51850,650,240309
267,2025-10-15,13:27:00,51800,600,241352
268,2025-10-15,13:28:00,51800,600,243132
269,2025-10-15,13:29:00,51800,600,244040
270,2025-10-15,13:30:00,51800,600,244242
271,2025-10-15,13:31:00,51850,650,244491
272,2025-10-15,13:32:00,51800,600,244570
273,2025-10-15,13:33:00,51900,700,250227
274,2025-10-15,13:34:00,51800,600,251375
275,2025-10-15,13:35:00,51800,600,251832
276,2025-10-15,13:36:00,51900,700,252158
277,2025-10-15,13:37:00,51800,600,252269
278,2025-10-15,13:38:00,51800,600,252621
279,2025-10-15,13:39:00,51900,700,255655
280,2025-10-15,13:40:00,51900,700,255813
281,2025-10-15,13:41:00,51900,700,256120
282,2025-10-15,13:42:00,51900,700,256309
283,2025-10-15,13:43:00,51900,700,256607
284,2025-10-15,13:44:00,51900,700,256889
285,2025-10-15,13:45:00,51900,700,260294
286,2025-10-15,13:46:00,51900,700,260524
287,2025-10-15,13:47:00,51900,700,261212
288,2025-10-15,13:48:00,51900,700,261516
289,2025-10-15,13:49:00,51900,700,261649
290,2025-10-15,13:50:00,51900,700,263104
291,2025-10-15,13:51:00,51900,700,263299
292,2025-10-15,13:52:00,51900,700,263547
293,2025-10-15,13:53:00,51900,700,263800
294,2025-10-15,13:54:00,51900,700,263919
295,2025-10-15,13:55:00,51950,750,264197
296,2025-10-15,13:56:00,51900,700,264362
297,2025-10-15,13:57:00,51900,700,264661
298,2025-10-15,13:58:00,51900,700,265532
299,2025-10-15,13:59:00,51700,500,273066
300,2025-10-15,14:00:00,51850,650,274868
301,2025-10-15,14:01:00,51800,600,275085
302,2025-10-15,14:02:00,51900,700,275184
303,2025-10-15,14:03:00,51800,600,275837
304,2025-10-15,14:04:00,51900,700,288074
305,2025-10-15,14:05:00,51900,700,288497
306,2025-10-15,14:06:00,51900,700,288525
307,2025-10-15,14:07:00,51900,700,288717
308,2025-10-15,14:08:00,52100,900,295525
309,2025-10-15,14:09:00,52200,1000,296749
310,2025-10-15,14:10:00,52100,900,297588
311,2025-10-15,14:11:00,52100,900,297786
312,2025-10-15,14:12:00,52100,900,297990
313,2025-10-15,14:13:00,52200,1000,298147
314,2025-10-15,14:14:00,52100,900,298408
315,2025-10-15,14:15:00,52200,1000,298650
316,2025-10-15,14:16:00,52150,950,298919
317,2025-10-15,14:17:00,52100,900,301806
318,2025-10-15,14:18:00,52100,900,308065
319,2025-10-15,14:19:00,51900,700,312182
320,2025-10-15,14:20:00,52000,800,314436
321,2025-10-15,14:21:00,52000,800,314615
322,2025-10-15,14:22:00,52100,900,315325
323,2025-10-15,14:23:00,52100,900,315971
324,2025-10-15,14:24:00,52100,900,316536
325,2025-10-15,14:25:00,52000,800,316945
326,2025-10-15,14:26:00,52000,800,317218
327,2025-10-15,14:27:00,52000,800,317918
328,2025-10-15,14:28:00,51900,700,318309
329,2025-10-15,14:29:00,51900,700,318342
330,2025-10-15,14:30:00,51900,700,318480
331,2025-10-15,14:31:00,52000,800,318543
332,2025-10-15,14:32:00,51900,700,318694
333,2025-10-15,14:33:00,52000,800,320373
334,2025-10-15,14:34:00,52000,800,320597
335,2025-10-15,14:35:00,51900,700,320934
336,2025-10-15,14:36:00,51900,700,321075
337,2025-10-15,14:37:00,51900,700,321354
338,2025-10-15,14:38:00,51900,700,321539
339,2025-10-15,14:39:00,51900,700,321775
340,2025-10-15,14:40:00,51900,700,322153
341,2025-10-15,14:41:00,52000,800,322976
342,2025-10-15,14:42:00,51900,700,323302
343,2025-10-15,14:43:00,51900,700,323694
344,2025-10-15,14:44:00,51900,700,325061
345,2025-10-15,14:45:00,51900,700,325501
346,2025-10-15,14:46:00,51900,700,326669
347,2025-10-15,14:47:00,51900,700,326858
348,2025-10-15,14:48:00,52000,800,327041
349,2025-10-15,14:49:00,51800,600,330987
350,2025-10-15,14:50:00,51800,600,331234
351,2025-10-15,14:51:00,51800,600,331960
352,2025-10-15,14:52:00,51900,700,334417
353,2025-10-15,14:53:00,51900,700,335491
354,2025-10-15,14:54:00,51900,700,336828
355,2025-10-15,14:55:00,51900,700,337826
356,2025-10-15,14:56:00,51800,600,338197
357,2025-10-15,14:57:00,51800,600,338271
358,2025-10-15,14:58:00,51900,700,339660
359,2025-10-15,14:59:00,51800,600,339808
360,2025-10-15,15:00:00,51800,600,340693
361,2025-10-15,15:01:00,51800,600,341316
362,2025-10-15,15:02:00,51800,600,341760
363,2025-10-15,15:03:00,51900,700,343106
364,2025-10-15,15:04:00,51900,700,343297
365,2025-10-15,15:05:00,51850,650,343402
366,2025-10-15,15:06:00,51850,650,343619
367,2025-10-15,15:07:00,51800,600,344111
368,2025-10-15,15:08:00,51800,600,344572
369,2025-10-15,15:09:00,51700,500,349157
370,2025-10-15,15:10:00,51700,500,349465
371,2025-10-15,15:11:00,51800,600,353524
372,2025-10-15,15:12:00,51800,600,355891
373,2025-10-15,15:13:00,51700,500,357348
374,2025-10-15,15:14:00,51800,600,359291
375,2025-10-15,15:15:00,51800,600,360010
376,2025-10-15,15:16:00,51700,500,361962
377,2025-10-15,15:17:00,51700,500,362197
378,2025-10-15,15:18:00,51800,600,362553
379,2025-10-15,15:19:00,51800,600,363872
380,2025-10-15,15:30:00,51800,600,381613
381,2025-10-15,15:43:00,51800,600,381615
382,2025-10-15,15:44:00,51800,600,381616
