,date,time,price,change,volume
0,2025-02-10,09:00:00,86400,400,66679
1,2025-02-10,09:01:00,85600,-400,84256
2,2025-02-10,09:02:00,85800,-200,90675
3,2025-02-10,09:03:00,85800,-200,99688
4,2025-02-10,09:04:00,85900,-100,104595
5,2025-02-10,09:05:00,85900,-100,110559
6,2025-02-10,09:06:00,85800,-200,122493
7,2025-02-10,09:07:00,86000,0,126792
8,2025-02-10,09:08:00,85800,-200,133446
9,2025-02-10,09:09:00,85800,-200,136431
10,2025-02-10,09:10:00,85700,-300,145479
11,2025-02-10,09:11:00,85800,-200,159664
12,2025-02-10,09:12:00,85900,-100,160982
13,2025-02-10,09:13:00,85900,-100,165860
14,2025-02-10,09:14:00,85900,-100,167900
15,2025-02-10,09:15:00,86000,0,169930
16,2025-02-10,09:16:00,85900,-100,179599
17,2025-02-10,09:17:00,85900,-100,182495
18,2025-02-10,09:18:00,85900,-100,183946
19,2025-02-10,09:19:00,85900,-100,187743
20,2025-02-10,09:20:00,86000,0,192428
21,2025-02-10,09:21:00,86000,0,193939
22,2025-02-10,09:22:00,86100,100,199603
23,2025-02-10,09:23:00,85900,-100,204724
24,2025-02-10,09:24:00,85900,-100,209255
25,2025-02-10,09:25:00,85700,-300,213453
26,2025-02-10,09:26:00,85800,-200,216161
27,2025-02-10,09:27:00,85800,-200,220139
28,2025-02-10,09:28:00,85700,-300,222180
29,2025-02-10,09:29:00,85700,-300,225884
30,2025-02-10,09:30:00,85800,-200,227081
31,2025-02-10,09:31:00,85800,-200,235185
32,2025-02-10,09:32:00,85900,-100,236961
33,2025-02-10,09:33:00,86000,0,251597
34,2025-02-10,09:34:00,86000,0,259172
35,2025-02-10,09:35:00,86100,100,264503
36,2025-02-10,09:36:00,86000,0,266904
37,2025-02-10,09:37:00,85700,-300,276685
38,2025-02-10,09:38:00,85700,-300,282028
39,2025-02-10,09:39:00,85800,-200,283450
40,2025-02-10,09:40:00,85600,-400,286830
41,2025-02-10,09:41:00,85600,-400,288158
42,2025-02-10,09:42:00,85800,-200,290032
43,2025-02-10,09:43:00,85700,-300,295009
44,2025-02-10,09:44:00,85600,-400,297385
45,2025-02-10,09:45:00,85700,-300,299769
46,2025-02-10,09:46:00,85600,-400,300664
47,2025-02-10,09:47:00,85700,-300,304606
48,2025-02-10,09:48:00,85700,-300,306072
49,2025-02-10,09:49:00,85800,-200,307999
50,2025-02-10,09:50:00,85700,-300,308623
51,2025-02-10,09:51:00,85700,-300,317869
52,2025-02-10,09:52:00,85800,-200,322951
53,2025-02-10,09:53:00,85800,-200,324839
54,2025-02-10,09:54:00,85900,-100,327157
55,2025-02-10,09:55:00,85800,-200,329292
56,2025-02-10,09:56:00,85800,-200,331043
57,2025-02-10,09:57:00,86000,0,336315
58,2025-02-10,09:58:00,86000,0,344313
59,2025-02-10,09:59:00,86000,0,353426
60,2025-02-10,10:00:00,86000,0,355469
61,2025-02-10,10:01:00,86100,100,358848
62,2025-02-10,10:02:00,86000,0,363500
63,2025-02-10,10:03:00,86000,0,365134
64,2025-02-10,10:04:00,86000,0,366425
65,2025-02-10,10:05:00,85900,-100,368688
66,2025-02-10,10:06:00,85900,-100,371943
67,2025-02-10,10:07:00,85900,-100,374445
68,2025-02-10,10:08:00,85900,-100,376884
69,2025-02-10,10:09:00,85900,-100,378149
70,2025-02-10,10:10:00,85900,-100,380581
71,2025-02-10,10:11:00,85900,-100,382432
72,2025-02-10,10:12:00,86100,100,389585
73,2025-02-10,10:13:00,85900,-100,394021
74,2025-02-10,10:14:00,85900,-100,396180
75,2025-02-10,10:15:00,86000,0,398208
76,2025-02-10,10:16:00,86000,0,399878
77,2025-02-10,10:17:00,86000,0,401309
78,2025-02-10,10:18:00,86000,0,402289
79,2025-02-10,10:19:00,86000,0,404975
80,2025-02-10,10:20:00,86000,0,406728
81,2025-02-10,10:21:00,86000,0,410239
82,2025-02-10,10:22:00,85900,-100,412610
83,2025-02-10,10:23:00,86000,0,414990
84,2025-02-10,10:24:00,85900,-100,418473
85,2025-02-10,10:25:00,85900,-100,419717
86,2025-02-10,10:26:00,85900,-100,423511
87,2025-02-10,10:27:00,85900,-100,424683
88,2025-02-10,10:28:00,85900,-100,427063
89,2025-02-10,10:29:00,86000,0,430286
90,2025-02-10,10:30:00,86000,0,434064
91,2025-02-10,10:31:00,86000,0,435843
92,2025-02-10,10:32:00,86000,0,438567
93,2025-02-10,10:33:00,86000,0,441458
94,2025-02-10,10:34:00,85900,-100,442400
95,2025-02-10,10:35:00,85900,-100,444985
96,2025-02-10,10:36:00,85900,-100,446372
97,2025-02-10,10:37:00,85800,-200,450476
98,2025-02-10,10:38:00,85900,-100,451779
99,2025-02-10,10:39:00,85800,-200,454952
100,2025-02-10,10:40:00,85900,-100,456811
101,2025-02-10,10:41:00,85800,-200,459073
102,2025-02-10,10:42:00,86000,0,461872
103,2025-02-10,10:43:00,86000,0,463918
104,2025-02-10,10:44:00,85900,-100,466981
105,2025-02-10,10:45:00,85900,-100,468361
106,2025-02-10,10:46:00,85900,-100,471006
107,2025-02-10,10:47:00,86000,0,473325
