,date,time,price,change,volume
0,2024-12-17,09:00:00,95700,400,20831
1,2024-12-17,09:01:00,96100,800,29449
2,2024-12-17,09:02:00,96400,1100,42200
3,2024-12-17,09:03:00,96500,1200,59423
4,2024-12-17,09:04:00,96400,1100,65010
5,2024-12-17,09:05:00,96400,1100,76551
6,2024-12-17,09:06:00,96900,1600,88434
7,2024-12-17,09:07:00,96900,1600,94555
8,2024-12-17,09:08:00,96600,1300,99185
9,2024-12-17,09:09:00,96500,1200,103606
10,2024-12-17,09:10:00,96400,1100,106461
11,2024-12-17,09:11:00,96200,900,109315
12,2024-12-17,09:12:00,96300,1000,111030
13,2024-12-17,09:13:00,96400,1100,112453
14,2024-12-17,09:14:00,96300,1000,114585
15,2024-12-17,09:15:00,96300,1000,116949
16,2024-12-17,09:16:00,95900,600,121725
17,2024-12-17,09:17:00,96000,700,127743
18,2024-12-17,09:18:00,96100,800,128468
19,2024-12-17,09:19:00,95900,600,133373
20,2024-12-17,09:20:00,95900,600,135541
21,2024-12-17,09:21:00,95800,500,138186
22,2024-12-17,09:22:00,95700,400,140702
23,2024-12-17,09:23:00,95500,200,146875
24,2024-12-17,09:24:00,95700,400,157382
25,2024-12-17,09:25:00,95800,500,157845
26,2024-12-17,09:26:00,95800,500,159740
27,2024-12-17,09:27:00,96000,700,160948
28,2024-12-17,09:28:00,96000,700,161517
29,2024-12-17,09:29:00,95900,600,162165
30,2024-12-17,09:30:00,96000,700,163151
31,2024-12-17,09:31:00,95900,600,166115
32,2024-12-17,09:32:00,96000,700,169683
33,2024-12-17,09:33:00,96000,700,171381
34,2024-12-17,09:34:00,95900,600,173104
35,2024-12-17,09:35:00,95800,500,173394
36,2024-12-17,09:36:00,95900,600,175515
37,2024-12-17,09:37:00,96100,800,177783
38,2024-12-17,09:38:00,95900,600,181661
39,2024-12-17,09:39:00,95900,600,183204
40,2024-12-17,09:40:00,96000,700,190899
41,2024-12-17,09:41:00,95900,600,191641
42,2024-12-17,09:42:00,96000,700,193000
43,2024-12-17,09:43:00,96100,800,194742
44,2024-12-17,09:44:00,96100,800,195586
45,2024-12-17,09:45:00,96100,800,196218
46,2024-12-17,09:46:00,96100,800,196898
47,2024-12-17,09:47:00,96100,800,197372
48,2024-12-17,09:48:00,96200,900,201953
49,2024-12-17,09:49:00,96100,800,204252
50,2024-12-17,09:50:00,96300,1000,211393
51,2024-12-17,09:51:00,96300,1000,211956
52,2024-12-17,09:52:00,96200,900,213891
53,2024-12-17,09:53:00,96200,900,214409
54,2024-12-17,09:54:00,96200,900,215054
55,2024-12-17,09:55:00,96200,900,216013
56,2024-12-17,09:56:00,96200,900,217685
57,2024-12-17,09:57:00,96100,800,218831
58,2024-12-17,09:58:00,96000,700,219908
59,2024-12-17,09:59:00,96000,700,220254
60,2024-12-17,10:00:00,96000,700,221132
61,2024-12-17,10:01:00,96000,700,222060
62,2024-12-17,10:02:00,96000,700,222640
63,2024-12-17,10:03:00,96000,700,224655
64,2024-12-17,10:04:00,96200,900,226897
65,2024-12-17,10:05:00,96100,800,227458
66,2024-12-17,10:06:00,96100,800,227829
67,2024-12-17,10:07:00,96200,900,228550
68,2024-12-17,10:08:00,96200,900,230388
69,2024-12-17,10:09:00,96200,900,231256
70,2024-12-17,10:10:00,96200,900,232397
71,2024-12-17,10:11:00,96200,900,232903
72,2024-12-17,10:12:00,96300,1000,237454
73,2024-12-17,10:13:00,96300,1000,238258
74,2024-12-17,10:14:00,96300,1000,239046
75,2024-12-17,10:15:00,96300,1000,239825
76,2024-12-17,10:16:00,96100,800,245433
77,2024-12-17,10:17:00,96100,800,246816
78,2024-12-17,10:18:00,96200,900,247995
79,2024-12-17,10:19:00,96300,1000,254006
80,2024-12-17,10:20:00,96400,1100,254470
81,2024-12-17,10:21:00,96600,1300,270674
82,2024-12-17,10:22:00,96500,1200,271648
83,2024-12-17,10:23:00,96500,1200,272368
84,2024-12-17,10:24:00,96500,1200,273596
85,2024-12-17,10:25:00,96600,1300,274684
86,2024-12-17,10:26:00,96600,1300,275713
87,2024-12-17,10:27:00,96500,1200,278033
88,2024-12-17,10:28:00,96700,1400,290634
89,2024-12-17,10:29:00,96800,1500,291178
90,2024-12-17,10:30:00,96500,1200,297491
91,2024-12-17,10:31:00,96500,1200,298203
92,2024-12-17,10:32:00,96600,1300,299078
93,2024-12-17,10:33:00,96500,1200,299614
94,2024-12-17,10:34:00,96500,1200,300304
95,2024-12-17,10:35:00,96600,1300,301088
96,2024-12-17,10:36:00,96500,1200,302688
97,2024-12-17,10:37:00,96500,1200,304346
98,2024-12-17,10:38:00,96500,1200,305435
99,2024-12-17,10:39:00,96500,1200,306222
100,2024-12-17,10:40:00,96600,1300,307343
101,2024-12-17,10:41:00,96500,1200,308378
102,2024-12-17,10:42:00,96500,1200,309318
103,2024-12-17,10:43:00,96600,1300,310455
104,2024-12-17,10:44:00,96500,1200,311397
105,2024-12-17,10:45:00,96500,1200,312367
106,2024-12-17,10:46:00,96600,1300,313302
107,2024-12-17,10:47:00,96700,1400,319374
108,2024-12-17,10:48:00,96600,1300,320654
109,2024-12-17,10:49:00,96700,1400,321834
110,2024-12-17,10:50:00,96800,1500,324495
111,2024-12-17,10:51:00,96800,1500,325191
112,2024-12-17,10:52:00,96800,1500,326791
113,2024-12-17,10:53:00,96800,1500,331692
114,2024-12-17,10:54:00,96800,1500,332637
115,2024-12-17,10:55:00,96900,1600,333560
116,2024-12-17,10:56:00,96800,1500,336573
117,2024-12-17,10:57:00,96900,1600,337787
118,2024-12-17,10:58:00,97000,1700,342609
119,2024-12-17,10:59:00,96900,1600,343509
120,2024-12-17,11:00:00,97000,1700,354118
121,2024-12-17,11:01:00,97100,1800,355814
122,2024-12-17,11:02:00,97000,1700,359690
123,2024-12-17,11:03:00,97100,1800,361406
124,2024-12-17,11:04:00,97100,1800,362415
125,2024-12-17,11:05:00,97100,1800,363607
126,2024-12-17,11:06:00,97100,1800,364688
127,2024-12-17,11:07:00,97100,1800,369527
128,2024-12-17,11:08:00,97200,1900,370412
129,2024-12-17,11:09:00,97200,1900,372076
130,2024-12-17,11:10:00,97100,1800,383923
131,2024-12-17,11:11:00,97100,1800,390357
132,2024-12-17,11:12:00,96900,1600,400735
133,2024-12-17,11:13:00,96700,1400,406416
134,2024-12-17,11:14:00,96800,1500,409383
135,2024-12-17,11:15:00,96800,1500,416572
136,2024-12-17,11:16:00,96800,1500,421121
137,2024-12-17,11:17:00,96900,1600,421875
138,2024-12-17,11:18:00,97000,1700,424904
139,2024-12-17,11:19:00,96800,1500,425795
140,2024-12-17,11:20:00,96800,1500,426824
141,2024-12-17,11:21:00,96900,1600,428323
142,2024-12-17,11:22:00,96900,1600,429456
143,2024-12-17,11:23:00,97000,1700,431328
144,2024-12-17,11:24:00,97000,1700,432015
145,2024-12-17,11:25:00,96900,1600,435682
146,2024-12-17,11:26:00,96900,1600,437182
147,2024-12-17,11:27:00,97000,1700,441474
148,2024-12-17,11:28:00,97000,1700,442641
149,2024-12-17,11:29:00,96900,1600,446260
150,2024-12-17,11:30:00,96800,1500,447078
151,2024-12-17,11:31:00,96800,1500,448362
152,2024-12-17,11:32:00,96800,1500,449031
153,2024-12-17,11:33:00,96900,1600,450228
154,2024-12-17,11:34:00,96900,1600,450980
155,2024-12-17,11:35:00,97000,1700,452605
156,2024-12-17,11:36:00,97000,1700,453594
157,2024-12-17,11:37:00,97000,1700,454572
158,2024-12-17,11:38:00,97000,1700,455446
159,2024-12-17,11:39:00,96900,1600,456491
160,2024-12-17,11:40:00,96900,1600,457321
161,2024-12-17,11:41:00,96800,1500,458278
162,2024-12-17,11:42:00,96900,1600,459112
163,2024-12-17,11:43:00,96800,1500,459829
164,2024-12-17,11:44:00,96700,1400,462142
165,2024-12-17,11:45:00,96900,1600,462846
166,2024-12-17,11:46:00,96900,1600,464378
167,2024-12-17,11:47:00,97000,1700,465514
168,2024-12-17,11:48:00,97000,1700,467601
169,2024-12-17,11:49:00,96900,1600,469560
170,2024-12-17,11:50:00,96900,1600,470934
171,2024-12-17,11:51:00,96800,1500,471962
172,2024-12-17,11:52:00,96800,1500,472829
173,2024-12-17,11:53:00,97000,1700,474072
174,2024-12-17,11:54:00,97000,1700,476258
175,2024-12-17,11:55:00,97000,1700,477329
176,2024-12-17,11:56:00,97000,1700,478558
177,2024-12-17,11:57:00,97100,1800,480836
178,2024-12-17,11:58:00,96900,1600,483408
179,2024-12-17,11:59:00,96900,1600,484378
180,2024-12-17,12:00:00,97000,1700,486095
181,2024-12-17,12:01:00,96800,1500,487764
182,2024-12-17,12:02:00,96900,1600,492181
183,2024-12-17,12:03:00,96800,1500,492935
184,2024-12-17,12:04:00,96800,1500,493554
185,2024-12-17,12:05:00,96900,1600,494654
186,2024-12-17,12:06:00,96800,1500,495716
187,2024-12-17,12:07:00,96800,1500,496788
188,2024-12-17,12:08:00,96800,1500,497688
189,2024-12-17,12:09:00,96800,1500,498430
190,2024-12-17,12:10:00,96800,1500,499101
191,2024-12-17,12:11:00,96800,1500,499791
192,2024-12-17,12:12:00,96800,1500,500777
193,2024-12-17,12:13:00,96800,1500,503420
194,2024-12-17,12:14:00,96800,1500,504055
195,2024-12-17,12:15:00,96900,1600,504947
196,2024-12-17,12:16:00,96900,1600,505672
197,2024-12-17,12:17:00,96700,1400,509180
198,2024-12-17,12:18:00,96700,1400,510635
199,2024-12-17,12:19:00,96700,1400,511559
200,2024-12-17,12:20:00,96800,1500,512780
201,2024-12-17,12:21:00,96800,1500,513807
202,2024-12-17,12:22:00,96900,1600,514608
203,2024-12-17,12:23:00,96900,1600,515354
204,2024-12-17,12:24:00,96900,1600,515979
205,2024-12-17,12:25:00,96900,1600,516730
206,2024-12-17,12:26:00,96900,1600,517370
207,2024-12-17,12:27:00,96800,1500,518254
208,2024-12-17,12:28:00,96900,1600,518809
209,2024-12-17,12:29:00,96800,1500,519567
210,2024-12-17,12:30:00,96900,1600,520376
211,2024-12-17,12:31:00,96900,1600,521164
212,2024-12-17,12:32:00,96800,1500,521847
213,2024-12-17,12:33:00,96900,1600,522630
214,2024-12-17,12:34:00,96900,1600,523830
215,2024-12-17,12:35:00,96900,1600,524906
216,2024-12-17,12:36:00,96900,1600,525668
217,2024-12-17,12:37:00,96800,1500,526206
218,2024-12-17,12:38:00,96900,1600,527172
219,2024-12-17,12:39:00,96900,1600,527829
220,2024-12-17,12:40:00,96900,1600,528544
221,2024-12-17,12:41:00,96900,1600,532108
222,2024-12-17,12:42:00,96900,1600,532923
223,2024-12-17,12:43:00,96800,1500,533728
224,2024-12-17,12:44:00,96900,1600,534471
225,2024-12-17,12:45:00,96800,1500,535538
226,2024-12-17,12:46:00,96900,1600,536482
227,2024-12-17,12:47:00,96900,1600,537291
228,2024-12-17,12:48:00,96600,1300,547874
229,2024-12-17,12:49:00,96500,1200,550511
230,2024-12-17,12:50:00,96700,1400,558473
231,2024-12-17,12:51:00,96600,1300,559661
232,2024-12-17,12:52:00,96600,1300,561218
233,2024-12-17,12:53:00,96700,1400,562324
234,2024-12-17,12:54:00,96600,1300,563727
235,2024-12-17,12:55:00,96600,1300,565265
236,2024-12-17,12:56:00,96600,1300,566265
237,2024-12-17,12:57:00,96600,1300,566823
238,2024-12-17,12:58:00,96600,1300,568257
239,2024-12-17,12:59:00,96500,1200,574473
240,2024-12-17,13:00:00,96300,1000,575772
241,2024-12-17,13:01:00,96400,1100,576399
242,2024-12-17,13:02:00,96300,1000,578690
243,2024-12-17,13:03:00,96300,1000,580853
244,2024-12-17,13:04:00,96100,800,583368
245,2024-12-17,13:05:00,96100,800,584247
246,2024-12-17,13:06:00,96100,800,585265
247,2024-12-17,13:07:00,96200,900,586313
248,2024-12-17,13:08:00,96300,1000,590374
249,2024-12-17,13:09:00,96300,1000,591577
250,2024-12-17,13:10:00,96300,1000,592715
251,2024-12-17,13:11:00,96200,900,593608
252,2024-12-17,13:12:00,96300,1000,594625
253,2024-12-17,13:13:00,96300,1000,595387
254,2024-12-17,13:14:00,96100,800,599073
255,2024-12-17,13:15:00,96100,800,600086
256,2024-12-17,13:16:00,96200,900,600978
257,2024-12-17,13:17:00,96200,900,603414
258,2024-12-17,13:18:00,96100,800,603969
259,2024-12-17,13:19:00,96100,800,605258
260,2024-12-17,13:20:00,96100,800,608143
261,2024-12-17,13:21:00,96100,800,608969
262,2024-12-17,13:22:00,96100,800,609846
263,2024-12-17,13:23:00,96100,800,610606
264,2024-12-17,13:24:00,96000,700,611348
265,2024-12-17,13:25:00,96100,800,612698
266,2024-12-17,13:26:00,96000,700,613574
267,2024-12-17,13:27:00,96000,700,615319
268,2024-12-17,13:28:00,96000,700,615977
269,2024-12-17,13:29:00,96000,700,624917
270,2024-12-17,13:30:00,96000,700,628144
271,2024-12-17,13:31:00,95900,600,628855
272,2024-12-17,13:32:00,95900,600,629840
273,2024-12-17,13:33:00,96000,700,630493
274,2024-12-17,13:34:00,96100,800,635008
275,2024-12-17,13:35:00,96000,700,636170
276,2024-12-17,13:36:00,96000,700,636748
277,2024-12-17,13:37:00,96000,700,639126
278,2024-12-17,13:38:00,95900,600,643193
279,2024-12-17,13:39:00,95900,600,647049
280,2024-12-17,13:40:00,96000,700,648202
281,2024-12-17,13:41:00,95900,600,649133
282,2024-12-17,13:42:00,96000,700,650101
283,2024-12-17,13:43:00,96000,700,651167
284,2024-12-17,13:44:00,96000,700,651927
285,2024-12-17,13:45:00,95900,600,652972
286,2024-12-17,13:46:00,96000,700,653788
287,2024-12-17,13:47:00,95900,600,654802
288,2024-12-17,13:48:00,96000,700,656793
289,2024-12-17,13:49:00,96000,700,657542
290,2024-12-17,13:50:00,96000,700,658786
291,2024-12-17,13:51:00,95900,600,664324
292,2024-12-17,13:52:00,95900,600,669772
293,2024-12-17,13:53:00,95800,500,672555
294,2024-12-17,13:54:00,95800,500,674109
295,2024-12-17,13:55:00,95800,500,675300
296,2024-12-17,13:56:00,95800,500,676353
297,2024-12-17,13:57:00,95900,600,681788
298,2024-12-17,13:58:00,95900,600,683078
299,2024-12-17,13:59:00,96000,700,687820
300,2024-12-17,14:00:00,96000,700,688794
301,2024-12-17,14:01:00,96000,700,690017
302,2024-12-17,14:02:00,96000,700,692515
303,2024-12-17,14:03:00,96000,700,693501
304,2024-12-17,14:04:00,96100,800,694688
305,2024-12-17,14:05:00,96100,800,695617
306,2024-12-17,14:06:00,96000,700,696917
307,2024-12-17,14:07:00,96000,700,698829
308,2024-12-17,14:08:00,95800,500,703543
309,2024-12-17,14:09:00,95900,600,705145
310,2024-12-17,14:10:00,95900,600,707168
311,2024-12-17,14:11:00,95900,600,708506
312,2024-12-17,14:12:00,95900,600,709529
313,2024-12-17,14:13:00,95900,600,710709
314,2024-12-17,14:14:00,95900,600,711510
315,2024-12-17,14:15:00,95900,600,713330
316,2024-12-17,14:16:00,95900,600,715201
317,2024-12-17,14:17:00,95900,600,719242
318,2024-12-17,14:18:00,95900,600,720539
319,2024-12-17,14:19:00,95900,600,721458
320,2024-12-17,14:20:00,95900,600,722637
321,2024-12-17,14:21:00,95900,600,724298
322,2024-12-17,14:22:00,95900,600,726270
323,2024-12-17,14:23:00,95800,500,729918
324,2024-12-17,14:24:00,95900,600,730948
325,2024-12-17,14:25:00,96000,700,732861
326,2024-12-17,14:26:00,96000,700,734355
327,2024-12-17,14:27:00,96000,700,736309
328,2024-12-17,14:28:00,96000,700,737957
329,2024-12-17,14:29:00,96000,700,739082
330,2024-12-17,14:30:00,96000,700,740297
331,2024-12-17,14:31:00,96000,700,741371
332,2024-12-17,14:32:00,96000,700,742515
333,2024-12-17,14:33:00,95900,600,746139
334,2024-12-17,14:34:00,95900,600,749358
335,2024-12-17,14:35:00,95900,600,750453
336,2024-12-17,14:36:00,95800,500,751791
337,2024-12-17,14:37:00,95700,400,763724
338,2024-12-17,14:38:00,95700,400,764944
339,2024-12-17,14:39:00,95700,400,768296
340,2024-12-17,14:40:00,95700,400,769866
341,2024-12-17,14:41:00,95700,400,772274
342,2024-12-17,14:42:00,95900,600,789458
343,2024-12-17,14:43:00,95700,400,792366
344,2024-12-17,14:44:00,95900,600,794796
345,2024-12-17,14:45:00,95700,400,796562
346,2024-12-17,14:46:00,95800,500,798188
347,2024-12-17,14:47:00,95700,400,799410
348,2024-12-17,14:48:00,95800,500,800582
349,2024-12-17,14:49:00,95700,400,802043
350,2024-12-17,14:50:00,95600,300,805913
351,2024-12-17,14:51:00,95700,400,807014
352,2024-12-17,14:52:00,95600,300,808448
353,2024-12-17,14:53:00,95700,400,810315
354,2024-12-17,14:54:00,95500,200,817968
355,2024-12-17,14:55:00,95600,300,819255
356,2024-12-17,14:56:00,95600,300,820778
357,2024-12-17,14:57:00,95600,300,822542
358,2024-12-17,14:58:00,95500,200,823862
359,2024-12-17,14:59:00,95500,200,826937
360,2024-12-17,15:00:00,95600,300,829045
361,2024-12-17,15:01:00,95600,300,830817
362,2024-12-17,15:02:00,95500,200,832329
363,2024-12-17,15:03:00,95600,300,833749
364,2024-12-17,15:04:00,95800,500,851015
365,2024-12-17,15:05:00,95800,500,852307
366,2024-12-17,15:06:00,95800,500,854615
367,2024-12-17,15:07:00,95700,400,856218
368,2024-12-17,15:08:00,95700,400,858661
369,2024-12-17,15:09:00,95700,400,867534
370,2024-12-17,15:10:00,95600,300,870631
371,2024-12-17,15:11:00,95900,600,879952
372,2024-12-17,15:12:00,95900,600,883194
373,2024-12-17,15:13:00,95900,600,885539
374,2024-12-17,15:14:00,96000,700,888052
375,2024-12-17,15:15:00,96000,700,890633
376,2024-12-17,15:16:00,95900,600,893731
377,2024-12-17,15:17:00,95800,500,895194
378,2024-12-17,15:18:00,95800,500,896406
379,2024-12-17,15:19:00,95700,400,901265
380,2024-12-17,15:30:00,95700,400,1013196
