,date,time,price,change,volume
0,2025-04-22,09:00:00,25375,75,81331
1,2025-04-22,09:01:00,25200,-100,115367
2,2025-04-22,09:02:00,25075,-225,160545
3,2025-04-22,09:03:00,25050,-250,179765
4,2025-04-22,09:04:00,25100,-200,206253
5,2025-04-22,09:05:00,25100,-200,219199
6,2025-04-22,09:06:00,25100,-200,224472
7,2025-04-22,09:07:00,25100,-200,226426
8,2025-04-22,09:08:00,25250,-50,241239
9,2025-04-22,09:09:00,25275,-25,243760
10,2025-04-22,09:10:00,25300,0,250847
11,2025-04-22,09:11:00,25300,0,256292
12,2025-04-22,09:12:00,25150,-150,276712
13,2025-04-22,09:13:00,25200,-100,288907
14,2025-04-22,09:14:00,25200,-100,292318
15,2025-04-22,09:15:00,25150,-150,298298
16,2025-04-22,09:16:00,25200,-100,302162
17,2025-04-22,09:17:00,25100,-200,314466
18,2025-04-22,09:18:00,25150,-150,316371
19,2025-04-22,09:19:00,25100,-200,318020
20,2025-04-22,09:20:00,25050,-250,340134
21,2025-04-22,09:21:00,25100,-200,355680
22,2025-04-22,09:22:00,25050,-250,380610
23,2025-04-22,09:23:00,25000,-300,408633
24,2025-04-22,09:24:00,25000,-300,413529
25,2025-04-22,09:25:00,25000,-300,428186
26,2025-04-22,09:26:00,25100,-200,438344
27,2025-04-22,09:27:00,25050,-250,442335
28,2025-04-22,09:28:00,25050,-250,444108
29,2025-04-22,09:29:00,25050,-250,453696
30,2025-04-22,09:30:00,25050,-250,461097
31,2025-04-22,09:31:00,25050,-250,467807
32,2025-04-22,09:32:00,25000,-300,473422
33,2025-04-22,09:33:00,25000,-300,482615
34,2025-04-22,09:34:00,25050,-250,484663
35,2025-04-22,09:35:00,25050,-250,488461
36,2025-04-22,09:36:00,25000,-300,491732
37,2025-04-22,09:37:00,25050,-250,514124
38,2025-04-22,09:38:00,24950,-350,517495
39,2025-04-22,09:39:00,24950,-350,524760
40,2025-04-22,09:40:00,24950,-350,551473
41,2025-04-22,09:41:00,25000,-300,563776
42,2025-04-22,09:42:00,24950,-350,566492
43,2025-04-22,09:43:00,25000,-300,572736
44,2025-04-22,09:44:00,24950,-350,576906
45,2025-04-22,09:45:00,24900,-400,589944
46,2025-04-22,09:46:00,24950,-350,592159
47,2025-04-22,09:47:00,24950,-350,595605
48,2025-04-22,09:48:00,24950,-350,596588
49,2025-04-22,09:49:00,24950,-350,601146
50,2025-04-22,09:50:00,25000,-300,608628
51,2025-04-22,09:51:00,24950,-350,613043
52,2025-04-22,09:52:00,24950,-350,616669
53,2025-04-22,09:53:00,25000,-300,618401
54,2025-04-22,09:54:00,24950,-350,627834
55,2025-04-22,09:55:00,24975,-325,628699
56,2025-04-22,09:56:00,25000,-300,633240
57,2025-04-22,09:57:00,24925,-375,637900
58,2025-04-22,09:58:00,24950,-350,642711
59,2025-04-22,09:59:00,24950,-350,643887
60,2025-04-22,10:00:00,25000,-300,648938
61,2025-04-22,10:01:00,25050,-250,660192
62,2025-04-22,10:02:00,25050,-250,661810
63,2025-04-22,10:03:00,25000,-300,663042
64,2025-04-22,10:04:00,25050,-250,665175
65,2025-04-22,10:05:00,25050,-250,667857
66,2025-04-22,10:06:00,25050,-250,678517
67,2025-04-22,10:07:00,25050,-250,680272
68,2025-04-22,10:08:00,25050,-250,684151
69,2025-04-22,10:09:00,25000,-300,686315
70,2025-04-22,10:10:00,25050,-250,687269
71,2025-04-22,10:11:00,25000,-300,690121
72,2025-04-22,10:12:00,25050,-250,692817
73,2025-04-22,10:13:00,25050,-250,697461
74,2025-04-22,10:14:00,25050,-250,699359
75,2025-04-22,10:15:00,25050,-250,703672
76,2025-04-22,10:16:00,25050,-250,705164
77,2025-04-22,10:17:00,25050,-250,705905
78,2025-04-22,10:18:00,25050,-250,709886
79,2025-04-22,10:19:00,25050,-250,712033
80,2025-04-22,10:20:00,25000,-300,713104
81,2025-04-22,10:21:00,25050,-250,714596
82,2025-04-22,10:22:00,25100,-200,720336
83,2025-04-22,10:23:00,25050,-250,723122
84,2025-04-22,10:24:00,25050,-250,725331
85,2025-04-22,10:25:00,25075,-225,727372
86,2025-04-22,10:26:00,25050,-250,729823
87,2025-04-22,10:27:00,25100,-200,731202
88,2025-04-22,10:28:00,25100,-200,733326
89,2025-04-22,10:29:00,25050,-250,739598
90,2025-04-22,10:30:00,25050,-250,741173
91,2025-04-22,10:31:00,25100,-200,742794
92,2025-04-22,10:32:00,25100,-200,745902
93,2025-04-22,10:33:00,25100,-200,747451
94,2025-04-22,10:34:00,25050,-250,753509
95,2025-04-22,10:35:00,25050,-250,755632
96,2025-04-22,10:36:00,25050,-250,763745
97,2025-04-22,10:37:00,25050,-250,766766
98,2025-04-22,10:38:00,25050,-250,767682
99,2025-04-22,10:39:00,25025,-275,770484
100,2025-04-22,10:40:00,25050,-250,772008
101,2025-04-22,10:41:00,25050,-250,774652
102,2025-04-22,10:42:00,25050,-250,778076
103,2025-04-22,10:43:00,25050,-250,781878
104,2025-04-22,10:44:00,25000,-300,783984
105,2025-04-22,10:45:00,25000,-300,786446
106,2025-04-22,10:46:00,25000,-300,790060
107,2025-04-22,10:47:00,25000,-300,815964
108,2025-04-22,10:48:00,25050,-250,824352
109,2025-04-22,10:49:00,25050,-250,825602
110,2025-04-22,10:50:00,25050,-250,828252
111,2025-04-22,10:51:00,25050,-250,829100
112,2025-04-22,10:52:00,25000,-300,831251
113,2025-04-22,10:53:00,25100,-200,833677
114,2025-04-22,10:54:00,25050,-250,835044
115,2025-04-22,10:55:00,25100,-200,836556
116,2025-04-22,10:56:00,25050,-250,837350
117,2025-04-22,10:57:00,25050,-250,839127
118,2025-04-22,10:58:00,25100,-200,840360
119,2025-04-22,10:59:00,25100,-200,843974
120,2025-04-22,11:00:00,25050,-250,847075
121,2025-04-22,11:01:00,25050,-250,848637
122,2025-04-22,11:02:00,25050,-250,851714
123,2025-04-22,11:03:00,25050,-250,853440
124,2025-04-22,11:04:00,25100,-200,855970
125,2025-04-22,11:05:00,25075,-225,856912
126,2025-04-22,11:06:00,25100,-200,858698
127,2025-04-22,11:07:00,25100,-200,860733
128,2025-04-22,11:08:00,25050,-250,864315
129,2025-04-22,11:09:00,25100,-200,865355
130,2025-04-22,11:10:00,25150,-150,873554
131,2025-04-22,11:11:00,25150,-150,876044
132,2025-04-22,11:12:00,25100,-200,877471
133,2025-04-22,11:13:00,25100,-200,878573
134,2025-04-22,11:14:00,25150,-150,881826
135,2025-04-22,11:15:00,25150,-150,883798
136,2025-04-22,11:16:00,25150,-150,885925
137,2025-04-22,11:17:00,25150,-150,889295
138,2025-04-22,11:18:00,25150,-150,893940
139,2025-04-22,11:19:00,25100,-200,895366
140,2025-04-22,11:20:00,25150,-150,897164
141,2025-04-22,11:21:00,25150,-150,901963
142,2025-04-22,11:22:00,25100,-200,903879
143,2025-04-22,11:23:00,25150,-150,904964
144,2025-04-22,11:24:00,25150,-150,906927
145,2025-04-22,11:25:00,25150,-150,907808
