,date,time,price,change,volume
0,2025-03-07,09:00:00,24050,-150,20150
1,2025-03-07,09:01:00,23950,-250,26716
2,2025-03-07,09:02:00,24100,-100,31216
3,2025-03-07,09:03:00,24100,-100,40886
4,2025-03-07,09:04:00,24150,-50,44864
5,2025-03-07,09:05:00,24150,-50,46784
6,2025-03-07,09:06:00,24100,-100,49240
7,2025-03-07,09:07:00,24050,-150,51732
8,2025-03-07,09:08:00,24050,-150,52502
9,2025-03-07,09:09:00,24050,-150,55355
10,2025-03-07,09:10:00,24100,-100,60056
11,2025-03-07,09:11:00,24150,-50,62712
12,2025-03-07,09:12:00,24150,-50,64139
13,2025-03-07,09:13:00,24200,0,73938
14,2025-03-07,09:14:00,24200,0,74802
15,2025-03-07,09:15:00,24100,-100,82818
16,2025-03-07,09:16:00,24150,-50,85195
17,2025-03-07,09:17:00,24150,-50,87489
18,2025-03-07,09:18:00,24150,-50,87975
19,2025-03-07,09:19:00,24150,-50,88832
20,2025-03-07,09:20:00,24150,-50,89007
21,2025-03-07,09:21:00,24100,-100,99207
22,2025-03-07,09:22:00,24100,-100,101271
23,2025-03-07,09:23:00,24200,0,102127
24,2025-03-07,09:24:00,24200,0,102951
25,2025-03-07,09:25:00,24200,0,104260
26,2025-03-07,09:26:00,24100,-100,107519
27,2025-03-07,09:27:00,24100,-100,108018
28,2025-03-07,09:28:00,24150,-50,110328
29,2025-03-07,09:29:00,24150,-50,111296
30,2025-03-07,09:30:00,24150,-50,114928
31,2025-03-07,09:31:00,24100,-100,115870
32,2025-03-07,09:32:00,24150,-50,117677
33,2025-03-07,09:33:00,24150,-50,120122
34,2025-03-07,09:34:00,24200,0,120715
35,2025-03-07,09:35:00,24200,0,120916
36,2025-03-07,09:36:00,24200,0,121746
37,2025-03-07,09:37:00,24150,-50,124898
38,2025-03-07,09:38:00,24150,-50,125597
39,2025-03-07,09:39:00,24100,-100,126328
40,2025-03-07,09:40:00,24150,-50,127909
41,2025-03-07,09:41:00,24150,-50,127985
42,2025-03-07,09:42:00,24200,0,130973
43,2025-03-07,09:43:00,24200,0,131340
44,2025-03-07,09:44:00,24200,0,131760
45,2025-03-07,09:45:00,24150,-50,132127
46,2025-03-07,09:46:00,24150,-50,133323
47,2025-03-07,09:47:00,24200,0,133802
48,2025-03-07,09:48:00,24200,0,134348
49,2025-03-07,09:49:00,24200,0,145980
50,2025-03-07,09:50:00,24200,0,148695
51,2025-03-07,09:51:00,24150,-50,149578
52,2025-03-07,09:52:00,24200,0,149865
53,2025-03-07,09:53:00,24250,50,153760
54,2025-03-07,09:54:00,24250,50,154214
55,2025-03-07,09:55:00,24200,0,154892
56,2025-03-07,09:56:00,24200,0,156202
57,2025-03-07,09:57:00,24200,0,160911
58,2025-03-07,09:58:00,24150,-50,162651
59,2025-03-07,09:59:00,24150,-50,163483
60,2025-03-07,10:00:00,24150,-50,164061
61,2025-03-07,10:01:00,24150,-50,165227
62,2025-03-07,10:02:00,24150,-50,165415
63,2025-03-07,10:03:00,24150,-50,165855
64,2025-03-07,10:04:00,24125,-75,166589
65,2025-03-07,10:05:00,24150,-50,168630
66,2025-03-07,10:06:00,24200,0,170067
67,2025-03-07,10:07:00,24150,-50,170650
68,2025-03-07,10:08:00,24200,0,171748
69,2025-03-07,10:09:00,24200,0,173410
70,2025-03-07,10:10:00,24250,50,174410
71,2025-03-07,10:11:00,24200,0,175101
72,2025-03-07,10:12:00,24200,0,176326
73,2025-03-07,10:13:00,24250,50,177636
74,2025-03-07,10:14:00,24250,50,179345
75,2025-03-07,10:15:00,24250,50,180472
76,2025-03-07,10:16:00,24250,50,181124
77,2025-03-07,10:17:00,24250,50,181285
78,2025-03-07,10:18:00,24250,50,181828
79,2025-03-07,10:19:00,24250,50,182453
80,2025-03-07,10:20:00,24200,0,183616
81,2025-03-07,10:21:00,24250,50,185094
82,2025-03-07,10:22:00,24200,0,185499
83,2025-03-07,10:23:00,24200,0,185791
84,2025-03-07,10:24:00,24250,50,186188
85,2025-03-07,10:25:00,24200,0,186873
86,2025-03-07,10:26:00,24200,0,191589
87,2025-03-07,10:27:00,24200,0,193390
88,2025-03-07,10:28:00,24200,0,193810
89,2025-03-07,10:29:00,24150,-50,194475
90,2025-03-07,10:30:00,24200,0,195562
91,2025-03-07,10:31:00,24150,-50,196980
92,2025-03-07,10:32:00,24200,0,197255
93,2025-03-07,10:33:00,24200,0,198352
94,2025-03-07,10:34:00,24200,0,198742
95,2025-03-07,10:35:00,24200,0,199206
96,2025-03-07,10:36:00,24200,0,199681
97,2025-03-07,10:37:00,24150,-50,200438
98,2025-03-07,10:38:00,24200,0,201510
99,2025-03-07,10:39:00,24200,0,202230
100,2025-03-07,10:40:00,24150,-50,202875
101,2025-03-07,10:41:00,24200,0,203138
102,2025-03-07,10:42:00,24200,0,207152
103,2025-03-07,10:43:00,24200,0,207687
104,2025-03-07,10:44:00,24250,50,216977
105,2025-03-07,10:45:00,24250,50,219644
106,2025-03-07,10:46:00,24250,50,221650
107,2025-03-07,10:47:00,24250,50,222220
108,2025-03-07,10:48:00,24300,100,224150
109,2025-03-07,10:49:00,24300,100,224761
110,2025-03-07,10:50:00,24300,100,225435
111,2025-03-07,10:51:00,24250,50,228672
112,2025-03-07,10:52:00,24200,0,229755
113,2025-03-07,10:53:00,24250,50,230304
114,2025-03-07,10:54:00,24250,50,230570
115,2025-03-07,10:55:00,24200,0,231386
116,2025-03-07,10:56:00,24200,0,231916
117,2025-03-07,10:57:00,24250,50,233379
118,2025-03-07,10:58:00,24250,50,234098
119,2025-03-07,10:59:00,24250,50,235465
120,2025-03-07,11:00:00,24200,0,236780
121,2025-03-07,11:01:00,24250,50,237254
122,2025-03-07,11:02:00,24250,50,238038
123,2025-03-07,11:03:00,24250,50,238602
124,2025-03-07,11:04:00,24250,50,239371
125,2025-03-07,11:05:00,24250,50,240099
126,2025-03-07,11:06:00,24250,50,240985
127,2025-03-07,11:07:00,24225,25,241974
128,2025-03-07,11:08:00,24250,50,244950
129,2025-03-07,11:09:00,24250,50,245833
130,2025-03-07,11:10:00,24250,50,246403
131,2025-03-07,11:11:00,24250,50,247007
132,2025-03-07,11:12:00,24250,50,247364
133,2025-03-07,11:13:00,24250,50,248109
134,2025-03-07,11:14:00,24200,0,248715
135,2025-03-07,11:15:00,24200,0,249179
136,2025-03-07,11:16:00,24250,50,249575
137,2025-03-07,11:17:00,24250,50,255241
138,2025-03-07,11:18:00,24250,50,256026
139,2025-03-07,11:19:00,24250,50,256554
140,2025-03-07,11:20:00,24250,50,257205
141,2025-03-07,11:21:00,24200,0,259543
142,2025-03-07,11:22:00,24250,50,260016
143,2025-03-07,11:23:00,24250,50,261841
144,2025-03-07,11:24:00,24250,50,262744
145,2025-03-07,11:25:00,24250,50,264278
146,2025-03-07,11:26:00,24250,50,265394
147,2025-03-07,11:27:00,24250,50,265729
148,2025-03-07,11:28:00,24250,50,266010
149,2025-03-07,11:29:00,24200,0,267733
150,2025-03-07,11:30:00,24200,0,268410
151,2025-03-07,11:31:00,24250,50,269069
152,2025-03-07,11:32:00,24200,0,270391
153,2025-03-07,11:33:00,24250,50,270849
154,2025-03-07,11:34:00,24250,50,271393
155,2025-03-07,11:35:00,24250,50,271917
156,2025-03-07,11:36:00,24250,50,272273
157,2025-03-07,11:37:00,24225,25,274598
158,2025-03-07,11:38:00,24250,50,275345
159,2025-03-07,11:39:00,24225,25,275780
160,2025-03-07,11:40:00,24225,25,276049
161,2025-03-07,11:41:00,24250,50,276893
162,2025-03-07,11:42:00,24250,50,277279
163,2025-03-07,11:43:00,24250,50,278654
164,2025-03-07,11:44:00,24250,50,279544
165,2025-03-07,11:45:00,24250,50,279854
166,2025-03-07,11:46:00,24250,50,281670
167,2025-03-07,11:47:00,24250,50,282281
168,2025-03-07,11:48:00,24200,0,282548
169,2025-03-07,11:49:00,24250,50,282889
170,2025-03-07,11:50:00,24250,50,283622
171,2025-03-07,11:51:00,24200,0,283907
172,2025-03-07,11:52:00,24200,0,284548
173,2025-03-07,11:53:00,24200,0,285393
174,2025-03-07,11:54:00,24250,50,285816
175,2025-03-07,11:55:00,24250,50,286940
176,2025-03-07,11:56:00,24250,50,290496
177,2025-03-07,11:57:00,24250,50,291103
178,2025-03-07,11:58:00,24250,50,291346
179,2025-03-07,11:59:00,24200,0,294301
180,2025-03-07,12:00:00,24250,50,296128
181,2025-03-07,12:01:00,24250,50,297006
