,date,time,price,change,volume
0,2025-09-05,09:00:00,899000,-3000,267
1,2025-09-05,09:01:00,894000,-8000,357
2,2025-09-05,09:02:00,891000,-11000,497
3,2025-09-05,09:03:00,892000,-10000,555
4,2025-09-05,09:04:00,894000,-8000,595
5,2025-09-05,09:05:00,895000,-7000,648
6,2025-09-05,09:06:00,898000,-4000,684
7,2025-09-05,09:07:00,897000,-5000,722
8,2025-09-05,09:08:00,900000,-2000,734
9,2025-09-05,09:09:00,895000,-7000,778
10,2025-09-05,09:10:00,898000,-4000,928
11,2025-09-05,09:11:00,899000,-3000,933
12,2025-09-05,09:12:00,897000,-5000,951
13,2025-09-05,09:13:00,897000,-5000,984
14,2025-09-05,09:14:00,899000,-3000,997
15,2025-09-05,09:15:00,898000,-4000,1015
16,2025-09-05,09:16:00,897000,-5000,1032
17,2025-09-05,09:17:00,896000,-6000,1068
18,2025-09-05,09:18:00,895000,-7000,1117
19,2025-09-05,09:19:00,894000,-8000,1291
20,2025-09-05,09:20:00,893000,-9000,1338
21,2025-09-05,09:21:00,896000,-6000,1378
22,2025-09-05,09:22:00,895000,-7000,1388
23,2025-09-05,09:23:00,898000,-4000,1404
24,2025-09-05,09:24:00,899000,-3000,1464
25,2025-09-05,09:25:00,900000,-2000,1512
26,2025-09-05,09:26:00,898000,-4000,1520
27,2025-09-05,09:27:00,899000,-3000,1553
28,2025-09-05,09:28:00,900000,-2000,1564
29,2025-09-05,09:29:00,896000,-6000,1671
30,2025-09-05,09:30:00,895000,-7000,1795
31,2025-09-05,09:31:00,895000,-7000,1822
32,2025-09-05,09:32:00,893000,-9000,1885
33,2025-09-05,09:33:00,891000,-11000,1927
34,2025-09-05,09:34:00,892000,-10000,1952
35,2025-09-05,09:35:00,892000,-10000,1956
36,2025-09-05,09:36:00,891000,-11000,1988
37,2025-09-05,09:37:00,892000,-10000,2047
38,2025-09-05,09:38:00,891000,-11000,2060
39,2025-09-05,09:39:00,894000,-8000,2139
40,2025-09-05,09:40:00,894000,-8000,2148
41,2025-09-05,09:41:00,894000,-8000,2246
42,2025-09-05,09:42:00,895000,-7000,2317
43,2025-09-05,09:43:00,896000,-6000,2335
44,2025-09-05,09:44:00,895000,-7000,2399
45,2025-09-05,09:45:00,896000,-6000,2452
46,2025-09-05,09:46:00,897000,-5000,2468
47,2025-09-05,09:47:00,895000,-7000,2489
48,2025-09-05,09:48:00,893000,-9000,2545
49,2025-09-05,09:49:00,895000,-7000,2587
50,2025-09-05,09:50:00,894000,-8000,2629
51,2025-09-05,09:51:00,895000,-7000,2637
52,2025-09-05,09:52:00,895000,-7000,2660
53,2025-09-05,09:53:00,895000,-7000,2671
54,2025-09-05,09:54:00,895000,-7000,2685
55,2025-09-05,09:55:00,896000,-6000,2702
56,2025-09-05,09:56:00,896000,-6000,2725
57,2025-09-05,09:57:00,896000,-6000,2745
58,2025-09-05,09:58:00,897000,-5000,2813
59,2025-09-05,09:59:00,897000,-5000,2843
60,2025-09-05,10:00:00,898000,-4000,2857
61,2025-09-05,10:01:00,897000,-5000,2923
62,2025-09-05,10:02:00,895000,-7000,2966
63,2025-09-05,10:03:00,895000,-7000,2991
64,2025-09-05,10:04:00,895000,-7000,3014
65,2025-09-05,10:05:00,895000,-7000,3031
66,2025-09-05,10:06:00,895000,-7000,3045
67,2025-09-05,10:07:00,895000,-7000,3059
68,2025-09-05,10:08:00,894000,-8000,3084
69,2025-09-05,10:09:00,894000,-8000,3092
70,2025-09-05,10:10:00,894000,-8000,3105
71,2025-09-05,10:11:00,895000,-7000,3116
72,2025-09-05,10:12:00,895000,-7000,3192
73,2025-09-05,10:13:00,894000,-8000,3202
74,2025-09-05,10:14:00,894000,-8000,3223
75,2025-09-05,10:15:00,894000,-8000,3240
76,2025-09-05,10:16:00,894000,-8000,3257
77,2025-09-05,10:17:00,895000,-7000,3270
