,date,time,price,change,volume
0,2025-06-05,09:00:00,50100,250,16905
1,2025-06-05,09:01:00,50000,150,19490
2,2025-06-05,09:02:00,50000,150,20405
3,2025-06-05,09:03:00,50100,250,21859
4,2025-06-05,09:04:00,50100,250,22462
5,2025-06-05,09:05:00,50100,250,22698
6,2025-06-05,09:06:00,50000,150,23964
7,2025-06-05,09:07:00,50200,350,24443
8,2025-06-05,09:08:00,50200,350,25314
9,2025-06-05,09:09:00,50100,250,25444
10,2025-06-05,09:10:00,50200,350,26654
11,2025-06-05,09:11:00,50100,250,29246
12,2025-06-05,09:12:00,50000,150,29702
13,2025-06-05,09:13:00,50100,250,30175
14,2025-06-05,09:14:00,50000,150,30344
15,2025-06-05,09:15:00,50100,250,30905
16,2025-06-05,09:16:00,50200,350,30939
17,2025-06-05,09:17:00,50100,250,31016
18,2025-06-05,09:18:00,50200,350,31309
19,2025-06-05,09:19:00,50200,350,31511
20,2025-06-05,09:20:00,50100,250,31667
21,2025-06-05,09:21:00,50200,350,32016
22,2025-06-05,09:22:00,50100,250,32908
23,2025-06-05,09:23:00,50300,450,34269
24,2025-06-05,09:24:00,50200,350,34345
25,2025-06-05,09:25:00,50300,450,35916
26,2025-06-05,09:26:00,50400,550,36600
27,2025-06-05,09:27:00,50400,550,37295
28,2025-06-05,09:28:00,50400,550,37394
29,2025-06-05,09:29:00,50350,500,37579
30,2025-06-05,09:30:00,50400,550,37709
31,2025-06-05,09:31:00,50300,450,37920
32,2025-06-05,09:32:00,50400,550,38957
33,2025-06-05,09:33:00,50400,550,39402
34,2025-06-05,09:34:00,50400,550,39895
35,2025-06-05,09:35:00,50300,450,41184
36,2025-06-05,09:36:00,50300,450,41410
37,2025-06-05,09:37:00,50300,450,43549
38,2025-06-05,09:38:00,50350,500,43614
39,2025-06-05,09:39:00,50300,450,43723
40,2025-06-05,09:40:00,50500,650,44635
41,2025-06-05,09:41:00,50400,550,44734
42,2025-06-05,09:42:00,50500,650,44788
43,2025-06-05,09:43:00,50500,650,45035
44,2025-06-05,09:44:00,50450,600,45102
45,2025-06-05,09:45:00,50550,700,47422
46,2025-06-05,09:46:00,50650,800,49441
47,2025-06-05,09:47:00,50600,750,49985
48,2025-06-05,09:48:00,50600,750,50145
49,2025-06-05,09:49:00,50600,750,50252
50,2025-06-05,09:50:00,50600,750,53513
51,2025-06-05,09:51:00,50600,750,53754
52,2025-06-05,09:52:00,50550,700,54267
53,2025-06-05,09:53:00,50600,750,54638
54,2025-06-05,09:54:00,50550,700,55525
55,2025-06-05,09:55:00,50500,650,56554
56,2025-06-05,09:56:00,50600,750,57155
57,2025-06-05,09:57:00,50600,750,57308
58,2025-06-05,09:58:00,50650,800,57456
59,2025-06-05,09:59:00,50700,850,57601
60,2025-06-05,10:00:00,50650,800,58045
61,2025-06-05,10:01:00,50700,850,59058
62,2025-06-05,10:02:00,50750,900,63108
63,2025-06-05,10:03:00,50750,900,63365
64,2025-06-05,10:04:00,50800,950,66708
65,2025-06-05,10:05:00,50800,950,68697
66,2025-06-05,10:06:00,50700,850,72304
67,2025-06-05,10:07:00,50750,900,72402
68,2025-06-05,10:08:00,50750,900,73203
69,2025-06-05,10:09:00,50800,950,77213
70,2025-06-05,10:10:00,50750,900,77545
71,2025-06-05,10:11:00,50800,950,78642
72,2025-06-05,10:12:00,50800,950,79566
73,2025-06-05,10:13:00,50800,950,79986
74,2025-06-05,10:14:00,50800,950,80334
