,date,time,price,change,volume
0,2025-12-10,09:00:00,141200,100,1411
1,2025-12-10,09:01:00,141900,800,1882
2,2025-12-10,09:02:00,141200,100,2157
3,2025-12-10,09:03:00,141400,300,2620
4,2025-12-10,09:04:00,141300,200,2879
5,2025-12-10,09:05:00,141100,0,3067
6,2025-12-10,09:06:00,141200,100,3359
7,2025-12-10,09:07:00,141200,100,3594
8,2025-12-10,09:08:00,141100,0,3915
9,2025-12-10,09:09:00,141100,0,4127
10,2025-12-10,09:10:00,141200,100,4171
11,2025-12-10,09:11:00,141700,600,6356
12,2025-12-10,09:12:00,141400,300,6519
13,2025-12-10,09:13:00,141500,400,6878
14,2025-12-10,09:14:00,141600,500,7074
15,2025-12-10,09:15:00,141500,400,8152
16,2025-12-10,09:16:00,141400,300,15628
17,2025-12-10,09:17:00,141500,400,16535
18,2025-12-10,09:18:00,141500,400,16866
19,2025-12-10,09:19:00,141400,300,17010
20,2025-12-10,09:20:00,141400,300,17187
21,2025-12-10,09:21:00,141500,400,17505
22,2025-12-10,09:22:00,141600,500,19030
23,2025-12-10,09:23:00,141500,400,19480
24,2025-12-10,09:24:00,141500,400,19579
25,2025-12-10,09:25:00,141500,400,20050
26,2025-12-10,09:26:00,141500,400,20147
27,2025-12-10,09:27:00,141500,400,20366
28,2025-12-10,09:28:00,141500,400,20526
29,2025-12-10,09:29:00,141500,400,20703
30,2025-12-10,09:30:00,141600,500,21909
31,2025-12-10,09:31:00,141500,400,22026
32,2025-12-10,09:32:00,141500,400,22329
33,2025-12-10,09:33:00,141500,400,22664
34,2025-12-10,09:34:00,141500,400,23033
35,2025-12-10,09:35:00,141500,400,24033
36,2025-12-10,09:36:00,141400,300,25476
37,2025-12-10,09:37:00,141500,400,25718
38,2025-12-10,09:38:00,141500,400,26032
39,2025-12-10,09:39:00,141400,300,27084
40,2025-12-10,09:40:00,141500,400,27203
41,2025-12-10,09:41:00,141400,300,27787
42,2025-12-10,09:42:00,141500,400,27942
43,2025-12-10,09:43:00,141600,500,28155
44,2025-12-10,09:44:00,141600,500,28342
45,2025-12-10,09:45:00,141600,500,29153
46,2025-12-10,09:46:00,141500,400,29660
47,2025-12-10,09:47:00,141800,700,31322
48,2025-12-10,09:48:00,141800,700,32555
49,2025-12-10,09:49:00,141800,700,33093
50,2025-12-10,09:50:00,141900,800,34417
51,2025-12-10,09:51:00,141800,700,34999
52,2025-12-10,09:52:00,141900,800,35359
53,2025-12-10,09:53:00,141700,600,36091
54,2025-12-10,09:54:00,141700,600,36250
55,2025-12-10,09:55:00,141800,700,36530
56,2025-12-10,09:56:00,141800,700,37472
57,2025-12-10,09:57:00,141800,700,37793
58,2025-12-10,09:58:00,142200,1100,41069
59,2025-12-10,09:59:00,142200,1100,43329
60,2025-12-10,10:00:00,142100,1000,44512
61,2025-12-10,10:01:00,142200,1100,44847
62,2025-12-10,10:02:00,142200,1100,45473
63,2025-12-10,10:03:00,142300,1200,45797
64,2025-12-10,10:04:00,142300,1200,46259
65,2025-12-10,10:05:00,142200,1100,46538
66,2025-12-10,10:06:00,142200,1100,46756
67,2025-12-10,10:07:00,142200,1100,47073
68,2025-12-10,10:08:00,142000,900,48438
69,2025-12-10,10:09:00,142100,1000,48618
70,2025-12-10,10:10:00,142100,1000,48831
71,2025-12-10,10:11:00,142000,900,49669
72,2025-12-10,10:12:00,142000,900,49798
73,2025-12-10,10:13:00,142000,900,50556
74,2025-12-10,10:14:00,141900,800,50812
75,2025-12-10,10:15:00,141900,800,51364
76,2025-12-10,10:16:00,141800,700,51619
77,2025-12-10,10:17:00,141900,800,51725
78,2025-12-10,10:18:00,141900,800,51941
79,2025-12-10,10:19:00,141800,700,52328
80,2025-12-10,10:20:00,141800,700,52505
81,2025-12-10,10:21:00,141700,600,52918
82,2025-12-10,10:22:00,141600,500,53133
83,2025-12-10,10:23:00,141600,500,53251
84,2025-12-10,10:24:00,141500,400,53381
85,2025-12-10,10:25:00,141500,400,53630
86,2025-12-10,10:26:00,141500,400,53824
87,2025-12-10,10:27:00,141400,300,54063
88,2025-12-10,10:28:00,141400,300,54138
89,2025-12-10,10:29:00,141600,500,54483
90,2025-12-10,10:30:00,141500,400,54911
91,2025-12-10,10:31:00,141600,500,55248
92,2025-12-10,10:32:00,141500,400,55406
93,2025-12-10,10:33:00,141500,400,55520
94,2025-12-10,10:34:00,141600,500,55881
95,2025-12-10,10:35:00,141600,500,56043
96,2025-12-10,10:36:00,141500,400,56166
97,2025-12-10,10:37:00,141500,400,56276
98,2025-12-10,10:38:00,141500,400,56874
99,2025-12-10,10:39:00,141600,500,57225
100,2025-12-10,10:40:00,141600,500,57412
101,2025-12-10,10:41:00,141500,400,58278
102,2025-12-10,10:42:00,141600,500,59185
103,2025-12-10,10:43:00,141600,500,59391
104,2025-12-10,10:44:00,141500,400,59493
105,2025-12-10,10:45:00,141800,700,61774
106,2025-12-10,10:46:00,141600,500,62509
107,2025-12-10,10:47:00,141700,600,62976
108,2025-12-10,10:48:00,141700,600,63260
109,2025-12-10,10:49:00,141700,600,63493
110,2025-12-10,10:50:00,141800,700,63975
111,2025-12-10,10:51:00,141700,600,64158
112,2025-12-10,10:52:00,141800,700,64989
113,2025-12-10,10:53:00,141700,600,65234
114,2025-12-10,10:54:00,141800,700,65818
115,2025-12-10,10:55:00,141600,500,66267
116,2025-12-10,10:56:00,141600,500,66749
117,2025-12-10,10:57:00,141800,700,67078
118,2025-12-10,10:58:00,141700,600,67476
119,2025-12-10,10:59:00,141600,500,67953
120,2025-12-10,11:00:00,141700,600,68137
121,2025-12-10,11:01:00,141600,500,68596
122,2025-12-10,11:02:00,141800,700,69019
123,2025-12-10,11:03:00,141800,700,69239
124,2025-12-10,11:04:00,141700,600,69446
125,2025-12-10,11:05:00,141700,600,69684
126,2025-12-10,11:06:00,141700,600,69890
127,2025-12-10,11:07:00,141600,500,70835
128,2025-12-10,11:08:00,141600,500,71101
129,2025-12-10,11:09:00,141600,500,71413
130,2025-12-10,11:10:00,141700,600,71632
131,2025-12-10,11:11:00,141700,600,71920
132,2025-12-10,11:12:00,141700,600,72214
133,2025-12-10,11:13:00,141700,600,72385
134,2025-12-10,11:14:00,141800,700,72590
135,2025-12-10,11:15:00,141700,600,72905
136,2025-12-10,11:16:00,141700,600,73346
137,2025-12-10,11:17:00,141700,600,73641
138,2025-12-10,11:18:00,141900,800,75302
139,2025-12-10,11:19:00,141900,800,75697
140,2025-12-10,11:20:00,142000,900,75942
141,2025-12-10,11:21:00,142000,900,76495
142,2025-12-10,11:22:00,142100,1000,76850
143,2025-12-10,11:23:00,142000,900,77058
144,2025-12-10,11:24:00,142000,900,77187
145,2025-12-10,11:25:00,142000,900,77443
146,2025-12-10,11:26:00,142000,900,77631
147,2025-12-10,11:27:00,142000,900,78373
148,2025-12-10,11:28:00,142000,900,78694
149,2025-12-10,11:29:00,142100,1000,79091
150,2025-12-10,11:30:00,142000,900,79435
151,2025-12-10,11:31:00,142100,1000,79738
152,2025-12-10,11:32:00,141900,800,80178
153,2025-12-10,11:33:00,141900,800,80310
154,2025-12-10,11:34:00,141900,800,80388
155,2025-12-10,11:35:00,142000,900,80569
156,2025-12-10,11:36:00,141900,800,80938
157,2025-12-10,11:37:00,141800,700,81046
158,2025-12-10,11:38:00,141800,700,81197
159,2025-12-10,11:39:00,141900,800,82026
160,2025-12-10,11:40:00,141800,700,82122
