,date,time,price,change,volume
0,2024-11-06,09:00:00,76000,-700,3560
1,2024-11-06,09:01:00,76100,-600,3694
2,2024-11-06,09:02:00,76200,-500,4383
3,2024-11-06,09:03:00,76200,-500,4394
4,2024-11-06,09:04:00,76200,-500,4429
5,2024-11-06,09:05:00,76200,-500,4455
6,2024-11-06,09:06:00,76200,-500,5857
7,2024-11-06,09:07:00,76300,-400,6250
8,2024-11-06,09:08:00,76100,-600,7594
9,2024-11-06,09:09:00,76400,-300,8787
10,2024-11-06,09:10:00,76600,-100,9484
11,2024-11-06,09:11:00,76800,100,10688
12,2024-11-06,09:12:00,76700,0,10944
13,2024-11-06,09:13:00,76600,-100,11922
14,2024-11-06,09:14:00,76600,-100,12679
15,2024-11-06,09:15:00,76600,-100,13580
16,2024-11-06,09:16:00,76500,-200,14346
17,2024-11-06,09:17:00,76600,-100,14968
18,2024-11-06,09:18:00,76700,0,15138
19,2024-11-06,09:19:00,76600,-100,15278
20,2024-11-06,09:20:00,76600,-100,15407
21,2024-11-06,09:21:00,76500,-200,15419
22,2024-11-06,09:22:00,76700,0,15697
23,2024-11-06,09:23:00,76600,-100,15701
24,2024-11-06,09:24:00,76600,-100,15708
25,2024-11-06,09:25:00,76600,-100,16374
26,2024-11-06,09:26:00,76500,-200,17108
27,2024-11-06,09:27:00,76500,-200,17520
28,2024-11-06,09:28:00,76600,-100,17568
29,2024-11-06,09:29:00,76800,100,17835
30,2024-11-06,09:30:00,76600,-100,17853
31,2024-11-06,09:31:00,76600,-100,17875
32,2024-11-06,09:32:00,76700,0,17956
33,2024-11-06,09:33:00,76600,-100,18155
34,2024-11-06,09:34:00,76700,0,18183
35,2024-11-06,09:35:00,76600,-100,18926
36,2024-11-06,09:36:00,76700,0,19814
37,2024-11-06,09:37:00,76700,0,19862
38,2024-11-06,09:38:00,76700,0,19895
39,2024-11-06,09:39:00,76800,100,20220
40,2024-11-06,09:40:00,76800,100,20352
41,2024-11-06,09:41:00,76800,100,20371
42,2024-11-06,09:42:00,76600,-100,20375
43,2024-11-06,09:43:00,76600,-100,20396
44,2024-11-06,09:44:00,76800,100,20651
45,2024-11-06,09:45:00,76800,100,20712
46,2024-11-06,09:46:00,76600,-100,20736
47,2024-11-06,09:47:00,76600,-100,20752
48,2024-11-06,09:48:00,76700,0,21031
49,2024-11-06,09:49:00,76500,-200,21065
50,2024-11-06,09:50:00,76600,-100,21097
51,2024-11-06,09:51:00,76500,-200,21121
52,2024-11-06,09:52:00,76500,-200,21154
53,2024-11-06,09:53:00,76500,-200,21345
54,2024-11-06,09:54:00,76600,-100,21614
55,2024-11-06,09:55:00,76600,-100,21961
56,2024-11-06,09:56:00,76500,-200,21974
57,2024-11-06,09:57:00,76600,-100,22000
58,2024-11-06,09:58:00,76400,-300,23073
59,2024-11-06,09:59:00,76400,-300,23107
60,2024-11-06,10:00:00,76400,-300,23129
61,2024-11-06,10:01:00,76300,-400,23900
62,2024-11-06,10:02:00,76300,-400,23912
63,2024-11-06,10:03:00,76400,-300,24657
64,2024-11-06,10:04:00,76400,-300,24733
65,2024-11-06,10:05:00,76400,-300,24770
66,2024-11-06,10:06:00,76400,-300,25042
67,2024-11-06,10:07:00,76400,-300,25090
68,2024-11-06,10:08:00,76500,-200,25120
69,2024-11-06,10:09:00,76500,-200,25152
70,2024-11-06,10:10:00,76400,-300,25159
71,2024-11-06,10:11:00,76600,-100,25313
72,2024-11-06,10:12:00,76500,-200,25340
73,2024-11-06,10:13:00,76500,-200,25358
74,2024-11-06,10:14:00,76500,-200,25381
75,2024-11-06,10:15:00,76600,-100,25410
76,2024-11-06,10:16:00,76600,-100,25430
77,2024-11-06,10:17:00,76500,-200,25449
78,2024-11-06,10:18:00,76600,-100,25734
79,2024-11-06,10:19:00,76700,0,26173
80,2024-11-06,10:20:00,76700,0,26355
