,date,time,price,change,volume
0,2024-07-26,09:00:00,311000,-2000,3244
1,2024-07-26,09:01:00,311000,-2000,6312
2,2024-07-26,09:02:00,309500,-3500,9330
3,2024-07-26,09:03:00,309500,-3500,11640
4,2024-07-26,09:04:00,308000,-5000,12928
5,2024-07-26,09:05:00,309500,-3500,14787
6,2024-07-26,09:06:00,310000,-3000,17540
7,2024-07-26,09:07:00,311000,-2000,19284
8,2024-07-26,09:08:00,310000,-3000,20468
9,2024-07-26,09:09:00,308500,-4500,21776
10,2024-07-26,09:10:00,309000,-4000,23767
11,2024-07-26,09:11:00,308500,-4500,24855
12,2024-07-26,09:12:00,308500,-4500,26321
13,2024-07-26,09:13:00,308500,-4500,27397
14,2024-07-26,09:14:00,309000,-4000,28862
15,2024-07-26,09:15:00,306500,-6500,33393
16,2024-07-26,09:16:00,306500,-6500,34436
17,2024-07-26,09:17:00,306000,-7000,35008
18,2024-07-26,09:18:00,307000,-6000,36405
19,2024-07-26,09:19:00,307000,-6000,39817
20,2024-07-26,09:20:00,306500,-6500,41434
21,2024-07-26,09:21:00,306000,-7000,43074
22,2024-07-26,09:22:00,306000,-7000,45910
23,2024-07-26,09:23:00,306000,-7000,46439
24,2024-07-26,09:24:00,306500,-6500,47487
25,2024-07-26,09:25:00,306000,-7000,48915
26,2024-07-26,09:26:00,306000,-7000,49880
27,2024-07-26,09:27:00,306000,-7000,50158
28,2024-07-26,09:28:00,306500,-6500,52175
29,2024-07-26,09:29:00,306000,-7000,53063
30,2024-07-26,09:30:00,306000,-7000,53481
31,2024-07-26,09:31:00,306000,-7000,54594
32,2024-07-26,09:32:00,306000,-7000,55066
33,2024-07-26,09:33:00,306000,-7000,55717
34,2024-07-26,09:34:00,305500,-7500,56248
35,2024-07-26,09:35:00,306000,-7000,56712
36,2024-07-26,09:36:00,305500,-7500,57120
37,2024-07-26,09:37:00,305000,-8000,60063
38,2024-07-26,09:38:00,304000,-9000,64812
39,2024-07-26,09:39:00,304500,-8500,66129
40,2024-07-26,09:40:00,304500,-8500,67093
41,2024-07-26,09:41:00,304500,-8500,68022
42,2024-07-26,09:42:00,304500,-8500,68823
43,2024-07-26,09:43:00,303500,-9500,70623
44,2024-07-26,09:44:00,303500,-9500,71345
