,date,time,price,change,volume
0,2024-08-22,09:00:00,98100,500,5350
1,2024-08-22,09:01:00,98100,500,8092
2,2024-08-22,09:02:00,98000,400,8980
3,2024-08-22,09:03:00,98000,400,10474
4,2024-08-22,09:04:00,98000,400,12284
5,2024-08-22,09:05:00,98000,400,13280
6,2024-08-22,09:06:00,98000,400,13941
7,2024-08-22,09:07:00,98000,400,16637
8,2024-08-22,09:08:00,97800,200,17052
9,2024-08-22,09:09:00,98000,400,18029
10,2024-08-22,09:10:00,98100,500,22478
11,2024-08-22,09:11:00,98100,500,23732
12,2024-08-22,09:12:00,98100,500,24996
13,2024-08-22,09:13:00,98200,600,26225
14,2024-08-22,09:14:00,98100,500,26365
15,2024-08-22,09:15:00,98300,700,29273
16,2024-08-22,09:16:00,98300,700,29719
17,2024-08-22,09:17:00,98300,700,30581
18,2024-08-22,09:18:00,98500,900,35438
19,2024-08-22,09:19:00,98500,900,39612
20,2024-08-22,09:20:00,98900,1300,47638
21,2024-08-22,09:21:00,98600,1000,52676
22,2024-08-22,09:22:00,98600,1000,55354
23,2024-08-22,09:23:00,98500,900,56635
24,2024-08-22,09:24:00,98600,1000,57453
25,2024-08-22,09:25:00,98600,1000,57998
26,2024-08-22,09:26:00,98400,800,58931
27,2024-08-22,09:27:00,98300,700,59493
28,2024-08-22,09:28:00,98400,800,59619
29,2024-08-22,09:29:00,98300,700,60054
30,2024-08-22,09:30:00,98500,900,60447
31,2024-08-22,09:31:00,98400,800,61507
32,2024-08-22,09:32:00,98300,700,63040
33,2024-08-22,09:33:00,98200,600,64342
34,2024-08-22,09:34:00,98300,700,66355
35,2024-08-22,09:35:00,98400,800,66691
36,2024-08-22,09:36:00,98400,800,67075
37,2024-08-22,09:37:00,98400,800,68764
38,2024-08-22,09:38:00,98400,800,70290
39,2024-08-22,09:39:00,98300,700,70815
40,2024-08-22,09:40:00,98300,700,70912
41,2024-08-22,09:41:00,98300,700,71106
42,2024-08-22,09:42:00,98400,800,73037
43,2024-08-22,09:43:00,98400,800,73216
44,2024-08-22,09:44:00,98400,800,75106
45,2024-08-22,09:45:00,98300,700,75737
46,2024-08-22,09:46:00,98200,600,78568
47,2024-08-22,09:47:00,98300,700,82220
48,2024-08-22,09:48:00,98300,700,83681
49,2024-08-22,09:49:00,98500,900,84489
50,2024-08-22,09:50:00,98300,700,84847
51,2024-08-22,09:51:00,98300,700,85034
52,2024-08-22,09:52:00,98400,800,85091
53,2024-08-22,09:53:00,98300,700,86239
54,2024-08-22,09:54:00,98200,600,86476
55,2024-08-22,09:55:00,98200,600,86601
56,2024-08-22,09:56:00,98400,800,88451
57,2024-08-22,09:57:00,98400,800,88609
58,2024-08-22,09:58:00,98400,800,88738
59,2024-08-22,09:59:00,98400,800,88825
60,2024-08-22,10:00:00,98400,800,90598
61,2024-08-22,10:01:00,98400,800,91218
62,2024-08-22,10:02:00,98400,800,91911
63,2024-08-22,10:03:00,98200,600,95851
64,2024-08-22,10:04:00,98300,700,96842
65,2024-08-22,10:05:00,98400,800,98826
66,2024-08-22,10:06:00,98500,900,99005
67,2024-08-22,10:07:00,98400,800,99669
68,2024-08-22,10:08:00,98400,800,100613
69,2024-08-22,10:09:00,98400,800,100756
70,2024-08-22,10:10:00,98400,800,101258
71,2024-08-22,10:11:00,98400,800,101431
72,2024-08-22,10:12:00,98300,700,101860
73,2024-08-22,10:13:00,98500,900,104020
74,2024-08-22,10:14:00,98400,800,104155
75,2024-08-22,10:15:00,98400,800,104537
76,2024-08-22,10:16:00,98300,700,105329
77,2024-08-22,10:17:00,98300,700,105744
78,2024-08-22,10:18:00,98300,700,105778
79,2024-08-22,10:19:00,98400,800,105891
80,2024-08-22,10:20:00,98300,700,105933
81,2024-08-22,10:21:00,98300,700,106336
82,2024-08-22,10:22:00,98200,600,108407
83,2024-08-22,10:23:00,98200,600,108849
84,2024-08-22,10:24:00,98300,700,109049
85,2024-08-22,10:25:00,98300,700,109234
86,2024-08-22,10:26:00,98300,700,109355
87,2024-08-22,10:27:00,98300,700,109649
88,2024-08-22,10:28:00,98400,800,109770
89,2024-08-22,10:29:00,98300,700,110047
90,2024-08-22,10:30:00,98300,700,110144
91,2024-08-22,10:31:00,98100,500,111170
92,2024-08-22,10:32:00,98100,500,111289
93,2024-08-22,10:33:00,98200,600,111673
94,2024-08-22,10:34:00,98100,500,111911
95,2024-08-22,10:35:00,98100,500,112075
96,2024-08-22,10:36:00,98100,500,112215
97,2024-08-22,10:37:00,98200,600,112842
98,2024-08-22,10:38:00,98100,500,113125
99,2024-08-22,10:39:00,98100,500,114722
100,2024-08-22,10:40:00,98000,400,115197
101,2024-08-22,10:41:00,98000,400,116052
102,2024-08-22,10:42:00,98000,400,117288
103,2024-08-22,10:43:00,97900,300,120402
104,2024-08-22,10:44:00,97900,300,120789
105,2024-08-22,10:45:00,97900,300,120969
106,2024-08-22,10:46:00,98000,400,121090
107,2024-08-22,10:47:00,98200,600,123103
108,2024-08-22,10:48:00,98100,500,123149
109,2024-08-22,10:49:00,98100,500,123196
110,2024-08-22,10:50:00,98200,600,123809
111,2024-08-22,10:51:00,98100,500,123830
112,2024-08-22,10:52:00,98100,500,123934
113,2024-08-22,10:53:00,98200,600,124031
114,2024-08-22,10:54:00,98200,600,124326
115,2024-08-22,10:55:00,98100,500,124425
116,2024-08-22,10:56:00,98200,600,124495
117,2024-08-22,10:57:00,98100,500,124698
118,2024-08-22,10:58:00,98100,500,124742
119,2024-08-22,10:59:00,98100,500,124854
120,2024-08-22,11:00:00,98100,500,125120
121,2024-08-22,11:01:00,97900,300,126102
122,2024-08-22,11:02:00,97900,300,126334
123,2024-08-22,11:03:00,98000,400,126385
124,2024-08-22,11:04:00,97900,300,126470
125,2024-08-22,11:05:00,98100,500,128527
126,2024-08-22,11:06:00,98100,500,128624
127,2024-08-22,11:07:00,98200,600,128850
128,2024-08-22,11:08:00,97900,300,129114
129,2024-08-22,11:09:00,98000,400,129188
130,2024-08-22,11:10:00,98000,400,129239
131,2024-08-22,11:11:00,97900,300,129287
132,2024-08-22,11:12:00,97900,300,129433
133,2024-08-22,11:13:00,97900,300,129486
134,2024-08-22,11:14:00,97900,300,129555
135,2024-08-22,11:15:00,98000,400,129670
136,2024-08-22,11:16:00,97900,300,129863
137,2024-08-22,11:17:00,98000,400,129945
138,2024-08-22,11:18:00,97800,200,131245
139,2024-08-22,11:19:00,97800,200,131582
140,2024-08-22,11:20:00,97800,200,132033
141,2024-08-22,11:21:00,97900,300,132153
142,2024-08-22,11:22:00,97800,200,132484
143,2024-08-22,11:23:00,97800,200,133040
144,2024-08-22,11:24:00,97800,200,133126
145,2024-08-22,11:25:00,97800,200,133204
146,2024-08-22,11:26:00,97800,200,133635
147,2024-08-22,11:27:00,97900,300,133913
148,2024-08-22,11:28:00,97800,200,134028
149,2024-08-22,11:29:00,97800,200,134371
150,2024-08-22,11:30:00,97800,200,134505
151,2024-08-22,11:31:00,97900,300,134651
152,2024-08-22,11:32:00,97800,200,134714
153,2024-08-22,11:33:00,97900,300,135054
154,2024-08-22,11:34:00,97900,300,135247
155,2024-08-22,11:35:00,98000,400,136183
156,2024-08-22,11:36:00,98100,500,136459
157,2024-08-22,11:37:00,98100,500,136517
158,2024-08-22,11:38:00,97900,300,137187
159,2024-08-22,11:39:00,97800,200,137439
160,2024-08-22,11:40:00,97900,300,137516
161,2024-08-22,11:41:00,97800,200,137597
162,2024-08-22,11:42:00,97800,200,137814
163,2024-08-22,11:43:00,97800,200,137929
164,2024-08-22,11:44:00,97900,300,138035
165,2024-08-22,11:45:00,97900,300,138483
166,2024-08-22,11:46:00,98000,400,138793
167,2024-08-22,11:47:00,97900,300,139103
168,2024-08-22,11:48:00,98000,400,139130
169,2024-08-22,11:49:00,97900,300,139230
170,2024-08-22,11:50:00,98000,400,139315
171,2024-08-22,11:51:00,97900,300,139341
172,2024-08-22,11:52:00,97900,300,139356
173,2024-08-22,11:53:00,97900,300,139427
174,2024-08-22,11:54:00,97900,300,139497
175,2024-08-22,11:55:00,97900,300,139609
176,2024-08-22,11:56:00,97900,300,139772
177,2024-08-22,11:57:00,97900,300,139855
178,2024-08-22,11:58:00,98000,400,140453
179,2024-08-22,11:59:00,98100,500,141003
180,2024-08-22,12:00:00,98100,500,141895
181,2024-08-22,12:01:00,98100,500,141968
182,2024-08-22,12:02:00,98100,500,142726
183,2024-08-22,12:03:00,98100,500,142873
184,2024-08-22,12:04:00,98000,400,143982
185,2024-08-22,12:05:00,97900,300,144089
186,2024-08-22,12:06:00,98000,400,144197
187,2024-08-22,12:07:00,98000,400,144307
188,2024-08-22,12:08:00,98000,400,144345
189,2024-08-22,12:09:00,98000,400,144516
190,2024-08-22,12:10:00,98000,400,145091
191,2024-08-22,12:11:00,98000,400,145117
192,2024-08-22,12:12:00,98000,400,145364
193,2024-08-22,12:13:00,97900,300,145758
194,2024-08-22,12:14:00,97900,300,145918
195,2024-08-22,12:15:00,98000,400,145948
196,2024-08-22,12:16:00,97900,300,145953
197,2024-08-22,12:17:00,97900,300,148157
198,2024-08-22,12:18:00,97900,300,148255
199,2024-08-22,12:19:00,97800,200,148303
200,2024-08-22,12:20:00,97900,300,149943
201,2024-08-22,12:21:00,97900,300,150123
202,2024-08-22,12:22:00,97800,200,150488
203,2024-08-22,12:23:00,97900,300,150700
204,2024-08-22,12:24:00,97800,200,150789
205,2024-08-22,12:25:00,97900,300,150826
206,2024-08-22,12:26:00,97800,200,151241
207,2024-08-22,12:27:00,97900,300,151484
208,2024-08-22,12:28:00,97900,300,151533
209,2024-08-22,12:29:00,97800,200,151613
210,2024-08-22,12:30:00,97900,300,151774
211,2024-08-22,12:31:00,97900,300,152165
212,2024-08-22,12:32:00,98000,400,152272
213,2024-08-22,12:33:00,97900,300,152295
214,2024-08-22,12:34:00,97900,300,152435
215,2024-08-22,12:35:00,97800,200,153194
216,2024-08-22,12:36:00,97900,300,153466
217,2024-08-22,12:37:00,97800,200,153501
218,2024-08-22,12:38:00,97800,200,153824
219,2024-08-22,12:39:00,97800,200,153845
220,2024-08-22,12:40:00,97800,200,153893
221,2024-08-22,12:41:00,97800,200,154067
222,2024-08-22,12:42:00,97900,300,154862
223,2024-08-22,12:43:00,97800,200,155087
224,2024-08-22,12:44:00,97800,200,155282
225,2024-08-22,12:45:00,97800,200,155818
226,2024-08-22,12:46:00,97800,200,157609
227,2024-08-22,12:47:00,97800,200,157949
228,2024-08-22,12:48:00,97800,200,158055
229,2024-08-22,12:49:00,97600,0,161081
230,2024-08-22,12:50:00,97700,100,161164
231,2024-08-22,12:51:00,97800,200,162234
232,2024-08-22,12:52:00,97700,100,162323
233,2024-08-22,12:53:00,97700,100,162614
234,2024-08-22,12:54:00,97700,100,162697
235,2024-08-22,12:55:00,97800,200,162790
236,2024-08-22,12:56:00,97700,100,163007
237,2024-08-22,12:57:00,97700,100,163048
238,2024-08-22,12:58:00,97700,100,163292
239,2024-08-22,12:59:00,97800,200,163912
240,2024-08-22,13:00:00,97700,100,163949
241,2024-08-22,13:01:00,97700,100,164256
242,2024-08-22,13:02:00,97800,200,165001
243,2024-08-22,13:03:00,97700,100,165153
244,2024-08-22,13:04:00,97800,200,165384
245,2024-08-22,13:05:00,97800,200,165629
246,2024-08-22,13:06:00,97900,300,165889
247,2024-08-22,13:07:00,97900,300,165933
248,2024-08-22,13:08:00,97900,300,166172
249,2024-08-22,13:09:00,97900,300,166448
250,2024-08-22,13:10:00,97900,300,166623
251,2024-08-22,13:11:00,97800,200,166800
252,2024-08-22,13:12:00,97900,300,166907
253,2024-08-22,13:13:00,97900,300,167154
254,2024-08-22,13:14:00,98000,400,168433
255,2024-08-22,13:15:00,98100,500,168595
256,2024-08-22,13:16:00,98000,400,168759
257,2024-08-22,13:17:00,98100,500,169017
258,2024-08-22,13:18:00,98000,400,169478
259,2024-08-22,13:19:00,98000,400,169694
260,2024-08-22,13:20:00,98000,400,169997
261,2024-08-22,13:21:00,98000,400,170111
262,2024-08-22,13:22:00,98000,400,170233
263,2024-08-22,13:23:00,98100,500,170345
264,2024-08-22,13:24:00,98100,500,170519
265,2024-08-22,13:25:00,98000,400,170656
266,2024-08-22,13:26:00,98100,500,171060
267,2024-08-22,13:27:00,98100,500,171242
268,2024-08-22,13:28:00,98100,500,171389
269,2024-08-22,13:29:00,98000,400,171524
270,2024-08-22,13:30:00,98100,500,171776
271,2024-08-22,13:31:00,98000,400,171909
272,2024-08-22,13:32:00,98100,500,172069
273,2024-08-22,13:33:00,98000,400,172422
274,2024-08-22,13:34:00,98000,400,173199
275,2024-08-22,13:35:00,98100,500,173471
276,2024-08-22,13:36:00,98100,500,173709
277,2024-08-22,13:37:00,98100,500,173964
278,2024-08-22,13:38:00,98100,500,174242
279,2024-08-22,13:39:00,98200,600,174328
280,2024-08-22,13:40:00,98100,500,174506
281,2024-08-22,13:41:00,98200,600,174693
282,2024-08-22,13:42:00,98200,600,175927
283,2024-08-22,13:43:00,98200,600,176000
284,2024-08-22,13:44:00,98200,600,176217
285,2024-08-22,13:45:00,98100,500,176406
286,2024-08-22,13:46:00,98100,500,176767
287,2024-08-22,13:47:00,98100,500,177120
288,2024-08-22,13:48:00,98000,400,178330
289,2024-08-22,13:49:00,98100,500,178691
290,2024-08-22,13:50:00,98000,400,178761
291,2024-08-22,13:51:00,98100,500,178962
292,2024-08-22,13:52:00,98000,400,179068
293,2024-08-22,13:53:00,98100,500,179232
294,2024-08-22,13:54:00,98000,400,179361
295,2024-08-22,13:55:00,98100,500,179497
296,2024-08-22,13:56:00,98100,500,179682
297,2024-08-22,13:57:00,98100,500,179776
298,2024-08-22,13:58:00,98000,400,180025
299,2024-08-22,13:59:00,98000,400,180153
300,2024-08-22,14:00:00,98100,500,180515
301,2024-08-22,14:01:00,98100,500,180628
302,2024-08-22,14:02:00,98100,500,180730
303,2024-08-22,14:03:00,98100,500,180930
304,2024-08-22,14:04:00,98000,400,181238
305,2024-08-22,14:05:00,98100,500,181508
306,2024-08-22,14:06:00,98000,400,181615
307,2024-08-22,14:07:00,98100,500,181811
308,2024-08-22,14:08:00,98000,400,182036
309,2024-08-22,14:09:00,98000,400,182298
310,2024-08-22,14:10:00,98000,400,182493
311,2024-08-22,14:11:00,98100,500,182674
312,2024-08-22,14:12:00,98100,500,183048
313,2024-08-22,14:13:00,98000,400,183752
314,2024-08-22,14:14:00,98100,500,184174
315,2024-08-22,14:15:00,98100,500,184254
316,2024-08-22,14:16:00,98100,500,184679
317,2024-08-22,14:17:00,98000,400,185827
318,2024-08-22,14:18:00,98100,500,186187
319,2024-08-22,14:19:00,98200,600,186420
320,2024-08-22,14:20:00,98200,600,186683
321,2024-08-22,14:21:00,98200,600,187149
322,2024-08-22,14:22:00,98200,600,187352
323,2024-08-22,14:23:00,98200,600,187629
324,2024-08-22,14:24:00,98100,500,187743
325,2024-08-22,14:25:00,98200,600,187977
326,2024-08-22,14:26:00,98100,500,188231
327,2024-08-22,14:27:00,98200,600,188468
328,2024-08-22,14:28:00,98100,500,188593
329,2024-08-22,14:29:00,98200,600,188679
330,2024-08-22,14:30:00,98200,600,189646
331,2024-08-22,14:31:00,98100,500,191112
332,2024-08-22,14:32:00,98000,400,194153
333,2024-08-22,14:33:00,98000,400,194203
334,2024-08-22,14:34:00,98000,400,194426
335,2024-08-22,14:35:00,98000,400,194605
336,2024-08-22,14:36:00,97900,300,195715
337,2024-08-22,14:37:00,98000,400,197244
338,2024-08-22,14:38:00,97900,300,197404
339,2024-08-22,14:39:00,98000,400,197694
340,2024-08-22,14:40:00,98000,400,198431
341,2024-08-22,14:41:00,98100,500,200094
342,2024-08-22,14:42:00,98100,500,200589
343,2024-08-22,14:43:00,98200,600,200662
344,2024-08-22,14:44:00,98200,600,200893
345,2024-08-22,14:45:00,98100,500,201211
346,2024-08-22,14:46:00,98200,600,201582
347,2024-08-22,14:47:00,98000,400,203004
348,2024-08-22,14:48:00,98100,500,203798
349,2024-08-22,14:49:00,98100,500,203911
350,2024-08-22,14:50:00,98000,400,204048
351,2024-08-22,14:51:00,98000,400,204357
352,2024-08-22,14:52:00,98100,500,204506
353,2024-08-22,14:53:00,98100,500,204797
354,2024-08-22,14:54:00,98100,500,205023
355,2024-08-22,14:55:00,98100,500,205917
356,2024-08-22,14:56:00,98100,500,206150
357,2024-08-22,14:57:00,98100,500,208511
358,2024-08-22,14:58:00,98100,500,208893
359,2024-08-22,14:59:00,98000,400,209353
360,2024-08-22,15:00:00,98000,400,209703
361,2024-08-22,15:01:00,98000,400,210057
362,2024-08-22,15:02:00,98000,400,210514
363,2024-08-22,15:03:00,98000,400,210830
364,2024-08-22,15:04:00,97900,300,212578
365,2024-08-22,15:05:00,97900,300,212904
366,2024-08-22,15:06:00,97900,300,213202
367,2024-08-22,15:07:00,98000,400,213771
368,2024-08-22,15:08:00,98000,400,213985
369,2024-08-22,15:09:00,98000,400,214396
370,2024-08-22,15:10:00,97900,300,216003
371,2024-08-22,15:11:00,98000,400,216830
372,2024-08-22,15:12:00,98000,400,217449
373,2024-08-22,15:13:00,98000,400,218089
374,2024-08-22,15:14:00,98100,500,218748
