,date,time,price,change,volume
0,2025-02-07,09:00:00,340500,-1500,2304
1,2025-02-07,09:01:00,338000,-4000,3983
2,2025-02-07,09:02:00,338000,-4000,4986
3,2025-02-07,09:03:00,339500,-2500,5356
4,2025-02-07,09:04:00,339500,-2500,5531
5,2025-02-07,09:05:00,340000,-2000,5964
6,2025-02-07,09:06:00,340500,-1500,6120
7,2025-02-07,09:07:00,341500,-500,6512
8,2025-02-07,09:08:00,342000,0,7264
9,2025-02-07,09:09:00,343000,1000,7896
10,2025-02-07,09:10:00,343000,1000,8746
11,2025-02-07,09:11:00,343000,1000,10155
12,2025-02-07,09:12:00,343500,1500,10973
13,2025-02-07,09:13:00,344000,2000,11285
14,2025-02-07,09:14:00,344500,2500,13370
15,2025-02-07,09:15:00,345000,3000,14845
16,2025-02-07,09:16:00,344500,2500,15559
17,2025-02-07,09:17:00,344000,2000,16019
18,2025-02-07,09:18:00,343000,1000,16782
19,2025-02-07,09:19:00,342000,0,17773
20,2025-02-07,09:20:00,342500,500,18352
21,2025-02-07,09:21:00,342500,500,18881
22,2025-02-07,09:22:00,342000,0,19157
23,2025-02-07,09:23:00,341000,-1000,19969
24,2025-02-07,09:24:00,340000,-2000,20563
25,2025-02-07,09:25:00,341000,-1000,21223
26,2025-02-07,09:26:00,341000,-1000,21361
27,2025-02-07,09:27:00,340500,-1500,21401
28,2025-02-07,09:28:00,340500,-1500,21858
29,2025-02-07,09:29:00,340500,-1500,21995
30,2025-02-07,09:30:00,340000,-2000,22618
31,2025-02-07,09:31:00,340000,-2000,22750
32,2025-02-07,09:32:00,340000,-2000,23098
33,2025-02-07,09:33:00,340000,-2000,23131
34,2025-02-07,09:34:00,340000,-2000,23326
35,2025-02-07,09:35:00,340000,-2000,23375
36,2025-02-07,09:36:00,340000,-2000,23509
37,2025-02-07,09:37:00,340000,-2000,24384
38,2025-02-07,09:38:00,339500,-2500,24873
39,2025-02-07,09:39:00,339500,-2500,25132
40,2025-02-07,09:40:00,339000,-3000,25183
41,2025-02-07,09:41:00,338500,-3500,27265
42,2025-02-07,09:42:00,338500,-3500,28013
43,2025-02-07,09:43:00,338500,-3500,28680
44,2025-02-07,09:44:00,339000,-3000,28808
45,2025-02-07,09:45:00,339000,-3000,29238
46,2025-02-07,09:46:00,339000,-3000,29640
47,2025-02-07,09:47:00,338500,-3500,29810
48,2025-02-07,09:48:00,339000,-3000,30226
49,2025-02-07,09:49:00,338500,-3500,30375
50,2025-02-07,09:50:00,339000,-3000,30465
51,2025-02-07,09:51:00,339000,-3000,30700
52,2025-02-07,09:52:00,339000,-3000,32867
53,2025-02-07,09:53:00,338000,-4000,33062
54,2025-02-07,09:54:00,338000,-4000,33315
55,2025-02-07,09:55:00,338500,-3500,33382
56,2025-02-07,09:56:00,338500,-3500,33649
57,2025-02-07,09:57:00,338500,-3500,33749
58,2025-02-07,09:58:00,338000,-4000,34822
59,2025-02-07,09:59:00,338000,-4000,35315
60,2025-02-07,10:00:00,338000,-4000,36989
61,2025-02-07,10:01:00,338500,-3500,37397
62,2025-02-07,10:02:00,338000,-4000,37541
63,2025-02-07,10:03:00,338000,-4000,37609
64,2025-02-07,10:04:00,338000,-4000,38222
65,2025-02-07,10:05:00,338000,-4000,38345
66,2025-02-07,10:06:00,337500,-4500,38543
67,2025-02-07,10:07:00,338000,-4000,38586
68,2025-02-07,10:08:00,337500,-4500,39020
69,2025-02-07,10:09:00,338000,-4000,39140
70,2025-02-07,10:10:00,338000,-4000,39170
71,2025-02-07,10:11:00,338500,-3500,39306
72,2025-02-07,10:12:00,338000,-4000,39408
73,2025-02-07,10:13:00,338500,-3500,39459
74,2025-02-07,10:14:00,338000,-4000,39485
75,2025-02-07,10:15:00,338000,-4000,40036
76,2025-02-07,10:16:00,338000,-4000,40201
77,2025-02-07,10:17:00,337500,-4500,40272
78,2025-02-07,10:18:00,338000,-4000,40303
79,2025-02-07,10:19:00,337500,-4500,40396
80,2025-02-07,10:20:00,337500,-4500,40730
81,2025-02-07,10:21:00,337500,-4500,40751
82,2025-02-07,10:22:00,338000,-4000,40843
83,2025-02-07,10:23:00,337500,-4500,40899
84,2025-02-07,10:24:00,337500,-4500,43002
85,2025-02-07,10:25:00,337500,-4500,43822
86,2025-02-07,10:26:00,337500,-4500,44706
87,2025-02-07,10:27:00,337000,-5000,45031
88,2025-02-07,10:28:00,337500,-4500,45100
89,2025-02-07,10:29:00,337500,-4500,45184
90,2025-02-07,10:30:00,337500,-4500,45385
91,2025-02-07,10:31:00,338000,-4000,47459
92,2025-02-07,10:32:00,337500,-4500,47603
93,2025-02-07,10:33:00,338000,-4000,47664
94,2025-02-07,10:34:00,338500,-3500,47799
95,2025-02-07,10:35:00,338500,-3500,47852
96,2025-02-07,10:36:00,338500,-3500,47970
97,2025-02-07,10:37:00,338500,-3500,48032
98,2025-02-07,10:38:00,339000,-3000,48171
99,2025-02-07,10:39:00,339000,-3000,48297
100,2025-02-07,10:40:00,338500,-3500,48381
101,2025-02-07,10:41:00,338500,-3500,48433
102,2025-02-07,10:42:00,339000,-3000,48462
103,2025-02-07,10:43:00,339000,-3000,48520
104,2025-02-07,10:44:00,338500,-3500,48561
105,2025-02-07,10:45:00,339000,-3000,48608
106,2025-02-07,10:46:00,339000,-3000,48694
107,2025-02-07,10:47:00,339000,-3000,48791
108,2025-02-07,10:48:00,338500,-3500,48826
109,2025-02-07,10:49:00,339000,-3000,48939
110,2025-02-07,10:50:00,339000,-3000,48971
111,2025-02-07,10:51:00,339000,-3000,49053
112,2025-02-07,10:52:00,339000,-3000,49091
113,2025-02-07,10:53:00,339000,-3000,49750
114,2025-02-07,10:54:00,338500,-3500,49789
115,2025-02-07,10:55:00,339000,-3000,49835
116,2025-02-07,10:56:00,338500,-3500,49909
117,2025-02-07,10:57:00,338500,-3500,49946
118,2025-02-07,10:58:00,339000,-3000,49985
119,2025-02-07,10:59:00,338500,-3500,50064
120,2025-02-07,11:00:00,339000,-3000,50183
121,2025-02-07,11:01:00,339000,-3000,50242
122,2025-02-07,11:02:00,339000,-3000,50522
123,2025-02-07,11:03:00,339000,-3000,50570
124,2025-02-07,11:04:00,339000,-3000,50614
125,2025-02-07,11:05:00,338500,-3500,50695
126,2025-02-07,11:06:00,338500,-3500,50797
127,2025-02-07,11:07:00,338500,-3500,50908
128,2025-02-07,11:08:00,339000,-3000,50963
129,2025-02-07,11:09:00,339000,-3000,51016
130,2025-02-07,11:10:00,338500,-3500,51047
131,2025-02-07,11:11:00,338500,-3500,51279
132,2025-02-07,11:12:00,339000,-3000,51330
133,2025-02-07,11:13:00,338500,-3500,51400
134,2025-02-07,11:14:00,339000,-3000,51507
135,2025-02-07,11:15:00,339000,-3000,51535
136,2025-02-07,11:16:00,338500,-3500,51899
137,2025-02-07,11:17:00,338000,-4000,51984
138,2025-02-07,11:18:00,338500,-3500,52020
139,2025-02-07,11:19:00,338500,-3500,52106
140,2025-02-07,11:20:00,338000,-4000,52237
141,2025-02-07,11:21:00,338000,-4000,52313
142,2025-02-07,11:22:00,338500,-3500,52365
143,2025-02-07,11:23:00,338500,-3500,52453
144,2025-02-07,11:24:00,338500,-3500,52502
145,2025-02-07,11:25:00,338500,-3500,52612
146,2025-02-07,11:26:00,338500,-3500,52663
147,2025-02-07,11:27:00,339000,-3000,52725
148,2025-02-07,11:28:00,339000,-3000,52782
149,2025-02-07,11:29:00,339000,-3000,52854
150,2025-02-07,11:30:00,338500,-3500,52891
151,2025-02-07,11:31:00,338500,-3500,52937
152,2025-02-07,11:32:00,339000,-3000,52999
153,2025-02-07,11:33:00,339000,-3000,53076
154,2025-02-07,11:34:00,338500,-3500,53117
155,2025-02-07,11:35:00,339000,-3000,53180
156,2025-02-07,11:36:00,339000,-3000,53336
157,2025-02-07,11:37:00,339000,-3000,53368
158,2025-02-07,11:38:00,338500,-3500,53474
159,2025-02-07,11:39:00,339000,-3000,53523
160,2025-02-07,11:40:00,339000,-3000,53668
161,2025-02-07,11:41:00,339000,-3000,53722
162,2025-02-07,11:42:00,339000,-3000,53772
163,2025-02-07,11:43:00,339000,-3000,53853
164,2025-02-07,11:44:00,339500,-2500,53915
165,2025-02-07,11:45:00,339500,-2500,53968
166,2025-02-07,11:46:00,339000,-3000,54025
167,2025-02-07,11:47:00,339000,-3000,54069
168,2025-02-07,11:48:00,339000,-3000,54108
169,2025-02-07,11:49:00,339000,-3000,54158
170,2025-02-07,11:50:00,338500,-3500,54624
171,2025-02-07,11:51:00,338000,-4000,54819
172,2025-02-07,11:52:00,339000,-3000,54902
173,2025-02-07,11:53:00,338000,-4000,54934
174,2025-02-07,11:54:00,338000,-4000,54961
175,2025-02-07,11:55:00,338500,-3500,55109
176,2025-02-07,11:56:00,338000,-4000,55182
177,2025-02-07,11:57:00,338500,-3500,55318
178,2025-02-07,11:58:00,339000,-3000,55399
179,2025-02-07,11:59:00,339000,-3000,55426
180,2025-02-07,12:00:00,339000,-3000,55601
181,2025-02-07,12:01:00,338500,-3500,55886
182,2025-02-07,12:02:00,338500,-3500,55915
183,2025-02-07,12:03:00,338500,-3500,56392
184,2025-02-07,12:04:00,339000,-3000,56471
185,2025-02-07,12:05:00,338500,-3500,56506
186,2025-02-07,12:06:00,339000,-3000,56594
187,2025-02-07,12:07:00,339000,-3000,56661
188,2025-02-07,12:08:00,338500,-3500,56692
189,2025-02-07,12:09:00,339000,-3000,56733
190,2025-02-07,12:10:00,339000,-3000,56793
191,2025-02-07,12:11:00,339000,-3000,56826
192,2025-02-07,12:12:00,339000,-3000,56888
193,2025-02-07,12:13:00,338500,-3500,57108
194,2025-02-07,12:14:00,339000,-3000,57155
195,2025-02-07,12:15:00,338500,-3500,57751
196,2025-02-07,12:16:00,338500,-3500,57817
197,2025-02-07,12:17:00,337500,-4500,59836
198,2025-02-07,12:18:00,338000,-4000,59906
199,2025-02-07,12:19:00,338000,-4000,59969
200,2025-02-07,12:20:00,338000,-4000,60010
201,2025-02-07,12:21:00,338000,-4000,60103
202,2025-02-07,12:22:00,338000,-4000,60144
203,2025-02-07,12:23:00,337500,-4500,60293
204,2025-02-07,12:24:00,338000,-4000,60493
205,2025-02-07,12:25:00,337500,-4500,60548
206,2025-02-07,12:26:00,338000,-4000,60701
207,2025-02-07,12:27:00,337500,-4500,60836
208,2025-02-07,12:28:00,338000,-4000,61986
209,2025-02-07,12:29:00,338000,-4000,62026
210,2025-02-07,12:30:00,337500,-4500,62134
211,2025-02-07,12:31:00,338000,-4000,62187
212,2025-02-07,12:32:00,337500,-4500,62238
213,2025-02-07,12:33:00,337500,-4500,62473
214,2025-02-07,12:34:00,337500,-4500,64434
215,2025-02-07,12:35:00,337500,-4500,64476
216,2025-02-07,12:36:00,337500,-4500,64534
217,2025-02-07,12:37:00,337500,-4500,64594
218,2025-02-07,12:38:00,338000,-4000,64631
219,2025-02-07,12:39:00,338000,-4000,64768
220,2025-02-07,12:40:00,338000,-4000,64850
221,2025-02-07,12:41:00,338000,-4000,65026
222,2025-02-07,12:42:00,338000,-4000,65297
223,2025-02-07,12:43:00,337500,-4500,66054
224,2025-02-07,12:44:00,337500,-4500,66238
225,2025-02-07,12:45:00,337500,-4500,66407
226,2025-02-07,12:46:00,337500,-4500,66735
227,2025-02-07,12:47:00,337000,-5000,66825
228,2025-02-07,12:48:00,337500,-4500,66997
229,2025-02-07,12:49:00,337500,-4500,67064
230,2025-02-07,12:50:00,337500,-4500,67155
231,2025-02-07,12:51:00,337500,-4500,67344
232,2025-02-07,12:52:00,337500,-4500,67559
233,2025-02-07,12:53:00,337000,-5000,67745
234,2025-02-07,12:54:00,337000,-5000,67862
235,2025-02-07,12:55:00,337000,-5000,67912
236,2025-02-07,12:56:00,337500,-4500,67990
237,2025-02-07,12:57:00,337500,-4500,68154
238,2025-02-07,12:58:00,337500,-4500,68268
239,2025-02-07,12:59:00,337500,-4500,68402
240,2025-02-07,13:00:00,337500,-4500,68599
241,2025-02-07,13:01:00,337000,-5000,68649
242,2025-02-07,13:02:00,337500,-4500,69142
243,2025-02-07,13:03:00,338000,-4000,69755
244,2025-02-07,13:04:00,338000,-4000,69870
245,2025-02-07,13:05:00,338000,-4000,69975
246,2025-02-07,13:06:00,337500,-4500,70040
247,2025-02-07,13:07:00,338000,-4000,70117
248,2025-02-07,13:08:00,338000,-4000,70170
249,2025-02-07,13:09:00,338000,-4000,70219
250,2025-02-07,13:10:00,338000,-4000,70261
251,2025-02-07,13:11:00,337500,-4500,70439
252,2025-02-07,13:12:00,337500,-4500,70493
253,2025-02-07,13:13:00,337500,-4500,71064
254,2025-02-07,13:14:00,337500,-4500,71247
255,2025-02-07,13:15:00,337000,-5000,71417
256,2025-02-07,13:16:00,337000,-5000,71505
257,2025-02-07,13:17:00,337500,-4500,71650
258,2025-02-07,13:18:00,337500,-4500,71717
259,2025-02-07,13:19:00,337500,-4500,71807
260,2025-02-07,13:20:00,337000,-5000,72017
261,2025-02-07,13:21:00,337500,-4500,72134
