,date,time,price,change,volume
0,2025-10-31,09:00:00,236500,8000,12870
1,2025-10-31,09:01:00,241000,12500,25115
2,2025-10-31,09:02:00,243500,15000,39723
3,2025-10-31,09:03:00,243500,15000,55335
4,2025-10-31,09:04:00,244500,16000,68425
5,2025-10-31,09:05:00,245500,17000,83973
6,2025-10-31,09:06:00,246000,17500,91170
7,2025-10-31,09:07:00,245500,17000,100168
8,2025-10-31,09:08:00,244000,15500,110591
9,2025-10-31,09:09:00,244500,16000,116340
10,2025-10-31,09:10:00,245500,17000,120429
11,2025-10-31,09:11:00,247000,18500,128762
12,2025-10-31,09:12:00,246500,18000,132455
13,2025-10-31,09:13:00,246500,18000,135349
14,2025-10-31,09:14:00,248000,19500,142922
15,2025-10-31,09:15:00,245000,16500,148345
16,2025-10-31,09:16:00,244500,16000,151134
17,2025-10-31,09:17:00,242500,14000,157513
18,2025-10-31,09:18:00,243500,15000,160347
19,2025-10-31,09:19:00,243500,15000,163021
20,2025-10-31,09:20:00,244500,16000,164372
21,2025-10-31,09:21:00,244000,15500,165600
22,2025-10-31,09:22:00,243500,15000,167108
23,2025-10-31,09:23:00,242500,14000,170298
24,2025-10-31,09:24:00,244000,15500,171618
25,2025-10-31,09:25:00,243500,15000,172432
26,2025-10-31,09:26:00,243500,15000,173805
27,2025-10-31,09:27:00,243500,15000,174692
28,2025-10-31,09:28:00,243500,15000,175512
29,2025-10-31,09:29:00,243500,15000,176157
30,2025-10-31,09:30:00,243500,15000,178911
31,2025-10-31,09:31:00,243500,15000,180599
32,2025-10-31,09:32:00,244000,15500,182763
33,2025-10-31,09:33:00,244000,15500,184049
34,2025-10-31,09:34:00,244000,15500,185068
35,2025-10-31,09:35:00,244500,16000,186725
36,2025-10-31,09:36:00,244750,16250,187764
37,2025-10-31,09:37:00,245000,16500,189838
38,2025-10-31,09:38:00,245000,16500,192395
39,2025-10-31,09:39:00,243500,15000,193406
40,2025-10-31,09:40:00,244000,15500,193984
41,2025-10-31,09:41:00,243500,15000,194608
42,2025-10-31,09:42:00,243500,15000,196482
43,2025-10-31,09:43:00,244000,15500,197590
44,2025-10-31,09:44:00,245000,16500,198809
45,2025-10-31,09:45:00,245000,16500,199421
46,2025-10-31,09:46:00,244000,15500,201071
47,2025-10-31,09:47:00,245000,16500,201696
48,2025-10-31,09:48:00,243500,15000,202617
49,2025-10-31,09:49:00,243500,15000,203463
50,2025-10-31,09:50:00,243500,15000,203786
51,2025-10-31,09:51:00,244000,15500,205479
52,2025-10-31,09:52:00,243500,15000,206632
53,2025-10-31,09:53:00,244000,15500,208036
54,2025-10-31,09:54:00,243000,14500,209102
55,2025-10-31,09:55:00,243000,14500,209555
56,2025-10-31,09:56:00,243000,14500,210239
57,2025-10-31,09:57:00,243000,14500,210890
58,2025-10-31,09:58:00,243000,14500,211287
59,2025-10-31,09:59:00,243000,14500,211753
60,2025-10-31,10:00:00,243500,15000,212242
61,2025-10-31,10:01:00,244000,15500,212771
62,2025-10-31,10:02:00,243500,15000,213402
63,2025-10-31,10:03:00,244000,15500,213823
64,2025-10-31,10:04:00,244000,15500,214049
65,2025-10-31,10:05:00,244000,15500,214389
66,2025-10-31,10:06:00,244000,15500,214778
67,2025-10-31,10:07:00,243500,15000,215053
68,2025-10-31,10:08:00,243000,14500,218329
69,2025-10-31,10:09:00,242500,14000,220457
70,2025-10-31,10:10:00,242500,14000,220787
71,2025-10-31,10:11:00,243000,14500,221047
72,2025-10-31,10:12:00,243000,14500,221300
73,2025-10-31,10:13:00,243000,14500,222276
74,2025-10-31,10:14:00,241000,12500,223359
75,2025-10-31,10:15:00,241500,13000,223827
