,date,time,price,change,volume
0,2024-10-31,09:00:00,328500,-1000,1368
1,2024-10-31,09:01:00,329000,-500,1518
2,2024-10-31,09:02:00,328500,-1000,1538
3,2024-10-31,09:03:00,329000,-500,1754
4,2024-10-31,09:04:00,328000,-1500,2071
5,2024-10-31,09:05:00,328000,-1500,2145
6,2024-10-31,09:06:00,330000,500,2462
7,2024-10-31,09:07:00,329500,0,3307
8,2024-10-31,09:08:00,330000,500,4049
9,2024-10-31,09:09:00,331000,1500,4404
10,2024-10-31,09:10:00,331500,2000,4762
11,2024-10-31,09:11:00,331000,1500,5119
12,2024-10-31,09:12:00,331000,1500,5273
13,2024-10-31,09:13:00,331000,1500,5333
14,2024-10-31,09:14:00,331000,1500,5415
15,2024-10-31,09:15:00,330500,1000,5647
16,2024-10-31,09:16:00,330500,1000,5764
17,2024-10-31,09:17:00,330500,1000,5778
18,2024-10-31,09:18:00,330000,500,5945
19,2024-10-31,09:19:00,329500,0,6458
20,2024-10-31,09:20:00,329500,0,6473
21,2024-10-31,09:21:00,329500,0,6486
22,2024-10-31,09:22:00,329500,0,6496
23,2024-10-31,09:23:00,329500,0,6616
24,2024-10-31,09:24:00,329000,-500,6705
25,2024-10-31,09:25:00,330000,500,6961
26,2024-10-31,09:26:00,329000,-500,6978
27,2024-10-31,09:27:00,329000,-500,6990
28,2024-10-31,09:28:00,330000,500,7193
29,2024-10-31,09:29:00,330000,500,7262
30,2024-10-31,09:30:00,330000,500,7279
31,2024-10-31,09:31:00,330000,500,7526
32,2024-10-31,09:32:00,329500,0,7711
33,2024-10-31,09:33:00,328000,-1500,8296
34,2024-10-31,09:34:00,328500,-1000,8464
35,2024-10-31,09:35:00,328000,-1500,8679
36,2024-10-31,09:36:00,327500,-2000,9160
37,2024-10-31,09:37:00,328000,-1500,9415
38,2024-10-31,09:38:00,328500,-1000,9518
39,2024-10-31,09:39:00,329000,-500,9569
40,2024-10-31,09:40:00,329000,-500,9644
41,2024-10-31,09:41:00,329500,0,9720
42,2024-10-31,09:42:00,329500,0,9755
43,2024-10-31,09:43:00,329000,-500,9793
44,2024-10-31,09:44:00,329500,0,9864
45,2024-10-31,09:45:00,329000,-500,9890
46,2024-10-31,09:46:00,329500,0,9899
47,2024-10-31,09:47:00,330000,500,10134
48,2024-10-31,09:48:00,330000,500,10169
49,2024-10-31,09:49:00,330500,1000,10495
50,2024-10-31,09:50:00,329500,0,11244
51,2024-10-31,09:51:00,330000,500,11275
52,2024-10-31,09:52:00,330000,500,11548
53,2024-10-31,09:53:00,330000,500,11725
54,2024-10-31,09:54:00,330000,500,11812
55,2024-10-31,09:55:00,330000,500,11864
56,2024-10-31,09:56:00,329500,0,11972
57,2024-10-31,09:57:00,329500,0,12164
58,2024-10-31,09:58:00,329000,-500,12193
59,2024-10-31,09:59:00,329000,-500,12329
60,2024-10-31,10:00:00,328500,-1000,12336
61,2024-10-31,10:01:00,329500,0,12555
62,2024-10-31,10:02:00,329000,-500,12589
63,2024-10-31,10:03:00,329000,-500,13242
64,2024-10-31,10:04:00,329000,-500,13388
65,2024-10-31,10:05:00,329500,0,13444
66,2024-10-31,10:06:00,329500,0,13470
67,2024-10-31,10:07:00,329000,-500,13654
68,2024-10-31,10:08:00,330000,500,13744
69,2024-10-31,10:09:00,329500,0,13780
70,2024-10-31,10:10:00,329500,0,13920
71,2024-10-31,10:11:00,329000,-500,14000
72,2024-10-31,10:12:00,329000,-500,14028
73,2024-10-31,10:13:00,329000,-500,14069
74,2024-10-31,10:14:00,329000,-500,14146
75,2024-10-31,10:15:00,329500,0,14167
76,2024-10-31,10:16:00,329500,0,14228
77,2024-10-31,10:17:00,328500,-1000,14460
78,2024-10-31,10:18:00,329000,-500,14580
79,2024-10-31,10:19:00,329000,-500,14595
80,2024-10-31,10:20:00,329500,0,14673
81,2024-10-31,10:21:00,329500,0,14835
82,2024-10-31,10:22:00,330000,500,15023
83,2024-10-31,10:23:00,330000,500,15087
84,2024-10-31,10:24:00,330500,1000,15186
85,2024-10-31,10:25:00,330000,500,15225
86,2024-10-31,10:26:00,330500,1000,15262
87,2024-10-31,10:27:00,330000,500,15378
88,2024-10-31,10:28:00,330000,500,15432
89,2024-10-31,10:29:00,330000,500,15516
90,2024-10-31,10:30:00,330500,1000,15605
91,2024-10-31,10:31:00,330000,500,15749
92,2024-10-31,10:32:00,330000,500,15845
93,2024-10-31,10:33:00,329500,0,15920
94,2024-10-31,10:34:00,329500,0,15961
95,2024-10-31,10:35:00,329500,0,16022
96,2024-10-31,10:36:00,329500,0,16037
97,2024-10-31,10:37:00,330000,500,16145
98,2024-10-31,10:38:00,330000,500,16467
99,2024-10-31,10:39:00,330000,500,16501
100,2024-10-31,10:40:00,330000,500,16554
101,2024-10-31,10:41:00,330000,500,16797
102,2024-10-31,10:42:00,330500,1000,16815
103,2024-10-31,10:43:00,330500,1000,16856
104,2024-10-31,10:44:00,330500,1000,16891
105,2024-10-31,10:45:00,330000,500,16946
106,2024-10-31,10:46:00,330500,1000,17004
107,2024-10-31,10:47:00,330000,500,17660
108,2024-10-31,10:48:00,330500,1000,17686
109,2024-10-31,10:49:00,330500,1000,17877
110,2024-10-31,10:50:00,330500,1000,18205
111,2024-10-31,10:51:00,330500,1000,18410
112,2024-10-31,10:52:00,330500,1000,18533
113,2024-10-31,10:53:00,330000,500,18561
114,2024-10-31,10:54:00,329500,0,18703
115,2024-10-31,10:55:00,329500,0,18764
116,2024-10-31,10:56:00,329500,0,18860
117,2024-10-31,10:57:00,330000,500,18896
118,2024-10-31,10:58:00,329500,0,19068
119,2024-10-31,10:59:00,330000,500,19209
120,2024-10-31,11:00:00,330000,500,19403
121,2024-10-31,11:01:00,330500,1000,19531
122,2024-10-31,11:02:00,330500,1000,19567
123,2024-10-31,11:03:00,330000,500,19620
124,2024-10-31,11:04:00,330500,1000,19712
125,2024-10-31,11:05:00,330500,1000,19736
126,2024-10-31,11:06:00,330500,1000,19785
