,date,time,price,change,volume
0,2025-06-16,09:00:00,63900,-600,2832
1,2025-06-16,09:01:00,64200,-300,3452
2,2025-06-16,09:02:00,64100,-400,3522
3,2025-06-16,09:03:00,64400,-100,3839
4,2025-06-16,09:04:00,64400,-100,4070
5,2025-06-16,09:05:00,64400,-100,4241
6,2025-06-16,09:06:00,64300,-200,4439
7,2025-06-16,09:07:00,64300,-200,4741
8,2025-06-16,09:08:00,64400,-100,4886
9,2025-06-16,09:09:00,64400,-100,5144
10,2025-06-16,09:10:00,64100,-400,5624
11,2025-06-16,09:11:00,64000,-500,6389
12,2025-06-16,09:12:00,63500,-1000,6828
13,2025-06-16,09:13:00,63600,-900,6932
14,2025-06-16,09:14:00,63500,-1000,7384
15,2025-06-16,09:15:00,64100,-400,8120
16,2025-06-16,09:16:00,63700,-800,8249
17,2025-06-16,09:17:00,63600,-900,8577
18,2025-06-16,09:18:00,63600,-900,8907
19,2025-06-16,09:19:00,63700,-800,8993
20,2025-06-16,09:20:00,64200,-300,9751
21,2025-06-16,09:21:00,63800,-700,9944
22,2025-06-16,09:22:00,63900,-600,10069
23,2025-06-16,09:23:00,63800,-700,10185
24,2025-06-16,09:24:00,63700,-800,10307
25,2025-06-16,09:25:00,63500,-1000,10648
26,2025-06-16,09:26:00,63300,-1200,11013
27,2025-06-16,09:27:00,63400,-1100,11173
28,2025-06-16,09:28:00,63300,-1200,11466
29,2025-06-16,09:29:00,63500,-1000,11650
30,2025-06-16,09:30:00,63500,-1000,11780
31,2025-06-16,09:31:00,63300,-1200,12519
32,2025-06-16,09:32:00,63300,-1200,13054
33,2025-06-16,09:33:00,63200,-1300,14100
34,2025-06-16,09:34:00,63700,-800,14658
35,2025-06-16,09:35:00,63800,-700,15021
36,2025-06-16,09:36:00,63800,-700,15245
37,2025-06-16,09:37:00,63700,-800,15287
38,2025-06-16,09:38:00,63800,-700,15517
39,2025-06-16,09:39:00,64300,-200,16105
40,2025-06-16,09:40:00,64200,-300,16303
41,2025-06-16,09:41:00,64200,-300,16557
42,2025-06-16,09:42:00,64100,-400,16670
43,2025-06-16,09:43:00,64000,-500,17011
44,2025-06-16,09:44:00,64000,-500,17061
45,2025-06-16,09:45:00,63900,-600,17199
46,2025-06-16,09:46:00,64100,-400,17306
47,2025-06-16,09:47:00,63900,-600,17699
48,2025-06-16,09:48:00,64000,-500,17793
49,2025-06-16,09:49:00,63900,-600,18319
50,2025-06-16,09:50:00,63700,-800,18389
51,2025-06-16,09:51:00,63700,-800,18497
52,2025-06-16,09:52:00,63800,-700,18570
53,2025-06-16,09:53:00,63700,-800,18755
