,date,time,price,change,volume
0,2025-12-26,09:00:00,109100,-200,4025
1,2025-12-26,09:01:00,109100,-200,4289
2,2025-12-26,09:02:00,108900,-400,4851
3,2025-12-26,09:03:00,109000,-300,5197
4,2025-12-26,09:04:00,108700,-600,7689
5,2025-12-26,09:05:00,108700,-600,10117
6,2025-12-26,09:06:00,108700,-600,10451
7,2025-12-26,09:07:00,108600,-700,10775
8,2025-12-26,09:08:00,108500,-800,13636
9,2025-12-26,09:09:00,108600,-700,14625
10,2025-12-26,09:10:00,108400,-900,15956
11,2025-12-26,09:11:00,108400,-900,16615
12,2025-12-26,09:12:00,108400,-900,16964
13,2025-12-26,09:13:00,108300,-1000,18603
14,2025-12-26,09:14:00,108200,-1100,20518
15,2025-12-26,09:15:00,108200,-1100,21205
16,2025-12-26,09:16:00,108200,-1100,21579
17,2025-12-26,09:17:00,108100,-1200,22778
18,2025-12-26,09:18:00,108200,-1100,23237
19,2025-12-26,09:19:00,108100,-1200,23727
20,2025-12-26,09:20:00,108100,-1200,24129
21,2025-12-26,09:21:00,108100,-1200,24912
22,2025-12-26,09:22:00,108000,-1300,26064
23,2025-12-26,09:23:00,108000,-1300,26528
24,2025-12-26,09:24:00,108000,-1300,29810
25,2025-12-26,09:25:00,108100,-1200,31420
26,2025-12-26,09:26:00,107900,-1400,32744
27,2025-12-26,09:27:00,107900,-1400,34070
28,2025-12-26,09:28:00,107900,-1400,36195
29,2025-12-26,09:29:00,108000,-1300,36853
30,2025-12-26,09:30:00,108100,-1200,37247
31,2025-12-26,09:31:00,108200,-1100,38289
32,2025-12-26,09:32:00,108200,-1100,38674
33,2025-12-26,09:33:00,108300,-1000,38908
34,2025-12-26,09:34:00,108400,-900,39238
35,2025-12-26,09:35:00,108300,-1000,39693
36,2025-12-26,09:36:00,108500,-800,39959
37,2025-12-26,09:37:00,108400,-900,40384
38,2025-12-26,09:38:00,108400,-900,40777
39,2025-12-26,09:39:00,108400,-900,41097
40,2025-12-26,09:40:00,108500,-800,41979
41,2025-12-26,09:41:00,108400,-900,42391
42,2025-12-26,09:42:00,108600,-700,43040
43,2025-12-26,09:43:00,108400,-900,43333
44,2025-12-26,09:44:00,108400,-900,43934
45,2025-12-26,09:45:00,108500,-800,44499
46,2025-12-26,09:46:00,108600,-700,44979
47,2025-12-26,09:47:00,108700,-600,45337
48,2025-12-26,09:48:00,108500,-800,45676
49,2025-12-26,09:49:00,108600,-700,46168
50,2025-12-26,09:50:00,108400,-900,46502
51,2025-12-26,09:51:00,108600,-700,46701
52,2025-12-26,09:52:00,108400,-900,47192
53,2025-12-26,09:53:00,108300,-1000,49764
54,2025-12-26,09:54:00,108200,-1100,50203
55,2025-12-26,09:55:00,108100,-1200,52934
56,2025-12-26,09:56:00,108100,-1200,53655
57,2025-12-26,09:57:00,108100,-1200,54003
58,2025-12-26,09:58:00,108300,-1000,54400
59,2025-12-26,09:59:00,108000,-1300,54785
60,2025-12-26,10:00:00,108100,-1200,55041
61,2025-12-26,10:01:00,108200,-1100,56004
62,2025-12-26,10:02:00,108200,-1100,56597
63,2025-12-26,10:03:00,108100,-1200,57081
64,2025-12-26,10:04:00,108200,-1100,57125
65,2025-12-26,10:05:00,108400,-900,57275
66,2025-12-26,10:06:00,108300,-1000,57699
67,2025-12-26,10:07:00,108200,-1100,58226
68,2025-12-26,10:08:00,108300,-1000,58275
69,2025-12-26,10:09:00,108400,-900,58530
