,date,time,price,change,volume
0,2025-12-01,09:00:00,308000,-1500,4102
1,2025-12-01,09:01:00,308500,-1000,6750
2,2025-12-01,09:02:00,307000,-2500,8418
3,2025-12-01,09:03:00,308500,-1000,10041
4,2025-12-01,09:04:00,308000,-1500,11403
5,2025-12-01,09:05:00,308500,-1000,12625
6,2025-12-01,09:06:00,308000,-1500,13441
7,2025-12-01,09:07:00,308000,-1500,13862
8,2025-12-01,09:08:00,309000,-500,14477
9,2025-12-01,09:09:00,309000,-500,14936
10,2025-12-01,09:10:00,309000,-500,16500
11,2025-12-01,09:11:00,308500,-1000,17957
12,2025-12-01,09:12:00,308500,-1000,18505
13,2025-12-01,09:13:00,308000,-1500,19179
14,2025-12-01,09:14:00,307500,-2000,19774
15,2025-12-01,09:15:00,307500,-2000,20578
16,2025-12-01,09:16:00,307500,-2000,20786
17,2025-12-01,09:17:00,307500,-2000,21847
18,2025-12-01,09:18:00,307000,-2500,24236
19,2025-12-01,09:19:00,306000,-3500,28524
20,2025-12-01,09:20:00,306500,-3000,31947
21,2025-12-01,09:21:00,306250,-3250,32604
22,2025-12-01,09:22:00,306000,-3500,34154
23,2025-12-01,09:23:00,305500,-4000,34479
24,2025-12-01,09:24:00,305500,-4000,34579
25,2025-12-01,09:25:00,305500,-4000,36380
26,2025-12-01,09:26:00,305500,-4000,37246
27,2025-12-01,09:27:00,306000,-3500,38179
28,2025-12-01,09:28:00,307000,-2500,38536
29,2025-12-01,09:29:00,306500,-3000,38829
30,2025-12-01,09:30:00,306000,-3500,39240
31,2025-12-01,09:31:00,306000,-3500,40674
32,2025-12-01,09:32:00,306000,-3500,40851
33,2025-12-01,09:33:00,305750,-3750,40963
34,2025-12-01,09:34:00,305000,-4500,41723
35,2025-12-01,09:35:00,305000,-4500,42473
36,2025-12-01,09:36:00,305000,-4500,42578
37,2025-12-01,09:37:00,305000,-4500,42677
38,2025-12-01,09:38:00,305500,-4000,42725
