,date,time,price,change,volume
0,2025-11-27,09:00:00,256000,-7500,140791
1,2025-11-27,09:01:00,255000,-8500,188159
2,2025-11-27,09:02:00,254500,-9000,252439
3,2025-11-27,09:03:00,256000,-7500,286461
4,2025-11-27,09:04:00,259000,-4500,306537
5,2025-11-27,09:05:00,258500,-5000,324766
6,2025-11-27,09:06:00,259000,-4500,337030
7,2025-11-27,09:07:00,257500,-6000,363710
8,2025-11-27,09:08:00,258500,-5000,376320
9,2025-11-27,09:09:00,259000,-4500,385518
10,2025-11-27,09:10:00,259000,-4500,393643
11,2025-11-27,09:11:00,257500,-6000,403420
12,2025-11-27,09:12:00,258000,-5500,413939
13,2025-11-27,09:13:00,259000,-4500,420407
14,2025-11-27,09:14:00,258750,-4750,423004
15,2025-11-27,09:15:00,258000,-5500,429574
16,2025-11-27,09:16:00,257500,-6000,442465
17,2025-11-27,09:17:00,257750,-5750,456098
18,2025-11-27,09:18:00,258500,-5000,462872
19,2025-11-27,09:19:00,261000,-2500,480957
20,2025-11-27,09:20:00,260500,-3000,491230
21,2025-11-27,09:21:00,260000,-3500,494434
22,2025-11-27,09:22:00,259500,-4000,502078
23,2025-11-27,09:23:00,260500,-3000,509260
24,2025-11-27,09:24:00,260500,-3000,510293
25,2025-11-27,09:25:00,260000,-3500,513595
26,2025-11-27,09:26:00,259500,-4000,515738
27,2025-11-27,09:27:00,260000,-3500,519653
28,2025-11-27,09:28:00,259500,-4000,523868
29,2025-11-27,09:29:00,259500,-4000,528535
30,2025-11-27,09:30:00,259250,-4250,534706
31,2025-11-27,09:31:00,258750,-4750,537563
32,2025-11-27,09:32:00,258250,-5250,546078
33,2025-11-27,09:33:00,258000,-5500,557637
34,2025-11-27,09:34:00,258500,-5000,561223
35,2025-11-27,09:35:00,258500,-5000,566025
36,2025-11-27,09:36:00,258250,-5250,579566
37,2025-11-27,09:37:00,258250,-5250,582955
38,2025-11-27,09:38:00,257500,-6000,590648
39,2025-11-27,09:39:00,256000,-7500,609532
40,2025-11-27,09:40:00,257250,-6250,625367
41,2025-11-27,09:41:00,257500,-6000,632092
42,2025-11-27,09:42:00,258000,-5500,637422
43,2025-11-27,09:43:00,257500,-6000,642183
44,2025-11-27,09:44:00,258500,-5000,648990
45,2025-11-27,09:45:00,259000,-4500,653231
46,2025-11-27,09:46:00,259000,-4500,656175
47,2025-11-27,09:47:00,259500,-4000,658479
48,2025-11-27,09:48:00,259000,-4500,660502
49,2025-11-27,09:49:00,259500,-4000,665545
50,2025-11-27,09:50:00,260000,-3500,666578
51,2025-11-27,09:51:00,259500,-4000,669265
52,2025-11-27,09:52:00,259500,-4000,672137
53,2025-11-27,09:53:00,259000,-4500,675062
54,2025-11-27,09:54:00,259000,-4500,676492
55,2025-11-27,09:55:00,258750,-4750,685467
56,2025-11-27,09:56:00,258500,-5000,687646
57,2025-11-27,09:57:00,258500,-5000,689218
58,2025-11-27,09:58:00,258500,-5000,691478
59,2025-11-27,09:59:00,258000,-5500,694964
60,2025-11-27,10:00:00,258000,-5500,700554
61,2025-11-27,10:01:00,257500,-6000,702380
62,2025-11-27,10:02:00,257500,-6000,705588
63,2025-11-27,10:03:00,256750,-6750,717173
64,2025-11-27,10:04:00,256500,-7000,721732
65,2025-11-27,10:05:00,256500,-7000,731997
66,2025-11-27,10:06:00,256250,-7250,734275
67,2025-11-27,10:07:00,255500,-8000,769504
68,2025-11-27,10:08:00,255000,-8500,787871
69,2025-11-27,10:09:00,255500,-8000,791822
70,2025-11-27,10:10:00,254500,-9000,829638
71,2025-11-27,10:11:00,255000,-8500,840796
72,2025-11-27,10:12:00,254500,-9000,865759
73,2025-11-27,10:13:00,255000,-8500,868984
74,2025-11-27,10:14:00,255000,-8500,869863
75,2025-11-27,10:15:00,255250,-8250,875632
76,2025-11-27,10:16:00,256000,-7500,883255
77,2025-11-27,10:17:00,257000,-6500,891936
78,2025-11-27,10:18:00,256250,-7250,897223
79,2025-11-27,10:19:00,256000,-7500,899269
80,2025-11-27,10:20:00,256000,-7500,902639
81,2025-11-27,10:21:00,256500,-7000,906508
82,2025-11-27,10:22:00,256000,-7500,911312
83,2025-11-27,10:23:00,256250,-7250,912257
84,2025-11-27,10:24:00,256250,-7250,915094
85,2025-11-27,10:25:00,256500,-7000,921301
86,2025-11-27,10:26:00,256500,-7000,930361
87,2025-11-27,10:27:00,256500,-7000,937341
88,2025-11-27,10:28:00,256500,-7000,938117
89,2025-11-27,10:29:00,256000,-7500,946079
90,2025-11-27,10:30:00,255500,-8000,950102
91,2025-11-27,10:31:00,254750,-8750,958384
92,2025-11-27,10:32:00,255750,-7750,964482
93,2025-11-27,10:33:00,256250,-7250,972063
94,2025-11-27,10:34:00,256250,-7250,974245
95,2025-11-27,10:35:00,256000,-7500,975584
96,2025-11-27,10:36:00,256000,-7500,988327
97,2025-11-27,10:37:00,256500,-7000,989658
98,2025-11-27,10:38:00,256500,-7000,990942
99,2025-11-27,10:39:00,255500,-8000,996847
100,2025-11-27,10:40:00,256000,-7500,998443
101,2025-11-27,10:41:00,256000,-7500,1000914
102,2025-11-27,10:42:00,256250,-7250,1004395
103,2025-11-27,10:43:00,256000,-7500,1005558
104,2025-11-27,10:44:00,256000,-7500,1006346
105,2025-11-27,10:45:00,256000,-7500,1007434
106,2025-11-27,10:46:00,255500,-8000,1013955
107,2025-11-27,10:47:00,255500,-8000,1016188
108,2025-11-27,10:48:00,255750,-7750,1017065
109,2025-11-27,10:49:00,255500,-8000,1025863
