,date,time,price,change,volume
0,2024-11-18,09:00:00,202000,0,1987
1,2024-11-18,09:01:00,202000,0,2770
2,2024-11-18,09:02:00,202000,0,3175
3,2024-11-18,09:03:00,202500,500,3503
4,2024-11-18,09:04:00,201500,-500,3980
5,2024-11-18,09:05:00,202000,0,4664
6,2024-11-18,09:06:00,202500,500,5468
7,2024-11-18,09:07:00,203000,1000,5587
8,2024-11-18,09:08:00,202500,500,5665
9,2024-11-18,09:09:00,202500,500,5801
10,2024-11-18,09:10:00,203000,1000,5953
11,2024-11-18,09:11:00,203000,1000,6426
12,2024-11-18,09:12:00,203000,1000,6549
13,2024-11-18,09:13:00,203500,1500,6657
14,2024-11-18,09:14:00,204000,2000,6796
15,2024-11-18,09:15:00,203000,1000,7270
16,2024-11-18,09:16:00,204000,2000,7335
17,2024-11-18,09:17:00,203500,1500,7374
18,2024-11-18,09:18:00,203500,1500,7408
19,2024-11-18,09:19:00,204000,2000,7845
20,2024-11-18,09:20:00,204500,2500,8692
21,2024-11-18,09:21:00,204500,2500,9094
22,2024-11-18,09:22:00,204000,2000,9154
23,2024-11-18,09:23:00,204000,2000,9202
24,2024-11-18,09:24:00,203000,1000,9822
25,2024-11-18,09:25:00,203000,1000,10065
26,2024-11-18,09:26:00,203500,1500,10199
27,2024-11-18,09:27:00,203500,1500,10410
28,2024-11-18,09:28:00,203500,1500,10492
29,2024-11-18,09:29:00,204000,2000,10575
30,2024-11-18,09:30:00,204000,2000,10692
31,2024-11-18,09:31:00,204000,2000,10726
32,2024-11-18,09:32:00,204000,2000,10791
33,2024-11-18,09:33:00,204000,2000,10808
34,2024-11-18,09:34:00,203500,1500,10824
35,2024-11-18,09:35:00,203500,1500,11020
36,2024-11-18,09:36:00,204000,2000,11171
37,2024-11-18,09:37:00,203500,1500,11180
38,2024-11-18,09:38:00,204500,2500,11534
39,2024-11-18,09:39:00,204500,2500,11543
40,2024-11-18,09:40:00,204000,2000,11602
41,2024-11-18,09:41:00,205000,3000,11746
42,2024-11-18,09:42:00,204500,2500,12385
43,2024-11-18,09:43:00,204000,2000,12564
44,2024-11-18,09:44:00,205000,3000,12712
45,2024-11-18,09:45:00,204500,2500,12731
46,2024-11-18,09:46:00,204500,2500,13044
47,2024-11-18,09:47:00,205000,3000,13673
48,2024-11-18,09:48:00,204500,2500,13692
49,2024-11-18,09:49:00,204000,2000,13845
50,2024-11-18,09:50:00,204000,2000,14063
51,2024-11-18,09:51:00,204500,2500,14165
52,2024-11-18,09:52:00,204500,2500,14183
53,2024-11-18,09:53:00,204500,2500,14301
54,2024-11-18,09:54:00,205000,3000,15091
55,2024-11-18,09:55:00,205500,3500,15254
56,2024-11-18,09:56:00,205500,3500,15270
57,2024-11-18,09:57:00,204500,2500,16491
58,2024-11-18,09:58:00,204500,2500,16507
59,2024-11-18,09:59:00,204500,2500,16579
60,2024-11-18,10:00:00,205000,3000,16658
61,2024-11-18,10:01:00,204500,2500,16777
62,2024-11-18,10:02:00,204500,2500,16840
63,2024-11-18,10:03:00,205000,3000,17028
64,2024-11-18,10:04:00,205500,3500,17102
65,2024-11-18,10:05:00,205500,3500,17319
66,2024-11-18,10:06:00,205500,3500,17478
67,2024-11-18,10:07:00,205500,3500,17486
68,2024-11-18,10:08:00,205500,3500,17580
69,2024-11-18,10:09:00,205000,3000,17919
70,2024-11-18,10:10:00,204500,2500,18009
71,2024-11-18,10:11:00,204500,2500,18263
72,2024-11-18,10:12:00,205000,3000,18295
73,2024-11-18,10:13:00,204500,2500,18310
74,2024-11-18,10:14:00,204500,2500,18756
75,2024-11-18,10:15:00,204000,2000,18782
76,2024-11-18,10:16:00,205000,3000,18823
77,2024-11-18,10:17:00,205000,3000,19068
78,2024-11-18,10:18:00,205000,3000,19199
79,2024-11-18,10:19:00,205500,3500,19406
80,2024-11-18,10:20:00,205000,3000,19470
81,2024-11-18,10:21:00,205000,3000,19546
82,2024-11-18,10:22:00,205500,3500,19553
83,2024-11-18,10:23:00,205000,3000,19665
84,2024-11-18,10:24:00,206000,4000,20446
85,2024-11-18,10:25:00,205500,3500,20467
86,2024-11-18,10:26:00,204500,2500,21536
87,2024-11-18,10:27:00,205500,3500,21616
88,2024-11-18,10:28:00,205000,3000,21812
89,2024-11-18,10:29:00,204500,2500,22166
90,2024-11-18,10:30:00,205000,3000,22196
91,2024-11-18,10:31:00,205000,3000,23202
92,2024-11-18,10:32:00,204000,2000,23327
93,2024-11-18,10:33:00,204000,2000,23334
94,2024-11-18,10:34:00,204000,2000,23382
95,2024-11-18,10:35:00,204500,2500,23478
96,2024-11-18,10:36:00,204500,2500,23787
97,2024-11-18,10:37:00,204500,2500,23793
98,2024-11-18,10:38:00,204000,2000,24245
99,2024-11-18,10:39:00,205000,3000,24386
100,2024-11-18,10:40:00,204500,2500,24399
101,2024-11-18,10:41:00,204500,2500,24464
102,2024-11-18,10:42:00,204500,2500,24573
