,date,time,price,change,volume
0,2025-05-30,09:00:00,112800,-600,17440
1,2025-05-30,09:01:00,112300,-1100,25579
2,2025-05-30,09:02:00,111500,-1900,31029
3,2025-05-30,09:03:00,111700,-1700,34044
4,2025-05-30,09:04:00,111400,-2000,38518
5,2025-05-30,09:05:00,112000,-1400,41166
6,2025-05-30,09:06:00,112000,-1400,43113
7,2025-05-30,09:07:00,111500,-1900,48327
8,2025-05-30,09:08:00,111800,-1600,49665
9,2025-05-30,09:09:00,111400,-2000,51371
10,2025-05-30,09:10:00,111400,-2000,52166
11,2025-05-30,09:11:00,111900,-1500,55249
12,2025-05-30,09:12:00,111800,-1600,56611
13,2025-05-30,09:13:00,112000,-1400,57338
14,2025-05-30,09:14:00,111800,-1600,59168
15,2025-05-30,09:15:00,111600,-1800,59732
16,2025-05-30,09:16:00,111700,-1700,61319
17,2025-05-30,09:17:00,111300,-2100,63500
18,2025-05-30,09:18:00,111100,-2300,66486
19,2025-05-30,09:19:00,111200,-2200,70917
20,2025-05-30,09:20:00,111100,-2300,72573
21,2025-05-30,09:21:00,111300,-2100,74193
22,2025-05-30,09:22:00,111200,-2200,75216
23,2025-05-30,09:23:00,111000,-2400,77122
24,2025-05-30,09:24:00,111000,-2400,79569
25,2025-05-30,09:25:00,111100,-2300,80699
26,2025-05-30,09:26:00,111000,-2400,81274
27,2025-05-30,09:27:00,111700,-1700,82666
28,2025-05-30,09:28:00,111700,-1700,83596
29,2025-05-30,09:29:00,111400,-2000,85000
30,2025-05-30,09:30:00,112300,-1100,88230
31,2025-05-30,09:31:00,112500,-900,89684
32,2025-05-30,09:32:00,112400,-1000,90873
33,2025-05-30,09:33:00,112700,-700,92463
34,2025-05-30,09:34:00,112800,-600,92802
35,2025-05-30,09:35:00,113000,-400,94177
36,2025-05-30,09:36:00,113400,0,95788
37,2025-05-30,09:37:00,113900,500,99503
38,2025-05-30,09:38:00,113900,500,104292
39,2025-05-30,09:39:00,113600,200,106398
40,2025-05-30,09:40:00,113700,300,107041
41,2025-05-30,09:41:00,114100,700,108775
42,2025-05-30,09:42:00,114300,900,110429
43,2025-05-30,09:43:00,114500,1100,112667
