,date,time,price,change,volume
0,2024-08-21,09:00:00,323000,0,5214
1,2024-08-21,09:01:00,322000,-1000,9242
2,2024-08-21,09:02:00,323500,500,11835
3,2024-08-21,09:03:00,323000,0,13881
4,2024-08-21,09:04:00,323000,0,14969
5,2024-08-21,09:05:00,322500,-500,15352
6,2024-08-21,09:06:00,323000,0,18113
7,2024-08-21,09:07:00,325000,2000,20965
8,2024-08-21,09:08:00,325000,2000,22148
9,2024-08-21,09:09:00,325500,2500,24912
10,2024-08-21,09:10:00,325500,2500,25548
11,2024-08-21,09:11:00,324500,1500,26846
12,2024-08-21,09:12:00,324000,1000,28185
13,2024-08-21,09:13:00,323500,500,29730
14,2024-08-21,09:14:00,323500,500,30322
15,2024-08-21,09:15:00,324000,1000,30630
16,2024-08-21,09:16:00,323500,500,31152
17,2024-08-21,09:17:00,324000,1000,32021
18,2024-08-21,09:18:00,324000,1000,32345
19,2024-08-21,09:19:00,324000,1000,32804
20,2024-08-21,09:20:00,324500,1500,33150
21,2024-08-21,09:21:00,324500,1500,34832
22,2024-08-21,09:22:00,324500,1500,35678
23,2024-08-21,09:23:00,325000,2000,36095
24,2024-08-21,09:24:00,325000,2000,37532
25,2024-08-21,09:25:00,325000,2000,37639
26,2024-08-21,09:26:00,324500,1500,38532
27,2024-08-21,09:27:00,323500,500,39402
28,2024-08-21,09:28:00,323500,500,39842
29,2024-08-21,09:29:00,323500,500,40223
30,2024-08-21,09:30:00,323500,500,40596
31,2024-08-21,09:31:00,323500,500,40782
32,2024-08-21,09:32:00,323500,500,41561
33,2024-08-21,09:33:00,323500,500,41675
34,2024-08-21,09:34:00,323500,500,41911
35,2024-08-21,09:35:00,323000,0,41993
36,2024-08-21,09:36:00,324000,1000,43339
37,2024-08-21,09:37:00,324000,1000,43639
38,2024-08-21,09:38:00,324000,1000,44224
39,2024-08-21,09:39:00,323500,500,44387
40,2024-08-21,09:40:00,323500,500,45365
41,2024-08-21,09:41:00,323000,0,45545
42,2024-08-21,09:42:00,323000,0,45851
43,2024-08-21,09:43:00,323000,0,45988
44,2024-08-21,09:44:00,323500,500,46127
45,2024-08-21,09:45:00,324000,1000,48107
46,2024-08-21,09:46:00,324000,1000,50154
47,2024-08-21,09:47:00,324000,1000,50989
48,2024-08-21,09:48:00,324000,1000,51064
49,2024-08-21,09:49:00,324000,1000,51142
50,2024-08-21,09:50:00,324500,1500,52283
51,2024-08-21,09:51:00,325000,2000,52905
52,2024-08-21,09:52:00,325000,2000,54231
53,2024-08-21,09:53:00,325000,2000,54777
54,2024-08-21,09:54:00,325500,2500,56394
55,2024-08-21,09:55:00,325500,2500,56687
56,2024-08-21,09:56:00,325500,2500,57167
57,2024-08-21,09:57:00,325500,2500,58462
58,2024-08-21,09:58:00,326000,3000,58685
59,2024-08-21,09:59:00,326000,3000,58848
60,2024-08-21,10:00:00,326000,3000,61111
61,2024-08-21,10:01:00,326500,3500,63626
62,2024-08-21,10:02:00,327000,4000,63950
63,2024-08-21,10:03:00,327500,4500,67820
64,2024-08-21,10:04:00,327500,4500,70049
65,2024-08-21,10:05:00,327500,4500,71075
66,2024-08-21,10:06:00,326500,3500,72741
67,2024-08-21,10:07:00,326500,3500,73123
68,2024-08-21,10:08:00,326000,3000,73646
69,2024-08-21,10:09:00,326500,3500,74447
70,2024-08-21,10:10:00,327000,4000,75616
71,2024-08-21,10:11:00,327000,4000,75857
72,2024-08-21,10:12:00,327500,4500,78197
73,2024-08-21,10:13:00,327500,4500,79280
74,2024-08-21,10:14:00,327500,4500,81342
75,2024-08-21,10:15:00,328500,5500,85988
76,2024-08-21,10:16:00,328500,5500,86818
77,2024-08-21,10:17:00,329000,6000,88182
78,2024-08-21,10:18:00,329000,6000,90625
79,2024-08-21,10:19:00,328500,5500,91001
80,2024-08-21,10:20:00,329000,6000,92802
81,2024-08-21,10:21:00,329500,6500,95558
82,2024-08-21,10:22:00,330000,7000,102479
83,2024-08-21,10:23:00,330000,7000,106869
84,2024-08-21,10:24:00,330500,7500,109601
85,2024-08-21,10:25:00,330500,7500,110274
86,2024-08-21,10:26:00,330500,7500,114624
87,2024-08-21,10:27:00,331000,8000,120563
88,2024-08-21,10:28:00,330000,7000,122180
89,2024-08-21,10:29:00,330000,7000,122725
90,2024-08-21,10:30:00,330000,7000,123952
91,2024-08-21,10:31:00,329500,6500,126962
92,2024-08-21,10:32:00,329000,6000,127350
93,2024-08-21,10:33:00,329000,6000,128139
94,2024-08-21,10:34:00,329000,6000,128470
95,2024-08-21,10:35:00,328500,5500,128702
96,2024-08-21,10:36:00,328000,5000,130207
97,2024-08-21,10:37:00,328000,5000,131155
98,2024-08-21,10:38:00,328500,5500,131627
99,2024-08-21,10:39:00,328000,5000,131754
100,2024-08-21,10:40:00,328000,5000,131966
101,2024-08-21,10:41:00,328500,5500,132550
102,2024-08-21,10:42:00,329000,6000,133899
103,2024-08-21,10:43:00,328500,5500,135440
104,2024-08-21,10:44:00,328500,5500,135669
105,2024-08-21,10:45:00,328000,5000,136091
106,2024-08-21,10:46:00,328500,5500,136811
107,2024-08-21,10:47:00,329000,6000,136910
108,2024-08-21,10:48:00,328500,5500,137337
109,2024-08-21,10:49:00,328500,5500,137421
110,2024-08-21,10:50:00,328500,5500,137902
111,2024-08-21,10:51:00,329000,6000,138006
112,2024-08-21,10:52:00,329000,6000,138443
113,2024-08-21,10:53:00,328000,5000,138945
114,2024-08-21,10:54:00,328000,5000,139526
115,2024-08-21,10:55:00,328500,5500,139798
116,2024-08-21,10:56:00,328000,5000,140052
117,2024-08-21,10:57:00,328500,5500,140252
118,2024-08-21,10:58:00,328000,5000,140354
119,2024-08-21,10:59:00,328000,5000,140520
120,2024-08-21,11:00:00,328000,5000,140656
121,2024-08-21,11:01:00,328000,5000,140746
122,2024-08-21,11:02:00,328000,5000,140861
123,2024-08-21,11:03:00,328000,5000,141677
124,2024-08-21,11:04:00,328500,5500,142050
125,2024-08-21,11:05:00,328000,5000,142258
126,2024-08-21,11:06:00,328500,5500,143350
127,2024-08-21,11:07:00,328500,5500,143413
128,2024-08-21,11:08:00,329000,6000,144438
129,2024-08-21,11:09:00,329000,6000,144791
130,2024-08-21,11:10:00,329000,6000,145144
131,2024-08-21,11:11:00,329000,6000,146060
132,2024-08-21,11:12:00,329000,6000,146781
133,2024-08-21,11:13:00,329000,6000,146973
134,2024-08-21,11:14:00,328500,5500,147135
135,2024-08-21,11:15:00,329000,6000,148015
136,2024-08-21,11:16:00,328500,5500,148098
137,2024-08-21,11:17:00,329000,6000,149277
138,2024-08-21,11:18:00,329000,6000,149378
139,2024-08-21,11:19:00,329000,6000,149865
140,2024-08-21,11:20:00,329000,6000,150246
141,2024-08-21,11:21:00,329500,6500,152750
142,2024-08-21,11:22:00,329500,6500,152989
143,2024-08-21,11:23:00,329500,6500,153296
144,2024-08-21,11:24:00,330000,7000,153804
145,2024-08-21,11:25:00,329500,6500,154187
146,2024-08-21,11:26:00,329500,6500,154316
147,2024-08-21,11:27:00,329000,6000,154630
148,2024-08-21,11:28:00,329000,6000,154703
149,2024-08-21,11:29:00,328500,5500,154777
150,2024-08-21,11:30:00,329000,6000,154808
151,2024-08-21,11:31:00,329000,6000,154887
152,2024-08-21,11:32:00,329000,6000,155056
153,2024-08-21,11:33:00,329000,6000,155110
154,2024-08-21,11:34:00,328500,5500,155424
155,2024-08-21,11:35:00,329000,6000,155772
156,2024-08-21,11:36:00,329000,6000,156012
157,2024-08-21,11:37:00,329500,6500,157408
158,2024-08-21,11:38:00,329000,6000,157528
159,2024-08-21,11:39:00,329000,6000,157674
160,2024-08-21,11:40:00,329000,6000,158648
161,2024-08-21,11:41:00,328500,5500,158690
162,2024-08-21,11:42:00,329000,6000,158845
163,2024-08-21,11:43:00,329000,6000,158983
164,2024-08-21,11:44:00,329500,6500,159807
165,2024-08-21,11:45:00,329000,6000,159924
166,2024-08-21,11:46:00,329000,6000,160119
167,2024-08-21,11:47:00,329000,6000,160158
168,2024-08-21,11:48:00,329000,6000,160251
169,2024-08-21,11:49:00,329000,6000,160306
170,2024-08-21,11:50:00,329000,6000,160389
171,2024-08-21,11:51:00,328500,5500,160549
172,2024-08-21,11:52:00,329000,6000,160605
173,2024-08-21,11:53:00,329000,6000,160671
174,2024-08-21,11:54:00,329000,6000,160700
175,2024-08-21,11:55:00,329000,6000,160733
176,2024-08-21,11:56:00,329000,6000,160818
177,2024-08-21,11:57:00,328500,5500,160986
178,2024-08-21,11:58:00,329000,6000,161216
179,2024-08-21,11:59:00,329000,6000,161290
180,2024-08-21,12:00:00,328500,5500,161331
181,2024-08-21,12:01:00,329000,6000,161377
182,2024-08-21,12:02:00,328500,5500,161753
183,2024-08-21,12:03:00,328500,5500,161976
184,2024-08-21,12:04:00,328500,5500,162552
185,2024-08-21,12:05:00,329000,6000,162648
186,2024-08-21,12:06:00,328500,5500,163390
187,2024-08-21,12:07:00,329500,6500,164315
188,2024-08-21,12:08:00,329000,6000,164864
189,2024-08-21,12:09:00,329500,6500,166880
190,2024-08-21,12:10:00,330000,7000,167021
191,2024-08-21,12:11:00,330000,7000,167162
192,2024-08-21,12:12:00,331500,8500,176326
193,2024-08-21,12:13:00,331000,8000,178344
194,2024-08-21,12:14:00,331000,8000,178525
195,2024-08-21,12:15:00,331000,8000,178883
196,2024-08-21,12:16:00,331000,8000,182546
197,2024-08-21,12:17:00,331000,8000,182917
198,2024-08-21,12:18:00,331500,8500,183229
199,2024-08-21,12:19:00,332000,9000,186732
200,2024-08-21,12:20:00,332000,9000,187411
201,2024-08-21,12:21:00,331500,8500,190326
202,2024-08-21,12:22:00,331500,8500,191736
203,2024-08-21,12:23:00,331500,8500,192699
204,2024-08-21,12:24:00,331500,8500,192923
205,2024-08-21,12:25:00,331500,8500,193636
206,2024-08-21,12:26:00,331500,8500,194053
207,2024-08-21,12:27:00,331500,8500,194218
208,2024-08-21,12:28:00,331500,8500,194294
209,2024-08-21,12:29:00,332000,9000,195443
210,2024-08-21,12:30:00,331500,8500,195579
211,2024-08-21,12:31:00,331500,8500,195770
212,2024-08-21,12:32:00,331500,8500,196279
213,2024-08-21,12:33:00,331500,8500,196622
214,2024-08-21,12:34:00,331500,8500,197954
215,2024-08-21,12:35:00,331500,8500,199220
216,2024-08-21,12:36:00,331500,8500,199440
217,2024-08-21,12:37:00,331500,8500,199661
218,2024-08-21,12:38:00,331500,8500,199735
219,2024-08-21,12:39:00,332000,9000,200520
220,2024-08-21,12:40:00,332500,9500,205810
221,2024-08-21,12:41:00,332000,9000,206265
222,2024-08-21,12:42:00,332000,9000,206510
223,2024-08-21,12:43:00,332000,9000,207042
224,2024-08-21,12:44:00,332000,9000,207598
225,2024-08-21,12:45:00,332000,9000,207753
226,2024-08-21,12:46:00,332000,9000,208010
227,2024-08-21,12:47:00,331500,8500,208056
228,2024-08-21,12:48:00,331500,8500,208591
229,2024-08-21,12:49:00,331000,8000,209775
230,2024-08-21,12:50:00,331500,8500,210020
231,2024-08-21,12:51:00,331000,8000,210247
232,2024-08-21,12:52:00,331000,8000,210465
233,2024-08-21,12:53:00,331000,8000,210593
234,2024-08-21,12:54:00,331000,8000,212335
235,2024-08-21,12:55:00,331000,8000,212368
236,2024-08-21,12:56:00,331000,8000,212485
237,2024-08-21,12:57:00,331500,8500,212629
238,2024-08-21,12:58:00,331500,8500,213770
239,2024-08-21,12:59:00,331500,8500,213976
240,2024-08-21,13:00:00,332000,9000,214059
241,2024-08-21,13:01:00,332000,9000,214115
242,2024-08-21,13:02:00,331500,8500,214464
243,2024-08-21,13:03:00,331500,8500,214648
244,2024-08-21,13:04:00,331500,8500,215086
245,2024-08-21,13:05:00,331500,8500,215409
246,2024-08-21,13:06:00,331500,8500,216327
247,2024-08-21,13:07:00,331500,8500,216726
248,2024-08-21,13:08:00,331500,8500,216821
249,2024-08-21,13:09:00,331500,8500,217050
250,2024-08-21,13:10:00,332000,9000,217219
251,2024-08-21,13:11:00,331500,8500,217383
252,2024-08-21,13:12:00,332000,9000,223113
253,2024-08-21,13:13:00,332000,9000,224337
