,date,time,price,change,volume
0,2025-11-21,09:00:00,290500,-11500,21276
1,2025-11-21,09:01:00,289500,-12500,26614
2,2025-11-21,09:02:00,288000,-14000,32779
3,2025-11-21,09:03:00,287500,-14500,38062
4,2025-11-21,09:04:00,287500,-14500,40837
5,2025-11-21,09:05:00,288500,-13500,45721
6,2025-11-21,09:06:00,288000,-14000,48039
7,2025-11-21,09:07:00,289000,-13000,50171
8,2025-11-21,09:08:00,288500,-13500,51930
9,2025-11-21,09:09:00,288000,-14000,53714
10,2025-11-21,09:10:00,288500,-13500,56411
11,2025-11-21,09:11:00,289500,-12500,59093
12,2025-11-21,09:12:00,290000,-12000,60668
13,2025-11-21,09:13:00,290000,-12000,61987
14,2025-11-21,09:14:00,290500,-11500,62372
15,2025-11-21,09:15:00,290000,-12000,65043
16,2025-11-21,09:16:00,290500,-11500,66387
17,2025-11-21,09:17:00,291000,-11000,66893
18,2025-11-21,09:18:00,291500,-10500,69052
19,2025-11-21,09:19:00,292000,-10000,70395
20,2025-11-21,09:20:00,291500,-10500,71914
21,2025-11-21,09:21:00,291000,-11000,73891
22,2025-11-21,09:22:00,291500,-10500,75688
23,2025-11-21,09:23:00,290500,-11500,77246
24,2025-11-21,09:24:00,290500,-11500,78285
25,2025-11-21,09:25:00,291000,-11000,78801
26,2025-11-21,09:26:00,291000,-11000,79224
27,2025-11-21,09:27:00,290500,-11500,79463
28,2025-11-21,09:28:00,290500,-11500,83014
29,2025-11-21,09:29:00,290500,-11500,83269
30,2025-11-21,09:30:00,290500,-11500,84198
31,2025-11-21,09:31:00,291000,-11000,85115
32,2025-11-21,09:32:00,291000,-11000,86239
33,2025-11-21,09:33:00,290500,-11500,88123
34,2025-11-21,09:34:00,289000,-13000,93486
35,2025-11-21,09:35:00,289500,-12500,94122
36,2025-11-21,09:36:00,289500,-12500,95211
37,2025-11-21,09:37:00,289500,-12500,95946
38,2025-11-21,09:38:00,289000,-13000,96713
39,2025-11-21,09:39:00,289500,-12500,97021
40,2025-11-21,09:40:00,288000,-14000,98639
41,2025-11-21,09:41:00,288000,-14000,99679
42,2025-11-21,09:42:00,288000,-14000,100645
43,2025-11-21,09:43:00,288500,-13500,101701
44,2025-11-21,09:44:00,288500,-13500,104372
45,2025-11-21,09:45:00,288500,-13500,105938
46,2025-11-21,09:46:00,289000,-13000,106609
47,2025-11-21,09:47:00,289000,-13000,107123
48,2025-11-21,09:48:00,289500,-12500,107929
49,2025-11-21,09:49:00,289000,-13000,109246
50,2025-11-21,09:50:00,290000,-12000,111907
51,2025-11-21,09:51:00,291000,-11000,113541
52,2025-11-21,09:52:00,291000,-11000,114281
53,2025-11-21,09:53:00,291000,-11000,115048
54,2025-11-21,09:54:00,291000,-11000,115972
55,2025-11-21,09:55:00,291500,-10500,117299
56,2025-11-21,09:56:00,291500,-10500,117441
57,2025-11-21,09:57:00,291500,-10500,118270
58,2025-11-21,09:58:00,291000,-11000,119093
59,2025-11-21,09:59:00,290500,-11500,119745
60,2025-11-21,10:00:00,290500,-11500,120518
61,2025-11-21,10:01:00,291500,-10500,121828
62,2025-11-21,10:02:00,291500,-10500,121905
63,2025-11-21,10:03:00,291000,-11000,122803
64,2025-11-21,10:04:00,291000,-11000,123751
