,date,time,price,change,volume
0,2024-09-23,09:00:00,159200,1200,3296
1,2024-09-23,09:01:00,159300,1300,3848
2,2024-09-23,09:02:00,159400,1400,4148
3,2024-09-23,09:03:00,159500,1500,4360
4,2024-09-23,09:04:00,158900,900,4672
5,2024-09-23,09:05:00,158400,400,5541
6,2024-09-23,09:06:00,158600,600,5863
7,2024-09-23,09:07:00,158700,700,6339
8,2024-09-23,09:08:00,158700,700,6698
9,2024-09-23,09:09:00,158600,600,7110
10,2024-09-23,09:10:00,158400,400,7260
11,2024-09-23,09:11:00,157900,-100,8677
12,2024-09-23,09:12:00,157700,-300,9002
13,2024-09-23,09:13:00,158000,0,9296
14,2024-09-23,09:14:00,157800,-200,9529
15,2024-09-23,09:15:00,157800,-200,9971
16,2024-09-23,09:16:00,157800,-200,10054
17,2024-09-23,09:17:00,158000,0,10236
18,2024-09-23,09:18:00,157800,-200,10634
19,2024-09-23,09:19:00,157800,-200,11196
20,2024-09-23,09:20:00,157500,-500,11544
21,2024-09-23,09:21:00,157800,-200,11665
22,2024-09-23,09:22:00,157600,-400,11801
23,2024-09-23,09:23:00,157600,-400,11929
24,2024-09-23,09:24:00,157500,-500,12014
25,2024-09-23,09:25:00,157300,-700,12477
26,2024-09-23,09:26:00,157200,-800,12519
27,2024-09-23,09:27:00,157200,-800,13188
28,2024-09-23,09:28:00,157800,-200,13590
29,2024-09-23,09:29:00,157800,-200,13636
30,2024-09-23,09:30:00,157700,-300,13685
31,2024-09-23,09:31:00,157700,-300,13731
32,2024-09-23,09:32:00,157600,-400,13831
33,2024-09-23,09:33:00,157600,-400,13839
34,2024-09-23,09:34:00,157400,-600,14359
35,2024-09-23,09:35:00,157200,-800,14507
36,2024-09-23,09:36:00,157200,-800,14637
37,2024-09-23,09:37:00,157200,-800,14839
38,2024-09-23,09:38:00,157100,-900,15517
39,2024-09-23,09:39:00,156900,-1100,16254
40,2024-09-23,09:40:00,156900,-1100,16350
41,2024-09-23,09:41:00,157000,-1000,16437
42,2024-09-23,09:42:00,157000,-1000,18776
43,2024-09-23,09:43:00,156700,-1300,18922
44,2024-09-23,09:44:00,156800,-1200,19001
45,2024-09-23,09:45:00,156400,-1600,19123
46,2024-09-23,09:46:00,156700,-1300,19454
47,2024-09-23,09:47:00,156700,-1300,19525
48,2024-09-23,09:48:00,156700,-1300,19667
49,2024-09-23,09:49:00,156600,-1400,19936
50,2024-09-23,09:50:00,156900,-1100,20293
51,2024-09-23,09:51:00,156900,-1100,20565
52,2024-09-23,09:52:00,156800,-1200,20615
53,2024-09-23,09:53:00,156700,-1300,20886
54,2024-09-23,09:54:00,156500,-1500,21091
55,2024-09-23,09:55:00,156400,-1600,21270
56,2024-09-23,09:56:00,156200,-1800,21608
57,2024-09-23,09:57:00,156200,-1800,21753
58,2024-09-23,09:58:00,156300,-1700,22065
59,2024-09-23,09:59:00,156300,-1700,22203
60,2024-09-23,10:00:00,156500,-1500,22575
61,2024-09-23,10:01:00,156700,-1300,22662
62,2024-09-23,10:02:00,156600,-1400,22765
63,2024-09-23,10:03:00,156800,-1200,22946
64,2024-09-23,10:04:00,156600,-1400,23152
65,2024-09-23,10:05:00,156600,-1400,23347
66,2024-09-23,10:06:00,156500,-1500,23526
67,2024-09-23,10:07:00,156500,-1500,23588
68,2024-09-23,10:08:00,156500,-1500,23719
69,2024-09-23,10:09:00,156500,-1500,23757
70,2024-09-23,10:10:00,156400,-1600,23934
71,2024-09-23,10:11:00,156400,-1600,24022
72,2024-09-23,10:12:00,156300,-1700,24238
73,2024-09-23,10:13:00,155900,-2100,25015
