,date,time,price,change,volume
0,2025-02-25,09:00:00,56700,-600,793847
1,2025-02-25,09:01:00,56700,-600,1014149
2,2025-02-25,09:02:00,56700,-600,1156436
3,2025-02-25,09:03:00,56700,-600,1334410
4,2025-02-25,09:04:00,56700,-600,1369912
5,2025-02-25,09:05:00,56600,-700,1419880
6,2025-02-25,09:06:00,56700,-600,1466103
7,2025-02-25,09:07:00,56600,-700,1497211
8,2025-02-25,09:08:00,56800,-500,1683967
9,2025-02-25,09:09:00,56700,-600,1713007
10,2025-02-25,09:10:00,56700,-600,1755631
11,2025-02-25,09:11:00,56800,-500,1911083
12,2025-02-25,09:12:00,56900,-400,2002225
13,2025-02-25,09:13:00,56900,-400,2160206
14,2025-02-25,09:14:00,56900,-400,2204223
15,2025-02-25,09:15:00,56800,-500,2222464
16,2025-02-25,09:16:00,56900,-400,2240916
17,2025-02-25,09:17:00,56800,-500,2374143
18,2025-02-25,09:18:00,56700,-600,2397598
19,2025-02-25,09:19:00,56700,-600,2417226
20,2025-02-25,09:20:00,56700,-600,2437870
21,2025-02-25,09:21:00,56700,-600,2458721
22,2025-02-25,09:22:00,56700,-600,2499390
23,2025-02-25,09:23:00,56800,-500,2518225
24,2025-02-25,09:24:00,56800,-500,2541160
25,2025-02-25,09:25:00,56800,-500,2630016
26,2025-02-25,09:26:00,56900,-400,2722922
27,2025-02-25,09:27:00,56900,-400,2774654
28,2025-02-25,09:28:00,56800,-500,2793834
29,2025-02-25,09:29:00,56800,-500,2814050
30,2025-02-25,09:30:00,56800,-500,2983945
31,2025-02-25,09:31:00,56800,-500,3005767
32,2025-02-25,09:32:00,56900,-400,3100008
33,2025-02-25,09:33:00,56900,-400,3109987
34,2025-02-25,09:34:00,56800,-500,3119657
35,2025-02-25,09:35:00,56900,-400,3133156
36,2025-02-25,09:36:00,56900,-400,3142456
37,2025-02-25,09:37:00,57000,-300,3308849
38,2025-02-25,09:38:00,57000,-300,3330120
39,2025-02-25,09:39:00,57000,-300,3345280
