,date,time,price,change,volume
0,2025-12-29,09:00:00,90100,1600,199374
1,2025-12-29,09:01:00,90300,1800,304852
2,2025-12-29,09:02:00,90000,1500,362051
3,2025-12-29,09:03:00,90300,1800,422458
4,2025-12-29,09:04:00,90400,1900,459368
5,2025-12-29,09:05:00,89900,1400,484098
6,2025-12-29,09:06:00,90300,1800,506639
7,2025-12-29,09:07:00,90300,1800,533566
8,2025-12-29,09:08:00,90200,1700,558375
9,2025-12-29,09:09:00,90300,1800,580878
10,2025-12-29,09:10:00,90300,1800,605209
11,2025-12-29,09:11:00,90200,1700,624083
12,2025-12-29,09:12:00,90050,1550,645900
13,2025-12-29,09:13:00,90000,1500,658479
14,2025-12-29,09:14:00,90000,1500,677793
15,2025-12-29,09:15:00,90000,1500,685302
16,2025-12-29,09:16:00,89900,1400,691698
17,2025-12-29,09:17:00,90000,1500,703407
18,2025-12-29,09:18:00,89900,1400,732124
19,2025-12-29,09:19:00,89850,1350,739354
20,2025-12-29,09:20:00,89900,1400,761091
21,2025-12-29,09:21:00,89900,1400,769560
22,2025-12-29,09:22:00,89900,1400,774153
23,2025-12-29,09:23:00,89900,1400,782126
24,2025-12-29,09:24:00,90000,1500,790468
25,2025-12-29,09:25:00,89900,1400,795110
26,2025-12-29,09:26:00,89900,1400,798811
27,2025-12-29,09:27:00,89900,1400,805425
28,2025-12-29,09:28:00,90000,1500,837623
29,2025-12-29,09:29:00,90000,1500,845269
30,2025-12-29,09:30:00,90000,1500,849030
31,2025-12-29,09:31:00,89900,1400,877703
32,2025-12-29,09:32:00,89800,1300,882562
33,2025-12-29,09:33:00,89800,1300,900864
34,2025-12-29,09:34:00,89800,1300,907023
35,2025-12-29,09:35:00,89700,1200,913196
36,2025-12-29,09:36:00,89700,1200,916214
37,2025-12-29,09:37:00,89800,1300,919153
38,2025-12-29,09:38:00,89800,1300,922087
39,2025-12-29,09:39:00,89800,1300,925116
40,2025-12-29,09:40:00,89800,1300,927413
41,2025-12-29,09:41:00,89800,1300,928791
42,2025-12-29,09:42:00,89800,1300,933667
43,2025-12-29,09:43:00,89900,1400,949943
44,2025-12-29,09:44:00,89900,1400,953955
45,2025-12-29,09:45:00,89900,1400,962432
46,2025-12-29,09:46:00,90000,1500,971036
47,2025-12-29,09:47:00,90000,1500,975684
48,2025-12-29,09:48:00,90000,1500,978378
49,2025-12-29,09:49:00,90000,1500,980323
50,2025-12-29,09:50:00,90000,1500,982700
51,2025-12-29,09:51:00,90000,1500,986345
52,2025-12-29,09:52:00,90000,1500,989232
53,2025-12-29,09:53:00,90000,1500,992744
54,2025-12-29,09:54:00,89900,1400,1000956
55,2025-12-29,09:55:00,89800,1300,1004203
56,2025-12-29,09:56:00,89900,1400,1006405
57,2025-12-29,09:57:00,89850,1350,1007176
58,2025-12-29,09:58:00,89900,1400,1012184
59,2025-12-29,09:59:00,89900,1400,1015478
60,2025-12-29,10:00:00,89900,1400,1024272
61,2025-12-29,10:01:00,89800,1300,1027708
62,2025-12-29,10:02:00,89900,1400,1034805
63,2025-12-29,10:03:00,89900,1400,1047133
64,2025-12-29,10:04:00,89800,1300,1057850
65,2025-12-29,10:05:00,89800,1300,1060198
66,2025-12-29,10:06:00,89800,1300,1063788
67,2025-12-29,10:07:00,89800,1300,1067713
68,2025-12-29,10:08:00,89800,1300,1073857
69,2025-12-29,10:09:00,89800,1300,1079759
70,2025-12-29,10:10:00,89900,1400,1090675
71,2025-12-29,10:11:00,89850,1350,1095152
72,2025-12-29,10:12:00,89800,1300,1100527
73,2025-12-29,10:13:00,89900,1400,1102600
74,2025-12-29,10:14:00,89900,1400,1103304
75,2025-12-29,10:15:00,89800,1300,1118595
76,2025-12-29,10:16:00,89700,1200,1132639
77,2025-12-29,10:17:00,89700,1200,1152365
78,2025-12-29,10:18:00,89700,1200,1157675
79,2025-12-29,10:19:00,89600,1100,1162335
80,2025-12-29,10:20:00,89700,1200,1169943
81,2025-12-29,10:21:00,89600,1100,1175891
82,2025-12-29,10:22:00,89600,1100,1183453
83,2025-12-29,10:23:00,89600,1100,1186399
84,2025-12-29,10:24:00,89500,1000,1212115
85,2025-12-29,10:25:00,89400,900,1221897
86,2025-12-29,10:26:00,89400,900,1227089
87,2025-12-29,10:27:00,89300,800,1238409
88,2025-12-29,10:28:00,89300,800,1242709
89,2025-12-29,10:29:00,89300,800,1252651
90,2025-12-29,10:30:00,89400,900,1277522
91,2025-12-29,10:31:00,89200,700,1285368
92,2025-12-29,10:32:00,89200,700,1289530
93,2025-12-29,10:33:00,89500,1000,1301571
94,2025-12-29,10:34:00,89400,900,1304497
95,2025-12-29,10:35:00,89500,1000,1310345
96,2025-12-29,10:36:00,89500,1000,1313749
97,2025-12-29,10:37:00,89500,1000,1316753
98,2025-12-29,10:38:00,89500,1000,1318131
99,2025-12-29,10:39:00,89500,1000,1320587
100,2025-12-29,10:40:00,89600,1100,1334435
101,2025-12-29,10:41:00,89600,1100,1335632
102,2025-12-29,10:42:00,89700,1200,1346694
103,2025-12-29,10:43:00,89700,1200,1348641
104,2025-12-29,10:44:00,89600,1100,1353132
105,2025-12-29,10:45:00,89500,1000,1354667
106,2025-12-29,10:46:00,89500,1000,1361496
107,2025-12-29,10:47:00,89500,1000,1371163
108,2025-12-29,10:48:00,89600,1100,1372539
109,2025-12-29,10:49:00,89600,1100,1373749
110,2025-12-29,10:50:00,89600,1100,1379537
111,2025-12-29,10:51:00,89400,900,1382736
112,2025-12-29,10:52:00,89400,900,1385079
113,2025-12-29,10:53:00,89500,1000,1387229
114,2025-12-29,10:54:00,89500,1000,1389341
115,2025-12-29,10:55:00,89500,1000,1393680
116,2025-12-29,10:56:00,89550,1050,1395254
117,2025-12-29,10:57:00,89400,900,1401141
118,2025-12-29,10:58:00,89300,800,1403645
119,2025-12-29,10:59:00,89400,900,1406769
120,2025-12-29,11:00:00,89300,800,1416285
121,2025-12-29,11:01:00,89400,900,1419152
122,2025-12-29,11:02:00,89300,800,1423180
123,2025-12-29,11:03:00,89300,800,1424727
124,2025-12-29,11:04:00,89250,750,1430143
125,2025-12-29,11:05:00,89300,800,1439325
126,2025-12-29,11:06:00,89200,700,1441033
127,2025-12-29,11:07:00,89200,700,1444260
128,2025-12-29,11:08:00,89200,700,1445748
129,2025-12-29,11:09:00,89200,700,1462816
130,2025-12-29,11:10:00,89100,600,1477000
131,2025-12-29,11:11:00,89100,600,1481212
132,2025-12-29,11:12:00,89000,500,1486929
133,2025-12-29,11:13:00,88900,400,1495348
134,2025-12-29,11:14:00,89000,500,1497260
135,2025-12-29,11:15:00,88900,400,1503669
136,2025-12-29,11:16:00,89000,500,1508368
137,2025-12-29,11:17:00,89000,500,1521762
138,2025-12-29,11:18:00,88800,300,1524977
139,2025-12-29,11:19:00,88900,400,1529312
140,2025-12-29,11:20:00,88800,300,1544905
141,2025-12-29,11:21:00,88850,350,1548233
142,2025-12-29,11:22:00,89000,500,1553273
143,2025-12-29,11:23:00,89000,500,1557289
144,2025-12-29,11:24:00,89000,500,1561350
145,2025-12-29,11:25:00,88900,400,1562672
146,2025-12-29,11:26:00,88900,400,1565460
147,2025-12-29,11:27:00,88800,300,1569115
148,2025-12-29,11:28:00,88900,400,1572486
149,2025-12-29,11:29:00,88800,300,1576741
150,2025-12-29,11:30:00,88800,300,1584122
151,2025-12-29,11:31:00,88900,400,1585271
152,2025-12-29,11:32:00,88900,400,1589604
153,2025-12-29,11:33:00,88800,300,1593825
154,2025-12-29,11:34:00,88800,300,1596745
155,2025-12-29,11:35:00,88850,350,1598077
156,2025-12-29,11:36:00,89000,500,1615653
157,2025-12-29,11:37:00,89000,500,1616510
158,2025-12-29,11:38:00,89000,500,1618141
159,2025-12-29,11:39:00,89050,550,1626825
160,2025-12-29,11:40:00,89100,600,1634092
161,2025-12-29,11:41:00,89200,700,1635872
162,2025-12-29,11:42:00,89100,600,1637678
163,2025-12-29,11:43:00,89200,700,1638817
164,2025-12-29,11:44:00,89100,600,1641489
165,2025-12-29,11:45:00,89200,700,1642362
166,2025-12-29,11:46:00,89200,700,1643495
167,2025-12-29,11:47:00,89200,700,1650298
168,2025-12-29,11:48:00,89250,750,1652736
169,2025-12-29,11:49:00,89300,800,1653873
170,2025-12-29,11:50:00,89200,700,1661495
171,2025-12-29,11:51:00,89200,700,1665567
172,2025-12-29,11:52:00,89200,700,1666888
173,2025-12-29,11:53:00,89200,700,1670268
174,2025-12-29,11:54:00,89100,600,1671940
175,2025-12-29,11:55:00,89150,650,1673011
176,2025-12-29,11:56:00,89000,500,1684912
177,2025-12-29,11:57:00,89000,500,1690405
178,2025-12-29,11:58:00,89000,500,1692977
179,2025-12-29,11:59:00,89000,500,1693450
180,2025-12-29,12:00:00,88950,450,1698998
181,2025-12-29,12:01:00,89000,500,1700462
182,2025-12-29,12:02:00,88900,400,1707684
183,2025-12-29,12:03:00,89100,600,1712472
184,2025-12-29,12:04:00,89100,600,1713261
185,2025-12-29,12:05:00,89100,600,1714598
186,2025-12-29,12:06:00,89100,600,1716232
187,2025-12-29,12:07:00,89000,500,1721956
188,2025-12-29,12:08:00,89000,500,1722392
189,2025-12-29,12:09:00,88900,400,1722761
190,2025-12-29,12:10:00,89000,500,1733202
191,2025-12-29,12:11:00,88900,400,1734120
192,2025-12-29,12:12:00,88900,400,1755674
193,2025-12-29,12:13:00,88900,400,1757238
194,2025-12-29,12:14:00,88850,350,1757796
195,2025-12-29,12:15:00,88900,400,1758404
196,2025-12-29,12:16:00,88800,300,1761089
197,2025-12-29,12:17:00,88850,350,1764052
198,2025-12-29,12:18:00,88800,300,1764669
199,2025-12-29,12:19:00,88900,400,1765736
200,2025-12-29,12:20:00,88800,300,1768732
201,2025-12-29,12:21:00,88900,400,1772283
202,2025-12-29,12:22:00,88700,200,1775132
203,2025-12-29,12:23:00,88700,200,1776206
204,2025-12-29,12:24:00,88750,250,1777716
205,2025-12-29,12:25:00,88800,300,1780285
206,2025-12-29,12:26:00,88800,300,1783640
207,2025-12-29,12:27:00,88800,300,1785028
208,2025-12-29,12:28:00,88800,300,1785922
209,2025-12-29,12:29:00,88800,300,1787066
210,2025-12-29,12:30:00,88800,300,1790376
211,2025-12-29,12:31:00,88800,300,1790928
212,2025-12-29,12:32:00,88700,200,1795100
213,2025-12-29,12:33:00,88900,400,1797776
214,2025-12-29,12:34:00,88900,400,1801762
215,2025-12-29,12:35:00,89000,500,1807844
216,2025-12-29,12:36:00,89000,500,1808414
217,2025-12-29,12:37:00,89000,500,1809557
218,2025-12-29,12:38:00,89000,500,1811213
219,2025-12-29,12:39:00,89000,500,1813455
220,2025-12-29,12:40:00,89000,500,1817729
221,2025-12-29,12:41:00,89000,500,1818773
222,2025-12-29,12:42:00,89000,500,1820250
223,2025-12-29,12:43:00,88900,400,1821129
224,2025-12-29,12:44:00,89000,500,1822478
225,2025-12-29,12:45:00,89000,500,1823166
226,2025-12-29,12:46:00,89000,500,1832021
227,2025-12-29,12:47:00,89000,500,1832506
228,2025-12-29,12:48:00,89100,600,1835491
229,2025-12-29,12:49:00,89000,500,1835891
230,2025-12-29,12:50:00,89000,500,1838480
231,2025-12-29,12:51:00,89100,600,1838975
232,2025-12-29,12:52:00,89100,600,1839225
233,2025-12-29,12:53:00,89000,500,1842403
234,2025-12-29,12:54:00,89100,600,1843593
235,2025-12-29,12:55:00,89100,600,1844371
236,2025-12-29,12:56:00,89100,600,1847106
237,2025-12-29,12:57:00,89100,600,1849797
238,2025-12-29,12:58:00,89100,600,1852867
239,2025-12-29,12:59:00,89000,500,1855467
240,2025-12-29,13:00:00,89100,600,1858415
241,2025-12-29,13:01:00,89100,600,1859066
242,2025-12-29,13:02:00,89200,700,1864308
243,2025-12-29,13:03:00,89200,700,1865050
244,2025-12-29,13:04:00,89100,600,1866738
245,2025-12-29,13:05:00,89100,600,1878259
246,2025-12-29,13:06:00,89300,800,1884413
247,2025-12-29,13:07:00,89300,800,1888591
248,2025-12-29,13:08:00,89250,750,1897511
249,2025-12-29,13:09:00,89250,750,1898412
250,2025-12-29,13:10:00,89300,800,1902892
251,2025-12-29,13:11:00,89200,700,1903818
252,2025-12-29,13:12:00,89300,800,1904333
253,2025-12-29,13:13:00,89200,700,1904955
254,2025-12-29,13:14:00,89200,700,1906760
255,2025-12-29,13:15:00,89250,750,1909657
256,2025-12-29,13:16:00,89300,800,1918852
257,2025-12-29,13:17:00,89300,800,1922810
258,2025-12-29,13:18:00,89300,800,1927469
259,2025-12-29,13:19:00,89400,900,1934536
260,2025-12-29,13:20:00,89400,900,1940618
261,2025-12-29,13:21:00,89400,900,1941090
262,2025-12-29,13:22:00,89400,900,1948713
263,2025-12-29,13:23:00,89450,950,1951348
264,2025-12-29,13:24:00,89400,900,1952346
265,2025-12-29,13:25:00,89450,950,1952914
266,2025-12-29,13:26:00,89400,900,1956668
267,2025-12-29,13:27:00,89450,950,1958733
268,2025-12-29,13:28:00,89400,900,1964704
269,2025-12-29,13:29:00,89400,900,1965725
270,2025-12-29,13:30:00,89300,800,1974413
271,2025-12-29,13:31:00,89400,900,1975003
272,2025-12-29,13:32:00,89400,900,1975932
273,2025-12-29,13:33:00,89300,800,1976654
274,2025-12-29,13:34:00,89400,900,1978490
275,2025-12-29,13:35:00,89350,850,1980493
276,2025-12-29,13:36:00,89400,900,1981223
277,2025-12-29,13:37:00,89400,900,1983583
278,2025-12-29,13:38:00,89400,900,1984070
279,2025-12-29,13:39:00,89400,900,1984807
280,2025-12-29,13:40:00,89300,800,1989403
281,2025-12-29,13:41:00,89600,1100,2017975
282,2025-12-29,13:42:00,89550,1050,2018631
283,2025-12-29,13:43:00,89550,1050,2019221
284,2025-12-29,13:44:00,89500,1000,2023035
285,2025-12-29,13:45:00,89500,1000,2024957
286,2025-12-29,13:46:00,89500,1000,2026127
287,2025-12-29,13:47:00,89500,1000,2032361
288,2025-12-29,13:48:00,89600,1100,2033492
289,2025-12-29,13:49:00,89600,1100,2034290
290,2025-12-29,13:50:00,89600,1100,2038199
291,2025-12-29,13:51:00,89600,1100,2040604
292,2025-12-29,13:52:00,89550,1050,2041415
293,2025-12-29,13:53:00,89600,1100,2042342
294,2025-12-29,13:54:00,89600,1100,2044672
295,2025-12-29,13:55:00,89550,1050,2048260
296,2025-12-29,13:56:00,89600,1100,2049481
297,2025-12-29,13:57:00,89550,1050,2051789
298,2025-12-29,13:58:00,89550,1050,2055317
299,2025-12-29,13:59:00,89550,1050,2056287
300,2025-12-29,14:00:00,89550,1050,2059585
301,2025-12-29,14:01:00,89600,1100,2061560
302,2025-12-29,14:02:00,89600,1100,2063093
303,2025-12-29,14:03:00,89500,1000,2066110
304,2025-12-29,14:04:00,89600,1100,2067160
305,2025-12-29,14:05:00,89600,1100,2068980
306,2025-12-29,14:06:00,89600,1100,2069608
307,2025-12-29,14:07:00,89600,1100,2071995
308,2025-12-29,14:08:00,89600,1100,2074953
309,2025-12-29,14:09:00,89500,1000,2076869
310,2025-12-29,14:10:00,89550,1050,2081756
311,2025-12-29,14:11:00,89550,1050,2085778
312,2025-12-29,14:12:00,89600,1100,2086222
313,2025-12-29,14:13:00,89500,1000,2088043
314,2025-12-29,14:14:00,89550,1050,2088749
315,2025-12-29,14:15:00,89600,1100,2091554
316,2025-12-29,14:16:00,89600,1100,2107400
317,2025-12-29,14:17:00,89500,1000,2112406
318,2025-12-29,14:18:00,89550,1050,2112737
319,2025-12-29,14:19:00,89550,1050,2114234
320,2025-12-29,14:20:00,89500,1000,2119660
321,2025-12-29,14:21:00,89500,1000,2120462
322,2025-12-29,14:22:00,89450,950,2120964
323,2025-12-29,14:23:00,89500,1000,2122173
324,2025-12-29,14:24:00,89400,900,2123121
325,2025-12-29,14:25:00,89450,950,2125189
326,2025-12-29,14:26:00,89500,1000,2126586
327,2025-12-29,14:27:00,89500,1000,2127207
328,2025-12-29,14:28:00,89400,900,2128959
329,2025-12-29,14:29:00,89400,900,2129590
330,2025-12-29,14:30:00,89450,950,2134807
331,2025-12-29,14:31:00,89550,1050,2146275
332,2025-12-29,14:32:00,89500,1000,2147554
333,2025-12-29,14:33:00,89600,1100,2148107
334,2025-12-29,14:34:00,89600,1100,2149761
335,2025-12-29,14:35:00,89600,1100,2151917
336,2025-12-29,14:36:00,89600,1100,2158714
337,2025-12-29,14:37:00,89600,1100,2160244
338,2025-12-29,14:38:00,89700,1200,2175159
339,2025-12-29,14:39:00,89650,1150,2176928
340,2025-12-29,14:40:00,89700,1200,2181132
341,2025-12-29,14:41:00,89700,1200,2182248
342,2025-12-29,14:42:00,89700,1200,2183797
343,2025-12-29,14:43:00,89600,1100,2185186
344,2025-12-29,14:44:00,89650,1150,2187289
345,2025-12-29,14:45:00,89650,1150,2189145
346,2025-12-29,14:46:00,89600,1100,2190625
347,2025-12-29,14:47:00,89600,1100,2192439
348,2025-12-29,14:48:00,89600,1100,2197172
349,2025-12-29,14:49:00,89600,1100,2208142
350,2025-12-29,14:50:00,89600,1100,2211688
351,2025-12-29,14:51:00,89600,1100,2217770
352,2025-12-29,14:52:00,89700,1200,2219794
353,2025-12-29,14:53:00,89600,1100,2220824
354,2025-12-29,14:54:00,89600,1100,2223448
355,2025-12-29,14:55:00,89600,1100,2226374
356,2025-12-29,14:56:00,89650,1150,2229272
357,2025-12-29,14:57:00,89650,1150,2232748
358,2025-12-29,14:58:00,89700,1200,2235014
359,2025-12-29,14:59:00,89600,1100,2236677
360,2025-12-29,15:00:00,89550,1050,2247101
361,2025-12-29,15:01:00,89600,1100,2252634
362,2025-12-29,15:02:00,89600,1100,2255193
363,2025-12-29,15:03:00,89600,1100,2256549
364,2025-12-29,15:04:00,89600,1100,2259110
365,2025-12-29,15:05:00,89600,1100,2262123
366,2025-12-29,15:06:00,89600,1100,2264444
367,2025-12-29,15:07:00,89600,1100,2267728
368,2025-12-29,15:08:00,89500,1000,2270032
369,2025-12-29,15:09:00,89600,1100,2272304
370,2025-12-29,15:10:00,89550,1050,2275377
371,2025-12-29,15:11:00,89600,1100,2279015
372,2025-12-29,15:12:00,89600,1100,2281791
373,2025-12-29,15:13:00,89700,1200,2303499
374,2025-12-29,15:14:00,89600,1100,2307309
375,2025-12-29,15:15:00,89600,1100,2324273
376,2025-12-29,15:16:00,89700,1200,2328158
377,2025-12-29,15:17:00,89700,1200,2343779
378,2025-12-29,15:18:00,89700,1200,2349653
379,2025-12-29,15:19:00,89700,1200,2357785
380,2025-12-29,15:30:00,89800,1300,2485530
381,2025-12-29,15:40:00,89800,1300,2486327
382,2025-12-29,15:41:00,89800,1300,2486729
383,2025-12-29,15:42:00,89800,1300,2487136
384,2025-12-29,15:43:00,89800,1300,2488617
385,2025-12-29,15:44:00,89800,1300,2488667
386,2025-12-29,15:45:00,89800,1300,2488907
387,2025-12-29,15:46:00,89800,1300,2489018
388,2025-12-29,15:47:00,89800,1300,2489131
389,2025-12-29,15:48:00,89800,1300,2489486
390,2025-12-29,15:49:00,89800,1300,2489634
391,2025-12-29,15:50:00,89800,1300,2490343
392,2025-12-29,15:51:00,89800,1300,2490407
393,2025-12-29,15:52:00,89800,1300,2490587
394,2025-12-29,15:53:00,89800,1300,2490728
395,2025-12-29,15:54:00,89800,1300,2491419
396,2025-12-29,15:55:00,89800,1300,2491425
397,2025-12-29,15:56:00,89800,1300,2491438
398,2025-12-29,15:57:00,89800,1300,2491683
399,2025-12-29,15:58:00,89800,1300,2491693
