,date,time,price,change,volume
0,2025-08-06,09:00:00,67900,-100,21706
1,2025-08-06,09:01:00,68300,300,29602
2,2025-08-06,09:02:00,68000,0,35300
3,2025-08-06,09:03:00,68100,100,39041
4,2025-08-06,09:04:00,68000,0,40554
5,2025-08-06,09:05:00,68100,100,42351
6,2025-08-06,09:06:00,68100,100,44245
7,2025-08-06,09:07:00,68100,100,48957
8,2025-08-06,09:08:00,68100,100,53772
9,2025-08-06,09:09:00,68300,300,63905
10,2025-08-06,09:10:00,68400,400,70192
11,2025-08-06,09:11:00,68300,300,75260
12,2025-08-06,09:12:00,68100,100,83401
13,2025-08-06,09:13:00,68300,300,83990
14,2025-08-06,09:14:00,68300,300,87230
15,2025-08-06,09:15:00,68300,300,88437
16,2025-08-06,09:16:00,68300,300,89652
17,2025-08-06,09:17:00,68300,300,90536
18,2025-08-06,09:18:00,68300,300,91203
19,2025-08-06,09:19:00,68400,400,96462
20,2025-08-06,09:20:00,68400,400,99468
21,2025-08-06,09:21:00,68300,300,104283
22,2025-08-06,09:22:00,68200,200,104790
23,2025-08-06,09:23:00,68300,300,105669
24,2025-08-06,09:24:00,68300,300,107981
25,2025-08-06,09:25:00,68500,500,112627
26,2025-08-06,09:26:00,68400,400,114119
27,2025-08-06,09:27:00,68400,400,115539
28,2025-08-06,09:28:00,68400,400,119254
29,2025-08-06,09:29:00,68400,400,121008
30,2025-08-06,09:30:00,68300,300,123343
31,2025-08-06,09:31:00,68300,300,123782
32,2025-08-06,09:32:00,68100,100,127656
33,2025-08-06,09:33:00,68200,200,127923
34,2025-08-06,09:34:00,68000,0,131298
35,2025-08-06,09:35:00,68300,300,134700
36,2025-08-06,09:36:00,68200,200,136789
37,2025-08-06,09:37:00,68400,400,137200
38,2025-08-06,09:38:00,68400,400,137558
39,2025-08-06,09:39:00,68400,400,137952
40,2025-08-06,09:40:00,68000,0,143965
41,2025-08-06,09:41:00,68200,200,145705
42,2025-08-06,09:42:00,68100,100,146822
43,2025-08-06,09:43:00,68100,100,148509
44,2025-08-06,09:44:00,68100,100,149054
45,2025-08-06,09:45:00,68200,200,152498
46,2025-08-06,09:46:00,68200,200,156988
47,2025-08-06,09:47:00,68100,100,157370
48,2025-08-06,09:48:00,68200,200,158144
49,2025-08-06,09:49:00,68200,200,158756
50,2025-08-06,09:50:00,68200,200,159283
51,2025-08-06,09:51:00,68200,200,160365
52,2025-08-06,09:52:00,68200,200,161077
53,2025-08-06,09:53:00,68200,200,162695
54,2025-08-06,09:54:00,68100,100,166632
55,2025-08-06,09:55:00,68000,0,167508
56,2025-08-06,09:56:00,68100,100,168080
57,2025-08-06,09:57:00,68000,0,168868
58,2025-08-06,09:58:00,68100,100,170464
59,2025-08-06,09:59:00,68000,0,172850
60,2025-08-06,10:00:00,68000,0,174284
61,2025-08-06,10:01:00,68100,100,175037
62,2025-08-06,10:02:00,68100,100,175584
63,2025-08-06,10:03:00,68100,100,179468
64,2025-08-06,10:04:00,68100,100,181927
65,2025-08-06,10:05:00,68100,100,182887
66,2025-08-06,10:06:00,68100,100,184197
67,2025-08-06,10:07:00,68100,100,184888
68,2025-08-06,10:08:00,68100,100,185955
69,2025-08-06,10:09:00,68100,100,186563
70,2025-08-06,10:10:00,68100,100,187054
71,2025-08-06,10:11:00,68100,100,188871
72,2025-08-06,10:12:00,68100,100,189726
73,2025-08-06,10:13:00,68000,0,190320
74,2025-08-06,10:14:00,68100,100,191280
75,2025-08-06,10:15:00,68100,100,191827
76,2025-08-06,10:16:00,68200,200,193326
77,2025-08-06,10:17:00,68100,100,193857
78,2025-08-06,10:18:00,68200,200,194186
79,2025-08-06,10:19:00,68200,200,194620
80,2025-08-06,10:20:00,68300,300,200359
81,2025-08-06,10:21:00,68300,300,201559
82,2025-08-06,10:22:00,68200,200,202698
83,2025-08-06,10:23:00,68300,300,203525
84,2025-08-06,10:24:00,68200,200,206122
85,2025-08-06,10:25:00,68100,100,206854
86,2025-08-06,10:26:00,68100,100,207552
87,2025-08-06,10:27:00,68200,200,208201
88,2025-08-06,10:28:00,68200,200,208747
89,2025-08-06,10:29:00,68200,200,209859
90,2025-08-06,10:30:00,68200,200,210443
91,2025-08-06,10:31:00,68100,100,211273
92,2025-08-06,10:32:00,68200,200,214042
93,2025-08-06,10:33:00,68200,200,215534
94,2025-08-06,10:34:00,68200,200,216869
