,date,time,price,change,volume
0,2025-04-10,09:00:00,121000,5600,3434
1,2025-04-10,09:01:00,120700,5300,4771
2,2025-04-10,09:02:00,120700,5300,5882
3,2025-04-10,09:03:00,120800,5400,7055
4,2025-04-10,09:04:00,120600,5200,7723
5,2025-04-10,09:05:00,120500,5100,8153
6,2025-04-10,09:06:00,120400,5000,9452
7,2025-04-10,09:07:00,120300,4900,9918
8,2025-04-10,09:08:00,120400,5000,10759
9,2025-04-10,09:09:00,120100,4700,11021
10,2025-04-10,09:10:00,120100,4700,11410
11,2025-04-10,09:11:00,120200,4800,12381
12,2025-04-10,09:12:00,120400,5000,13144
13,2025-04-10,09:13:00,120400,5000,13546
14,2025-04-10,09:14:00,120500,5100,14172
15,2025-04-10,09:15:00,120500,5100,14565
16,2025-04-10,09:16:00,120400,5000,14795
17,2025-04-10,09:17:00,120500,5100,15464
18,2025-04-10,09:18:00,120400,5000,15713
19,2025-04-10,09:19:00,120400,5000,16022
20,2025-04-10,09:20:00,120500,5100,16783
21,2025-04-10,09:21:00,120400,5000,16945
22,2025-04-10,09:22:00,120300,4900,17044
23,2025-04-10,09:23:00,120400,5000,18060
24,2025-04-10,09:24:00,120300,4900,18156
25,2025-04-10,09:25:00,120300,4900,18327
26,2025-04-10,09:26:00,120300,4900,18504
27,2025-04-10,09:27:00,120100,4700,19514
28,2025-04-10,09:28:00,120000,4600,19960
29,2025-04-10,09:29:00,120500,5100,20829
30,2025-04-10,09:30:00,120100,4700,21461
31,2025-04-10,09:31:00,120200,4800,21612
32,2025-04-10,09:32:00,120100,4700,21742
33,2025-04-10,09:33:00,119900,4500,21846
34,2025-04-10,09:34:00,120000,4600,21961
35,2025-04-10,09:35:00,120100,4700,22180
36,2025-04-10,09:36:00,120100,4700,22439
37,2025-04-10,09:37:00,120100,4700,22569
38,2025-04-10,09:38:00,120200,4800,22878
39,2025-04-10,09:39:00,120000,4600,23080
40,2025-04-10,09:40:00,120200,4800,23098
41,2025-04-10,09:41:00,119900,4500,23255
42,2025-04-10,09:42:00,119900,4500,23277
