,date,time,price,change,volume
0,2025-01-22,09:00:00,51000,400,885
1,2025-01-22,09:01:00,50900,300,1277
2,2025-01-22,09:02:00,50900,300,1668
3,2025-01-22,09:03:00,50800,200,2267
4,2025-01-22,09:04:00,50900,300,2681
5,2025-01-22,09:05:00,50700,100,3158
6,2025-01-22,09:06:00,50800,200,3713
7,2025-01-22,09:07:00,50800,200,3967
8,2025-01-22,09:08:00,50700,100,4129
9,2025-01-22,09:09:00,50700,100,4442
10,2025-01-22,09:10:00,50700,100,4992
11,2025-01-22,09:11:00,50600,0,5126
12,2025-01-22,09:12:00,50500,-100,6609
13,2025-01-22,09:13:00,50500,-100,6647
14,2025-01-22,09:14:00,50500,-100,8152
15,2025-01-22,09:15:00,50300,-300,8863
16,2025-01-22,09:16:00,50300,-300,10599
17,2025-01-22,09:17:00,50300,-300,10732
18,2025-01-22,09:18:00,50300,-300,10859
19,2025-01-22,09:19:00,50300,-300,10974
20,2025-01-22,09:20:00,50300,-300,11732
21,2025-01-22,09:21:00,50200,-400,12615
22,2025-01-22,09:22:00,50300,-300,12665
23,2025-01-22,09:23:00,50300,-300,12803
24,2025-01-22,09:24:00,50300,-300,12888
25,2025-01-22,09:25:00,50300,-300,13223
26,2025-01-22,09:26:00,50300,-300,13402
27,2025-01-22,09:27:00,50200,-400,14577
28,2025-01-22,09:28:00,50200,-400,16698
29,2025-01-22,09:29:00,50200,-400,17221
30,2025-01-22,09:30:00,50500,-100,19403
31,2025-01-22,09:31:00,50500,-100,19673
32,2025-01-22,09:32:00,50400,-200,20352
33,2025-01-22,09:33:00,50400,-200,20462
34,2025-01-22,09:34:00,50400,-200,20495
35,2025-01-22,09:35:00,50500,-100,20550
36,2025-01-22,09:36:00,50400,-200,20831
37,2025-01-22,09:37:00,50400,-200,21070
38,2025-01-22,09:38:00,50400,-200,21148
39,2025-01-22,09:39:00,50400,-200,21203
40,2025-01-22,09:40:00,50300,-300,21476
41,2025-01-22,09:41:00,50400,-200,21487
42,2025-01-22,09:42:00,50400,-200,21617
43,2025-01-22,09:43:00,50400,-200,21628
44,2025-01-22,09:44:00,50400,-200,21741
45,2025-01-22,09:45:00,50300,-300,21933
46,2025-01-22,09:46:00,50300,-300,22113
47,2025-01-22,09:47:00,50300,-300,22813
48,2025-01-22,09:48:00,50200,-400,22952
49,2025-01-22,09:49:00,50400,-200,23005
50,2025-01-22,09:50:00,50400,-200,23261
51,2025-01-22,09:51:00,50300,-300,23642
52,2025-01-22,09:52:00,50300,-300,23672
53,2025-01-22,09:53:00,50400,-200,23692
54,2025-01-22,09:54:00,50300,-300,23852
55,2025-01-22,09:55:00,50300,-300,24237
56,2025-01-22,09:56:00,50300,-300,24541
57,2025-01-22,09:57:00,50400,-200,24736
58,2025-01-22,09:58:00,50400,-200,24759
59,2025-01-22,09:59:00,50400,-200,24863
60,2025-01-22,10:00:00,50400,-200,25137
61,2025-01-22,10:01:00,50500,-100,25441
62,2025-01-22,10:02:00,50500,-100,25454
63,2025-01-22,10:03:00,50400,-200,26746
64,2025-01-22,10:04:00,50400,-200,26839
65,2025-01-22,10:05:00,50500,-100,26861
66,2025-01-22,10:06:00,50500,-100,26875
67,2025-01-22,10:07:00,50600,0,27021
68,2025-01-22,10:08:00,50600,0,27380
69,2025-01-22,10:09:00,50600,0,27421
70,2025-01-22,10:10:00,50700,100,27582
71,2025-01-22,10:11:00,50600,0,27809
72,2025-01-22,10:12:00,50700,100,28113
73,2025-01-22,10:13:00,50800,200,28350
74,2025-01-22,10:14:00,50700,100,28401
75,2025-01-22,10:15:00,50700,100,28553
76,2025-01-22,10:16:00,50800,200,28653
77,2025-01-22,10:17:00,50800,200,28746
78,2025-01-22,10:18:00,50700,100,29536
79,2025-01-22,10:19:00,50800,200,29571
80,2025-01-22,10:20:00,50800,200,29594
81,2025-01-22,10:21:00,50800,200,29633
82,2025-01-22,10:22:00,50900,300,30575
83,2025-01-22,10:23:00,50900,300,31190
84,2025-01-22,10:24:00,50900,300,31247
85,2025-01-22,10:25:00,50900,300,31404
86,2025-01-22,10:26:00,50900,300,32039
87,2025-01-22,10:27:00,50800,200,32143
88,2025-01-22,10:28:00,50800,200,32204
89,2025-01-22,10:29:00,50800,200,32232
90,2025-01-22,10:30:00,50900,300,32329
91,2025-01-22,10:31:00,50900,300,32383
92,2025-01-22,10:32:00,50900,300,32410
93,2025-01-22,10:33:00,50900,300,32427
94,2025-01-22,10:34:00,50900,300,32470
95,2025-01-22,10:35:00,50900,300,32503
96,2025-01-22,10:36:00,50800,200,32523
97,2025-01-22,10:37:00,50900,300,32922
98,2025-01-22,10:38:00,50900,300,33324
99,2025-01-22,10:39:00,51000,400,33490
100,2025-01-22,10:40:00,50900,300,33703
101,2025-01-22,10:41:00,50900,300,33895
102,2025-01-22,10:42:00,50900,300,34099
103,2025-01-22,10:43:00,50900,300,34120
104,2025-01-22,10:44:00,50800,200,34140
105,2025-01-22,10:45:00,50800,200,34303
