,date,time,price,change,volume
0,2024-10-24,09:00:00,192500,-3500,391975
1,2024-10-24,09:01:00,194100,-1900,468925
2,2024-10-24,09:02:00,194700,-1300,547459
3,2024-10-24,09:03:00,196200,200,643909
4,2024-10-24,09:04:00,195600,-400,695329
5,2024-10-24,09:05:00,195700,-300,745432
6,2024-10-24,09:06:00,196000,0,805150
7,2024-10-24,09:07:00,196200,200,838567
8,2024-10-24,09:08:00,195800,-200,880710
9,2024-10-24,09:09:00,195600,-400,902787
10,2024-10-24,09:10:00,194400,-1600,960513
11,2024-10-24,09:11:00,194500,-1500,979419
12,2024-10-24,09:12:00,193800,-2200,1007480
13,2024-10-24,09:13:00,194100,-1900,1038721
14,2024-10-24,09:14:00,193900,-2100,1055105
15,2024-10-24,09:15:00,193700,-2300,1101122
16,2024-10-24,09:16:00,193200,-2800,1130972
17,2024-10-24,09:17:00,192900,-3100,1165931
18,2024-10-24,09:18:00,192100,-3900,1202192
19,2024-10-24,09:19:00,193100,-2900,1238136
20,2024-10-24,09:20:00,193200,-2800,1255707
21,2024-10-24,09:21:00,193700,-2300,1275334
22,2024-10-24,09:22:00,193300,-2700,1291702
23,2024-10-24,09:23:00,193000,-3000,1308797
24,2024-10-24,09:24:00,193000,-3000,1321476
25,2024-10-24,09:25:00,193000,-3000,1330098
26,2024-10-24,09:26:00,193300,-2700,1337766
27,2024-10-24,09:27:00,193400,-2600,1343277
28,2024-10-24,09:28:00,193000,-3000,1362011
29,2024-10-24,09:29:00,192300,-3700,1387346
30,2024-10-24,09:30:00,192400,-3600,1402810
31,2024-10-24,09:31:00,192500,-3500,1423731
32,2024-10-24,09:32:00,192700,-3300,1428208
33,2024-10-24,09:33:00,192600,-3400,1436054
34,2024-10-24,09:34:00,192600,-3400,1443689
35,2024-10-24,09:35:00,193000,-3000,1454450
36,2024-10-24,09:36:00,193400,-2600,1464626
37,2024-10-24,09:37:00,193600,-2400,1473273
38,2024-10-24,09:38:00,193600,-2400,1485520
39,2024-10-24,09:39:00,194100,-1900,1511559
40,2024-10-24,09:40:00,194200,-1800,1521111
41,2024-10-24,09:41:00,194600,-1400,1536257
42,2024-10-24,09:42:00,194500,-1500,1556209
43,2024-10-24,09:43:00,195100,-900,1579338
44,2024-10-24,09:44:00,195000,-1000,1601206
45,2024-10-24,09:45:00,195400,-600,1613667
46,2024-10-24,09:46:00,195300,-700,1626436
47,2024-10-24,09:47:00,194600,-1400,1646321
48,2024-10-24,09:48:00,194600,-1400,1655555
49,2024-10-24,09:49:00,194800,-1200,1669972
50,2024-10-24,09:50:00,194800,-1200,1674858
51,2024-10-24,09:51:00,194600,-1400,1686851
52,2024-10-24,09:52:00,194600,-1400,1698139
53,2024-10-24,09:53:00,194700,-1300,1702611
54,2024-10-24,09:54:00,195200,-800,1714167
55,2024-10-24,09:55:00,194900,-1100,1721842
56,2024-10-24,09:56:00,195300,-700,1731728
57,2024-10-24,09:57:00,195000,-1000,1738890
58,2024-10-24,09:58:00,195100,-900,1742933
59,2024-10-24,09:59:00,195300,-700,1749062
60,2024-10-24,10:00:00,194400,-1600,1763760
61,2024-10-24,10:01:00,194500,-1500,1771823
62,2024-10-24,10:02:00,194900,-1100,1783739
63,2024-10-24,10:03:00,194700,-1300,1787578
64,2024-10-24,10:04:00,194500,-1500,1793677
65,2024-10-24,10:05:00,194700,-1300,1797615
66,2024-10-24,10:06:00,194900,-1100,1800665
67,2024-10-24,10:07:00,194700,-1300,1803680
68,2024-10-24,10:08:00,194900,-1100,1807112
69,2024-10-24,10:09:00,194800,-1200,1811256
70,2024-10-24,10:10:00,194600,-1400,1815244
71,2024-10-24,10:11:00,194100,-1900,1834381
72,2024-10-24,10:12:00,193800,-2200,1851816
73,2024-10-24,10:13:00,194200,-1800,1858503
74,2024-10-24,10:14:00,194100,-1900,1861287
75,2024-10-24,10:15:00,194000,-2000,1864291
76,2024-10-24,10:16:00,193900,-2100,1873273
77,2024-10-24,10:17:00,193800,-2200,1888797
78,2024-10-24,10:18:00,193600,-2400,1895104
79,2024-10-24,10:19:00,193700,-2300,1903499
80,2024-10-24,10:20:00,193900,-2100,1911391
81,2024-10-24,10:21:00,193700,-2300,1913855
82,2024-10-24,10:22:00,193600,-2400,1921325
83,2024-10-24,10:23:00,193900,-2100,1929258
84,2024-10-24,10:24:00,193700,-2300,1932918
85,2024-10-24,10:25:00,194000,-2000,1937605
86,2024-10-24,10:26:00,194300,-1700,1940196
87,2024-10-24,10:27:00,194400,-1600,1943614
88,2024-10-24,10:28:00,194700,-1300,1955205
89,2024-10-24,10:29:00,194700,-1300,1958458
90,2024-10-24,10:30:00,194900,-1100,1970043
91,2024-10-24,10:31:00,195100,-900,1982658
92,2024-10-24,10:32:00,195700,-300,2007260
93,2024-10-24,10:33:00,195800,-200,2054948
94,2024-10-24,10:34:00,196100,100,2070934
95,2024-10-24,10:35:00,196500,500,2099946
96,2024-10-24,10:36:00,197100,1100,2181794
97,2024-10-24,10:37:00,197800,1800,2224490
98,2024-10-24,10:38:00,198000,2000,2293699
99,2024-10-24,10:39:00,198200,2200,2367297
100,2024-10-24,10:40:00,198600,2600,2454832
101,2024-10-24,10:41:00,197800,1800,2493093
102,2024-10-24,10:42:00,198300,2300,2529004
103,2024-10-24,10:43:00,197400,1400,2563188
104,2024-10-24,10:44:00,197500,1500,2578390
105,2024-10-24,10:45:00,197100,1100,2601990
106,2024-10-24,10:46:00,197400,1400,2616300
107,2024-10-24,10:47:00,198400,2400,2638017
108,2024-10-24,10:48:00,198500,2500,2654150
109,2024-10-24,10:49:00,198600,2600,2684816
110,2024-10-24,10:50:00,198900,2900,2720005
111,2024-10-24,10:51:00,198700,2700,2760471
112,2024-10-24,10:52:00,198900,2900,2780103
113,2024-10-24,10:53:00,199100,3100,2851252
114,2024-10-24,10:54:00,199200,3200,2863694
115,2024-10-24,10:55:00,198800,2800,2889548
116,2024-10-24,10:56:00,198300,2300,2908513
117,2024-10-24,10:57:00,198300,2300,2928268
118,2024-10-24,10:58:00,198500,2500,2937924
119,2024-10-24,10:59:00,198300,2300,2946256
120,2024-10-24,11:00:00,198300,2300,2961745
121,2024-10-24,11:01:00,198500,2500,2974586
122,2024-10-24,11:02:00,197400,1400,3006391
123,2024-10-24,11:03:00,197300,1300,3019037
124,2024-10-24,11:04:00,197600,1600,3029799
125,2024-10-24,11:05:00,197700,1700,3035941
126,2024-10-24,11:06:00,198000,2000,3048589
127,2024-10-24,11:07:00,198000,2000,3055527
128,2024-10-24,11:08:00,198100,2100,3063957
129,2024-10-24,11:09:00,197700,1700,3073215
130,2024-10-24,11:10:00,197800,1800,3083998
131,2024-10-24,11:11:00,198000,2000,3092687
132,2024-10-24,11:12:00,197900,1900,3098960
133,2024-10-24,11:13:00,197800,1800,3113643
134,2024-10-24,11:14:00,197700,1700,3122787
135,2024-10-24,11:15:00,197900,1900,3125521
136,2024-10-24,11:16:00,197700,1700,3132613
137,2024-10-24,11:17:00,197700,1700,3140189
138,2024-10-24,11:18:00,198200,2200,3154060
139,2024-10-24,11:19:00,198200,2200,3160967
140,2024-10-24,11:20:00,198200,2200,3165992
141,2024-10-24,11:21:00,198400,2400,3180339
142,2024-10-24,11:22:00,198600,2600,3190882
143,2024-10-24,11:23:00,198600,2600,3198507
144,2024-10-24,11:24:00,198300,2300,3206542
145,2024-10-24,11:25:00,198500,2500,3211985
146,2024-10-24,11:26:00,198400,2400,3215045
147,2024-10-24,11:27:00,198400,2400,3218215
148,2024-10-24,11:28:00,198200,2200,3226022
149,2024-10-24,11:29:00,198400,2400,3231665
150,2024-10-24,11:30:00,198600,2600,3242823
151,2024-10-24,11:31:00,198900,2900,3265892
152,2024-10-24,11:32:00,198600,2600,3282379
153,2024-10-24,11:33:00,198700,2700,3285122
154,2024-10-24,11:34:00,198800,2800,3295232
155,2024-10-24,11:35:00,198900,2900,3303522
156,2024-10-24,11:36:00,198600,2600,3320226
157,2024-10-24,11:37:00,198400,2400,3326319
158,2024-10-24,11:38:00,198300,2300,3333372
159,2024-10-24,11:39:00,198300,2300,3336908
160,2024-10-24,11:40:00,198400,2400,3340226
161,2024-10-24,11:41:00,198600,2600,3351786
162,2024-10-24,11:42:00,198700,2700,3355434
