,date,time,price,change,volume
0,2024-11-08,09:00:00,30000,550,6702
1,2024-11-08,09:01:00,29900,450,8455
2,2024-11-08,09:02:00,29950,500,11028
3,2024-11-08,09:03:00,29800,350,11772
4,2024-11-08,09:04:00,29900,450,12711
5,2024-11-08,09:05:00,29950,500,14401
6,2024-11-08,09:06:00,29950,500,15258
7,2024-11-08,09:07:00,30000,550,19414
8,2024-11-08,09:08:00,30100,650,24287
9,2024-11-08,09:09:00,30150,700,25609
10,2024-11-08,09:10:00,30200,750,28678
11,2024-11-08,09:11:00,30100,650,29896
12,2024-11-08,09:12:00,30050,600,30608
13,2024-11-08,09:13:00,30000,550,33712
14,2024-11-08,09:14:00,30100,650,34167
15,2024-11-08,09:15:00,30200,750,34930
16,2024-11-08,09:16:00,30300,850,39628
17,2024-11-08,09:17:00,30400,950,41595
18,2024-11-08,09:18:00,30300,850,42995
19,2024-11-08,09:19:00,30300,850,46263
20,2024-11-08,09:20:00,30200,750,46728
21,2024-11-08,09:21:00,30150,700,47344
22,2024-11-08,09:22:00,30200,750,48638
23,2024-11-08,09:23:00,30200,750,48929
24,2024-11-08,09:24:00,30150,700,49506
25,2024-11-08,09:25:00,30100,650,50503
26,2024-11-08,09:26:00,30250,800,51156
27,2024-11-08,09:27:00,30250,800,51261
28,2024-11-08,09:28:00,30200,750,51849
29,2024-11-08,09:29:00,30150,700,52164
30,2024-11-08,09:30:00,30250,800,52363
31,2024-11-08,09:31:00,30250,800,52773
32,2024-11-08,09:32:00,30150,700,53059
33,2024-11-08,09:33:00,30150,700,53699
34,2024-11-08,09:34:00,30100,650,53769
35,2024-11-08,09:35:00,30100,650,54602
36,2024-11-08,09:36:00,30150,700,54871
37,2024-11-08,09:37:00,30100,650,55677
38,2024-11-08,09:38:00,30150,700,57138
39,2024-11-08,09:39:00,30100,650,57933
40,2024-11-08,09:40:00,30100,650,58170
41,2024-11-08,09:41:00,30100,650,59076
42,2024-11-08,09:42:00,30100,650,59465
43,2024-11-08,09:43:00,30050,600,59488
44,2024-11-08,09:44:00,30050,600,59540
45,2024-11-08,09:45:00,30050,600,59674
46,2024-11-08,09:46:00,30100,650,60197
47,2024-11-08,09:47:00,30050,600,60211
48,2024-11-08,09:48:00,30050,600,60447
49,2024-11-08,09:49:00,30000,550,60596
50,2024-11-08,09:50:00,29950,500,61546
51,2024-11-08,09:51:00,29950,500,61684
52,2024-11-08,09:52:00,29950,500,61867
53,2024-11-08,09:53:00,30100,650,63682
54,2024-11-08,09:54:00,30100,650,63980
55,2024-11-08,09:55:00,30150,700,64204
56,2024-11-08,09:56:00,30100,650,64317
57,2024-11-08,09:57:00,30100,650,64556
58,2024-11-08,09:58:00,30100,650,64578
59,2024-11-08,09:59:00,30150,700,64957
60,2024-11-08,10:00:00,30150,700,64959
61,2024-11-08,10:01:00,30100,650,65338
62,2024-11-08,10:02:00,30100,650,65465
63,2024-11-08,10:03:00,30100,650,65784
64,2024-11-08,10:04:00,30100,650,65889
65,2024-11-08,10:05:00,30050,600,65969
66,2024-11-08,10:06:00,30100,650,66432
67,2024-11-08,10:07:00,30100,650,66555
68,2024-11-08,10:08:00,30100,650,66564
69,2024-11-08,10:09:00,30200,750,70426
70,2024-11-08,10:10:00,30150,700,70714
71,2024-11-08,10:11:00,30100,650,71985
72,2024-11-08,10:12:00,30150,700,72317
73,2024-11-08,10:13:00,30100,650,72325
74,2024-11-08,10:14:00,30250,800,75152
75,2024-11-08,10:15:00,30200,750,75317
76,2024-11-08,10:16:00,30300,850,78698
77,2024-11-08,10:17:00,30350,900,79555
78,2024-11-08,10:18:00,30350,900,79696
79,2024-11-08,10:19:00,30450,1000,83869
80,2024-11-08,10:20:00,30350,900,84609
81,2024-11-08,10:21:00,30450,1000,85122
82,2024-11-08,10:22:00,30500,1050,87497
83,2024-11-08,10:23:00,30550,1100,91840
84,2024-11-08,10:24:00,30550,1100,92373
85,2024-11-08,10:25:00,30550,1100,92640
86,2024-11-08,10:26:00,30550,1100,93084
87,2024-11-08,10:27:00,30500,1050,93578
88,2024-11-08,10:28:00,30500,1050,94020
89,2024-11-08,10:29:00,30600,1150,96083
90,2024-11-08,10:30:00,30650,1200,98675
91,2024-11-08,10:31:00,30600,1150,98880
92,2024-11-08,10:32:00,30500,1050,99811
93,2024-11-08,10:33:00,30500,1050,100012
94,2024-11-08,10:34:00,30550,1100,100305
95,2024-11-08,10:35:00,30450,1000,101184
96,2024-11-08,10:36:00,30400,950,102530
97,2024-11-08,10:37:00,30450,1000,102661
98,2024-11-08,10:38:00,30450,1000,102686
99,2024-11-08,10:39:00,30500,1050,103208
100,2024-11-08,10:40:00,30450,1000,104927
101,2024-11-08,10:41:00,30500,1050,105626
102,2024-11-08,10:42:00,30500,1050,105732
103,2024-11-08,10:43:00,30500,1050,105867
104,2024-11-08,10:44:00,30450,1000,105903
105,2024-11-08,10:45:00,30500,1050,106229
106,2024-11-08,10:46:00,30450,1000,106240
107,2024-11-08,10:47:00,30450,1000,106487
108,2024-11-08,10:48:00,30450,1000,106725
109,2024-11-08,10:49:00,30500,1050,110691
110,2024-11-08,10:50:00,30550,1100,111429
111,2024-11-08,10:51:00,30550,1100,111828
112,2024-11-08,10:52:00,30550,1100,111988
113,2024-11-08,10:53:00,30550,1100,112369
114,2024-11-08,10:54:00,30600,1150,112534
115,2024-11-08,10:55:00,30550,1100,112823
116,2024-11-08,10:56:00,30600,1150,118368
117,2024-11-08,10:57:00,30700,1250,120981
118,2024-11-08,10:58:00,30700,1250,121204
119,2024-11-08,10:59:00,30650,1200,121663
120,2024-11-08,11:00:00,30750,1300,123750
121,2024-11-08,11:01:00,30850,1400,128420
122,2024-11-08,11:02:00,30850,1400,132752
123,2024-11-08,11:03:00,30850,1400,136112
124,2024-11-08,11:04:00,30900,1450,138293
125,2024-11-08,11:05:00,30750,1300,139525
126,2024-11-08,11:06:00,30800,1350,139840
127,2024-11-08,11:07:00,30750,1300,140754
128,2024-11-08,11:08:00,30750,1300,141675
129,2024-11-08,11:09:00,30800,1350,141890
130,2024-11-08,11:10:00,30750,1300,142561
131,2024-11-08,11:11:00,30850,1400,142944
132,2024-11-08,11:12:00,30800,1350,143032
133,2024-11-08,11:13:00,30900,1450,143730
134,2024-11-08,11:14:00,30850,1400,144244
135,2024-11-08,11:15:00,30850,1400,144646
136,2024-11-08,11:16:00,30800,1350,144865
137,2024-11-08,11:17:00,30800,1350,145266
