,date,time,price,change,volume
0,2024-11-27,09:00:00,118900,0,2526
1,2024-11-27,09:01:00,119400,500,3503
2,2024-11-27,09:02:00,119500,600,4301
3,2024-11-27,09:03:00,119900,1000,4742
4,2024-11-27,09:04:00,119600,700,5401
5,2024-11-27,09:05:00,119400,500,6442
6,2024-11-27,09:06:00,119200,300,7332
7,2024-11-27,09:07:00,119000,100,7968
8,2024-11-27,09:08:00,118500,-400,9129
9,2024-11-27,09:09:00,118900,0,9904
10,2024-11-27,09:10:00,119100,200,10265
11,2024-11-27,09:11:00,119100,200,10505
12,2024-11-27,09:12:00,119200,300,11021
13,2024-11-27,09:13:00,119300,400,11361
14,2024-11-27,09:14:00,118900,0,11897
15,2024-11-27,09:15:00,119100,200,12576
16,2024-11-27,09:16:00,119500,600,12793
17,2024-11-27,09:17:00,119300,400,13600
18,2024-11-27,09:18:00,119600,700,13840
19,2024-11-27,09:19:00,119500,600,14150
20,2024-11-27,09:20:00,119600,700,14603
21,2024-11-27,09:21:00,119500,600,14899
22,2024-11-27,09:22:00,119500,600,15353
23,2024-11-27,09:23:00,119200,300,16707
24,2024-11-27,09:24:00,119400,500,17474
25,2024-11-27,09:25:00,119300,400,18118
26,2024-11-27,09:26:00,119100,200,18838
27,2024-11-27,09:27:00,119000,100,19750
28,2024-11-27,09:28:00,119000,100,20207
29,2024-11-27,09:29:00,119200,300,20714
30,2024-11-27,09:30:00,119200,300,20934
31,2024-11-27,09:31:00,119000,100,22059
32,2024-11-27,09:32:00,119100,200,23657
33,2024-11-27,09:33:00,118600,-300,25668
34,2024-11-27,09:34:00,118900,0,26082
35,2024-11-27,09:35:00,119000,100,27179
36,2024-11-27,09:36:00,119100,200,27397
37,2024-11-27,09:37:00,118900,0,27642
38,2024-11-27,09:38:00,118400,-500,28908
39,2024-11-27,09:39:00,118500,-400,30003
40,2024-11-27,09:40:00,118700,-200,30358
41,2024-11-27,09:41:00,118800,-100,30586
42,2024-11-27,09:42:00,119000,100,34209
43,2024-11-27,09:43:00,119100,200,34649
44,2024-11-27,09:44:00,118800,-100,34887
45,2024-11-27,09:45:00,119000,100,35097
46,2024-11-27,09:46:00,118900,0,35435
47,2024-11-27,09:47:00,118900,0,35662
48,2024-11-27,09:48:00,118900,0,35783
49,2024-11-27,09:49:00,118800,-100,36265
50,2024-11-27,09:50:00,118600,-300,37329
51,2024-11-27,09:51:00,118600,-300,37382
52,2024-11-27,09:52:00,118600,-300,38080
53,2024-11-27,09:53:00,118800,-100,38464
54,2024-11-27,09:54:00,118800,-100,39729
55,2024-11-27,09:55:00,118800,-100,39797
56,2024-11-27,09:56:00,118400,-500,40438
57,2024-11-27,09:57:00,118700,-200,40585
58,2024-11-27,09:58:00,118600,-300,40960
59,2024-11-27,09:59:00,118700,-200,41091
60,2024-11-27,10:00:00,118700,-200,41350
61,2024-11-27,10:01:00,118700,-200,41936
62,2024-11-27,10:02:00,118600,-300,42118
63,2024-11-27,10:03:00,118600,-300,42839
