,date,time,price,change,volume
0,2024-08-14,09:00:00,54700,0,5893
1,2024-08-14,09:01:00,54600,-100,12635
2,2024-08-14,09:02:00,54800,100,13487
3,2024-08-14,09:03:00,54700,0,14357
4,2024-08-14,09:04:00,54900,200,15459
5,2024-08-14,09:05:00,54800,100,16544
6,2024-08-14,09:06:00,54900,200,17078
7,2024-08-14,09:07:00,54900,200,18443
8,2024-08-14,09:08:00,54800,100,19312
9,2024-08-14,09:09:00,54800,100,22265
10,2024-08-14,09:10:00,54800,100,23071
11,2024-08-14,09:11:00,54800,100,24798
12,2024-08-14,09:12:00,54800,100,26113
13,2024-08-14,09:13:00,54800,100,26666
14,2024-08-14,09:14:00,54700,0,27740
15,2024-08-14,09:15:00,54700,0,28750
16,2024-08-14,09:16:00,54700,0,29279
17,2024-08-14,09:17:00,54700,0,29780
18,2024-08-14,09:18:00,54700,0,31400
19,2024-08-14,09:19:00,54700,0,32202
20,2024-08-14,09:20:00,54700,0,33263
21,2024-08-14,09:21:00,54800,100,33769
22,2024-08-14,09:22:00,54700,0,35889
23,2024-08-14,09:23:00,54700,0,37838
24,2024-08-14,09:24:00,54600,-100,38483
25,2024-08-14,09:25:00,54500,-200,40883
26,2024-08-14,09:26:00,54400,-300,45128
27,2024-08-14,09:27:00,54400,-300,47069
28,2024-08-14,09:28:00,54400,-300,47681
29,2024-08-14,09:29:00,54300,-400,50757
30,2024-08-14,09:30:00,54300,-400,52198
31,2024-08-14,09:31:00,54400,-300,52572
32,2024-08-14,09:32:00,54300,-400,54165
33,2024-08-14,09:33:00,54300,-400,55333
34,2024-08-14,09:34:00,54500,-200,58966
35,2024-08-14,09:35:00,54400,-300,59605
36,2024-08-14,09:36:00,54500,-200,60378
37,2024-08-14,09:37:00,54400,-300,61151
38,2024-08-14,09:38:00,54500,-200,61606
39,2024-08-14,09:39:00,54400,-300,61980
40,2024-08-14,09:40:00,54500,-200,63813
41,2024-08-14,09:41:00,54600,-100,64554
42,2024-08-14,09:42:00,54600,-100,64865
43,2024-08-14,09:43:00,54500,-200,66932
44,2024-08-14,09:44:00,54400,-300,67328
45,2024-08-14,09:45:00,54500,-200,69826
46,2024-08-14,09:46:00,54700,0,70694
47,2024-08-14,09:47:00,54600,-100,71211
48,2024-08-14,09:48:00,54700,0,73382
49,2024-08-14,09:49:00,54600,-100,73823
50,2024-08-14,09:50:00,54700,0,74356
51,2024-08-14,09:51:00,54700,0,77826
52,2024-08-14,09:52:00,54700,0,79950
53,2024-08-14,09:53:00,54600,-100,80355
54,2024-08-14,09:54:00,54700,0,80748
55,2024-08-14,09:55:00,54700,0,81002
56,2024-08-14,09:56:00,54700,0,81952
57,2024-08-14,09:57:00,54700,0,82462
58,2024-08-14,09:58:00,54600,-100,82922
59,2024-08-14,09:59:00,54500,-200,87958
60,2024-08-14,10:00:00,54600,-100,88384
61,2024-08-14,10:01:00,54500,-200,88979
62,2024-08-14,10:02:00,54500,-200,89183
63,2024-08-14,10:03:00,54600,-100,89991
64,2024-08-14,10:04:00,54600,-100,90427
65,2024-08-14,10:05:00,54600,-100,90739
