,date,time,price,change,volume
0,2025-03-12,09:00:00,61300,1100,3862
1,2025-03-12,09:01:00,60800,600,7421
2,2025-03-12,09:02:00,60900,700,8534
3,2025-03-12,09:03:00,61100,900,9269
4,2025-03-12,09:04:00,60800,600,10115
5,2025-03-12,09:05:00,60800,600,11104
6,2025-03-12,09:06:00,60700,500,12050
7,2025-03-12,09:07:00,60800,600,12551
8,2025-03-12,09:08:00,60900,700,13916
9,2025-03-12,09:09:00,60800,600,14267
10,2025-03-12,09:10:00,60700,500,15056
11,2025-03-12,09:11:00,60600,400,15310
12,2025-03-12,09:12:00,60700,500,15423
13,2025-03-12,09:13:00,60400,200,16693
14,2025-03-12,09:14:00,60600,400,17155
15,2025-03-12,09:15:00,60500,300,17530
16,2025-03-12,09:16:00,60600,400,17699
17,2025-03-12,09:17:00,60600,400,17907
18,2025-03-12,09:18:00,60500,300,18160
19,2025-03-12,09:19:00,60600,400,18280
20,2025-03-12,09:20:00,60400,200,18630
21,2025-03-12,09:21:00,60500,300,19211
22,2025-03-12,09:22:00,60600,400,19429
23,2025-03-12,09:23:00,60600,400,19827
24,2025-03-12,09:24:00,60500,300,20061
25,2025-03-12,09:25:00,60600,400,20409
26,2025-03-12,09:26:00,60600,400,20464
27,2025-03-12,09:27:00,60500,300,20721
28,2025-03-12,09:28:00,60700,500,21073
29,2025-03-12,09:29:00,60700,500,22081
30,2025-03-12,09:30:00,60600,400,22088
31,2025-03-12,09:31:00,60700,500,22634
32,2025-03-12,09:32:00,60700,500,22652
33,2025-03-12,09:33:00,60700,500,23142
34,2025-03-12,09:34:00,60700,500,23151
35,2025-03-12,09:35:00,60600,400,23743
36,2025-03-12,09:36:00,60600,400,23871
37,2025-03-12,09:37:00,60500,300,24434
38,2025-03-12,09:38:00,60500,300,28701
39,2025-03-12,09:39:00,60400,200,29278
40,2025-03-12,09:40:00,60400,200,31086
41,2025-03-12,09:41:00,60500,300,31108
42,2025-03-12,09:42:00,60600,400,31240
43,2025-03-12,09:43:00,60600,400,31786
44,2025-03-12,09:44:00,60500,300,32626
45,2025-03-12,09:45:00,60600,400,32677
46,2025-03-12,09:46:00,60400,200,32881
47,2025-03-12,09:47:00,60500,300,32951
48,2025-03-12,09:48:00,60500,300,33091
49,2025-03-12,09:49:00,60500,300,34091
50,2025-03-12,09:50:00,60400,200,34465
51,2025-03-12,09:51:00,60400,200,34470
52,2025-03-12,09:52:00,60500,300,34606
53,2025-03-12,09:53:00,60500,300,34746
54,2025-03-12,09:54:00,60500,300,34863
55,2025-03-12,09:55:00,60500,300,34978
56,2025-03-12,09:56:00,60600,400,35005
57,2025-03-12,09:57:00,60500,300,35156
58,2025-03-12,09:58:00,60400,200,35187
59,2025-03-12,09:59:00,60600,400,35428
60,2025-03-12,10:00:00,60500,300,35482
61,2025-03-12,10:01:00,60500,300,35582
62,2025-03-12,10:02:00,60500,300,35634
63,2025-03-12,10:03:00,60500,300,35774
64,2025-03-12,10:04:00,60500,300,36001
65,2025-03-12,10:05:00,60500,300,36152
66,2025-03-12,10:06:00,60600,400,36522
67,2025-03-12,10:07:00,60600,400,36539
68,2025-03-12,10:08:00,60600,400,36766
69,2025-03-12,10:09:00,60600,400,36805
70,2025-03-12,10:10:00,60700,500,36943
71,2025-03-12,10:11:00,60600,400,37053
72,2025-03-12,10:12:00,60700,500,37214
73,2025-03-12,10:13:00,60700,500,37242
74,2025-03-12,10:14:00,60800,600,38472
75,2025-03-12,10:15:00,60800,600,38756
76,2025-03-12,10:16:00,60800,600,39076
77,2025-03-12,10:17:00,60900,700,39220
78,2025-03-12,10:18:00,61000,800,39874
79,2025-03-12,10:19:00,61000,800,40152
80,2025-03-12,10:20:00,61000,800,40391
81,2025-03-12,10:21:00,61000,800,40621
82,2025-03-12,10:22:00,60900,700,40887
83,2025-03-12,10:23:00,60900,700,41201
84,2025-03-12,10:24:00,60900,700,41351
85,2025-03-12,10:25:00,61000,800,41621
86,2025-03-12,10:26:00,61000,800,41835
87,2025-03-12,10:27:00,60850,650,42106
88,2025-03-12,10:28:00,60900,700,42239
89,2025-03-12,10:29:00,60900,700,42473
90,2025-03-12,10:30:00,60700,500,42625
91,2025-03-12,10:31:00,60800,600,42967
92,2025-03-12,10:32:00,60700,500,43091
93,2025-03-12,10:33:00,60700,500,43340
94,2025-03-12,10:34:00,60800,600,43575
95,2025-03-12,10:35:00,60900,700,43879
